<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRSN.US,5,20250829,153000,1.11,1.11,1.11,1.11,2650,0
NRSN.US,5,20250829,153500,1.12,1.12,1.12,1.12,3000,0
NRSN.US,5,20250829,160000,1.1,1.1,1.09,1.0998,2098,0
NRSN.US,5,20250829,160500,1.1,1.1,1.09,1.09,950,0
NRSN.US,5,20250829,161000,1.09,1.09,1.07,1.0787,5230,0
NRSN.US,5,20250829,162000,1.0707,1.08,1.0707,1.08,3000,0
NRSN.US,5,20250829,163000,1.071,1.071,1.065,1.065,15537,0
NRSN.US,5,20250829,163500,1.0681,1.0699,1.06,1.06,12700,0
NRSN.US,5,20250829,164000,1.065,1.0699,1.065,1.0699,600,0
NRSN.US,5,20250829,164500,1.07,1.07,1.06,1.07,6463,0
NRSN.US,5,20250829,165000,1.07,1.075,1.07,1.07,12982,0
NRSN.US,5,20250829,165500,1.08,1.08,1.079,1.079,2419,0
NRSN.US,5,20250829,170000,1.075,1.0791,1.075,1.0791,700,0
NRSN.US,5,20250829,170500,1.0708,1.0708,1.07,1.07,1483,0
NRSN.US,5,20250829,171000,1.075,1.08,1.075,1.08,1650,0
NRSN.US,5,20250829,171500,1.07,1.0791,1.055,1.0594,25535,0
NRSN.US,5,20250829,172000,1.059546,1.059546,1.059546,1.059546,750,0
NRSN.US,5,20250829,172500,1.06,1.06,1.055,1.055,1429,0
NRSN.US,5,20250829,173000,1.0594,1.06,1.055,1.0595,5600,0
NRSN.US,5,20250829,173500,1.06,1.06,1.0594,1.0594,650,0
NRSN.US,5,20250829,174000,1.06,1.07,1.06,1.07,682,0
NRSN.US,5,20250829,175500,1.0698,1.0698,1.0698,1.0698,465,0
NRSN.US,5,20250829,180000,1.07,1.08,1.0656,1.0656,1286,0
NRSN.US,5,20250829,180500,1.06,1.0698,1.06,1.0698,1100,0
NRSN.US,5,20250829,181000,1.06,1.07,1.06,1.07,2500,0
NRSN.US,5,20250829,181500,1.06,1.06,1.05,1.059517,10581,0
NRSN.US,5,20250829,182000,1.0508,1.0592,1.05,1.0592,21441,0
NRSN.US,5,20250829,182500,1.05,1.0591,1.05,1.05,2637,0
NRSN.US,5,20250829,183000,1.058542,1.058542,1.04,1.045,15713,0
NRSN.US,5,20250829,183500,1.0491,1.0499,1.0491,1.0499,865,0
NRSN.US,5,20250829,184000,1.05,1.07,1.05,1.0698,4007,0
NRSN.US,5,20250829,185000,1.06,1.065,1.06,1.065,1600,0
NRSN.US,5,20250829,185500,1.07,1.07,1.04,1.05,1050,0
NRSN.US,5,20250829,190000,1.05,1.07,1.05,1.07,17100,0
NRSN.US,5,20250829,190500,1.0699,1.0889,1.0699,1.0889,2950,0
NRSN.US,5,20250829,191000,1.089,1.089,1.08,1.08,1256,0
NRSN.US,5,20250829,191500,1.09,1.09,1.09,1.09,500,0
NRSN.US,5,20250829,192000,1.0899,1.0899,1.07,1.078,1450,0
NRSN.US,5,20250829,193000,1.08,1.08,1.05,1.0792,3719,0
NRSN.US,5,20250829,193500,1.08,1.08,1.065,1.07,5500,0
NRSN.US,5,20250829,194500,1.082071,1.082071,1.082071,1.082071,250,0
NRSN.US,5,20250829,195000,1.0842,1.0842,1.0842,1.0842,350,0
NRSN.US,5,20250829,201500,1.07,1.07,1.07,1.07,102,0
NRSN.US,5,20250829,202500,1.0797,1.08,1.0797,1.08,600,0
NRSN.US,5,20250829,203000,1.08,1.08,1.076112,1.076112,1950,0
