<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSTS.US,5,20250829,153000,11.9,11.9,11.9,11.9,202,0
NSTS.US,5,20250902,215500,11.9,11.9,11.9,11.9,199,0
NSTS.US,5,20250904,161000,11.95,11.95,11.95,11.95,100,0
NSTS.US,5,20250904,162500,11.9913,11.9913,11.9913,11.9913,878,0
NSTS.US,5,20250905,153000,11.9,11.9,11.9,11.9,100,0
NSTS.US,5,20250905,160500,11.9,11.9,11.9,11.9,488,0
NSTS.US,5,20250905,210500,11.9711,11.9711,11.9711,11.9711,100,0
NSTS.US,5,20250908,163000,11.7,11.7,11.7,11.7,100,0
NSTS.US,5,20250908,170000,11.7,11.7,11.7,11.7,100,0
NSTS.US,5,20250908,180500,11.99,11.99,11.99,11.99,100,0
NSTS.US,5,20250908,194500,11.7375,11.7375,11.7375,11.7375,391,0
NSTS.US,5,20250909,163000,11.81,11.81,11.81,11.81,100,0
NSTS.US,5,20250909,204500,11.82,11.82,11.82,11.82,100,0
NSTS.US,5,20250910,162000,11.8,11.8,11.8,11.8,100,0
NSTS.US,5,20250910,162500,11.8,11.8,11.8,11.8,100,0
NSTS.US,5,20250910,172000,11.81,11.81,11.81,11.81,100,0
NSTS.US,5,20250911,162500,11.83,11.83,11.83,11.83,100,0
NSTS.US,5,20250911,215500,11.89,11.89,11.89,11.89,190,0
NSTS.US,5,20250912,215500,11.83,11.83,11.8,11.8,902,0
NSTS.US,5,20250915,153500,11.99,11.99,11.8538,11.8538,1271,0
NSTS.US,5,20250915,193000,12,12,12,12,300,0
NSTS.US,5,20250915,204500,11.85,11.85,11.85,11.85,2000,0
NSTS.US,5,20250916,194500,11.8,11.8,11.75,11.75,2098,0
NSTS.US,5,20250916,195000,11.75,11.75,11.735,11.735,9595,0
NSTS.US,5,20250916,203500,11.76,11.77,11.7,11.7,5188,0
NSTS.US,5,20250916,204000,11.56,11.6299,11.56,11.6299,1268,0
NSTS.US,5,20250916,205500,11.7492,11.7492,11.56,11.5601,7620,0
NSTS.US,5,20250916,210500,11.46,11.46,11.46,11.46,278,0
NSTS.US,5,20250916,211000,11.55,11.55,11.505,11.505,902,0
NSTS.US,5,20250916,211500,11.5005,11.5005,11.5005,11.5005,1000,0
NSTS.US,5,20250916,212000,11.5005,11.5005,11.5005,11.5005,1000,0
NSTS.US,5,20250916,212500,11.4956,11.4956,11.4956,11.4956,336,0
NSTS.US,5,20250916,213500,11.55,11.55,11.55,11.55,1234,0
NSTS.US,5,20250916,215000,11.5495,11.55,11.53,11.54,486,0
NSTS.US,5,20250917,155000,11.75,11.75,11.75,11.75,100,0
NSTS.US,5,20250917,164000,11.95,11.95,11.95,11.95,100,0
NSTS.US,5,20250917,164500,11.76,11.76,11.52,11.6952,10238,0
NSTS.US,5,20250918,213500,11.98,11.98,11.8,11.8,1000,0
NSTS.US,5,20250919,172500,11.97,11.97,11.97,11.97,100,0
NSTS.US,5,20250919,192500,11.97,11.97,11.97,11.97,100,0
NSTS.US,5,20250919,215500,11.77,11.77,11.77,11.77,1488,0
NSTS.US,5,20250925,182500,11.645,11.74,11.645,11.74,1990,0
NSTS.US,5,20250925,184000,11.7499,11.7499,11.65,11.65,2500,0
NSTS.US,5,20250925,185000,11.63,11.63,11.63,11.63,1000,0
NSTS.US,5,20250925,185500,11.59,11.59,11.59,11.59,100,0
NSTS.US,5,20250925,190000,11.63,11.63,11.63,11.63,900,0
NSTS.US,5,20250925,191000,11.63,11.63,11.62,11.63,1100,0
NSTS.US,5,20250925,202000,11.56,11.56,11.56,11.56,100,0
NSTS.US,5,20250925,202500,11.57,11.57,11.57,11.57,100,0
NSTS.US,5,20250925,203000,11.55,11.55,11.55,11.55,200,0
NSTS.US,5,20250925,203500,11.56,11.56,11.56,11.56,100,0
NSTS.US,5,20250925,204000,11.56,11.57,11.56,11.57,200,0
NSTS.US,5,20250925,205000,11.56,11.56,11.55,11.55,200,0
NSTS.US,5,20250925,205500,11.55,11.55,11.55,11.55,100,0
NSTS.US,5,20250925,214000,11.54,11.54,11.54,11.54,100,0
NSTS.US,5,20250925,215000,11.53,11.53,11.53,11.53,200,0
NSTS.US,5,20250925,215500,11.53,11.53,11.53,11.53,100,0
NSTS.US,5,20250926,175000,11.52,11.52,11.52,11.52,100,0
NSTS.US,5,20250926,180000,11.53,11.53,11.53,11.53,200,0
NSTS.US,5,20250926,182500,11.64,11.64,11.5425,11.5425,1100,0
NSTS.US,5,20250926,183000,11.62,11.63,11.62,11.63,2100,0
NSTS.US,5,20250926,184000,11.64,11.64,11.63,11.64,2810,0
