<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NUKKW.US,5,20250829,153000,0.1449,0.15,0.142,0.145,148112,0
NUKKW.US,5,20250829,153500,0.145,0.145,0.1251,0.126,57595,0
NUKKW.US,5,20250829,154000,0.1352,0.1354,0.126,0.1354,14000,0
NUKKW.US,5,20250829,154500,0.126,0.133,0.1251,0.1329,7629,0
NUKKW.US,5,20250829,155000,0.132,0.1329,0.1276,0.1297,40438,0
NUKKW.US,5,20250829,155500,0.1329,0.1329,0.1296,0.1296,2000,0
NUKKW.US,5,20250829,160000,0.1325,0.1329,0.1325,0.1329,3000,0
NUKKW.US,5,20250829,160500,0.1261,0.1261,0.1261,0.1261,3195,0
NUKKW.US,5,20250829,161000,0.1261,0.1261,0.1261,0.1261,1700,0
NUKKW.US,5,20250829,161500,0.1261,0.1329,0.1261,0.1329,19625,0
NUKKW.US,5,20250829,162000,0.1343,0.14,0.1343,0.1379,44803,0
NUKKW.US,5,20250829,163000,0.137999,0.137999,0.136,0.136,3500,0
NUKKW.US,5,20250829,163500,0.14,0.14,0.139,0.1398,24703,0
NUKKW.US,5,20250829,164500,0.1399,0.14,0.136,0.136,7300,0
NUKKW.US,5,20250829,165000,0.139999,0.145,0.1399,0.145,46188,0
NUKKW.US,5,20250829,165500,0.14245,0.1447,0.1302,0.1302,13300,0
NUKKW.US,5,20250829,170000,0.1409,0.1421,0.1409,0.1421,3120,0
NUKKW.US,5,20250829,171000,0.14,0.14,0.14,0.14,700,0
NUKKW.US,5,20250829,171500,0.1312,0.14,0.1303,0.135099,5100,0
NUKKW.US,5,20250829,172000,0.14,0.14,0.1385,0.1387,9600,0
NUKKW.US,5,20250829,172500,0.139999,0.139999,0.139999,0.139999,3000,0
NUKKW.US,5,20250829,174500,0.1352,0.1352,0.1352,0.1352,5500,0
NUKKW.US,5,20250829,175000,0.131101,0.131101,0.131101,0.131101,1000,0
NUKKW.US,5,20250829,181500,0.1314,0.1314,0.1312,0.1312,5554,0
NUKKW.US,5,20250829,182000,0.1349,0.1349,0.1312,0.1312,7500,0
NUKKW.US,5,20250829,183000,0.1349,0.1349,0.1349,0.1349,600,0
NUKKW.US,5,20250829,183500,0.1349,0.1398,0.1349,0.1394,3800,0
NUKKW.US,5,20250829,184000,0.1397,0.1397,0.1397,0.1397,800,0
NUKKW.US,5,20250829,184500,0.1399,0.1399,0.1399,0.1399,100,0
NUKKW.US,5,20250829,185000,0.1398,0.1398,0.1398,0.1398,100,0
NUKKW.US,5,20250829,190500,0.1356,0.1356,0.1356,0.1356,311,0
NUKKW.US,5,20250829,194500,0.133,0.133,0.133,0.133,2500,0
NUKKW.US,5,20250829,195500,0.133,0.133,0.133,0.133,1000,0
NUKKW.US,5,20250829,200000,0.1316,0.1328,0.1311,0.1328,6801,0
NUKKW.US,5,20250829,200500,0.133,0.133,0.1311,0.1311,2328,0
NUKKW.US,5,20250829,201500,0.1311,0.1311,0.1311,0.1311,200,0
NUKKW.US,5,20250829,203500,0.1344,0.1344,0.1328,0.1328,5360,0
NUKKW.US,5,20250829,204000,0.1343,0.1344,0.1315,0.1315,800,0
NUKKW.US,5,20250829,210000,0.1327,0.1327,0.1327,0.1327,200,0
NUKKW.US,5,20250829,211000,0.1344,0.1344,0.1302,0.1302,26959,0
NUKKW.US,5,20250829,211500,0.13,0.13,0.1202,0.1299,17200,0
NUKKW.US,5,20250829,213500,0.1203,0.1209,0.1203,0.1203,980,0
NUKKW.US,5,20250829,214000,0.1247,0.1247,0.1247,0.1247,200,0
NUKKW.US,5,20250829,214500,0.1204,0.125099,0.1204,0.125099,872,0
NUKKW.US,5,20250829,215500,0.1297,0.1297,0.1297,0.1297,100,0
NUKKW.US,5,20250902,153000,0.1297,0.1487,0.1297,0.135549,27511,0
NUKKW.US,5,20250902,153500,0.145,0.1582,0.1428,0.1582,10768,0
NUKKW.US,5,20250902,154000,0.158,0.165,0.158,0.164999,48146,0
NUKKW.US,5,20250902,154500,0.156,0.165,0.141,0.1648,39757,0
NUKKW.US,5,20250902,155000,0.161999,0.162,0.15605,0.161899,6984,0
NUKKW.US,5,20250902,155500,0.155,0.165,0.1529,0.1592,18244,0
NUKKW.US,5,20250902,160000,0.1551,0.1551,0.155,0.155,3994,0
NUKKW.US,5,20250902,160500,0.16,0.16,0.1475,0.1538,14081,0
NUKKW.US,5,20250902,161000,0.1476,0.1507,0.1476,0.1501,6550,0
NUKKW.US,5,20250902,161500,0.1476,0.149,0.1475,0.149,8700,0
NUKKW.US,5,20250902,162000,0.1562,0.1597,0.1491,0.1503,32135,0
NUKKW.US,5,20250902,162500,0.1542,0.1542,0.1498,0.153286,13500,0
NUKKW.US,5,20250902,163000,0.1553,0.159899,0.1521,0.1522,14514,0
NUKKW.US,5,20250902,163500,0.1585,0.169,0.155,0.1585,33912,0
NUKKW.US,5,20250902,164000,0.1602,0.162,0.1585,0.1585,88429,0
NUKKW.US,5,20250902,164500,0.1425,0.1439,0.1418,0.1422,2600,0
NUKKW.US,5,20250902,165000,0.1426,0.1507,0.1426,0.1431,22498,0
NUKKW.US,5,20250902,165500,0.1454,0.1454,0.1437,0.1437,1400,0
NUKKW.US,5,20250902,170000,0.1496,0.1496,0.1496,0.1496,900,0
NUKKW.US,5,20250902,171000,0.149599,0.149599,0.149599,0.149599,4000,0
NUKKW.US,5,20250902,172000,0.1452,0.1452,0.1436,0.1442,5200,0
NUKKW.US,5,20250902,172500,0.1435,0.1442,0.143,0.1431,6000,0
NUKKW.US,5,20250902,173000,0.1431,0.1431,0.1431,0.1431,600,0
NUKKW.US,5,20250902,173500,0.143,0.143,0.143,0.143,600,0
NUKKW.US,5,20250902,174000,0.1431,0.1431,0.1411,0.143,2300,0
NUKKW.US,5,20250902,174500,0.1498,0.1498,0.1498,0.1498,1400,0
NUKKW.US,5,20250902,175500,0.1437,0.1437,0.141,0.141,4953,0
NUKKW.US,5,20250902,180000,0.1452,0.1452,0.141,0.141,3100,0
