<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NUVL.US,5,20250829,153000,76.09,76.9,75.09,76.43,36387,0
NUVL.US,5,20250829,154500,76.56,76.56,76.56,76.56,100,0
NUVL.US,5,20250829,155000,76.12,76.23,76.09,76.23,437,0
NUVL.US,5,20250829,155500,75.88,75.88,75.72,75.72,501,0
NUVL.US,5,20250829,160000,75.72,76.17,75.49,76.125,3009,0
NUVL.US,5,20250829,160500,76,76.56,76,76.56,4478,0
NUVL.US,5,20250829,161000,76.28,76.28,76.28,76.28,100,0
NUVL.US,5,20250829,161500,76.26,76.4,76.085,76.4,358,0
NUVL.US,5,20250829,162000,76.41,76.41,76.385,76.405,300,0
NUVL.US,5,20250829,162500,76.33,76.33,75.915,76.08,1115,0
NUVL.US,5,20250829,163500,76.105,76.22,76.105,76.22,200,0
NUVL.US,5,20250829,164000,75.975,76.105,75.975,76.08,1016,0
NUVL.US,5,20250829,164500,76.145,76.145,75.89,76,700,0
NUVL.US,5,20250829,165000,75.915,76.045,75.76,75.76,1600,0
NUVL.US,5,20250829,165500,75.81,76.105,75.81,76.005,4800,0
NUVL.US,5,20250829,170000,76.25,76.52,76.25,76.36,1200,0
NUVL.US,5,20250829,170500,76.365,76.57,76.365,76.55,400,0
NUVL.US,5,20250829,171000,76.55,76.55,76.395,76.395,1706,0
NUVL.US,5,20250829,172000,76.57,76.57,76.57,76.57,100,0
NUVL.US,5,20250829,172500,76.41,76.58,76.405,76.58,300,0
NUVL.US,5,20250829,173000,76.58,76.61,76.405,76.48,1100,0
NUVL.US,5,20250829,173500,76.52,76.54,76.52,76.53,700,0
NUVL.US,5,20250829,174000,76.55,76.555,76.55,76.555,375,0
NUVL.US,5,20250829,174500,76.51,76.51,76.51,76.51,200,0
NUVL.US,5,20250829,175000,76.38,76.57,76.38,76.57,600,0
NUVL.US,5,20250829,175500,76.59,76.59,76.59,76.59,102,0
NUVL.US,5,20250829,180000,76.615,76.67,76.52,76.67,1600,0
NUVL.US,5,20250829,180500,76.625,76.63,76.545,76.545,1732,0
NUVL.US,5,20250829,181000,76.62,76.72,76.61,76.7,900,0
NUVL.US,5,20250829,181500,76.73,76.765,76.525,76.525,5625,0
NUVL.US,5,20250829,182000,76.53,76.555,76.53,76.555,300,0
NUVL.US,5,20250829,182500,76.555,76.555,76.515,76.515,1200,0
NUVL.US,5,20250829,183000,76.54,76.54,76.475,76.475,200,0
NUVL.US,5,20250829,183500,76.48,76.53,76.48,76.53,200,0
NUVL.US,5,20250829,184000,76.56,76.56,76.48,76.48,2967,0
NUVL.US,5,20250829,184500,76.56,76.56,76.07,76.24,6815,0
NUVL.US,5,20250829,185000,76.09,76.09,76.075,76.075,200,0
NUVL.US,5,20250829,185500,75.99,76.05,75.97,75.97,500,0
NUVL.US,5,20250829,190000,75.965,75.965,75.785,75.785,400,0
NUVL.US,5,20250829,190500,75.59,75.71,75.59,75.59,400,0
NUVL.US,5,20250829,191000,75.72,75.72,75.72,75.72,100,0
NUVL.US,5,20250829,191500,75.74,75.74,75.59,75.66,600,0
NUVL.US,5,20250829,192000,75.65,75.76,75.65,75.735,900,0
NUVL.US,5,20250829,192500,75.81,75.81,75.74,75.74,200,0
NUVL.US,5,20250829,193000,75.72,75.75,75.63,75.66,4590,0
NUVL.US,5,20250829,193500,75.7,75.73,75.6662,75.69,2000,0
NUVL.US,5,20250829,194500,75.66,75.66,75.59,75.59,900,0
NUVL.US,5,20250829,195000,75.625,75.88,75.625,75.82,2508,0
NUVL.US,5,20250829,195500,75.84,75.87,75.835,75.8475,700,0
NUVL.US,5,20250829,200000,75.88,75.98,75.85,75.97,3305,0
NUVL.US,5,20250829,200500,75.99,75.99,75.99,75.99,100,0
NUVL.US,5,20250829,201000,76.05,76.05,75.985,75.985,300,0
NUVL.US,5,20250829,201500,76.0025,76.05,75.88,76.05,5311,0
NUVL.US,5,20250829,202000,76.03,76.06,75.92,76.06,400,0
NUVL.US,5,20250829,202500,76.06,76.06,76.06,76.06,200,0
NUVL.US,5,20250829,203000,76.07,76.07,76.07,76.07,400,0
NUVL.US,5,20250829,203500,76.1,76.14,76.1,76.13,900,0
NUVL.US,5,20250829,204000,76.075,76.075,75.9,75.9,400,0
NUVL.US,5,20250829,204500,75.9,75.9,75.85,75.85,200,0
NUVL.US,5,20250829,205000,75.72,75.85,75.72,75.8,400,0
NUVL.US,5,20250829,205500,75.85,75.85,75.85,75.85,330,0
NUVL.US,5,20250829,210000,75.85,75.89,75.78,75.88,800,0
NUVL.US,5,20250829,210500,76.038,76.05,75.96,76.05,1000,0
NUVL.US,5,20250829,211000,76.005,76.07,75.93,76.005,3116,0
NUVL.US,5,20250829,211500,76.0725,76.08,76.02,76.08,1400,0
NUVL.US,5,20250829,212000,76.08,76.28,76.06,76.08,3342,0
NUVL.US,5,20250829,212500,76.06,76.12,75.78,75.78,1202,0
NUVL.US,5,20250829,213000,75.9,76.03,75.9,76.015,2540,0
NUVL.US,5,20250829,213500,76.01,76.01,75.77,75.9175,2645,0
NUVL.US,5,20250829,214000,75.97,76,75.93,76,1800,0
NUVL.US,5,20250829,214500,75.95,76.125,75.91,76.07,4400,0
NUVL.US,5,20250829,215000,76.11,76.41,76.11,76.38,56075,0
NUVL.US,5,20250829,215500,76.36,76.68,76.36,76.58,102003,0
NUVL.US,5,20250902,153000,76.42,77.01,76.13,76.96,7397,0
