<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NYXH.US,5,20250829,153000,6.36,6.36,6.36,6.36,1101,0
NYXH.US,5,20250829,153500,6.25,6.25,6.24,6.24,211,0
NYXH.US,5,20250829,154500,6.24,6.2598,6.24,6.2598,1252,0
NYXH.US,5,20250829,155000,6.21,6.21,6.2,6.2,385,0
NYXH.US,5,20250829,160000,6.2,6.2,6.2,6.2,602,0
NYXH.US,5,20250829,162500,6.2,6.2,6.2,6.2,850,0
NYXH.US,5,20250829,163500,6.25,6.25,6.25,6.25,100,0
NYXH.US,5,20250829,164500,6.2272,6.2272,6.18,6.18,725,0
NYXH.US,5,20250829,165500,6.16,6.16,6.16,6.16,1774,0
NYXH.US,5,20250829,170500,6.17,6.17,6.17,6.17,700,0
NYXH.US,5,20250829,174500,6.255,6.255,6.255,6.255,100,0
NYXH.US,5,20250829,193500,6.32,6.32,6.32,6.32,100,0
NYXH.US,5,20250829,202000,6.19,6.19,6.19,6.19,1500,0
NYXH.US,5,20250829,205000,6.205,6.205,6.205,6.205,100,0
NYXH.US,5,20250829,213500,6.265,6.265,6.265,6.265,100,0
NYXH.US,5,20250829,214500,6.2928,6.34,6.28,6.34,825,0
NYXH.US,5,20250829,215000,6.34,6.34,6.33,6.33,200,0
NYXH.US,5,20250829,215500,6.265,6.3,6.24,6.24,633,0
NYXH.US,5,20250902,153000,6,6.05,5.9,5.9,10776,0
NYXH.US,5,20250902,153500,5.91,5.99,5.9,5.99,2027,0
NYXH.US,5,20250902,154000,6,6.01,5.99,6,5717,0
NYXH.US,5,20250902,154500,5.98,6,5.98,6,581,0
NYXH.US,5,20250902,155000,6,6.0599,6,6.0599,600,0
NYXH.US,5,20250902,155500,5.96,5.96,5.96,5.96,300,0
NYXH.US,5,20250902,161000,5.9895,5.9895,5.95,5.95,1877,0
NYXH.US,5,20250902,161500,5.95,5.95,5.95,5.95,500,0
NYXH.US,5,20250902,162500,5.95,5.95,5.95,5.95,100,0
NYXH.US,5,20250902,163000,5.97,5.97,5.97,5.97,250,0
NYXH.US,5,20250902,164500,5.9668,5.9668,5.95,5.95,3528,0
NYXH.US,5,20250902,171000,5.91,5.91,5.91,5.91,200,0
NYXH.US,5,20250902,172000,5.9,5.91,5.9,5.9,19174,0
NYXH.US,5,20250902,173000,5.9,5.95,5.9,5.95,1139,0
NYXH.US,5,20250902,174000,5.945,5.9493,5.945,5.9493,1765,0
NYXH.US,5,20250902,180500,5.9202,5.9202,5.9202,5.9202,5085,0
NYXH.US,5,20250902,183000,5.9338,5.9338,5.9338,5.9338,1000,0
NYXH.US,5,20250902,185000,5.93,5.93,5.93,5.93,294,0
NYXH.US,5,20250902,190000,5.935,5.935,5.935,5.935,160,0
NYXH.US,5,20250902,191000,5.93,5.93,5.93,5.93,400,0
NYXH.US,5,20250902,191500,5.94,5.94,5.94,5.94,100,0
NYXH.US,5,20250902,192500,5.9393,5.9393,5.9393,5.9393,170,0
NYXH.US,5,20250902,194500,5.9324,5.94,5.9324,5.94,500,0
NYXH.US,5,20250902,195000,5.93,5.93,5.91,5.91,900,0
NYXH.US,5,20250902,203000,5.9,5.9,5.88,5.88,11653,0
NYXH.US,5,20250902,204000,5.875,5.875,5.875,5.875,310,0
NYXH.US,5,20250902,205000,5.928,5.93,5.928,5.93,300,0
NYXH.US,5,20250902,211000,5.88,5.91,5.88,5.9,500,0
NYXH.US,5,20250902,214000,5.91,5.96,5.91,5.96,742,0
NYXH.US,5,20250902,214500,5.9564,5.98,5.9564,5.98,720,0
NYXH.US,5,20250902,215000,5.96,5.99,5.93,5.93,4343,0
NYXH.US,5,20250902,215500,5.992,5.992,5.9,5.9,6353,0
NYXH.US,5,20250903,153000,5.84,5.9578,5.84,5.9578,1367,0
NYXH.US,5,20250903,153500,5.86,5.86,5.86,5.86,121,0
NYXH.US,5,20250903,154000,5.905,5.91,5.905,5.91,952,0
NYXH.US,5,20250903,160500,5.9694,5.9694,5.9694,5.9694,1100,0
NYXH.US,5,20250903,163500,5.93,5.93,5.93,5.93,1683,0
NYXH.US,5,20250903,164500,5.9511,5.9511,5.9511,5.9511,4644,0
NYXH.US,5,20250903,165500,5.98,6.03,5.98,6.03,7303,0
NYXH.US,5,20250903,170500,6.13,6.13,6.13,6.13,100,0
NYXH.US,5,20250903,172500,6.0464,6.07,6.0464,6.07,667,0
NYXH.US,5,20250903,175500,6.06,6.06,6.06,6.06,100,0
NYXH.US,5,20250903,180000,6.09,6.09,6.09,6.09,137,0
NYXH.US,5,20250903,182000,6.06,6.06,5.98,6,9870,0
NYXH.US,5,20250903,182500,6.04,6.04,6.04,6.04,100,0
NYXH.US,5,20250903,184500,6.0455,6.0455,6.0455,6.0455,163,0
NYXH.US,5,20250903,190000,6.05,6.053,6.05,6.053,413,0
NYXH.US,5,20250903,192000,5.99,5.99,5.98,5.98,2744,0
NYXH.US,5,20250903,193500,6,6,5.99,5.99,952,0
NYXH.US,5,20250903,194000,6,6,6,6,300,0
NYXH.US,5,20250903,195000,5.97,5.97,5.92,5.92,2597,0
NYXH.US,5,20250903,202500,5.9,5.9,5.9,5.9,100,0
NYXH.US,5,20250903,203500,5.95,5.95,5.95,5.95,100,0
NYXH.US,5,20250903,204000,5.95,5.95,5.95,5.95,175,0
NYXH.US,5,20250903,204500,5.91,5.91,5.91,5.91,100,0
NYXH.US,5,20250903,205000,5.91,5.915,5.9,5.9,1554,0
NYXH.US,5,20250903,205500,5.9,5.9,5.9,5.9,1198,0
NYXH.US,5,20250903,210000,5.9,5.9,5.9,5.9,200,0
NYXH.US,5,20250903,210500,5.885,5.9,5.885,5.9,1486,0
NYXH.US,5,20250903,211000,5.89,5.89,5.89,5.89,100,0
NYXH.US,5,20250903,211500,5.89,5.89,5.89,5.89,200,0
NYXH.US,5,20250903,212500,5.88,5.9,5.88,5.9,2200,0
NYXH.US,5,20250903,214000,5.9,5.9,5.86,5.86,2499,0
NYXH.US,5,20250903,214500,5.845,5.885,5.845,5.85,2613,0
NYXH.US,5,20250903,215500,5.84,5.91,5.81,5.81,3294,0
NYXH.US,5,20250904,153000,6,6,5.94,5.95,3419,0
NYXH.US,5,20250904,153500,5.94,5.94,5.94,5.94,200,0
NYXH.US,5,20250904,154000,5.95,5.95,5.92,5.92,2252,0
NYXH.US,5,20250904,154500,5.9,5.96,5.9,5.95,3326,0
NYXH.US,5,20250904,155000,6,6,6,6,750,0
NYXH.US,5,20250904,163500,5.9,5.9,5.89,5.89,710,0
NYXH.US,5,20250904,164500,5.9,5.9,5.9,5.9,320,0
NYXH.US,5,20250904,165000,5.88,5.88,5.82,5.84,6153,0
NYXH.US,5,20250904,165500,5.81,5.81,5.6,5.67,23417,0
NYXH.US,5,20250904,170000,5.6843,5.6843,5.6843,5.6843,3300,0
NYXH.US,5,20250904,170500,5.77,5.77,5.77,5.77,400,0
NYXH.US,5,20250904,172500,5.8,5.8,5.785,5.785,1169,0
NYXH.US,5,20250904,173000,5.79,5.79,5.79,5.79,930,0
NYXH.US,5,20250904,174500,5.8052,5.8052,5.8052,5.8052,258,0
NYXH.US,5,20250904,180000,5.75,5.75,5.73,5.73,300,0
