<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPEN.US,5,20250829,153000,4.52,4.73,4.47,4.625,19437169,0
OPEN.US,5,20250829,153500,4.6209,4.77,4.6,4.6658,11676582,0
OPEN.US,5,20250829,154000,4.6689,4.72,4.54,4.6358,8700768,0
OPEN.US,5,20250829,154500,4.64,4.81,4.63,4.775,12229047,0
OPEN.US,5,20250829,155000,4.7782,4.89,4.725,4.82,12923638,0
OPEN.US,5,20250829,155500,4.819,4.93,4.77,4.9251,11261379,0
OPEN.US,5,20250829,160000,4.9218,4.93,4.83,4.8669,7750887,0
OPEN.US,5,20250829,160500,4.87,4.87,4.73,4.7412,10525279,0
OPEN.US,5,20250829,161000,4.7499,4.76,4.61,4.625,10932362,0
OPEN.US,5,20250829,161500,4.625,4.67,4.53,4.63,10723385,0
OPEN.US,5,20250829,162000,4.6319,4.68,4.5,4.56,9132315,0
OPEN.US,5,20250829,162500,4.555,4.5899,4.45,4.5297,9157650,0
OPEN.US,5,20250829,163000,4.5299,4.53,4.38,4.435,8746312,0
OPEN.US,5,20250829,163500,4.43,4.44,4.325,4.3758,7513101,0
OPEN.US,5,20250829,164000,4.375,4.4,4.34,4.37,5758669,0
OPEN.US,5,20250829,164500,4.3713,4.45,4.25,4.295,10743550,0
OPEN.US,5,20250829,165000,4.3,4.32,4.26,4.3099,4611096,0
OPEN.US,5,20250829,165500,4.308,4.32,4.21,4.2721,6025297,0
OPEN.US,5,20250829,170000,4.27,4.36,4.26,4.335,5421277,0
OPEN.US,5,20250829,170500,4.3399,4.45,4.33,4.44,6344151,0
OPEN.US,5,20250829,171000,4.4358,4.45,4.38,4.385,3549692,0
OPEN.US,5,20250829,171500,4.3882,4.45,4.3801,4.3972,3253830,0
OPEN.US,5,20250829,172000,4.395,4.43,4.32,4.3288,3181703,0
OPEN.US,5,20250829,172500,4.3299,4.36,4.3,4.3,2868575,0
OPEN.US,5,20250829,173000,4.305,4.33,4.28,4.3001,2383389,0
OPEN.US,5,20250829,173500,4.305,4.35,4.3,4.335,2368034,0
OPEN.US,5,20250829,174000,4.335,4.4,4.32,4.385,2066165,0
OPEN.US,5,20250829,174500,4.385,4.4,4.31,4.32,1941916,0
OPEN.US,5,20250829,175000,4.3265,4.34,4.28,4.31,2091415,0
OPEN.US,5,20250829,175500,4.31,4.32,4.28,4.295,1300803,0
OPEN.US,5,20250829,180000,4.295,4.33,4.28,4.3199,1459366,0
OPEN.US,5,20250829,180500,4.315,4.35,4.3,4.3499,1683545,0
OPEN.US,5,20250829,181000,4.34,4.39,4.33,4.3851,1826247,0
OPEN.US,5,20250829,181500,4.385,4.4,4.31,4.34,2282650,0
OPEN.US,5,20250829,182000,4.3356,4.37,4.33,4.365,1172717,0
OPEN.US,5,20250829,182500,4.37,4.42,4.36,4.3846,3140089,0
OPEN.US,5,20250829,183000,4.385,4.4,4.37,4.378,1355422,0
OPEN.US,5,20250829,183500,4.3799,4.45,4.37,4.44,2444495,0
OPEN.US,5,20250829,184000,4.4454,4.45,4.4,4.43,1674118,0
OPEN.US,5,20250829,184500,4.435,4.44,4.38,4.39,1781590,0
OPEN.US,5,20250829,185000,4.3974,4.42,4.3829,4.4025,833043,0
