<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OSRHW.US,5,20250829,153000,0.0491,0.0491,0.0491,0.0491,101,0
OSRHW.US,5,20250829,154000,0.0488,0.0488,0.045,0.045,5300,0
OSRHW.US,5,20250829,173500,0.0492,0.0492,0.0492,0.0492,2200,0
OSRHW.US,5,20250829,190500,0.0492,0.05,0.0488,0.05,7324,0
OSRHW.US,5,20250829,203000,0.0406,0.0406,0.0406,0.0406,900,0
OSRHW.US,5,20250829,204500,0.0405,0.0405,0.0404,0.0404,4100,0
OSRHW.US,5,20250829,210500,0.0404,0.0404,0.0402,0.0402,11225,0
OSRHW.US,5,20250829,214000,0.0401,0.0401,0.0401,0.0401,500,0
OSRHW.US,5,20250902,153000,0.0499,0.0499,0.0499,0.0499,582,0
OSRHW.US,5,20250902,154500,0.0499,0.0499,0.0499,0.0499,1918,0
OSRHW.US,5,20250902,160500,0.049814,0.049814,0.049814,0.049814,200,0
OSRHW.US,5,20250902,165500,0.0388,0.0388,0.0387,0.0387,600,0
OSRHW.US,5,20250902,182000,0.0387,0.0387,0.0387,0.0387,120,0
OSRHW.US,5,20250902,195000,0.0387,0.0389,0.0387,0.0389,2000,0
OSRHW.US,5,20250902,203500,0.0387,0.0388,0.0386,0.0388,10000,0
OSRHW.US,5,20250903,153000,0.049,0.049,0.049,0.049,700,0
OSRHW.US,5,20250903,161000,0.045,0.045,0.045,0.045,1661,0
OSRHW.US,5,20250903,170000,0.045,0.045,0.0449,0.0449,400,0
OSRHW.US,5,20250903,200000,0.0429,0.043,0.0401,0.0401,496,0
OSRHW.US,5,20250904,171000,0.04,0.04,0.0387,0.0387,5804,0
OSRHW.US,5,20250904,175000,0.0387,0.0387,0.0387,0.0387,100,0
OSRHW.US,5,20250904,184500,0.03875,0.03875,0.03875,0.03875,1284,0
OSRHW.US,5,20250904,193000,0.0387,0.0387,0.0387,0.0387,100,0
OSRHW.US,5,20250905,171000,0.0385,0.0385,0.0385,0.0385,100,0
OSRHW.US,5,20250905,214000,0.0386,0.0386,0.0386,0.0386,100,0
OSRHW.US,5,20250908,171500,0.0386,0.0386,0.0386,0.0386,100,0
OSRHW.US,5,20250909,153000,0.0397,0.0397,0.0397,0.0397,1002,0
OSRHW.US,5,20250909,153500,0.0387,0.0387,0.0385,0.0385,1849,0
OSRHW.US,5,20250909,160500,0.0386,0.0398,0.0385,0.0385,1570,0
OSRHW.US,5,20250909,192000,0.0385,0.0385,0.0385,0.0385,1575,0
OSRHW.US,5,20250909,211500,0.039,0.039,0.0386,0.0386,300,0
OSRHW.US,5,20250910,174500,0.0385,0.038501,0.0385,0.038501,1300,0
OSRHW.US,5,20250911,155000,0.0386,0.0386,0.0386,0.0386,631,0
OSRHW.US,5,20250911,213000,0.0387,0.0389,0.0387,0.038801,2004,0
OSRHW.US,5,20250912,153000,0.0513,0.0513,0.0513,0.0513,10000,0
OSRHW.US,5,20250912,162000,0.0398,0.0398,0.0398,0.0398,155,0
OSRHW.US,5,20250912,172000,0.0386,0.0386,0.0386,0.0386,1000,0
OSRHW.US,5,20250912,174500,0.03899,0.03899,0.03899,0.03899,5113,0
OSRHW.US,5,20250912,190500,0.038699,0.038699,0.038699,0.038699,250,0
OSRHW.US,5,20250912,200500,0.0387,0.0387,0.0387,0.0387,300,0
OSRHW.US,5,20250915,162000,0.0409,0.0409,0.0409,0.0409,400,0
OSRHW.US,5,20250915,174000,0.0385,0.0409,0.0385,0.0409,200,0
OSRHW.US,5,20250915,182500,0.0401,0.0401,0.0401,0.0401,160,0
OSRHW.US,5,20250915,215500,0.0409,0.043,0.0409,0.043,4000,0
OSRHW.US,5,20250916,155000,0.038763,0.038808,0.0387,0.038701,7500,0
OSRHW.US,5,20250916,160000,0.048,0.048,0.048,0.048,300,0
OSRHW.US,5,20250916,163500,0.04499,0.045,0.04499,0.045,500,0
OSRHW.US,5,20250916,164000,0.044999,0.045,0.044999,0.044999,1500,0
OSRHW.US,5,20250916,203000,0.0449,0.0449,0.0449,0.0449,2100,0
OSRHW.US,5,20250917,153000,0.0375,0.0375,0.0375,0.0375,263,0
OSRHW.US,5,20250917,172500,0.038801,0.038801,0.038801,0.038801,1000,0
OSRHW.US,5,20250917,200500,0.0419,0.0419,0.0419,0.0419,100,0
OSRHW.US,5,20250918,155500,0.039401,0.039401,0.039401,0.039401,115,0
OSRHW.US,5,20250918,160000,0.04499,0.04499,0.04499,0.04499,1107,0
OSRHW.US,5,20250918,185000,0.039001,0.039001,0.039001,0.039001,285,0
OSRHW.US,5,20250918,190000,0.038,0.038,0.038,0.038,1000,0
OSRHW.US,5,20250918,195000,0.039,0.04,0.0385,0.0389,11900,0
OSRHW.US,5,20250918,205000,0.04,0.04,0.04,0.04,7600,0
OSRHW.US,5,20250919,163000,0.0401,0.0401,0.0401,0.0401,1247,0
OSRHW.US,5,20250919,183500,0.0385,0.0385,0.0385,0.0385,200,0
OSRHW.US,5,20250919,200500,0.04,0.04,0.0376,0.0376,1100,0
OSRHW.US,5,20250919,203500,0.0376,0.0376,0.0376,0.0376,100,0
OSRHW.US,5,20250922,170000,0.0376,0.0376,0.0376,0.0376,500,0
OSRHW.US,5,20250923,160000,0.0378,0.0378,0.0378,0.0378,100,0
OSRHW.US,5,20250923,182000,0.0376,0.0377,0.0376,0.0377,200,0
OSRHW.US,5,20250923,211000,0.0376,0.0378,0.0376,0.0378,17506,0
OSRHW.US,5,20250923,215500,0.0377,0.0377,0.0377,0.0377,100,0
OSRHW.US,5,20250924,153000,0.045,0.045,0.04499,0.04499,2066,0
OSRHW.US,5,20250924,171000,0.045,0.045,0.045,0.045,100,0
OSRHW.US,5,20250924,195000,0.041,0.041,0.041,0.041,100,0
OSRHW.US,5,20250925,182000,0.041,0.041,0.041,0.041,100,0
OSRHW.US,5,20250925,190500,0.038101,0.038101,0.038101,0.038101,500,0
OSRHW.US,5,20250925,200000,0.0376,0.038,0.0376,0.0378,5000,0
OSRHW.US,5,20250925,202000,0.041,0.041,0.041,0.041,100,0
OSRHW.US,5,20250926,161500,0.0409,0.0409,0.0409,0.0409,100,0
OSRHW.US,5,20250926,170500,0.0395,0.0395,0.0395,0.0395,1000,0
OSRHW.US,5,20250926,171000,0.0409,0.0409,0.0398,0.0398,200,0
OSRHW.US,5,20250926,183000,0.0408,0.0408,0.0408,0.0408,195,0
OSRHW.US,5,20250926,183500,0.0377,0.0377,0.0377,0.0377,272,0
OSRHW.US,5,20250926,215500,0.0409,0.0409,0.0409,0.0409,2000,0
OSRHW.US,5,20250929,154500,0.0405,0.0405,0.0405,0.0405,200,0
OSRHW.US,5,20250929,161500,0.04115,0.04115,0.0376,0.040192,9598,0
