<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXLCP.US,5,20250829,160000,24.5093,24.5093,24.5093,24.5093,184,0
OXLCP.US,5,20250902,153500,24.36,24.36,24.36,24.36,125,0
OXLCP.US,5,20250902,155500,24.3,24.3,24.3,24.3,190,0
OXLCP.US,5,20250902,162500,24.4199,24.4199,24.4199,24.4199,500,0
OXLCP.US,5,20250902,180500,24.375,24.375,24.375,24.375,300,0
OXLCP.US,5,20250902,182500,24.38,24.38,24.38,24.38,179,0
OXLCP.US,5,20250902,184500,24.42,24.42,24.4199,24.4199,1726,0
OXLCP.US,5,20250902,195000,24.4022,24.4022,24.4022,24.4022,270,0
OXLCP.US,5,20250902,215000,24.4188,24.42,24.4153,24.4153,510,0
OXLCP.US,5,20250903,160500,24.42,24.43,24.42,24.43,356,0
OXLCP.US,5,20250903,185000,24.472,24.472,24.472,24.472,300,0
OXLCP.US,5,20250903,215500,24.45,24.45,24.45,24.45,100,0
OXLCP.US,5,20250904,153000,24.5,24.5,24.5,24.5,1000,0
OXLCP.US,5,20250904,172000,24.43,24.43,24.43,24.43,1500,0
OXLCP.US,5,20250905,164000,24.43,24.43,24.43,24.43,100,0
OXLCP.US,5,20250905,212000,24.4015,24.4015,24.4015,24.4015,200,0
OXLCP.US,5,20250905,215500,24.4016,24.4016,24.4016,24.4016,200,0
OXLCP.US,5,20250908,153000,24.5,24.5,24.5,24.5,1000,0
OXLCP.US,5,20250908,170000,24.5,24.5,24.4901,24.4901,400,0
OXLCP.US,5,20250908,180000,24.47,24.47,24.47,24.47,101,0
OXLCP.US,5,20250908,200000,24.47,24.47,24.47,24.47,3328,0
OXLCP.US,5,20250908,201000,24.46,24.4601,24.3557,24.3557,1587,0
OXLCP.US,5,20250908,204000,24.42,24.42,24.42,24.42,200,0
OXLCP.US,5,20250908,213500,24.41,24.41,24.41,24.41,400,0
OXLCP.US,5,20250909,153000,24.41,24.41,24.41,24.41,502,0
OXLCP.US,5,20250909,165500,24.48,24.48,24.48,24.48,100,0
OXLCP.US,5,20250909,173000,24.4289,24.4289,24.4289,24.4289,2000,0
OXLCP.US,5,20250909,202500,24.4579,24.4579,24.4579,24.4579,500,0
OXLCP.US,5,20250910,204000,24.44,24.46,24.44,24.4454,2728,0
OXLCP.US,5,20250910,205000,24.44,24.46,24.44,24.46,9486,0
OXLCP.US,5,20250911,153500,24.45,24.45,24.45,24.45,959,0
OXLCP.US,5,20250911,162000,24.45,24.45,24.45,24.45,100,0
OXLCP.US,5,20250911,185500,24.4592,24.4592,24.4592,24.4592,100,0
OXLCP.US,5,20250911,194500,24.47,24.47,24.47,24.47,305,0
OXLCP.US,5,20250911,195000,24.4528,24.4528,24.4528,24.4528,205,0
