<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OYSEU.US,5,20250902,155500,10.13,10.13,10.12,10.12,400,0
OYSEU.US,5,20250905,173000,10.17,10.17,10.17,10.17,666,0
OYSEU.US,5,20250909,153000,10.17,10.17,10.17,10.17,1508,0
OYSEU.US,5,20250909,180000,10.17,10.17,10.17,10.17,100,0
OYSEU.US,5,20250909,180500,10.17,10.17,10.17,10.17,600,0
OYSEU.US,5,20250909,181000,10.17,10.17,10.17,10.17,500,0
OYSEU.US,5,20250909,181500,10.17,10.17,10.17,10.17,600,0
OYSEU.US,5,20250909,182000,10.17,10.17,10.17,10.17,600,0
OYSEU.US,5,20250909,182500,10.17,10.17,10.17,10.17,700,0
OYSEU.US,5,20250909,183000,10.17,10.17,10.17,10.17,600,0
OYSEU.US,5,20250909,183500,10.17,10.17,10.17,10.17,700,0
OYSEU.US,5,20250909,184000,10.17,10.17,10.17,10.17,600,0
OYSEU.US,5,20250909,184500,10.17,10.17,10.17,10.17,700,0
OYSEU.US,5,20250909,185000,10.17,10.17,10.17,10.17,700,0
OYSEU.US,5,20250909,185500,10.17,10.17,10.17,10.17,600,0
OYSEU.US,5,20250909,190000,10.17,10.17,10.17,10.17,700,0
OYSEU.US,5,20250909,190500,10.17,10.17,10.17,10.17,700,0
OYSEU.US,5,20250909,191000,10.17,10.17,10.17,10.17,948,0
OYSEU.US,5,20250909,191500,10.17,10.17,10.17,10.17,600,0
OYSEU.US,5,20250909,192000,10.17,10.17,10.17,10.17,700,0
OYSEU.US,5,20250909,192500,10.17,10.17,10.17,10.17,700,0
OYSEU.US,5,20250909,193000,10.17,10.17,10.17,10.17,600,0
OYSEU.US,5,20250909,193500,10.17,10.17,10.17,10.17,400,0
OYSEU.US,5,20250909,194000,10.17,10.17,10.17,10.17,36664,0
OYSEU.US,5,20250912,194000,10.17,10.17,10.17,10.17,125,0
OYSEU.US,5,20250912,211500,10.17,10.17,10.17,10.17,165,0
OYSEU.US,5,20250915,153000,10.2,10.2,10.2,10.2,1000,0
OYSEU.US,5,20250915,183000,10.18,10.18,10.18,10.18,1000,0
OYSEU.US,5,20250915,210500,10.18,10.18,10.18,10.18,1000,0
OYSEU.US,5,20250916,215500,10.24,10.25,10.24,10.24,600,0
OYSEU.US,5,20250917,204000,10.18,10.18,10.18,10.18,275,0
OYSEU.US,5,20250919,194000,10.18,10.18,10.18,10.18,100,0
OYSEU.US,5,20250923,170000,10.2,10.2,10.19,10.19,1100,0
OYSEU.US,5,20250924,153500,10.16,10.16,10.16,10.16,100,0
OYSEU.US,5,20250924,202000,10.2,10.2,10.2,10.2,500,0
OYSEU.US,5,20250924,205000,10.19,10.19,10.19,10.19,100,0
OYSEU.US,5,20250926,172500,10.19,10.19,10.19,10.19,3175,0
OYSEU.US,5,20250929,154000,10.2,10.2,10.2,10.2,5000,0
OYSEU.US,5,20251009,190000,10.16,10.16,10.16,10.16,500,0
OYSEU.US,5,20251009,213000,10.6304,10.6304,10.6304,10.6304,500,0
OYSEU.US,5,20251014,192000,10.19,10.19,10.19,10.19,100,0
OYSEU.US,5,20251023,155000,10.22,10.22,10.22,10.22,200,0
OYSEU.US,5,20251023,163000,10.24,10.24,10.23,10.24,824,0
OYSEU.US,5,20251209,163000,10.3798,10.3798,10.3798,10.3798,990,0
OYSEU.US,5,20251216,185000,10.28,10.28,10.28,10.28,10000,0
OYSEU.US,5,20251223,191000,10.45,10.45,10.45,10.45,100,0
OYSEU.US,5,20260123,173500,10.38,10.38,10.38,10.38,100,0
