<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDYN.US,5,20250829,153000,7.6,7.65,7.56,7.56,51026,0
PDYN.US,5,20250829,153500,7.55,7.5899,7.44,7.4501,52242,0
PDYN.US,5,20250829,154000,7.44,7.5361,7.43,7.5,17633,0
PDYN.US,5,20250829,154500,7.5015,7.5015,7.43,7.47,23846,0
PDYN.US,5,20250829,155000,7.47,7.51,7.441,7.441,15671,0
PDYN.US,5,20250829,155500,7.4427,7.46,7.4,7.42,25230,0
PDYN.US,5,20250829,160000,7.44,7.4489,7.4,7.405,13621,0
PDYN.US,5,20250829,160500,7.4,7.4,7.35,7.3501,15734,0
PDYN.US,5,20250829,161000,7.36,7.36,7.29,7.3077,28976,0
PDYN.US,5,20250829,161500,7.3092,7.33,7.28,7.3026,17472,0
PDYN.US,5,20250829,162000,7.315,7.3697,7.315,7.3346,9740,0
PDYN.US,5,20250829,162500,7.3314,7.35,7.29,7.35,24993,0
PDYN.US,5,20250829,163000,7.35,7.36,7.326,7.3411,5059,0
PDYN.US,5,20250829,163500,7.34,7.37,7.3246,7.36,5555,0
PDYN.US,5,20250829,164000,7.345,7.36,7.33,7.335,5104,0
PDYN.US,5,20250829,164500,7.335,7.345,7.31,7.315,4228,0
PDYN.US,5,20250829,165000,7.3,7.315,7.29,7.3,5383,0
PDYN.US,5,20250829,165500,7.3,7.305,7.281,7.3,3804,0
PDYN.US,5,20250829,170000,7.3,7.33,7.3,7.33,3954,0
PDYN.US,5,20250829,170500,7.3201,7.35,7.31,7.35,4247,0
PDYN.US,5,20250829,171000,7.38,7.3972,7.367,7.38,10331,0
PDYN.US,5,20250829,171500,7.38,7.3998,7.3727,7.385,10327,0
PDYN.US,5,20250829,172000,7.39,7.41,7.3724,7.41,2316,0
PDYN.US,5,20250829,172500,7.4,7.4176,7.385,7.3974,7442,0
PDYN.US,5,20250829,173000,7.4,7.4098,7.37,7.37,5409,0
PDYN.US,5,20250829,173500,7.37,7.425,7.37,7.425,7800,0
PDYN.US,5,20250829,174000,7.4207,7.4207,7.41,7.41,4055,0
PDYN.US,5,20250829,174500,7.415,7.435,7.415,7.435,1981,0
PDYN.US,5,20250829,175000,7.44,7.44,7.42,7.42,12158,0
PDYN.US,5,20250829,175500,7.44,7.44,7.4,7.4116,6098,0
PDYN.US,5,20250829,180000,7.4,7.43,7.4,7.41,2767,0
PDYN.US,5,20250829,180500,7.42,7.42,7.4,7.42,2745,0
PDYN.US,5,20250829,181000,7.42,7.45,7.42,7.45,2843,0
PDYN.US,5,20250829,181500,7.45,7.48,7.45,7.48,1881,0
PDYN.US,5,20250829,182000,7.462,7.47,7.4602,7.47,4596,0
PDYN.US,5,20250829,182500,7.47,7.5,7.47,7.49,6740,0
PDYN.US,5,20250829,183000,7.49,7.515,7.4852,7.5,3900,0
PDYN.US,5,20250829,183500,7.4979,7.51,7.4979,7.51,1459,0
PDYN.US,5,20250829,184000,7.51,7.52,7.505,7.52,3122,0
PDYN.US,5,20250829,184500,7.52,7.53,7.4927,7.51,2231,0
PDYN.US,5,20250829,185000,7.5,7.52,7.5,7.52,3810,0
PDYN.US,5,20250829,185500,7.52,7.52,7.505,7.51,2003,0
PDYN.US,5,20250829,190000,7.5,7.5,7.45,7.459,2726,0
PDYN.US,5,20250829,190500,7.45,7.475,7.45,7.475,860,0
PDYN.US,5,20250829,191000,7.46,7.46,7.4395,7.455,20895,0
PDYN.US,5,20250829,191500,7.455,7.455,7.425,7.45,2642,0
PDYN.US,5,20250829,192000,7.47,7.47,7.435,7.435,3922,0
PDYN.US,5,20250829,192500,7.4357,7.46,7.4357,7.45,6004,0
PDYN.US,5,20250829,193000,7.44,7.455,7.44,7.445,1217,0
PDYN.US,5,20250829,193500,7.46,7.51,7.45,7.49,2470,0
PDYN.US,5,20250829,194000,7.48,7.485,7.47,7.48,5650,0
PDYN.US,5,20250829,194500,7.48,7.5,7.48,7.49,1400,0
PDYN.US,5,20250829,195000,7.51,7.52,7.51,7.52,1700,0
PDYN.US,5,20250829,195500,7.53,7.535,7.53,7.535,2073,0
PDYN.US,5,20250829,200000,7.53,7.53,7.5,7.52,3113,0
PDYN.US,5,20250829,200500,7.52,7.53,7.52,7.53,1021,0
PDYN.US,5,20250829,201000,7.53,7.53,7.52,7.52,2378,0
PDYN.US,5,20250829,201500,7.51,7.515,7.5,7.515,700,0
PDYN.US,5,20250829,202000,7.5111,7.5111,7.485,7.49,2769,0
PDYN.US,5,20250829,202500,7.5,7.5,7.48,7.48,2506,0
PDYN.US,5,20250829,203000,7.48,7.5099,7.48,7.505,2752,0
PDYN.US,5,20250829,203500,7.505,7.505,7.485,7.485,1930,0
PDYN.US,5,20250829,204000,7.48,7.4872,7.475,7.48,2916,0
PDYN.US,5,20250829,204500,7.47,7.48,7.47,7.47,2000,0
PDYN.US,5,20250829,205000,7.475,7.495,7.475,7.495,1336,0
PDYN.US,5,20250829,205500,7.495,7.51,7.49,7.4988,9225,0
PDYN.US,5,20250829,210000,7.49,7.49,7.485,7.485,1100,0
PDYN.US,5,20250829,210500,7.49,7.5,7.49,7.495,2676,0
PDYN.US,5,20250829,211000,7.495,7.495,7.48,7.48,3033,0
PDYN.US,5,20250829,211500,7.485,7.49,7.4708,7.48,6313,0
PDYN.US,5,20250829,212000,7.48,7.56,7.48,7.555,21477,0
PDYN.US,5,20250829,212500,7.555,7.5554,7.53,7.53,5465,0
PDYN.US,5,20250829,213000,7.54,7.56,7.54,7.55,13213,0
