<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEBK.US,5,20250829,160000,31.4555,31.4555,31.4555,31.4555,602,0
PEBK.US,5,20250829,193500,31.69,31.69,31.69,31.69,100,0
PEBK.US,5,20250829,215500,31.68,31.68,31.68,31.68,1075,0
PEBK.US,5,20250902,180500,31.02,31.02,31.02,31.02,100,0
PEBK.US,5,20250902,184000,31.81,31.81,31.81,31.81,100,0
PEBK.US,5,20250902,190000,31.26,31.26,31.26,31.26,100,0
PEBK.US,5,20250902,194500,31.77,31.77,31.77,31.77,100,0
PEBK.US,5,20250902,215500,31.47,31.47,31.41,31.41,1789,0
PEBK.US,5,20250903,162500,31.014,31.014,31.014,31.014,599,0
PEBK.US,5,20250903,172500,31.41,31.41,31.41,31.41,100,0
PEBK.US,5,20250903,173000,31.41,31.41,31.41,31.41,200,0
PEBK.US,5,20250903,180500,31.41,31.41,31.41,31.41,400,0
PEBK.US,5,20250903,181500,31.38,31.38,31.38,31.38,360,0
PEBK.US,5,20250903,194500,31.51,31.51,31.51,31.51,100,0
PEBK.US,5,20250903,200000,31.72,31.72,31.72,31.72,100,0
PEBK.US,5,20250903,202500,31.45,31.45,31.45,31.45,100,0
PEBK.US,5,20250903,205500,31.45,31.45,31.45,31.45,100,0
PEBK.US,5,20250903,210500,31.44,31.44,31.44,31.44,100,0
PEBK.US,5,20250903,211000,31.335,31.335,31.335,31.335,100,0
PEBK.US,5,20250903,213000,31.52,31.52,31.52,31.52,100,0
PEBK.US,5,20250903,214000,31.58,31.58,31.58,31.58,100,0
PEBK.US,5,20250903,215500,31.81,31.81,31.55,31.8,600,0
PEBK.US,5,20250904,192500,31.5743,31.5743,31.5743,31.5743,300,0
PEBK.US,5,20250904,201500,31.7577,31.7577,31.7577,31.7577,304,0
PEBK.US,5,20250904,211000,32,32,32,32,200,0
PEBK.US,5,20250904,215500,31.9,31.9,31.9,31.9,1380,0
PEBK.US,5,20250905,153000,31.98,31.98,31.98,31.98,200,0
PEBK.US,5,20250905,153500,32,32,32,32,200,0
PEBK.US,5,20250905,154000,32,32,32,32,400,0
PEBK.US,5,20250905,171000,31.9631,31.9631,31.9631,31.9631,324,0
PEBK.US,5,20250905,215500,31.71,31.71,31.71,31.71,988,0
PEBK.US,5,20250908,160000,31.58,31.58,31.55,31.55,200,0
PEBK.US,5,20250908,171000,31.55,31.97,31.55,31.97,393,0
PEBK.US,5,20250908,172500,31.75,31.75,31.75,31.75,154,0
PEBK.US,5,20250908,182000,31.65,31.65,31.65,31.65,100,0
PEBK.US,5,20250909,153000,31.85,31.85,31.51,31.51,237,0
PEBK.US,5,20250909,163000,31.53,31.53,31.53,31.53,100,0
PEBK.US,5,20250909,171000,31.5,31.5,31.5,31.5,100,0
PEBK.US,5,20250909,213000,31.86,31.86,31.86,31.86,119,0
PEBK.US,5,20250909,215500,31.5,31.5,31.5,31.5,588,0
PEBK.US,5,20250910,170500,31.51,31.51,31.5,31.5,1921,0
PEBK.US,5,20250910,182000,31.4,31.4,31.4,31.4,100,0
PEBK.US,5,20250910,192000,31.5,31.5,31.5,31.5,877,0
PEBK.US,5,20250910,194500,31.5,31.5,31.5,31.5,1300,0
PEBK.US,5,20250910,215500,31.58,31.58,31.58,31.58,1660,0
PEBK.US,5,20250911,154500,32,32,32,32,100,0
PEBK.US,5,20250911,205500,31.85,31.85,31.85,31.85,100,0
PEBK.US,5,20250911,215500,31.81,31.81,31.81,31.81,1284,0
PEBK.US,5,20250912,183000,31.42,31.42,31.42,31.42,100,0
PEBK.US,5,20250912,200000,31.615,31.615,31.615,31.615,100,0
PEBK.US,5,20250912,203000,31.3495,31.3495,31.3495,31.3495,307,0
PEBK.US,5,20250912,203500,31.85,31.85,31.85,31.85,100,0
PEBK.US,5,20250912,210500,32,32,32,32,148,0
PEBK.US,5,20250912,215500,31.55,31.55,31.55,31.55,682,0
PEBK.US,5,20250915,153000,31.87,31.87,31.87,31.87,152,0
PEBK.US,5,20250915,200500,31.815,31.815,31.81,31.81,400,0
PEBK.US,5,20250915,201000,32,32,31.94,32,1082,0
PEBK.US,5,20250915,210500,31.98,31.98,31.89,31.89,200,0
PEBK.US,5,20250915,212000,31.75,31.75,31.75,31.75,207,0
PEBK.US,5,20250915,212500,31.75,31.75,31.75,31.75,125,0
PEBK.US,5,20250915,214000,31.75,31.75,31.75,31.75,100,0
PEBK.US,5,20250915,215500,31.6,31.6,31.6,31.6,1054,0
PEBK.US,5,20250916,174000,31.95,32,31.95,32,200,0
PEBK.US,5,20250916,215500,31.54,31.54,31.44,31.44,1356,0
PEBK.US,5,20250917,164000,31.61,31.61,31.61,31.61,100,0
PEBK.US,5,20250917,170500,31.98,31.98,31.98,31.98,200,0
PEBK.US,5,20250917,200000,32,32,31.95,31.95,877,0
PEBK.US,5,20250917,200500,31.905,31.9741,31.905,31.9741,200,0
PEBK.US,5,20250917,204500,31.89,31.89,31.88,31.89,386,0
PEBK.US,5,20250917,213500,31.74,31.74,31.74,31.74,100,0
PEBK.US,5,20250917,215500,31.65,31.65,31.65,31.65,100,0
PEBK.US,5,20250918,161500,31.95,31.95,31.95,31.95,137,0
PEBK.US,5,20250918,163000,32,32,32,32,1309,0
PEBK.US,5,20250918,164000,32,32.25,32,32.25,366,0
PEBK.US,5,20250918,191500,32.345,32.345,32.345,32.345,200,0
PEBK.US,5,20250918,202500,32.285,32.285,32.285,32.285,100,0
PEBK.US,5,20250918,210500,32.39,32.39,32.39,32.39,200,0
PEBK.US,5,20250918,211500,32.5,32.5,32.5,32.5,600,0
PEBK.US,5,20250918,212000,32.4,32.4,32.265,32.265,300,0
PEBK.US,5,20250918,214000,32.15,32.15,32.15,32.15,200,0
PEBK.US,5,20250918,215500,32.39,32.46,32.14,32.46,410,0
PEBK.US,5,20250919,153000,32.23,32.23,32.23,32.23,5254,0
PEBK.US,5,20250919,153500,29.34,29.34,29.34,29.34,125,0
PEBK.US,5,20250919,155500,32.25,32.25,32.25,32.25,140,0
PEBK.US,5,20250919,172500,32.99,32.99,32.99,32.99,100,0
PEBK.US,5,20250919,185500,33.6,33.6,33.6,33.6,100,0
PEBK.US,5,20250919,190000,33.9,33.9,33.9,33.9,100,0
PEBK.US,5,20250919,194000,33.37,33.37,33.17,33.17,200,0
PEBK.US,5,20250919,204000,32.85,33.09,32.85,33.09,200,0
PEBK.US,5,20250919,214500,32.35,32.35,32.3,32.3001,400,0
PEBK.US,5,20250919,215000,32.25,32.25,32,32,274,0
PEBK.US,5,20250919,215500,31.83,31.83,31.2,31.5,802,0
PEBK.US,5,20250922,155000,31.92,31.92,31.92,31.92,100,0
PEBK.US,5,20250922,210000,31.87,31.87,31.87,31.87,100,0
PEBK.US,5,20250922,215500,31.66,31.66,31.66,31.66,2450,0
PEBK.US,5,20250923,160500,32,32,32,32,100,0
