<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHOE.US,5,20250829,153000,7.74,7.74,7.74,7.74,777,0
PHOE.US,5,20250829,170000,8.15,8.15,7.8,7.8,1999,0
PHOE.US,5,20250829,181000,7.8,7.8,7.8,7.8,200,0
PHOE.US,5,20250829,194500,7.82,7.82,7.82,7.82,1000,0
PHOE.US,5,20250829,201000,7.65,7.65,7.65,7.65,197,0
PHOE.US,5,20250829,202000,7.82,8,7.82,7.88,3356,0
PHOE.US,5,20250829,204500,7.845,7.845,7.845,7.845,200,0
PHOE.US,5,20250829,212500,7.79,7.79,7.79,7.79,100,0
PHOE.US,5,20250829,213000,8,8,7.96,7.96,1100,0
PHOE.US,5,20250829,214000,7.92,7.92,7.815,7.815,300,0
PHOE.US,5,20250902,153000,7.8,7.8,7.8,7.8,171,0
PHOE.US,5,20250902,160500,8.18,8.2,7.99,8.2,6745,0
PHOE.US,5,20250902,161500,8.2,8.2,8.19,8.19,719,0
PHOE.US,5,20250902,162000,8.18,8.18,8.18,8.18,316,0
PHOE.US,5,20250902,175000,8.12,8.12,8.12,8.12,244,0
PHOE.US,5,20250902,182000,7.9568,7.9568,7.9568,7.9568,200,0
PHOE.US,5,20250902,204000,7.9,7.915,7.9,7.915,243,0
PHOE.US,5,20250903,160000,8.01,8.01,8.01,8.01,100,0
PHOE.US,5,20250903,163500,7.76,7.76,7.76,7.76,745,0
PHOE.US,5,20250903,164000,7.95,7.95,7.805,7.805,845,0
PHOE.US,5,20250903,190000,7.603,7.603,7.603,7.603,266,0
PHOE.US,5,20250903,195500,7.63,7.95,7.63,7.95,2326,0
PHOE.US,5,20250903,201000,7.7,7.94,7.7,7.94,200,0
PHOE.US,5,20250903,213500,7.96,7.96,7.96,7.96,300,0
PHOE.US,5,20250904,153000,7.7,7.7,7.7,7.7,100,0
PHOE.US,5,20250904,155000,7.66,8.2,7.66,8.2,200,0
PHOE.US,5,20250904,161500,7.63,7.63,7.63,7.63,211,0
PHOE.US,5,20250904,163000,7.63,7.63,7.5,7.5,300,0
PHOE.US,5,20250904,184000,7.65,7.65,7.63,7.63,222,0
PHOE.US,5,20250904,184500,7.63,7.63,7.63,7.63,148,0
PHOE.US,5,20250904,190500,7.375,7.375,7.375,7.375,100,0
PHOE.US,5,20250904,204000,7.5537,7.5537,7.5537,7.5537,100,0
PHOE.US,5,20250904,215000,7.4,7.63,7.4,7.63,349,0
PHOE.US,5,20250905,153000,7.4,7.88,7.4,7.88,500,0
PHOE.US,5,20250905,154000,7.4902,7.4902,7.4902,7.4902,100,0
PHOE.US,5,20250905,160000,7.28,7.28,7.28,7.28,100,0
PHOE.US,5,20250905,160500,7.5,7.5,7.5,7.5,100,0
PHOE.US,5,20250905,164000,7.5,7.5,7.5,7.5,300,0
PHOE.US,5,20250905,171000,7.5,7.5,7.5,7.5,890,0
PHOE.US,5,20250905,172500,7.48,7.49,7.48,7.49,1000,0
PHOE.US,5,20250905,210500,7.48,7.5,7.43,7.5,883,0
PHOE.US,5,20250905,212000,7.49,7.5,7.49,7.5,1011,0
PHOE.US,5,20250905,214000,7.5599,7.5599,7.5599,7.5599,300,0
PHOE.US,5,20250905,214500,7.534,7.56,7.534,7.56,502,0
PHOE.US,5,20250908,154000,7.17,7.17,7.17,7.17,100,0
PHOE.US,5,20250908,160000,7.24,7.24,7.24,7.24,440,0
PHOE.US,5,20250908,160500,7.45,7.45,7.45,7.45,440,0
PHOE.US,5,20250908,162000,7.29,7.29,7.11,7.11,300,0
PHOE.US,5,20250908,164000,7.48,7.5,7.48,7.49,1151,0
PHOE.US,5,20250908,165000,7.9035,7.9035,7.9035,7.9035,400,0
PHOE.US,5,20250908,181500,7.405,7.405,7.23,7.405,600,0
PHOE.US,5,20250908,184500,7.605,7.605,7.605,7.605,100,0
PHOE.US,5,20250908,192500,7.5,7.5,7.5,7.5,996,0
PHOE.US,5,20250908,203500,7.5,7.5,7.5,7.5,345,0
PHOE.US,5,20250908,210500,7.6299,7.635,7.6299,7.635,6240,0
PHOE.US,5,20250909,172000,7.375,7.5,7.2581,7.47,1764,0
PHOE.US,5,20250909,172500,7.45,7.45,7.45,7.45,100,0
PHOE.US,5,20250909,174500,7.6,7.6,7.6,7.6,282,0
PHOE.US,5,20250909,181500,7.6,7.6,7.6,7.6,858,0
PHOE.US,5,20250909,183500,7.75,7.75,7.75,7.75,100,0
PHOE.US,5,20250909,190000,7.72,7.72,7.72,7.72,200,0
PHOE.US,5,20250909,191000,7.75,7.75,7.75,7.75,100,0
PHOE.US,5,20250909,193000,7.75,7.75,7.75,7.75,133,0
PHOE.US,5,20250909,212000,7.825,7.825,7.67,7.67,1600,0
PHOE.US,5,20250909,212500,7.85,7.85,7.85,7.85,1453,0
PHOE.US,5,20250909,213000,7.85,8,7.82,8,1314,0
PHOE.US,5,20250910,153500,8.3,8.3,8.175,8.3,708,0
PHOE.US,5,20250910,154000,8.05,8.05,8.05,8.05,205,0
PHOE.US,5,20250910,154500,8.17,8.17,8.05,8.05,962,0
PHOE.US,5,20250910,155500,8.3,8.3,8.24,8.3,3159,0
PHOE.US,5,20250910,160500,8.3,8.47,8.3,8.47,200,0
PHOE.US,5,20250910,161000,8.4,8.49,8.4,8.49,367,0
PHOE.US,5,20250910,162500,8.29,8.29,8.29,8.29,100,0
PHOE.US,5,20250910,163000,8.34,8.37,8.33,8.33,400,0
PHOE.US,5,20250910,163500,8.33,8.33,8.32,8.32,300,0
PHOE.US,5,20250910,164500,8.37,8.37,8.37,8.37,200,0
PHOE.US,5,20250910,165500,8.52,8.52,8.52,8.52,262,0
PHOE.US,5,20250910,175000,8.37,8.37,8.37,8.37,247,0
PHOE.US,5,20250910,181000,8.371,8.371,8.371,8.371,113,0
PHOE.US,5,20250910,182000,8.47,8.57,8.47,8.57,497,0
PHOE.US,5,20250910,194000,8.6,8.7,8.6,8.7,3013,0
PHOE.US,5,20250910,201500,8.75,8.75,8.75,8.75,100,0
PHOE.US,5,20250910,204000,8.98,9.0711,8.98,9,2192,0
PHOE.US,5,20250910,204500,9.02,9.59,9.02,9.57,1300,0
PHOE.US,5,20250910,212000,9.235,9.235,9.235,9.235,100,0
PHOE.US,5,20250910,212500,9,9.2,9,9.19,400,0
PHOE.US,5,20250910,213500,9.18,9.18,9.18,9.18,940,0
PHOE.US,5,20250911,160500,8.31,8.72,8.31,8.72,400,0
PHOE.US,5,20250911,192500,8.5,8.59,8.5,8.59,300,0
PHOE.US,5,20250911,200000,8.64,8.64,8.64,8.64,100,0
PHOE.US,5,20250911,201500,8.8,9.01,8.72,9.01,1135,0
PHOE.US,5,20250911,205500,8.85,8.85,8.85,8.85,285,0
PHOE.US,5,20250911,213500,8.99,8.99,8.99,8.99,400,0
PHOE.US,5,20250912,174000,8.26,8.26,8.26,8.26,264,0
PHOE.US,5,20250912,180500,8.2956,8.2956,8.2956,8.2956,265,0
PHOE.US,5,20250912,214000,8.1,8.1,8.1,8.1,120,0
PHOE.US,5,20250915,164000,8.39,8.39,8.39,8.39,150,0
PHOE.US,5,20250915,165000,8.55,8.55,8.55,8.55,100,0
PHOE.US,5,20250915,172500,8.6,8.6,8.6,8.6,100,0
PHOE.US,5,20250915,180000,8.4,8.4,8.4,8.4,400,0
PHOE.US,5,20250915,180500,8.5,8.5,8.47,8.47,676,0
PHOE.US,5,20250915,181000,8.5,8.5,8.47,8.47,200,0
PHOE.US,5,20250915,181500,7.7001,7.7001,7.7001,7.7001,100,0
PHOE.US,5,20250915,195500,8.26,8.425,8.26,8.425,335,0
PHOE.US,5,20250915,204000,8.41,8.41,8.41,8.41,123,0
PHOE.US,5,20250916,153000,8.27,8.27,8.27,8.27,125,0
PHOE.US,5,20250916,154500,8.43,8.43,8.43,8.43,400,0
PHOE.US,5,20250916,155000,8.28,8.28,8.0063,8.21,792,0
PHOE.US,5,20250916,155500,8.3838,8.3838,8.35,8.35,1100,0
PHOE.US,5,20250916,163500,8.24,8.24,8.09,8.09,1370,0
PHOE.US,5,20250916,173500,8.14,8.25,8.06,8.06,999,0
PHOE.US,5,20250916,174000,8.05,8.25,8.05,8.25,800,0
PHOE.US,5,20250916,174500,8.25,8.25,8.175,8.175,600,0
