<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLSM.US,5,20260121,160500,9.45,9.84,9,9,400,0
PLSM.US,5,20260121,161000,8.85,10.28,8.85,10,1800,0
PLSM.US,5,20260121,162500,8.87,8.87,8.87,8.87,100,0
PLSM.US,5,20260121,163000,8.5,8.5,8.45,8.49,5967,0
PLSM.US,5,20260121,164000,8.3,8.3,8.3,8.3,500,0
PLSM.US,5,20260121,165500,8.1,8.1,8.1,8.1,100,0
PLSM.US,5,20260121,172000,8.06,8.1,7.58,7.58,600,0
PLSM.US,5,20260121,172500,7.06,7.06,6.35,6.35,1004,0
PLSM.US,5,20260121,174000,7.55,7.55,7.55,7.55,110,0
PLSM.US,5,20260121,185000,7.45,7.58,7.45,7.58,831,0
PLSM.US,5,20260121,191000,7.58,7.58,7.58,7.58,664,0
PLSM.US,5,20260121,200500,7.35,7.38,7.35,7.38,1226,0
PLSM.US,5,20260121,214000,7,7,7,7,400,0
PLSM.US,5,20260121,215000,7.3,7.36,7.3,7.36,600,0
PLSM.US,5,20260121,215500,7.05,7.05,7.02,7.02,200,0
PLSM.US,5,20260122,153000,6.15,6.15,6.15,6.15,868,0
PLSM.US,5,20260122,153500,6.2158,6.2158,6.2158,6.2158,110,0
PLSM.US,5,20260122,154000,6.21,6.21,6.21,6.21,200,0
PLSM.US,5,20260122,154500,6.16,6.172,6.15,6.15,1393,0
PLSM.US,5,20260122,155000,6.14,6.14,6.14,6.14,100,0
PLSM.US,5,20260122,160500,6.1,6.1,6.1,6.1,150,0
PLSM.US,5,20260122,161000,6.16,6.16,6.16,6.16,500,0
PLSM.US,5,20260122,162000,6.34,6.34,6.34,6.34,176,0
PLSM.US,5,20260122,162500,6.3474,6.349,6.3474,6.349,2000,0
PLSM.US,5,20260122,163500,6.21,6.21,6.09,6.2,2018,0
PLSM.US,5,20260122,164000,5.82,5.89,5.81,5.89,330,0
PLSM.US,5,20260122,165500,6.15,6.15,6.15,6.15,102,0
PLSM.US,5,20260122,171500,6.14,6.14,6.08,6.08,200,0
PLSM.US,5,20260122,172500,6.14,6.14,6.14,6.14,100,0
PLSM.US,5,20260122,173000,6.14,6.15,6.07,6.15,726,0
PLSM.US,5,20260122,180500,6.2975,6.299,6.2975,6.299,230,0
PLSM.US,5,20260122,181500,6.2802,6.2802,6.2802,6.2802,164,0
PLSM.US,5,20260122,200000,6.07,6.07,6.05,6.05,500,0
PLSM.US,5,20260122,200500,6.05,6.05,6,6,1408,0
PLSM.US,5,20260122,202500,6,6,6,6,244,0
PLSM.US,5,20260122,203000,6.15,6.15,6.15,6.15,3800,0
PLSM.US,5,20260122,204500,6.1,6.1,6.1,6.1,500,0
PLSM.US,5,20260122,205500,6.1688,6.1688,6.1688,6.1688,400,0
PLSM.US,5,20260122,214500,6,6,6,6,864,0
PLSM.US,5,20260122,215500,5.9,5.9,5.86,5.86,1017,0
PLSM.US,5,20260123,153000,5.97,6,5.97,6,702,0
PLSM.US,5,20260123,154000,5.9724,5.9724,5.9724,5.9724,121,0
PLSM.US,5,20260123,160000,6.02,6.02,6.02,6.02,100,0
PLSM.US,5,20260123,160500,5.97,5.97,5.97,5.97,1000,0
PLSM.US,5,20260123,161000,6.05,6.09,6.04,6.09,503,0
PLSM.US,5,20260123,161500,6.2,6.5,6.14,6.5,2800,0
PLSM.US,5,20260123,162000,6.8,7.26,6.79,6.79,2118,0
PLSM.US,5,20260123,162500,6.99,6.99,6.5,6.5,2140,0
PLSM.US,5,20260123,163000,6.5,6.65,6.5,6.58,607,0
PLSM.US,5,20260123,164000,6.6,6.65,6.59,6.59,1133,0
PLSM.US,5,20260123,164500,6.48,6.48,6.2001,6.43,1687,0
PLSM.US,5,20260123,165500,6.32,6.32,6.3,6.3,1077,0
PLSM.US,5,20260123,170000,6.25,6.25,6.2,6.2,583,0
PLSM.US,5,20260123,171000,6.0876,6.1,5.91,5.91,690,0
PLSM.US,5,20260123,172500,6.066,6.066,6.066,6.066,150,0
PLSM.US,5,20260123,185500,6.1,6.1,6.1,6.1,500,0
PLSM.US,5,20260123,214000,5.92,5.92,5.92,5.92,738,0
PLSM.US,5,20260123,214500,5.92,5.92,5.92,5.92,159,0
PLSM.US,5,20260123,215500,6.05,6.05,5.92,5.92,229,0
