<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPSI.US,5,20250829,153000,4.06,4.085,4.0017,4.05,12838,0
PPSI.US,5,20250829,153500,4.08,4.08,4.04,4.07,3087,0
PPSI.US,5,20250829,154000,4.04,4.07,4.0106,4.0215,9155,0
PPSI.US,5,20250829,154500,4.0284,4.07,4,4,20586,0
PPSI.US,5,20250829,155000,4.0001,4.0502,4.0001,4.002,2851,0
PPSI.US,5,20250829,155500,4.035,4.0694,4.01,4.02,3547,0
PPSI.US,5,20250829,160000,4.0151,4.0151,4.01,4.01,310,0
PPSI.US,5,20250829,160500,3.99,3.9925,3.94,3.95,4170,0
PPSI.US,5,20250829,161000,3.94,3.9573,3.9202,3.9351,8402,0
PPSI.US,5,20250829,161500,3.93,3.93,3.89,3.9028,5150,0
PPSI.US,5,20250829,162000,3.8976,3.91,3.88,3.8976,1200,0
PPSI.US,5,20250829,162500,3.9041,3.91,3.89,3.8901,9758,0
PPSI.US,5,20250829,163000,3.89,3.89,3.88,3.88,3350,0
PPSI.US,5,20250829,163500,3.89,3.89,3.87,3.87,3900,0
PPSI.US,5,20250829,164000,3.88,3.8895,3.86,3.86,4200,0
PPSI.US,5,20250829,164500,3.8884,3.8884,3.86,3.86,2500,0
PPSI.US,5,20250829,165000,3.86,3.8756,3.84,3.87,1750,0
PPSI.US,5,20250829,165500,3.86,3.86,3.83,3.83,4816,0
PPSI.US,5,20250829,170000,3.83,3.84,3.83,3.83,3743,0
PPSI.US,5,20250829,170500,3.845,3.845,3.83,3.84,400,0
PPSI.US,5,20250829,171000,3.84,3.845,3.84,3.84,541,0
PPSI.US,5,20250829,171500,3.83,3.8552,3.83,3.84,533,0
PPSI.US,5,20250829,172000,3.84,3.84,3.83,3.83,200,0
PPSI.US,5,20250829,172500,3.8319,3.84,3.8301,3.84,1346,0
PPSI.US,5,20250829,173000,3.84,3.84,3.83,3.835,3700,0
PPSI.US,5,20250829,173500,3.835,3.87,3.835,3.87,700,0
PPSI.US,5,20250829,174000,3.8656,3.8699,3.85,3.865,3576,0
PPSI.US,5,20250829,174500,3.865,3.88,3.86,3.86,3637,0
PPSI.US,5,20250829,180500,3.85,3.86,3.84,3.85,400,0
PPSI.US,5,20250829,181000,3.84,3.85,3.84,3.85,450,0
PPSI.US,5,20250829,181500,3.84,3.84,3.835,3.835,200,0
PPSI.US,5,20250829,182000,3.835,3.838,3.8329,3.838,3467,0
PPSI.US,5,20250829,182500,3.82,3.83,3.82,3.83,200,0
PPSI.US,5,20250829,183000,3.8214,3.835,3.8214,3.835,630,0
PPSI.US,5,20250829,183500,3.8201,3.8201,3.82,3.82,963,0
PPSI.US,5,20250829,184000,3.8382,3.8382,3.8382,3.8382,1000,0
PPSI.US,5,20250829,184500,3.82,3.84,3.82,3.8202,9977,0
PPSI.US,5,20250829,185500,3.8567,3.8567,3.82,3.82,799,0
PPSI.US,5,20250829,190000,3.83,3.83,3.83,3.83,100,0
PPSI.US,5,20250829,190500,3.82,3.82,3.79,3.8,7310,0
PPSI.US,5,20250829,191000,3.8,3.8,3.8,3.8,632,0
PPSI.US,5,20250829,191500,3.8083,3.8083,3.79,3.79,400,0
PPSI.US,5,20250829,192000,3.7993,3.8,3.7993,3.8,1222,0
PPSI.US,5,20250829,192500,3.79,3.8275,3.78,3.8275,1690,0
PPSI.US,5,20250829,194500,3.8,3.8,3.8,3.8,100,0
