<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRCH.US,5,20250829,153000,16.28,16.34,16.2,16.27,22489,0
PRCH.US,5,20250829,153500,16.29,16.3152,16.2183,16.265,5241,0
PRCH.US,5,20250829,154000,16.27,16.3,16.23,16.255,9654,0
PRCH.US,5,20250829,154500,16.26,16.26,16.145,16.16,5372,0
PRCH.US,5,20250829,155000,16.16,16.16,16.1,16.1,4225,0
PRCH.US,5,20250829,155500,16.1,16.13,16.07,16.11,7710,0
PRCH.US,5,20250829,160000,16.14,16.165,15.97,16.01,21316,0
PRCH.US,5,20250829,160500,16.01,16.02,15.96,16,26186,0
PRCH.US,5,20250829,161000,16.02,16.055,16,16.055,32508,0
PRCH.US,5,20250829,161500,16.06,16.1,16.03,16.1,10535,0
PRCH.US,5,20250829,162000,16.105,16.2212,16.1,16.18,128432,0
PRCH.US,5,20250829,162500,16.17,16.17,16.07,16.1,4825,0
PRCH.US,5,20250829,163000,16.095,16.1,16.02,16.06,18567,0
PRCH.US,5,20250829,163500,16.04,16.05,16.02,16.02,2450,0
PRCH.US,5,20250829,164000,16.02,16.094,15.99,16.03,13196,0
PRCH.US,5,20250829,164500,16.035,16.12,16,16.11,14327,0
PRCH.US,5,20250829,165000,16.13,16.14,16.08,16.14,13421,0
PRCH.US,5,20250829,165500,16.135,16.16,16.1,16.145,5822,0
PRCH.US,5,20250829,170000,16.13,16.185,16.12,16.185,3436,0
PRCH.US,5,20250829,170500,16.185,16.2105,16.15,16.2105,8869,0
PRCH.US,5,20250829,171000,16.21,16.2417,16.2,16.22,3015,0
PRCH.US,5,20250829,171500,16.23,16.24,16.21,16.23,1400,0
PRCH.US,5,20250829,172000,16.225,16.44,16.21,16.44,132020,0
PRCH.US,5,20250829,172500,16.4293,16.44,16.364,16.42,48113,0
PRCH.US,5,20250829,173000,16.43,16.43,16.34,16.38,14816,0
PRCH.US,5,20250829,173500,16.4,16.4316,16.39,16.42,4331,0
PRCH.US,5,20250829,174000,16.39,16.395,16.35,16.35,2244,0
PRCH.US,5,20250829,174500,16.35,16.375,16.35,16.37,2996,0
PRCH.US,5,20250829,175000,16.36,16.42,16.345,16.395,23312,0
PRCH.US,5,20250829,175500,16.384,16.6,16.384,16.53,88201,0
PRCH.US,5,20250829,180000,16.54,16.57,16.5227,16.54,6423,0
PRCH.US,5,20250829,180500,16.52,16.53,16.44,16.445,20884,0
PRCH.US,5,20250829,181000,16.44,16.64,16.44,16.6332,8083,0
PRCH.US,5,20250829,181500,16.64,16.77,16.625,16.675,43825,0
PRCH.US,5,20250829,182000,16.675,16.79,16.65,16.7732,26152,0
PRCH.US,5,20250829,182500,16.78,16.8,16.63,16.66,21463,0
PRCH.US,5,20250829,183000,16.655,16.69,16.655,16.69,3746,0
PRCH.US,5,20250829,183500,16.68,16.72,16.66,16.72,5268,0
PRCH.US,5,20250829,184000,16.72,16.76,16.67,16.745,107921,0
PRCH.US,5,20250829,184500,16.74,16.79,16.74,16.7574,6350,0
PRCH.US,5,20250829,185000,16.768,16.805,16.768,16.79,4425,0
PRCH.US,5,20250829,185500,16.8,16.8,16.725,16.7799,18234,0
PRCH.US,5,20250829,190000,16.77,16.77,16.6626,16.6626,13016,0
PRCH.US,5,20250829,190500,16.66,16.71,16.66,16.7,2025,0
PRCH.US,5,20250829,191000,16.69,16.69,16.55,16.5874,8130,0
PRCH.US,5,20250829,191500,16.6,16.65,16.6,16.635,23541,0
PRCH.US,5,20250829,192000,16.66,16.68,16.61,16.61,4455,0
PRCH.US,5,20250829,192500,16.605,16.62,16.56,16.56,3900,0
PRCH.US,5,20250829,193000,16.56,16.68,16.56,16.63,22906,0
PRCH.US,5,20250829,193500,16.67,16.73,16.67,16.7056,7511,0
PRCH.US,5,20250829,194000,16.715,16.72,16.6184,16.635,12139,0
PRCH.US,5,20250829,194500,16.63,16.66,16.63,16.635,2519,0
PRCH.US,5,20250829,195000,16.65,16.67,16.62,16.67,4994,0
PRCH.US,5,20250829,195500,16.6692,16.715,16.667,16.715,8494,0
PRCH.US,5,20250829,200000,16.71,16.71,16.67,16.71,3460,0
PRCH.US,5,20250829,200500,16.72,16.97,16.72,16.87,57098,0
PRCH.US,5,20250829,201000,16.86,16.86,16.77,16.77,24105,0
PRCH.US,5,20250829,201500,16.775,16.79,16.71,16.73,9619,0
PRCH.US,5,20250829,202000,16.725,16.77,16.67,16.68,16065,0
PRCH.US,5,20250829,202500,16.67,16.69,16.64,16.66,14858,0
PRCH.US,5,20250829,203000,16.68,16.76,16.68,16.755,7409,0
PRCH.US,5,20250829,203500,16.755,16.8,16.7525,16.79,6173,0
PRCH.US,5,20250829,204000,16.7899,16.8301,16.74,16.82,38706,0
PRCH.US,5,20250829,204500,16.81,16.86,16.76,16.79,18327,0
PRCH.US,5,20250829,205000,16.78,16.82,16.77,16.82,15901,0
PRCH.US,5,20250829,205500,16.82,16.825,16.79,16.79,14204,0
PRCH.US,5,20250829,210000,16.778,16.83,16.778,16.83,6688,0
PRCH.US,5,20250829,210500,16.8416,16.88,16.8075,16.85,42313,0
PRCH.US,5,20250829,211000,16.85,16.87,16.83,16.85,7691,0
PRCH.US,5,20250829,211500,16.86,16.87,16.8435,16.86,7591,0
PRCH.US,5,20250829,212000,16.87,16.93,16.87,16.92,7745,0
PRCH.US,5,20250829,212500,16.9109,16.92,16.87,16.89,14334,0
PRCH.US,5,20250829,213000,16.9,16.94,16.9,16.93,18341,0
PRCH.US,5,20250829,213500,16.93,16.93,16.825,16.84,17638,0
PRCH.US,5,20250829,214000,16.83,16.895,16.8284,16.89,24464,0
PRCH.US,5,20250829,214500,16.89,16.89,16.8,16.83,27522,0
PRCH.US,5,20250829,215000,16.84,16.93,16.84,16.88,35211,0
PRCH.US,5,20250829,215500,16.875,16.98,16.8711,16.97,343190,0
PRCH.US,5,20250902,153000,16.7,17.32,16.7,17.18,76156,0
PRCH.US,5,20250902,153500,17.22,17.3579,17.1455,17.1455,32507,0
PRCH.US,5,20250902,154000,17.165,17.45,17.1037,17.45,21146,0
PRCH.US,5,20250902,154500,17.42,17.525,17.3068,17.39,69683,0
PRCH.US,5,20250902,155000,17.47,17.72,17.46,17.7052,22603,0
PRCH.US,5,20250902,155500,17.68,17.71,17.435,17.55,61926,0
PRCH.US,5,20250902,160000,17.55,17.81,17.55,17.75,52395,0
PRCH.US,5,20250902,160500,17.77,17.8299,17.63,17.7599,57229,0
PRCH.US,5,20250902,161000,17.725,17.8,17.6005,17.675,38476,0
PRCH.US,5,20250902,161500,17.665,17.76,17.6,17.725,16278,0
PRCH.US,5,20250902,162000,17.71,17.83,17.71,17.755,18538,0
PRCH.US,5,20250902,162500,17.7595,17.98,17.7302,17.9405,17761,0
PRCH.US,5,20250902,163000,17.94,17.98,17.8838,17.9,34468,0
PRCH.US,5,20250902,163500,17.915,18.12,17.84,18,258742,0
PRCH.US,5,20250902,164000,18.005,18.005,17.76,17.8,34455,0
PRCH.US,5,20250902,164500,17.79,17.85,17.7354,17.75,24026,0
PRCH.US,5,20250902,165000,17.76,17.92,17.7165,17.8461,31220,0
PRCH.US,5,20250902,165500,17.81,17.89,17.78,17.89,15268,0
PRCH.US,5,20250902,170000,17.9014,17.92,17.74,17.74,14118,0
PRCH.US,5,20250902,170500,17.74,17.85,17.73,17.8,21702,0
PRCH.US,5,20250902,171000,17.82,17.83,17.68,17.705,21494,0
PRCH.US,5,20250902,171500,17.705,17.71,17.58,17.61,42919,0
PRCH.US,5,20250902,172000,17.6133,17.73,17.58,17.73,25525,0
PRCH.US,5,20250902,172500,17.73,17.78,17.7232,17.74,42390,0
PRCH.US,5,20250902,173000,17.735,17.85,17.72,17.72,99064,0
PRCH.US,5,20250902,173500,17.7,17.7,17.62,17.64,9426,0
PRCH.US,5,20250902,174000,17.635,17.65,17.535,17.55,21231,0
