<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRLD.US,5,20250829,153000,1.29,1.29,1.28,1.28,1379,0
PRLD.US,5,20250829,154000,1.27,1.27,1.2,1.245,30848,0
PRLD.US,5,20250829,154500,1.245,1.245,1.21,1.22,10958,0
PRLD.US,5,20250829,155000,1.22,1.22,1.22,1.22,1500,0
PRLD.US,5,20250829,155500,1.2302,1.2302,1.2302,1.2302,400,0
PRLD.US,5,20250829,161000,1.22,1.23,1.21,1.21,5181,0
PRLD.US,5,20250829,161500,1.21,1.21,1.19,1.19,843,0
PRLD.US,5,20250829,162000,1.19,1.19,1.18,1.18,4098,0
PRLD.US,5,20250829,162500,1.2,1.2,1.2,1.2,600,0
PRLD.US,5,20250829,163000,1.2,1.2,1.2,1.2,100,0
PRLD.US,5,20250829,163500,1.21,1.21,1.2,1.2073,1230,0
PRLD.US,5,20250829,164000,1.19,1.2109,1.19,1.2,482,0
PRLD.US,5,20250829,164500,1.205,1.22,1.2,1.2,4048,0
PRLD.US,5,20250829,165000,1.2,1.2,1.2,1.2,600,0
PRLD.US,5,20250829,165500,1.204,1.2198,1.1701,1.2198,6987,0
PRLD.US,5,20250829,170500,1.2,1.24,1.2,1.24,26985,0
PRLD.US,5,20250829,171000,1.23,1.2597,1.23,1.25,5601,0
PRLD.US,5,20250829,171500,1.25,1.25,1.21,1.24,5025,0
PRLD.US,5,20250829,172500,1.255,1.255,1.25,1.25,2388,0
PRLD.US,5,20250829,173000,1.25,1.25,1.25,1.25,100,0
PRLD.US,5,20250829,173500,1.2574,1.2574,1.2574,1.2574,500,0
PRLD.US,5,20250829,175500,1.26,1.26,1.26,1.26,3300,0
PRLD.US,5,20250829,180000,1.26,1.26,1.26,1.26,1500,0
PRLD.US,5,20250829,180500,1.26,1.26,1.2581,1.2581,1500,0
PRLD.US,5,20250829,181000,1.22,1.26,1.22,1.26,6444,0
PRLD.US,5,20250829,181500,1.27,1.27,1.27,1.27,120,0
PRLD.US,5,20250829,182500,1.26,1.26,1.26,1.26,100,0
PRLD.US,5,20250829,183500,1.26,1.26,1.25,1.26,1627,0
PRLD.US,5,20250829,184500,1.27,1.27,1.27,1.27,400,0
PRLD.US,5,20250829,185500,1.27,1.27,1.27,1.27,100,0
PRLD.US,5,20250829,190000,1.27,1.28,1.27,1.2702,5300,0
PRLD.US,5,20250829,190500,1.2702,1.2702,1.2702,1.2702,300,0
PRLD.US,5,20250829,191000,1.27,1.285,1.27,1.28,5514,0
PRLD.US,5,20250829,191500,1.28,1.28,1.27,1.27,17060,0
PRLD.US,5,20250829,192000,1.27,1.27,1.27,1.27,200,0
PRLD.US,5,20250829,192500,1.27,1.27,1.27,1.27,680,0
PRLD.US,5,20250829,193000,1.27,1.27,1.27,1.27,300,0
