<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRTC.US,5,20250829,153000,17.13,17.13,17.13,17.13,102,0
PRTC.US,5,20250829,153500,17.1192,17.15,17.1192,17.15,600,0
PRTC.US,5,20250829,162000,17.2245,17.2245,17.2245,17.2245,100,0
PRTC.US,5,20250829,170000,17.36,17.36,17.33,17.33,400,0
PRTC.US,5,20250829,192000,17.9912,17.9912,17.9912,17.9912,100,0
PRTC.US,5,20250829,202000,17.236,17.236,17.2,17.2,300,0
PRTC.US,5,20250829,204000,17.13,17.19,17.1,17.1,1640,0
PRTC.US,5,20250829,215000,17.09,17.11,17.07,17.07,549,0
PRTC.US,5,20250902,153000,15.86,15.86,15.8446,15.86,663,0
PRTC.US,5,20250902,153500,15.9,15.9,15.9,15.9,100,0
PRTC.US,5,20250902,163000,16.05,16.05,16,16,1350,0
PRTC.US,5,20250902,163500,16.1,16.1,16.1,16.1,100,0
PRTC.US,5,20250902,164000,16.1,16.11,16.1,16.1,1058,0
PRTC.US,5,20250902,164500,16.1,16.1,16.1,16.1,100,0
PRTC.US,5,20250902,170000,15.78,15.78,15.78,15.78,100,0
PRTC.US,5,20250902,172000,16.02,16.02,15.9948,16.02,300,0
PRTC.US,5,20250902,215500,16.76,16.76,16.5,16.5,711,0
PRTC.US,5,20250903,153000,15.82,15.82,15.82,15.82,125,0
PRTC.US,5,20250903,164000,15.8752,15.8752,15.8752,15.8752,100,0
PRTC.US,5,20250903,170000,15.825,15.825,15.825,15.825,100,0
PRTC.US,5,20250903,205500,15.8201,15.8201,15.8201,15.8201,500,0
PRTC.US,5,20250904,153000,16.055,16.055,16.055,16.055,200,0
PRTC.US,5,20250904,160500,16.2199,16.2199,16.21,16.21,599,0
PRTC.US,5,20250904,161500,15.8629,15.8629,15.8629,15.8629,700,0
PRTC.US,5,20250905,160000,16.45,16.5,16.45,16.48,809,0
PRTC.US,5,20250905,163000,16.29,16.3,16.15,16.15,1100,0
PRTC.US,5,20250905,172000,16.25,16.25,16.25,16.25,100,0
PRTC.US,5,20250905,175500,16.3425,16.36,16.3425,16.35,573,0
PRTC.US,5,20250905,182500,16.2275,16.2275,16.175,16.175,270,0
PRTC.US,5,20250905,185500,16.1499,16.1499,16.1499,16.1499,700,0
PRTC.US,5,20250905,190000,16.15,16.31,16.1,16.255,1727,0
PRTC.US,5,20250905,193500,16.232,16.232,16.232,16.232,500,0
PRTC.US,5,20250908,210000,16.43,16.43,16.43,16.43,393,0
PRTC.US,5,20250909,153500,15.9,15.9,15.9,15.9,226,0
PRTC.US,5,20250909,154000,15.96,15.96,15.96,15.96,400,0
PRTC.US,5,20250909,155000,15.99,15.99,15.89,15.98,1400,0
PRTC.US,5,20250909,160000,16,16,16,16,500,0
PRTC.US,5,20250909,161000,15.88,16,15.88,15.99,3600,0
PRTC.US,5,20250909,171500,16,16,16,16,100,0
PRTC.US,5,20250909,212000,16.75,16.75,16.75,16.75,200,0
PRTC.US,5,20250910,153000,16.2555,16.2555,16.2555,16.2555,193,0
PRTC.US,5,20250910,162000,16.1688,16.1688,16.1688,16.1688,250,0
PRTC.US,5,20250910,163000,16.23,16.23,16.23,16.23,100,0
PRTC.US,5,20250910,171000,16.108,16.108,16.108,16.108,150,0
PRTC.US,5,20250910,202500,16.62,16.62,16.62,16.62,100,0
PRTC.US,5,20250911,154000,15.8015,15.86,15.8015,15.86,200,0
PRTC.US,5,20250911,154500,15.75,15.8663,15.75,15.8663,400,0
PRTC.US,5,20250911,155000,15.88,15.92,15.8799,15.92,689,0
PRTC.US,5,20250911,155500,15.92,15.92,15.92,15.92,100,0
PRTC.US,5,20250911,162000,15.93,16.28,15.93,15.96,1238,0
PRTC.US,5,20250911,190000,16.13,16.18,16.13,16.18,300,0
PRTC.US,5,20250911,190500,16.17,16.17,16.13,16.13,600,0
PRTC.US,5,20250911,204500,16.465,16.465,16.465,16.465,250,0
PRTC.US,5,20250911,210000,16.4331,16.4331,16.4331,16.4331,300,0
PRTC.US,5,20250911,210500,16.13,16.13,16.11,16.11,300,0
PRTC.US,5,20250911,215500,16.31,16.31,16.31,16.31,122,0
PRTC.US,5,20250912,172500,16.28,16.29,16.195,16.195,896,0
PRTC.US,5,20250912,173000,16.08,16.08,16.08,16.08,100,0
PRTC.US,5,20250915,161500,15.7899,15.7899,15.7899,15.7899,999,0
PRTC.US,5,20250915,162500,15.75,15.75,15.75,15.75,100,0
PRTC.US,5,20250915,175000,15.46,15.46,15.46,15.46,100,0
PRTC.US,5,20250915,214000,15.51,15.51,15.51,15.51,103,0
PRTC.US,5,20250915,214500,15.39,15.39,15.39,15.39,100,0
PRTC.US,5,20250916,162000,14.9144,14.9144,14.9144,14.9144,165,0
PRTC.US,5,20250916,203500,15,15,15,15,379,0
PRTC.US,5,20250916,204000,14.81,14.81,14.81,14.81,100,0
PRTC.US,5,20250916,204500,14.63,14.63,14.59,14.59,900,0
PRTC.US,5,20250916,211500,14.62,14.62,14.62,14.62,100,0
PRTC.US,5,20250916,214500,14.8,14.8,14.75,14.75,481,0
PRTC.US,5,20250916,215000,14.6,14.6,14.6,14.6,114,0
PRTC.US,5,20250916,215500,14.7,14.7,14.7,14.7,200,0
PRTC.US,5,20250917,160000,14.6,14.64,14.59,14.64,355,0
PRTC.US,5,20250917,180000,14.75,14.75,14.75,14.75,1000,0
PRTC.US,5,20250917,180500,14.75,14.76,14.75,14.75,8303,0
PRTC.US,5,20250917,200500,14.79,14.79,14.79,14.79,100,0
PRTC.US,5,20250917,211000,14.79,14.79,14.79,14.79,100,0
PRTC.US,5,20250918,183000,14.905,14.905,14.79,14.79,2200,0
PRTC.US,5,20250918,185000,14.5,14.5,14.5,14.5,807,0
PRTC.US,5,20250918,190000,14.81,14.81,14.81,14.81,100,0
PRTC.US,5,20250918,190500,15.285,15.285,15.285,15.285,1300,0
PRTC.US,5,20250918,212500,15.25,15.25,15.25,15.25,100,0
PRTC.US,5,20250918,213500,14.7,14.7,14.7,14.7,300,0
PRTC.US,5,20250919,155000,16.59,16.6499,16.5587,16.6499,2100,0
PRTC.US,5,20250919,155500,16.67,16.67,16.525,16.525,400,0
PRTC.US,5,20250919,160500,16.6,16.6,16.6,16.6,100,0
PRTC.US,5,20250919,161000,16.8488,16.95,16.8488,16.9325,2396,0
PRTC.US,5,20250919,161500,16.95,17.15,16.95,17.0648,1245,0
PRTC.US,5,20250919,162000,17.0001,17.0001,17,17,1010,0
PRTC.US,5,20250919,162500,17.11,17.11,17.06,17.06,402,0
PRTC.US,5,20250919,163000,17.11,17.11,17.04,17.05,1173,0
PRTC.US,5,20250919,163500,17.0099,17.01,17.0099,17.01,600,0
PRTC.US,5,20250919,164000,17.01,17.01,16.969,16.969,700,0
PRTC.US,5,20250919,164500,17,17.2704,17,17.2704,601,0
PRTC.US,5,20250919,165000,17,17.25,17,17.1015,1491,0
PRTC.US,5,20250919,170000,16.7644,17.07,16.7644,17.07,1100,0
PRTC.US,5,20250919,170500,16.73,17.08,16.72,16.72,2547,0
