<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQX.US,5,20250829,153000,27.06,27.06,27.01,27.06,6750,0
QQQX.US,5,20250829,153500,27.068,27.068,27.0001,27.0001,535,0
QQQX.US,5,20250829,154000,27.0699,27.0699,27.035,27.035,484,0
QQQX.US,5,20250829,154500,27,27.005,27,27,753,0
QQQX.US,5,20250829,155000,26.975,26.975,26.975,26.975,588,0
QQQX.US,5,20250829,155500,26.975,26.975,26.9,26.925,1219,0
QQQX.US,5,20250829,160000,26.922,26.922,26.8601,26.875,3209,0
QQQX.US,5,20250829,160500,26.86,26.87,26.6701,26.8397,3141,0
QQQX.US,5,20250829,161000,26.769,26.81,26.769,26.81,884,0
QQQX.US,5,20250829,161500,26.8309,26.8309,26.81,26.81,2391,0
QQQX.US,5,20250829,162000,26.81,26.82,26.81,26.82,316,0
QQQX.US,5,20250829,162500,26.83,26.8534,26.83,26.8355,871,0
QQQX.US,5,20250829,163000,26.825,26.905,26.825,26.905,2531,0
QQQX.US,5,20250829,164000,26.905,26.9118,26.905,26.905,682,0
QQQX.US,5,20250829,164500,26.905,26.91,26.85,26.91,1545,0
QQQX.US,5,20250829,165000,26.86,26.86,26.845,26.85,1015,0
QQQX.US,5,20250829,165500,26.8613,26.87,26.8613,26.87,1158,0
QQQX.US,5,20250829,170000,26.8595,26.865,26.845,26.845,550,0
QQQX.US,5,20250829,170500,26.88,26.9,26.865,26.9,675,0
QQQX.US,5,20250829,171000,26.9,26.9,26.9,26.9,155,0
QQQX.US,5,20250829,171500,26.9,26.9,26.9,26.9,674,0
QQQX.US,5,20250829,172000,26.9299,26.9299,26.87,26.87,1700,0
QQQX.US,5,20250829,172500,26.9046,26.9046,26.9046,26.9046,557,0
QQQX.US,5,20250829,173000,26.9032,26.9032,26.84,26.865,473,0
QQQX.US,5,20250829,173500,26.865,26.885,26.83,26.865,606,0
QQQX.US,5,20250829,174000,26.865,26.9076,26.865,26.9076,665,0
QQQX.US,5,20250829,174500,26.82,26.865,26.82,26.865,338,0
QQQX.US,5,20250829,175000,26.865,26.865,26.8101,26.8101,2151,0
QQQX.US,5,20250829,180000,26.82,26.9199,26.82,26.9003,975,0
QQQX.US,5,20250829,180500,26.865,26.89,26.865,26.865,467,0
QQQX.US,5,20250829,181000,26.91,26.9192,26.885,26.9192,1213,0
QQQX.US,5,20250829,182000,26.91,26.9199,26.885,26.91,922,0
QQQX.US,5,20250829,182500,26.885,26.885,26.885,26.885,300,0
QQQX.US,5,20250829,183000,26.885,26.885,26.885,26.885,150,0
QQQX.US,5,20250829,184000,26.905,26.92,26.905,26.92,1502,0
QQQX.US,5,20250829,184500,26.9192,26.9192,26.9192,26.9192,930,0
QQQX.US,5,20250829,185000,26.92,26.92,26.92,26.92,310,0
QQQX.US,5,20250829,185500,26.9299,26.96,26.925,26.94,5980,0
QQQX.US,5,20250829,190000,26.92,26.92,26.92,26.92,378,0
QQQX.US,5,20250829,191500,26.88,26.88,26.88,26.88,270,0
QQQX.US,5,20250829,192500,26.865,26.865,26.865,26.865,400,0
QQQX.US,5,20250829,193000,26.865,26.865,26.865,26.865,800,0
QQQX.US,5,20250829,194000,26.865,26.865,26.865,26.865,100,0
QQQX.US,5,20250829,194500,26.8747,26.89,26.8593,26.89,2050,0
QQQX.US,5,20250829,195000,26.92,26.92,26.8933,26.8933,733,0
QQQX.US,5,20250829,195500,26.92,26.92,26.92,26.92,100,0
QQQX.US,5,20250829,200000,26.89,26.91,26.89,26.91,660,0
QQQX.US,5,20250829,200500,26.89,26.92,26.89,26.92,594,0
QQQX.US,5,20250829,201000,26.89,26.9185,26.8792,26.8792,1452,0
QQQX.US,5,20250829,201500,26.89,26.91,26.86,26.91,540,0
QQQX.US,5,20250829,202000,26.91,26.91,26.89,26.89,471,0
QQQX.US,5,20250829,204000,26.89,26.92,26.89,26.9075,1800,0
QQQX.US,5,20250829,204500,26.895,26.895,26.895,26.895,300,0
QQQX.US,5,20250829,205000,26.9,26.92,26.885,26.92,2028,0
QQQX.US,5,20250829,210000,26.895,26.895,26.895,26.895,880,0
QQQX.US,5,20250829,210500,26.92,26.955,26.92,26.955,2002,0
QQQX.US,5,20250829,211000,26.955,26.955,26.955,26.955,100,0
QQQX.US,5,20250829,211500,26.95,26.955,26.95,26.955,200,0
QQQX.US,5,20250829,212000,26.93,26.93,26.915,26.915,851,0
QQQX.US,5,20250829,212500,26.935,26.935,26.935,26.935,100,0
QQQX.US,5,20250829,213000,26.9183,26.9599,26.9183,26.9599,390,0
QQQX.US,5,20250829,213500,26.91,26.9415,26.91,26.9415,446,0
QQQX.US,5,20250829,214000,26.92,26.92,26.92,26.92,100,0
QQQX.US,5,20250829,214500,26.935,26.935,26.92,26.92,200,0
QQQX.US,5,20250829,215000,26.93,26.93,26.91,26.92,4923,0
QQQX.US,5,20250829,215500,26.92,26.93,26.91,26.91,4359,0
QQQX.US,5,20250902,153000,26.7,26.7,26.675,26.69,5898,0
QQQX.US,5,20250902,153500,26.69,26.7,26.69,26.7,300,0
QQQX.US,5,20250902,154500,26.7,26.75,26.7,26.75,2545,0
QQQX.US,5,20250902,155000,26.75,26.8,26.7,26.79,3142,0
QQQX.US,5,20250902,155500,26.7506,26.7506,26.71,26.71,1000,0
QQQX.US,5,20250902,160000,26.73,26.73,26.73,26.73,300,0
QQQX.US,5,20250902,160500,26.7502,26.78,26.7502,26.78,1572,0
QQQX.US,5,20250902,161000,26.78,26.78,26.75,26.75,1758,0
QQQX.US,5,20250902,161500,26.7892,26.7996,26.76,26.76,2795,0
QQQX.US,5,20250902,162000,26.76,26.7986,26.76,26.7986,632,0
QQQX.US,5,20250902,162500,26.78,26.78,26.78,26.78,257,0
QQQX.US,5,20250902,163500,26.8,26.8,26.8,26.8,1000,0
QQQX.US,5,20250902,164000,26.77,26.77,26.76,26.76,581,0
QQQX.US,5,20250902,165500,26.74,26.74,26.74,26.74,100,0
QQQX.US,5,20250902,170000,26.75,26.75,26.75,26.75,300,0
QQQX.US,5,20250902,170500,26.7,26.7,26.7,26.7,100,0
QQQX.US,5,20250902,173500,26.68,26.68,26.675,26.675,450,0
