<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QRHC.US,5,20250829,153000,1.82,1.835,1.82,1.835,703,0
QRHC.US,5,20250829,153500,1.799,1.799,1.795,1.795,500,0
QRHC.US,5,20250829,154500,1.7917,1.7917,1.7917,1.7917,533,0
QRHC.US,5,20250829,155000,1.7959,1.7974,1.78,1.78,7400,0
QRHC.US,5,20250829,155500,1.7995,1.81,1.7995,1.81,3463,0
QRHC.US,5,20250829,163000,1.84,1.84,1.84,1.84,100,0
QRHC.US,5,20250829,164000,1.815,1.815,1.815,1.815,100,0
QRHC.US,5,20250829,164500,1.81,1.81,1.81,1.81,135,0
QRHC.US,5,20250829,170000,1.83,1.83,1.83,1.83,100,0
QRHC.US,5,20250829,170500,1.81,1.81,1.81,1.81,400,0
QRHC.US,5,20250829,171000,1.8365,1.8365,1.8365,1.8365,500,0
QRHC.US,5,20250829,172500,1.81,1.81,1.81,1.81,200,0
QRHC.US,5,20250829,173000,1.82,1.83,1.8117,1.8117,3181,0
QRHC.US,5,20250829,174500,1.84,1.84,1.84,1.84,200,0
QRHC.US,5,20250829,175000,1.835,1.835,1.835,1.835,2000,0
QRHC.US,5,20250829,180000,1.82,1.82,1.82,1.82,100,0
QRHC.US,5,20250829,181000,1.835,1.8497,1.835,1.8497,900,0
QRHC.US,5,20250829,182000,1.8399,1.8399,1.8399,1.8399,500,0
QRHC.US,5,20250829,182500,1.8212,1.8212,1.8212,1.8212,2500,0
QRHC.US,5,20250829,184000,1.845,1.845,1.845,1.845,233,0
QRHC.US,5,20250829,184500,1.845,1.845,1.845,1.845,200,0
QRHC.US,5,20250829,185500,1.85,1.85,1.85,1.85,100,0
QRHC.US,5,20250829,202000,1.83,1.83,1.83,1.83,100,0
QRHC.US,5,20250829,203500,1.84,1.84,1.84,1.84,100,0
QRHC.US,5,20250829,205500,1.855,1.855,1.855,1.855,300,0
QRHC.US,5,20250829,210000,1.85,1.8559,1.84,1.8559,3667,0
QRHC.US,5,20250829,210500,1.86,1.86,1.86,1.86,100,0
QRHC.US,5,20250829,212000,1.8597,1.86,1.8597,1.86,1700,0
QRHC.US,5,20250829,212500,1.87,1.87,1.87,1.87,100,0
QRHC.US,5,20250829,214000,1.87,1.87,1.87,1.87,100,0
QRHC.US,5,20250829,215000,1.855,1.88,1.85,1.85,800,0
QRHC.US,5,20250829,215500,1.865,1.88,1.865,1.865,787,0
QRHC.US,5,20250902,153000,1.84,1.84,1.785,1.785,905,0
QRHC.US,5,20250902,153500,1.8533,1.8691,1.85,1.8691,6112,0
QRHC.US,5,20250902,160500,1.86,1.88,1.85,1.85,915,0
QRHC.US,5,20250902,164500,1.83,1.83,1.83,1.83,100,0
QRHC.US,5,20250902,171000,1.8446,1.8446,1.8446,1.8446,850,0
QRHC.US,5,20250902,171500,1.85,1.85,1.85,1.85,2992,0
QRHC.US,5,20250902,172000,1.85,1.85,1.85,1.85,100,0
QRHC.US,5,20250902,172500,1.85,1.85,1.85,1.85,100,0
QRHC.US,5,20250902,173500,1.83,1.84,1.83,1.83,2117,0
QRHC.US,5,20250902,174000,1.86,1.86,1.845,1.845,300,0
QRHC.US,5,20250902,175000,1.824,1.824,1.824,1.824,4000,0
QRHC.US,5,20250902,175500,1.82,1.82,1.82,1.82,200,0
QRHC.US,5,20250902,180000,1.83,1.83,1.83,1.83,1000,0
QRHC.US,5,20250902,180500,1.82,1.83,1.82,1.83,300,0
QRHC.US,5,20250902,182000,1.8399,1.8399,1.8399,1.8399,500,0
QRHC.US,5,20250902,191500,1.8398,1.8398,1.8398,1.8398,200,0
QRHC.US,5,20250902,192000,1.84,1.84,1.84,1.84,200,0
QRHC.US,5,20250902,192500,1.85,1.85,1.85,1.85,100,0
QRHC.US,5,20250902,195500,1.85,1.85,1.85,1.85,2410,0
QRHC.US,5,20250902,202000,1.85,1.855,1.8,1.83,21889,0
QRHC.US,5,20250902,202500,1.83,1.83,1.83,1.83,500,0
QRHC.US,5,20250902,205000,1.81,1.81,1.81,1.81,1000,0
QRHC.US,5,20250902,210000,1.82,1.83,1.82,1.82,500,0
QRHC.US,5,20250902,211500,1.8,1.8,1.8,1.8,200,0
QRHC.US,5,20250902,213000,1.815,1.8295,1.815,1.8255,1304,0
QRHC.US,5,20250902,214500,1.83,1.83,1.83,1.83,200,0
QRHC.US,5,20250902,215000,1.8,1.83,1.8,1.83,700,0
QRHC.US,5,20250902,215500,1.83,1.85,1.81,1.81,1352,0
QRHC.US,5,20250903,153000,1.79,1.79,1.79,1.79,300,0
QRHC.US,5,20250903,161000,1.84,1.84,1.84,1.84,1000,0
QRHC.US,5,20250903,163500,1.8252,1.8252,1.8252,1.8252,500,0
QRHC.US,5,20250903,164500,1.8145,1.8145,1.8145,1.8145,200,0
QRHC.US,5,20250903,165500,1.81,1.81,1.81,1.81,660,0
QRHC.US,5,20250903,170000,1.795,1.795,1.795,1.795,235,0
QRHC.US,5,20250903,173000,1.78,1.79,1.75,1.75,5668,0
QRHC.US,5,20250903,173500,1.7828,1.7828,1.7828,1.7828,100,0
QRHC.US,5,20250903,175000,1.7741,1.7741,1.7741,1.7741,100,0
QRHC.US,5,20250903,175500,1.75,1.75,1.75,1.75,100,0
QRHC.US,5,20250903,180000,1.7736,1.7736,1.7736,1.7736,100,0
QRHC.US,5,20250903,181500,1.7759,1.7759,1.75,1.7574,3600,0
QRHC.US,5,20250903,182000,1.7643,1.7643,1.755,1.755,400,0
QRHC.US,5,20250903,182500,1.74,1.74,1.74,1.74,100,0
QRHC.US,5,20250903,184000,1.74,1.74,1.74,1.74,100,0
QRHC.US,5,20250903,185500,1.75,1.75,1.75,1.75,500,0
QRHC.US,5,20250903,190000,1.74,1.74,1.74,1.74,100,0
QRHC.US,5,20250903,191500,1.745,1.75,1.745,1.75,500,0
QRHC.US,5,20250903,192000,1.7597,1.7597,1.7576,1.7576,2000,0
