<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RILY.US,5,20250829,153000,5.74,5.7894,5.74,5.7894,3719,0
RILY.US,5,20250829,153500,5.75,5.8019,5.75,5.75,3098,0
RILY.US,5,20250829,154000,5.72,5.73,5.68,5.686,12433,0
RILY.US,5,20250829,154500,5.68,5.6898,5.65,5.68,8748,0
RILY.US,5,20250829,155000,5.6732,5.71,5.66,5.68,9540,0
RILY.US,5,20250829,155500,5.69,5.6927,5.6,5.631,15116,0
RILY.US,5,20250829,160000,5.6571,5.6571,5.57,5.59,22674,0
RILY.US,5,20250829,160500,5.58,5.5965,5.554,5.58,11349,0
RILY.US,5,20250829,161000,5.58,5.58,5.54,5.545,13620,0
RILY.US,5,20250829,161500,5.54,5.56,5.49,5.5,9963,0
RILY.US,5,20250829,162000,5.5,5.5399,5.499,5.525,3719,0
RILY.US,5,20250829,162500,5.525,5.53,5.48,5.53,31234,0
RILY.US,5,20250829,163000,5.53,5.565,5.52,5.565,5552,0
RILY.US,5,20250829,163500,5.6079,5.63,5.59,5.61,10663,0
RILY.US,5,20250829,164000,5.61,5.61,5.57,5.57,2010,0
RILY.US,5,20250829,164500,5.56,5.56,5.53,5.5491,4326,0
RILY.US,5,20250829,165000,5.53,5.54,5.5201,5.535,7203,0
RILY.US,5,20250829,165500,5.53,5.55,5.48,5.5,53279,0
RILY.US,5,20250829,170000,5.5,5.515,5.5,5.515,3603,0
RILY.US,5,20250829,170500,5.515,5.515,5.48,5.48,2325,0
RILY.US,5,20250829,171000,5.4892,5.515,5.4892,5.51,2515,0
RILY.US,5,20250829,171500,5.51,5.51,5.49,5.51,2665,0
RILY.US,5,20250829,172000,5.515,5.52,5.515,5.515,1000,0
RILY.US,5,20250829,172500,5.515,5.515,5.48,5.49,7799,0
RILY.US,5,20250829,173000,5.4846,5.5,5.4846,5.49,2502,0
RILY.US,5,20250829,173500,5.49,5.52,5.483,5.52,3664,0
RILY.US,5,20250829,174000,5.53,5.55,5.53,5.55,2725,0
RILY.US,5,20250829,174500,5.54,5.55,5.54,5.55,505,0
RILY.US,5,20250829,175000,5.55,5.5521,5.55,5.55,1210,0
RILY.US,5,20250829,175500,5.555,5.56,5.555,5.5573,1396,0
RILY.US,5,20250829,180000,5.55,5.58,5.55,5.58,2132,0
RILY.US,5,20250829,180500,5.58,5.5967,5.55,5.58,8047,0
RILY.US,5,20250829,181000,5.59,5.61,5.59,5.61,3519,0
RILY.US,5,20250829,181500,5.61,5.61,5.605,5.605,300,0
RILY.US,5,20250829,182000,5.6099,5.62,5.595,5.62,2941,0
RILY.US,5,20250829,182500,5.63,5.63,5.625,5.625,430,0
RILY.US,5,20250829,183000,5.64,5.64,5.63,5.63,511,0
RILY.US,5,20250829,183500,5.63,5.68,5.63,5.6759,5754,0
RILY.US,5,20250829,184000,5.66,5.67,5.66,5.67,510,0
RILY.US,5,20250829,184500,5.66,5.66,5.65,5.65,421,0
RILY.US,5,20250829,185000,5.629,5.64,5.629,5.6384,2704,0
RILY.US,5,20250829,185500,5.64,5.66,5.635,5.66,1059,0
RILY.US,5,20250829,190000,5.66,5.66,5.6,5.6,20689,0
RILY.US,5,20250829,190500,5.59,5.64,5.59,5.64,11099,0
RILY.US,5,20250829,191000,5.64,5.6408,5.62,5.6299,4316,0
RILY.US,5,20250829,191500,5.63,5.64,5.6,5.61,14472,0
RILY.US,5,20250829,192000,5.62,5.63,5.62,5.63,310,0
RILY.US,5,20250829,192500,5.622,5.64,5.622,5.64,300,0
RILY.US,5,20250829,193000,5.64,5.64,5.64,5.64,100,0
RILY.US,5,20250829,193500,5.64,5.65,5.62,5.635,9615,0
RILY.US,5,20250829,194000,5.635,5.64,5.62,5.62,1301,0
RILY.US,5,20250829,194500,5.62,5.62,5.62,5.62,100,0
RILY.US,5,20250829,195000,5.615,5.619,5.595,5.605,3100,0
RILY.US,5,20250829,195500,5.6,5.63,5.6,5.63,1513,0
RILY.US,5,20250829,200000,5.63,5.63,5.62,5.625,1200,0
