<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEVNR.US,5,20251111,153000,0.4134,0.4134,0.4134,0.4134,562,0
SEVNR.US,5,20251111,162500,0.21,0.21,0.21,0.21,200,0
SEVNR.US,5,20251111,164500,0.225,0.225,0.0827,0.1002,3940,0
SEVNR.US,5,20251111,165000,0.0988,0.0989,0.09,0.09,3355,0
SEVNR.US,5,20251111,165500,0.1,0.1,0.0994,0.1,1050,0
SEVNR.US,5,20251111,170500,0.11,0.1369,0.11,0.1369,2509,0
SEVNR.US,5,20251111,171000,0.1775,0.462,0.17,0.3309,19727,0
SEVNR.US,5,20251111,171500,0.34,0.38,0.34,0.38,1321,0
SEVNR.US,5,20251111,172500,0.281401,0.281401,0.281401,0.281401,1496,0
SEVNR.US,5,20251111,173000,0.2897,0.29,0.2897,0.2899,484,0
SEVNR.US,5,20251111,174000,0.25,0.25,0.25,0.25,500,0
SEVNR.US,5,20251111,174500,0.25,0.25,0.23,0.23,990,0
SEVNR.US,5,20251111,175000,0.25,0.295,0.25,0.295,3700,0
SEVNR.US,5,20251111,175500,0.2525,0.2658,0.25,0.25,2300,0
SEVNR.US,5,20251111,180500,0.2401,0.2401,0.22,0.22,992,0
SEVNR.US,5,20251111,181000,0.2197,0.22,0.2197,0.22,1703,0
SEVNR.US,5,20251111,181500,0.2659,0.2659,0.2656,0.2656,400,0
SEVNR.US,5,20251111,182000,0.21295,0.21295,0.16,0.1705,2143,0
SEVNR.US,5,20251111,182500,0.1712,0.1712,0.1711,0.1711,1329,0
SEVNR.US,5,20251111,183000,0.1712,0.1712,0.1456,0.15,6581,0
SEVNR.US,5,20251111,184500,0.2,0.2,0.2,0.2,500,0
SEVNR.US,5,20251111,185000,0.22,0.24,0.22,0.24,300,0
SEVNR.US,5,20251111,190000,0.239,0.24,0.22,0.24,1400,0
SEVNR.US,5,20251111,193000,0.22,0.24,0.22,0.24,300,0
SEVNR.US,5,20251111,193500,0.24,0.25,0.24,0.24,1278,0
SEVNR.US,5,20251111,195500,0.22,0.22,0.22,0.22,100,0
SEVNR.US,5,20251111,200000,0.22,0.22,0.18,0.2,8893,0
SEVNR.US,5,20251111,200500,0.2,0.2,0.2,0.2,1193,0
SEVNR.US,5,20251111,201500,0.23,0.23,0.23,0.23,400,0
SEVNR.US,5,20251111,202000,0.23,0.23,0.23,0.23,400,0
SEVNR.US,5,20251111,202500,0.23,0.23,0.22,0.22,600,0
SEVNR.US,5,20251111,204500,0.22,0.22,0.22,0.22,300,0
SEVNR.US,5,20251111,205500,0.23,0.23,0.23,0.23,490,0
SEVNR.US,5,20251111,210000,0.23,0.23,0.23,0.23,300,0
SEVNR.US,5,20251111,211000,0.2,0.2,0.2,0.2,380,0
SEVNR.US,5,20251111,211500,0.229,0.229,0.229,0.229,300,0
SEVNR.US,5,20251111,212000,0.2,0.24,0.2,0.24,657,0
SEVNR.US,5,20251111,212500,0.24,0.31,0.24,0.26,7512,0
SEVNR.US,5,20251111,213000,0.24,0.24,0.24,0.24,687,0
SEVNR.US,5,20251111,215500,0.229899,0.23,0.229899,0.23,331,0
SEVNR.US,5,20251112,153000,0.16,0.1933,0.16,0.1933,12386,0
SEVNR.US,5,20251112,153500,0.1933,0.25,0.17,0.25,11444,0
SEVNR.US,5,20251112,154000,0.181,0.26,0.13,0.13,15548,0
SEVNR.US,5,20251112,154500,0.12,0.15,0.106,0.14,8594,0
SEVNR.US,5,20251112,155000,0.15,0.155,0.1081,0.1081,3631,0
SEVNR.US,5,20251112,155500,0.1066,0.1299,0.1062,0.1062,7352,0
SEVNR.US,5,20251112,160000,0.1063,0.1295,0.1062,0.1285,10539,0
SEVNR.US,5,20251112,160500,0.129,0.130101,0.129,0.13,6129,0
SEVNR.US,5,20251112,161000,0.1301,0.1302,0.1301,0.1302,3698,0
SEVNR.US,5,20251112,161500,0.1302,0.14,0.1302,0.139999,4382,0
SEVNR.US,5,20251112,162000,0.1314,0.1314,0.1302,0.1302,1928,0
SEVNR.US,5,20251112,162500,0.14,0.14,0.125251,0.125251,7555,0
SEVNR.US,5,20251112,163000,0.1202,0.1202,0.118,0.118,667,0
SEVNR.US,5,20251112,163500,0.12,0.12,0.12,0.12,200,0
SEVNR.US,5,20251112,164000,0.12,0.1207,0.12,0.1201,1119,0
SEVNR.US,5,20251112,164500,0.12,0.1212,0.12,0.1212,700,0
SEVNR.US,5,20251112,165000,0.14,0.2187,0.12,0.1453,5243,0
SEVNR.US,5,20251112,165500,0.17,0.195,0.1222,0.1222,7013,0
SEVNR.US,5,20251112,170000,0.125,0.1305,0.1215,0.1305,400,0
SEVNR.US,5,20251112,171000,0.15,0.15,0.1395,0.1395,2053,0
SEVNR.US,5,20251112,171500,0.1406,0.1406,0.14,0.14,4696,0
SEVNR.US,5,20251112,172000,0.1304,0.14,0.1304,0.14,7914,0
SEVNR.US,5,20251112,172500,0.14,0.14,0.1355,0.136,1481,0
SEVNR.US,5,20251112,173500,0.1365,0.1405,0.1365,0.1405,6200,0
SEVNR.US,5,20251112,174000,0.1366,0.14,0.1366,0.1372,3957,0
SEVNR.US,5,20251112,174500,0.1367,0.1368,0.1357,0.1357,842,0
SEVNR.US,5,20251112,175000,0.1348,0.1405,0.1348,0.1405,4595,0
SEVNR.US,5,20251112,175500,0.15,0.15,0.1405,0.15,1025,0
SEVNR.US,5,20251112,180000,0.15,0.1505,0.1405,0.15,4979,0
SEVNR.US,5,20251112,180500,0.15,0.151,0.15,0.151,1700,0
SEVNR.US,5,20251112,181000,0.15,0.1699,0.15,0.155,3800,0
SEVNR.US,5,20251112,181500,0.15,0.1525,0.1496,0.152,12768,0
SEVNR.US,5,20251112,182000,0.151,0.152,0.1495,0.1495,15363,0
SEVNR.US,5,20251112,182500,0.1254,0.1375,0.1254,0.1254,1500,0
SEVNR.US,5,20251112,183000,0.1375,0.1375,0.1258,0.1264,640,0
SEVNR.US,5,20251112,183500,0.1264,0.1265,0.1264,0.1264,916,0
SEVNR.US,5,20251112,184000,0.1264,0.1264,0.1264,0.1264,100,0
SEVNR.US,5,20251112,184500,0.1308,0.1312,0.1308,0.1312,200,0
SEVNR.US,5,20251112,185000,0.131,0.135,0.131,0.135,1500,0
SEVNR.US,5,20251112,185500,0.1304,0.14,0.1304,0.135,2965,0
SEVNR.US,5,20251112,190000,0.1308,0.14,0.1308,0.1353,7242,0
SEVNR.US,5,20251112,190500,0.1342,0.1405,0.13,0.13,17463,0
SEVNR.US,5,20251112,191000,0.1355,0.141,0.1344,0.1344,2131,0
SEVNR.US,5,20251112,191500,0.1355,0.1355,0.1355,0.1355,100,0
SEVNR.US,5,20251112,192000,0.1407,0.141,0.1355,0.1355,798,0
SEVNR.US,5,20251112,192500,0.1355,0.141,0.1355,0.1407,1100,0
SEVNR.US,5,20251112,193000,0.13,0.1355,0.13,0.1355,8340,0
SEVNR.US,5,20251112,193500,0.1407,0.1407,0.13,0.1355,5898,0
SEVNR.US,5,20251112,194000,0.1355,0.1406,0.1301,0.1301,517,0
SEVNR.US,5,20251112,194500,0.1355,0.1366,0.1355,0.1366,700,0
SEVNR.US,5,20251112,195000,0.1398,0.141,0.1355,0.1355,895,0
SEVNR.US,5,20251112,195500,0.1302,0.1355,0.1302,0.1355,1271,0
SEVNR.US,5,20251112,200000,0.1355,0.1377,0.1345,0.1355,1300,0
SEVNR.US,5,20251112,200500,0.1355,0.1355,0.1302,0.1302,900,0
SEVNR.US,5,20251112,201000,0.1302,0.1355,0.1301,0.1301,695,0
SEVNR.US,5,20251112,201500,0.1301,0.1349,0.13,0.13,5385,0
SEVNR.US,5,20251112,202000,0.1295,0.1397,0.129,0.1296,2600,0
SEVNR.US,5,20251112,202500,0.1296,0.1297,0.1295,0.1295,1458,0
SEVNR.US,5,20251112,203000,0.126,0.126,0.126,0.126,400,0
SEVNR.US,5,20251112,203500,0.1255,0.1255,0.1255,0.1255,200,0
SEVNR.US,5,20251112,204000,0.118,0.118,0.118,0.118,100,0
SEVNR.US,5,20251112,204500,0.118,0.1185,0.118,0.118,1798,0
SEVNR.US,5,20251112,205000,0.1181,0.1181,0.118,0.1181,861,0
SEVNR.US,5,20251112,205500,0.118001,0.1181,0.118,0.118,1350,0
SEVNR.US,5,20251112,210000,0.118,0.1181,0.118,0.118,400,0
SEVNR.US,5,20251112,210500,0.118,0.1183,0.118,0.1183,10339,0
SEVNR.US,5,20251112,211500,0.1183,0.1183,0.118,0.118,723,0
SEVNR.US,5,20251112,212000,0.1223,0.1223,0.105,0.105,24629,0
SEVNR.US,5,20251112,212500,0.1035,0.105,0.1,0.1,28953,0
SEVNR.US,5,20251112,213000,0.1,0.10005,0.07,0.07,19381,0
SEVNR.US,5,20251112,213500,0.0768,0.0768,0.0502,0.0502,2738,0
SEVNR.US,5,20251112,214000,0.06,0.07,0.06,0.0602,1846,0
SEVNR.US,5,20251112,214500,0.0601,0.07,0.0601,0.07,1630,0
SEVNR.US,5,20251112,215000,0.0691,0.0781,0.0608,0.0608,2051,0
SEVNR.US,5,20251112,215500,0.0603,0.099,0.0601,0.0602,6378,0
SEVNR.US,5,20251113,153000,0.05,0.0602,0.05,0.0602,11720,0
SEVNR.US,5,20251113,153500,0.0601,0.0607,0.06,0.06,20246,0
SEVNR.US,5,20251113,154000,0.0601,0.0645,0.0601,0.0644,7750,0
SEVNR.US,5,20251113,154500,0.0644,0.0644,0.060301,0.060601,3034,0
SEVNR.US,5,20251113,155000,0.062401,0.065,0.0608,0.0647,16829,0
SEVNR.US,5,20251113,155500,0.0689,0.0691,0.0656,0.0662,8287,0
SEVNR.US,5,20251113,160000,0.0687,0.0689,0.0687,0.0689,10568,0
SEVNR.US,5,20251113,160500,0.0694,0.07,0.06895,0.069996,38757,0
SEVNR.US,5,20251113,161000,0.09,0.0975,0.0769,0.095,13254,0
SEVNR.US,5,20251113,161500,0.1,0.1,0.0944,0.095,57976,0
SEVNR.US,5,20251113,162000,0.095,0.1,0.093,0.093,17668,0
SEVNR.US,5,20251113,162500,0.0793,0.0885,0.0654,0.0654,3766,0
SEVNR.US,5,20251113,163000,0.084999,0.085,0.082913,0.083,5399,0
SEVNR.US,5,20251113,163500,0.083,0.083,0.0652,0.065494,18549,0
SEVNR.US,5,20251113,164000,0.0659,0.068,0.0652,0.067,2981,0
SEVNR.US,5,20251113,164500,0.082245,0.082245,0.082245,0.082245,291,0
SEVNR.US,5,20251113,165000,0.085,0.09,0.0846,0.09,5364,0
SEVNR.US,5,20251113,165500,0.09,0.1004,0.0891,0.1003,34934,0
SEVNR.US,5,20251113,170000,0.10025,0.1004,0.1,0.1,20553,0
SEVNR.US,5,20251113,170500,0.1001,0.109,0.1,0.109,4219,0
SEVNR.US,5,20251113,171000,0.1002,0.109,0.1002,0.109,7377,0
SEVNR.US,5,20251113,171500,0.1179,0.1179,0.116182,0.116182,3276,0
SEVNR.US,5,20251113,172000,0.105,0.11,0.1,0.1,26161,0
SEVNR.US,5,20251113,172500,0.109,0.109,0.1001,0.1002,9215,0
SEVNR.US,5,20251113,173500,0.109,0.109,0.109,0.109,1232,0
SEVNR.US,5,20251113,174000,0.1003,0.1093,0.1,0.1,3510,0
SEVNR.US,5,20251113,174500,0.1025,0.104,0.1,0.1,23842,0
