<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFWL.US,5,20250829,153000,1.05,1.2,1.05,1.145,14239,0
SFWL.US,5,20250829,154500,1.2,1.2,1.2,1.2,100,0
SFWL.US,5,20250829,160500,1.13,1.14,1.1152,1.1152,4502,0
SFWL.US,5,20250829,161000,1.0901,1.15,1.0901,1.15,1100,0
SFWL.US,5,20250829,161500,1.12,1.12,1.0959,1.0959,200,0
SFWL.US,5,20250829,165500,1.12,1.12,1.12,1.12,100,0
SFWL.US,5,20250829,171000,1.12,1.12,1.12,1.12,918,0
SFWL.US,5,20250829,172000,1.12,1.12,1.12,1.12,100,0
SFWL.US,5,20250829,172500,1.14,1.14,1.14,1.14,215,0
SFWL.US,5,20250829,185000,1.1279,1.1279,1.1279,1.1279,363,0
SFWL.US,5,20250829,193000,1.1198,1.13,1.1198,1.13,900,0
SFWL.US,5,20250902,153500,1.0816,1.0816,1.0816,1.0816,215,0
SFWL.US,5,20250902,154000,1.11,1.11,1.1,1.1,1201,0
SFWL.US,5,20250902,155000,1.09,1.09,1.09,1.09,445,0
SFWL.US,5,20250902,155500,1.07,1.07,1.002,1.07,9128,0
SFWL.US,5,20250902,160000,1.06,1.06,1.06,1.06,261,0
SFWL.US,5,20250902,161500,1.0267,1.0267,1.0267,1.0267,3600,0
SFWL.US,5,20250902,174000,1.1121,1.1121,1.1121,1.1121,400,0
SFWL.US,5,20250902,174500,1.05,1.05,1.0402,1.0402,967,0
SFWL.US,5,20250902,201000,1.09,1.09,1.09,1.09,100,0
SFWL.US,5,20250902,205500,1.0701,1.0701,1.0701,1.0701,400,0
SFWL.US,5,20250902,213000,1.09,1.09,1.09,1.09,460,0
SFWL.US,5,20250902,215500,1.09,1.09,1.09,1.09,327,0
SFWL.US,5,20250903,153500,1.14,1.14,1.14,1.14,100,0
SFWL.US,5,20250903,165000,1.1161,1.1161,1.11,1.11,600,0
SFWL.US,5,20250903,175000,1.08,1.081,1.08,1.08,399,0
SFWL.US,5,20250903,215500,1.06,1.06,1.06,1.06,100,0
SFWL.US,5,20250904,153000,1.065,1.065,1.065,1.065,200,0
SFWL.US,5,20250904,154000,1.05,1.05,1.05,1.05,100,0
SFWL.US,5,20250904,155000,1.05,1.0501,1.05,1.0501,2437,0
SFWL.US,5,20250904,165000,1.05,1.05,1.05,1.05,200,0
SFWL.US,5,20250904,170500,1.05,1.05,1.05,1.05,100,0
SFWL.US,5,20250904,175000,1.05,1.05,1.05,1.05,100,0
SFWL.US,5,20250904,184000,1.08,1.08,1.08,1.08,100,0
SFWL.US,5,20250904,185000,1.05,1.05,1.05,1.05,300,0
SFWL.US,5,20250904,195000,1.05,1.05,1.05,1.05,137,0
SFWL.US,5,20250904,195500,1.065,1.07,1.065,1.07,250,0
SFWL.US,5,20250904,205000,1.05,1.05,1.05,1.05,200,0
SFWL.US,5,20250904,210500,1.05,1.05,1.05,1.05,1856,0
SFWL.US,5,20250904,215500,1.0447,1.05,1.04,1.04,310,0
SFWL.US,5,20250905,153000,1.04,1.04,1.04,1.04,175,0
SFWL.US,5,20250905,155000,1.04,1.04,1.04,1.04,183,0
SFWL.US,5,20250905,161500,1.04,1.04,1.04,1.04,100,0
SFWL.US,5,20250905,165000,1.04,1.04,1.04,1.04,200,0
SFWL.US,5,20250905,174500,1.0412,1.0416,1.0412,1.0416,3018,0
