<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNOA.US,5,20250829,153000,4.54,4.54,4.54,4.54,647,0
SNOA.US,5,20250829,154000,4.6,4.6,4.5764,4.5764,300,0
SNOA.US,5,20250829,154500,4.539,4.539,4.539,4.539,500,0
SNOA.US,5,20250829,155000,4.53,4.53,4.53,4.53,225,0
SNOA.US,5,20250829,160000,4.5301,4.57,4.5301,4.57,1351,0
SNOA.US,5,20250829,161000,4.5441,4.5441,4.5441,4.5441,200,0
SNOA.US,5,20250829,161500,4.541,4.57,4.54,4.54,4247,0
SNOA.US,5,20250829,162000,4.54,4.54,4.54,4.54,491,0
SNOA.US,5,20250829,162500,4.555,4.555,4.53,4.53,1876,0
SNOA.US,5,20250829,163000,4.53,4.53,4.48,4.48,12125,0
SNOA.US,5,20250829,163500,4.48,4.48,4.44,4.44,1000,0
SNOA.US,5,20250829,164000,4.5028,4.5028,4.5028,4.5028,500,0
SNOA.US,5,20250829,165500,4.46,4.46,4.46,4.46,200,0
SNOA.US,5,20250829,170500,4.51,4.51,4.46,4.46,1938,0
SNOA.US,5,20250829,173000,4.4539,4.4539,4.4539,4.4539,130,0
SNOA.US,5,20250829,173500,4.461,4.461,4.46,4.46,651,0
SNOA.US,5,20250829,174500,4.46,4.46,4.46,4.46,500,0
SNOA.US,5,20250829,180000,4.5299,4.5299,4.4621,4.4621,700,0
SNOA.US,5,20250829,181500,4.5259,4.5299,4.5259,4.5299,411,0
SNOA.US,5,20250829,192500,4.481,4.481,4.4582,4.4582,800,0
SNOA.US,5,20250829,194500,4.46,4.46,4.46,4.46,117,0
SNOA.US,5,20250829,201500,4.46,4.46,4.39,4.39,625,0
SNOA.US,5,20250829,204000,4.48,4.48,4.48,4.48,250,0
SNOA.US,5,20250829,210500,4.47,4.47,4.47,4.47,300,0
SNOA.US,5,20250829,212500,4.45,4.45,4.4,4.4,663,0
SNOA.US,5,20250829,215000,4.43,4.43,4.43,4.43,100,0
SNOA.US,5,20250829,215500,4.43,4.45,4.43,4.45,683,0
SNOA.US,5,20250902,153000,4.46,4.48,4.45,4.46,9952,0
SNOA.US,5,20250902,153500,4.48,4.48,4.48,4.48,3422,0
SNOA.US,5,20250902,154000,4.5,4.5599,4.4683,4.5599,3400,0
SNOA.US,5,20250902,154500,4.58,4.73,4.56,4.73,8247,0
SNOA.US,5,20250902,155000,4.6999,4.6999,4.6999,4.6999,530,0
SNOA.US,5,20250902,160000,4.6863,4.6887,4.58,4.58,1150,0
SNOA.US,5,20250902,160500,4.668,4.668,4.668,4.668,200,0
SNOA.US,5,20250902,161000,4.59,4.59,4.59,4.59,200,0
SNOA.US,5,20250902,161500,4.7,4.7,4.645,4.645,877,0
SNOA.US,5,20250902,162000,4.68,4.69,4.68,4.69,1000,0
SNOA.US,5,20250902,162500,4.6301,4.6301,4.6301,4.6301,500,0
SNOA.US,5,20250902,163000,4.6475,4.67,4.63,4.6473,4676,0
SNOA.US,5,20250902,163500,4.64,4.665,4.64,4.64,3770,0
SNOA.US,5,20250902,164000,4.64,4.64,4.6308,4.6308,500,0
SNOA.US,5,20250902,164500,4.69,4.69,4.69,4.69,147,0
SNOA.US,5,20250902,165500,4.653,4.653,4.653,4.653,1000,0
SNOA.US,5,20250902,170000,4.64,4.65,4.64,4.65,1100,0
SNOA.US,5,20250902,170500,4.649,4.649,4.649,4.649,100,0
SNOA.US,5,20250902,171500,4.6699,4.6699,4.6699,4.6699,100,0
SNOA.US,5,20250902,172000,4.665,4.68,4.665,4.68,300,0
SNOA.US,5,20250902,173000,4.6723,4.6723,4.65,4.65,782,0
SNOA.US,5,20250902,173500,4.645,4.66,4.645,4.66,300,0
SNOA.US,5,20250902,174000,4.66,4.66,4.66,4.66,159,0
SNOA.US,5,20250902,175000,4.6525,4.71,4.6525,4.71,1363,0
SNOA.US,5,20250902,175500,4.64,4.73,4.64,4.73,3078,0
SNOA.US,5,20250902,180000,4.7,4.7,4.67,4.67,3000,0
SNOA.US,5,20250902,180500,4.67,4.67,4.63,4.6647,1500,0
SNOA.US,5,20250902,183000,4.62,4.62,4.595,4.595,273,0
SNOA.US,5,20250902,190500,4.6182,4.6389,4.6182,4.6389,450,0
SNOA.US,5,20250902,191500,4.552,4.552,4.552,4.552,518,0
SNOA.US,5,20250902,193500,4.6,4.6,4.6,4.6,400,0
SNOA.US,5,20250902,201500,4.59,4.59,4.59,4.59,100,0
SNOA.US,5,20250902,202000,4.6389,4.6389,4.6389,4.6389,495,0
SNOA.US,5,20250902,204000,4.5889,4.5889,4.5889,4.5889,167,0
SNOA.US,5,20250902,211000,4.59,4.59,4.59,4.59,200,0
SNOA.US,5,20250902,214000,4.59,4.59,4.59,4.59,100,0
SNOA.US,5,20250902,214500,4.6357,4.6357,4.6357,4.6357,200,0
SNOA.US,5,20250902,215000,4.64,4.64,4.63,4.63,635,0
SNOA.US,5,20250902,215500,4.63,4.71,4.63,4.71,2002,0
SNOA.US,5,20250903,153000,4.61,4.7084,4.5858,4.7084,957,0
SNOA.US,5,20250903,153500,4.65,4.689,4.63,4.63,1058,0
SNOA.US,5,20250903,154000,4.6914,4.6914,4.6914,4.6914,160,0
