<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSBI.US,5,20250829,203000,11.64,11.64,11.64,11.64,300,0
SSBI.US,5,20250829,205000,11.59,11.59,11.58,11.58,1825,0
SSBI.US,5,20250829,210000,11.66,11.66,11.66,11.66,400,0
SSBI.US,5,20250829,210500,11.76,11.76,11.76,11.76,100,0
SSBI.US,5,20250829,211000,11.77,11.77,11.76,11.76,416,0
SSBI.US,5,20250829,212500,11.86,11.86,11.86,11.86,300,0
SSBI.US,5,20250829,215000,11.84,11.84,11.84,11.84,100,0
SSBI.US,5,20250902,174500,11.31,11.31,11.31,11.31,5100,0
SSBI.US,5,20250902,215500,11.89,11.9,11.84,11.84,348,0
SSBI.US,5,20250903,215000,11.82,11.875,11.82,11.875,200,0
SSBI.US,5,20250904,203500,11.87,11.87,11.87,11.87,100,0
SSBI.US,5,20250904,211000,11.65,11.67,11.65,11.66,605,0
SSBI.US,5,20250904,211500,11.65,11.65,11.65,11.65,197,0
SSBI.US,5,20250904,213500,11.784,11.7995,11.784,11.79,1382,0
SSBI.US,5,20250905,172000,11.6,11.6,11.6,11.6,412,0
SSBI.US,5,20250905,181000,11.76,11.76,11.76,11.76,3600,0
SSBI.US,5,20250905,181500,11.76,11.76,11.76,11.76,4400,0
SSBI.US,5,20250905,213000,11.71,11.71,11.71,11.71,300,0
SSBI.US,5,20250905,215500,11.805,11.805,11.805,11.805,100,0
SSBI.US,5,20250908,200500,11.76,11.76,11.76,11.76,199,0
SSBI.US,5,20250908,211500,11.8448,11.8448,11.8448,11.8448,125,0
SSBI.US,5,20250909,153000,11.76,11.76,11.76,11.76,398,0
SSBI.US,5,20250909,153500,11.84,11.84,11.84,11.84,125,0
SSBI.US,5,20250909,163000,11.76,11.76,11.76,11.76,100,0
SSBI.US,5,20250909,182000,11.76,11.76,11.76,11.76,100,0
SSBI.US,5,20250909,182500,11.76,11.76,11.76,11.76,213,0
SSBI.US,5,20250909,212500,11.83,11.83,11.83,11.83,100,0
SSBI.US,5,20250910,155500,11.83,11.83,11.83,11.83,100,0
SSBI.US,5,20250910,174000,11.84,11.84,11.84,11.84,100,0
SSBI.US,5,20250910,203500,11.84,11.84,11.84,11.84,100,0
SSBI.US,5,20250911,162500,11.83,11.83,11.83,11.83,100,0
SSBI.US,5,20250911,175500,11.83,11.83,11.83,11.83,100,0
SSBI.US,5,20250911,195500,11.83,11.83,11.83,11.83,100,0
SSBI.US,5,20250911,200000,11.83,11.83,11.83,11.83,440,0
SSBI.US,5,20250911,204500,11.85,11.85,11.85,11.85,5042,0
SSBI.US,5,20250911,205000,11.85,11.85,11.85,11.85,3958,0
SSBI.US,5,20250911,210000,11.83,11.83,11.83,11.83,1116,0
SSBI.US,5,20250911,214000,11.9074,11.9074,11.875,11.875,345,0
SSBI.US,5,20250911,215500,11.86,11.86,11.86,11.86,229,0
SSBI.US,5,20250912,154000,11.9,11.92,11.88,11.9,3797,0
SSBI.US,5,20250912,154500,12.07,12.07,12,12,200,0
SSBI.US,5,20250912,160000,11.97,11.97,11.97,11.97,100,0
SSBI.US,5,20250912,160500,11.99,11.99,11.99,11.99,200,0
SSBI.US,5,20250912,170500,11.95,11.95,11.95,11.95,100,0
SSBI.US,5,20250912,183000,11.86,11.86,11.86,11.86,100,0
SSBI.US,5,20250912,200000,11.95,11.95,11.95,11.95,200,0
SSBI.US,5,20250912,212500,11.95,11.95,11.95,11.95,100,0
SSBI.US,5,20250912,215500,11.95,11.95,11.95,11.95,414,0
SSBI.US,5,20250915,153000,11.95,11.9501,11.95,11.9501,1722,0
SSBI.US,5,20250915,161000,11.95,11.95,11.95,11.95,100,0
SSBI.US,5,20250915,173000,11.97,11.97,11.97,11.97,7500,0
SSBI.US,5,20250915,214000,11.95,11.95,11.95,11.95,300,0
SSBI.US,5,20250916,200500,12.06,12.06,12.06,12.06,100,0
SSBI.US,5,20250916,211000,11.88,11.885,11.88,11.88,3544,0
SSBI.US,5,20250916,212000,11.88,11.88,11.86,11.86,5989,0
SSBI.US,5,20250917,162500,11.8,11.8,11.8,11.8,470,0
SSBI.US,5,20250917,191500,11.925,11.925,11.925,11.925,100,0
SSBI.US,5,20250917,200500,12,12,11.995,12,500,0
SSBI.US,5,20250917,204500,11.86,11.86,11.86,11.86,5780,0
SSBI.US,5,20250917,215500,11.86,11.875,11.85,11.875,3438,0
SSBI.US,5,20250918,153000,11.82,11.82,11.82,11.82,101,0
SSBI.US,5,20250918,160500,11.85,11.8575,11.85,11.8575,7000,0
SSBI.US,5,20250918,180000,11.945,11.95,11.94,11.95,1576,0
SSBI.US,5,20250918,182500,11.905,11.95,11.905,11.95,4623,0
SSBI.US,5,20250918,190500,11.95,11.95,11.95,11.95,7500,0
SSBI.US,5,20250918,200500,11.9,11.9,11.9,11.9,1169,0
SSBI.US,5,20250918,211000,11.91,11.95,11.91,11.95,17595,0
SSBI.US,5,20250918,211500,12,12,12,12,296,0
SSBI.US,5,20250918,215500,12.02,12.02,12.02,12.02,100,0
SSBI.US,5,20250919,163500,12.05,12.05,12.05,12.05,100,0
SSBI.US,5,20250919,192500,12.01,12.02,12,12.0001,3067,0
SSBI.US,5,20250919,194000,12.01,12.01,12,12,1317,0
SSBI.US,5,20250919,194500,12.04,12.04,12.04,12.04,200,0
SSBI.US,5,20250919,201500,12,12.03,12,12.03,1855,0
SSBI.US,5,20250919,211500,12.015,12.015,12.015,12.015,420,0
SSBI.US,5,20250919,212000,12.03,12.03,12.03,12.03,100,0
SSBI.US,5,20250919,215000,12,12,12,12,368,0
SSBI.US,5,20250919,215500,12,12,11.95,11.95,858,0
SSBI.US,5,20250922,154000,11.96,11.96,11.96,11.96,100,0
SSBI.US,5,20250922,154500,11.95,11.95,11.95,11.95,100,0
SSBI.US,5,20250922,174000,11.97,11.97,11.95,11.97,930,0
SSBI.US,5,20250922,181500,11.99,11.99,11.99,11.99,100,0
SSBI.US,5,20250922,190500,12.02,12.02,12.02,12.02,100,0
SSBI.US,5,20250922,191500,11.96,11.9787,11.96,11.9787,500,0
SSBI.US,5,20250922,193000,11.97,11.97,11.95,11.95,7793,0
SSBI.US,5,20250922,210000,11.98,11.98,11.97,11.97,700,0
SSBI.US,5,20250922,215500,12.005,12.005,11.98,11.98,229,0
SSBI.US,5,20250923,153500,12.06,12.06,12.06,12.06,100,0
SSBI.US,5,20250923,175000,12.02,12.02,12.02,12.02,100,0
SSBI.US,5,20250923,180500,12.02,12.02,12.02,12.02,400,0
SSBI.US,5,20250923,182500,12.02,12.02,12.02,12.02,7535,0
SSBI.US,5,20250924,154500,12.07,12.07,12.07,12.07,100,0
SSBI.US,5,20250924,180500,12.132,12.132,12.132,12.132,250,0
SSBI.US,5,20250924,202500,12.031,12.031,12.031,12.031,1000,0
SSBI.US,5,20250924,203000,12.03,12.0302,12.03,12.0302,4000,0
SSBI.US,5,20250925,153000,12.05,12.05,12.05,12.05,302,0
SSBI.US,5,20250925,164000,12.03,12.03,12.03,12.03,100,0
SSBI.US,5,20250925,165000,12.02,12.02,12.02,12.02,200,0
