<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSEAR.US,5,20251002,183000,0.25,0.25,0.25,0.25,10000,0
SSEAR.US,5,20251002,184500,0.26,0.26,0.25,0.26,65000,0
SSEAR.US,5,20251002,185000,0.26,0.26,0.26,0.26,55000,0
SSEAR.US,5,20251002,193500,0.26,0.26,0.26,0.26,29800,0
SSEAR.US,5,20251002,195000,0.26,0.26,0.26,0.26,25000,0
SSEAR.US,5,20251002,195500,0.26,0.26,0.26,0.26,75200,0
SSEAR.US,5,20251002,201000,0.24,0.2409,0.24,0.2409,40100,0
SSEAR.US,5,20251002,201500,0.2409,0.2409,0.2409,0.2409,9900,0
SSEAR.US,5,20251002,204000,0.24,0.24,0.24,0.24,140000,0
SSEAR.US,5,20251002,204500,0.24,0.24,0.24,0.24,100000,0
SSEAR.US,5,20251002,210000,0.24,0.24,0.24,0.24,100000,0
SSEAR.US,5,20251002,210500,0.24,0.24,0.24,0.24,51882,0
SSEAR.US,5,20251002,211000,0.24,0.24,0.24,0.24,25000,0
SSEAR.US,5,20251002,211500,0.24,0.24,0.24,0.24,23118,0
SSEAR.US,5,20251002,213000,0.24,0.24,0.24,0.24,100000,0
SSEAR.US,5,20251002,214000,0.24,0.24,0.24,0.24,126882,0
SSEAR.US,5,20251002,215500,0.25,0.25,0.25,0.25,100,0
SSEAR.US,5,20251003,155000,0.259999,0.259999,0.259999,0.259999,14346,0
SSEAR.US,5,20251003,161500,0.26,0.26,0.2599,0.2599,1150,0
SSEAR.US,5,20251003,163000,0.23,0.23,0.23,0.23,600,0
SSEAR.US,5,20251003,170500,0.26,0.26,0.26,0.26,600,0
SSEAR.US,5,20251006,170500,0.25,0.25,0.25,0.25,20000,0
SSEAR.US,5,20251006,174000,0.23,0.23,0.23,0.23,181250,0
SSEAR.US,5,20251006,180500,0.234,0.234,0.23,0.23,5000,0
SSEAR.US,5,20251007,154500,0.24,0.24,0.24,0.24,3895,0
SSEAR.US,5,20251007,182500,0.2499,0.2499,0.2499,0.2499,300,0
SSEAR.US,5,20251007,184000,0.248,0.248,0.248,0.248,100,0
SSEAR.US,5,20251007,193000,0.24,0.24,0.24,0.24,5300,0
SSEAR.US,5,20251007,193500,0.24,0.24,0.24,0.24,1900,0
SSEAR.US,5,20251008,153000,0.2562,0.26,0.2562,0.26,300,0
SSEAR.US,5,20251008,153500,0.26,0.26,0.2599,0.2599,900,0
