<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSKN.US,5,20250829,153000,2.19,2.19,2.05,2.1,40286,0
SSKN.US,5,20250829,153500,2.08,2.1631,2.06,2.1354,34010,0
SSKN.US,5,20250829,154000,2.12,2.14,2.08,2.09,17903,0
SSKN.US,5,20250829,154500,2.08,2.19,1.95,2.15,72032,0
SSKN.US,5,20250829,155000,2.15,2.18,2.11,2.14,19248,0
SSKN.US,5,20250829,155500,2.12,2.16,2.0928,2.16,13895,0
SSKN.US,5,20250829,160000,2.16,2.44,2.12,2.3549,166397,0
SSKN.US,5,20250829,160500,2.347922,2.359999,2.27,2.3,71880,0
SSKN.US,5,20250829,161000,2.32,2.39,2.2705,2.34,65554,0
SSKN.US,5,20250829,161500,2.35,2.42,2.34,2.385,69581,0
SSKN.US,5,20250829,162000,2.39,2.44,2.35,2.41,57879,0
SSKN.US,5,20250829,162500,2.41,2.59,2.4,2.5626,153214,0
SSKN.US,5,20250829,163000,2.57,2.57,2.31,2.47,136420,0
SSKN.US,5,20250829,163500,2.4684,2.49,2.4,2.4268,38402,0
SSKN.US,5,20250829,164000,2.41,2.43,2.37,2.42,25094,0
SSKN.US,5,20250829,164500,2.45,2.55,2.38,2.4299,55894,0
SSKN.US,5,20250829,165000,2.41,2.46,2.39,2.43,31456,0
SSKN.US,5,20250829,165500,2.42,2.45,2.3842,2.44,12405,0
SSKN.US,5,20250829,170000,2.4201,2.4478,2.4,2.41,8658,0
SSKN.US,5,20250829,170500,2.415,2.424,2.28,2.28,49711,0
SSKN.US,5,20250829,171000,2.2807,2.32,2.28,2.32,7696,0
SSKN.US,5,20250829,171500,2.305,2.3399,2.3,2.3001,6516,0
SSKN.US,5,20250829,172000,2.3115,2.34,2.2901,2.305,8609,0
SSKN.US,5,20250829,172500,2.29,2.29,2.18,2.19,53915,0
SSKN.US,5,20250829,173000,2.222,2.23,2.2055,2.22,2803,0
SSKN.US,5,20250829,173500,2.2207,2.225,2.2112,2.22,2839,0
SSKN.US,5,20250829,174000,2.215,2.23,2.2121,2.23,3832,0
SSKN.US,5,20250829,174500,2.22,2.23,2.21,2.23,13838,0
SSKN.US,5,20250829,175000,2.22,2.25,2.22,2.2301,7527,0
SSKN.US,5,20250829,175500,2.24,2.24,2.2125,2.225,7049,0
SSKN.US,5,20250829,180000,2.22,2.22661,2.1938,2.2,11783,0
SSKN.US,5,20250829,180500,2.224,2.3,2.224,2.26,10174,0
SSKN.US,5,20250829,181000,2.2971,2.2971,2.255,2.255,2790,0
SSKN.US,5,20250829,181500,2.28,2.3196,2.27,2.3,5066,0
SSKN.US,5,20250829,182000,2.3,2.3,2.29,2.295,3530,0
SSKN.US,5,20250829,182500,2.33,2.33,2.26,2.3,4411,0
SSKN.US,5,20250829,183000,2.3216,2.33,2.305,2.32,4346,0
SSKN.US,5,20250829,183500,2.31,2.39,2.31,2.3669,26640,0
SSKN.US,5,20250829,184000,2.33,2.3514,2.29,2.3514,11257,0
SSKN.US,5,20250829,184500,2.3584,2.3584,2.26,2.26,8615,0
SSKN.US,5,20250829,185000,2.35,2.36,2.34,2.36,3281,0
SSKN.US,5,20250829,185500,2.35,2.36,2.2905,2.34,2155,0
SSKN.US,5,20250829,190000,2.33,2.33,2.25,2.292,5945,0
SSKN.US,5,20250829,190500,2.3,2.31,2.2806,2.31,3190,0
SSKN.US,5,20250829,191000,2.3,2.33,2.29,2.29,2346,0
SSKN.US,5,20250829,191500,2.27,2.32,2.27,2.32,854,0
SSKN.US,5,20250829,192000,2.306,2.31,2.285,2.3,1100,0
SSKN.US,5,20250829,192500,2.29,2.298,2.2507,2.26,3201,0
SSKN.US,5,20250829,193000,2.285,2.3085,2.27,2.285,2711,0
SSKN.US,5,20250829,193500,2.26,2.3,2.2501,2.3,5117,0
SSKN.US,5,20250829,194000,2.31,2.32,2.3,2.3,1500,0
SSKN.US,5,20250829,194500,2.3,2.3,2.3,2.3,300,0
SSKN.US,5,20250829,195000,2.3,2.316,2.29,2.316,1300,0
SSKN.US,5,20250829,195500,2.31,2.31,2.25,2.256,5890,0
SSKN.US,5,20250829,200000,2.29,2.34,2.29,2.32,9002,0
SSKN.US,5,20250829,200500,2.33,2.33,2.31,2.31,4573,0
SSKN.US,5,20250829,201000,2.305,2.31,2.305,2.31,3400,0
SSKN.US,5,20250829,201500,2.3,2.3,2.2902,2.3,553,0
SSKN.US,5,20250829,202000,2.29,2.29,2.29,2.29,3300,0
SSKN.US,5,20250829,202500,2.308,2.315,2.29,2.3101,6035,0
SSKN.US,5,20250829,203000,2.31,2.31,2.3,2.3,1925,0
SSKN.US,5,20250829,203500,2.2855,2.2855,2.27,2.27,9601,0
SSKN.US,5,20250829,204000,2.2785,2.33,2.2785,2.33,2281,0
SSKN.US,5,20250829,204500,2.29,2.295,2.29,2.295,200,0
SSKN.US,5,20250829,205000,2.32,2.32,2.32,2.32,100,0
SSKN.US,5,20250829,205500,2.31,2.33,2.3,2.3,17505,0
SSKN.US,5,20250829,210000,2.3138,2.3138,2.3138,2.3138,500,0
SSKN.US,5,20250829,210500,2.33,2.33,2.33,2.33,200,0
SSKN.US,5,20250829,211000,2.3033,2.32,2.3032,2.315,4555,0
SSKN.US,5,20250829,211500,2.31,2.31,2.31,2.31,555,0
SSKN.US,5,20250829,212000,2.32,2.32,2.315,2.32,3300,0
SSKN.US,5,20250829,212500,2.32,2.34,2.32,2.33,3400,0
SSKN.US,5,20250829,213000,2.34,2.59,2.33,2.5504,70302,0
SSKN.US,5,20250829,213500,2.565,2.568,2.41,2.44,20500,0
SSKN.US,5,20250829,214000,2.4599,2.49,2.4372,2.4372,14237,0
SSKN.US,5,20250829,214500,2.455,2.47,2.43,2.44,8212,0
SSKN.US,5,20250829,215000,2.44,2.47,2.43,2.45,16484,0
SSKN.US,5,20250829,215500,2.46,2.48,2.33,2.38,42193,0
SSKN.US,5,20250902,153000,3.53,3.86,3.26,3.3737,3313366,0
SSKN.US,5,20250902,153500,3.38,3.4642,3.23,3.26,981842,0
SSKN.US,5,20250902,154000,3.265,3.4199,3.22,3.3599,694363,0
SSKN.US,5,20250902,154500,3.3405,3.56,3.33,3.45,897842,0
SSKN.US,5,20250902,155000,3.46,3.64,3.36,3.422,1079207,0
SSKN.US,5,20250902,155500,3.4202,3.75,3.39,3.68,1030923,0
SSKN.US,5,20250902,160000,3.68,3.7,3.27,3.3178,1099767,0
SSKN.US,5,20250902,160500,3.3001,3.57,3.3,3.5411,533025,0
SSKN.US,5,20250902,161000,3.55,3.57,3.39,3.4299,253628,0
SSKN.US,5,20250902,161500,3.4201,3.49,3.35,3.3899,270948,0
SSKN.US,5,20250902,162000,3.37,3.42,3.32,3.35,216245,0
SSKN.US,5,20250902,162500,3.3484,3.37,3.32,3.35,133388,0
SSKN.US,5,20250902,163000,3.3554,3.3868,3.21,3.28,412274,0
SSKN.US,5,20250902,163500,3.28,3.37,3.28,3.31,134891,0
SSKN.US,5,20250902,164000,3.3001,3.32,3.21,3.24,160031,0
SSKN.US,5,20250902,164500,3.24,3.34,3.24,3.3258,122874,0
SSKN.US,5,20250902,165000,3.3298,3.35,3.25,3.27,77427,0
SSKN.US,5,20250902,165500,3.2709,3.36,3.23,3.3301,125043,0
SSKN.US,5,20250902,170000,3.3399,3.46,3.3,3.3321,393048,0
SSKN.US,5,20250902,170500,3.3301,3.35,3.24,3.35,111554,0
SSKN.US,5,20250902,171000,3.33,3.38,3.26,3.3192,101512,0
SSKN.US,5,20250902,171500,3.33,3.45,3.31,3.41,158582,0
SSKN.US,5,20250902,172000,3.405,3.45,3.26,3.314,180471,0
SSKN.US,5,20250902,172500,3.2801,3.33,3.066,3.15,267769,0
SSKN.US,5,20250902,173000,3.13,3.23,3.11,3.2007,145699,0
SSKN.US,5,20250902,173500,3.2,3.28,3.15,3.2016,89040,0
SSKN.US,5,20250902,174000,3.22,3.23,3.16,3.16,41011,0
SSKN.US,5,20250902,174500,3.16,3.195,3.06,3.12,105828,0
SSKN.US,5,20250902,175000,3.1292,3.22,3.09,3.19,98916,0
SSKN.US,5,20250902,175500,3.18,3.22,3.15,3.185,62345,0
SSKN.US,5,20250902,180000,3.19,3.25,3.1313,3.1313,54638,0
SSKN.US,5,20250902,180500,3.13,3.16,3.06,3.08,89608,0
SSKN.US,5,20250902,181000,3.08,3.1,3,3.0233,182771,0
SSKN.US,5,20250902,181500,3.024,3.04,2.9997,2.9997,76905,0
SSKN.US,5,20250902,182000,3,3.04,2.8,2.85,285626,0
SSKN.US,5,20250902,182500,2.86,2.875,2.72,2.76,331817,0
SSKN.US,5,20250902,183000,2.755,2.88,2.72,2.795,197072,0
SSKN.US,5,20250902,183500,2.7988,2.8,2.74,2.765,72474,0
SSKN.US,5,20250902,184000,2.762,2.83,2.7609,2.79,80426,0
SSKN.US,5,20250902,184500,2.7872,2.8499,2.76,2.8,52490,0
SSKN.US,5,20250902,185000,2.8058,2.84,2.8,2.82,42810,0
SSKN.US,5,20250902,185500,2.83,2.83,2.57,2.59,268944,0
SSKN.US,5,20250902,190000,2.5878,2.67,2.57,2.65,109550,0
SSKN.US,5,20250902,190500,2.65,2.6501,2.55,2.5781,109499,0
