<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAIT.US,5,20250829,153000,2.12,2.12,2.12,2.12,171,0
TAIT.US,5,20250829,154000,2.12,2.12,2.12,2.12,157,0
TAIT.US,5,20250829,160000,2.12,2.15,2.1199,2.1199,3266,0
TAIT.US,5,20250829,164000,2.13,2.14,2.13,2.14,403,0
TAIT.US,5,20250829,164500,2.1001,2.125,2.1,2.1,8167,0
TAIT.US,5,20250829,183000,2.12,2.12,2.12,2.12,100,0
TAIT.US,5,20250829,184500,2.12,2.12,2.12,2.12,100,0
TAIT.US,5,20250829,203000,2.12,2.12,2.12,2.12,1100,0
TAIT.US,5,20250902,154000,2.1219,2.1219,2.1219,2.1219,100,0
TAIT.US,5,20250902,154500,2.1292,2.1292,2.1292,2.1292,500,0
TAIT.US,5,20250902,160500,2.1201,2.1201,2.1201,2.1201,300,0
TAIT.US,5,20250902,163000,2.13,2.13,2.13,2.13,500,0
TAIT.US,5,20250902,164000,2.13,2.13,2.12,2.12,263,0
TAIT.US,5,20250902,164500,2.0784,2.0784,2.0784,2.0784,500,0
TAIT.US,5,20250902,165000,2.0862,2.0862,2.0862,2.0862,144,0
TAIT.US,5,20250902,171500,2.099,2.1,2.099,2.0999,547,0
TAIT.US,5,20250902,174500,2.0905,2.0905,2.0905,2.0905,2609,0
TAIT.US,5,20250902,181500,2.1295,2.1295,2.1295,2.1295,200,0
TAIT.US,5,20250902,204500,2.11,2.11,2.11,2.11,100,0
TAIT.US,5,20250902,215500,2.11,2.11,2.11,2.11,101,0
TAIT.US,5,20250903,165500,2.1095,2.1095,2.1095,2.1095,200,0
TAIT.US,5,20250903,194000,2.11,2.11,2.11,2.11,100,0
TAIT.US,5,20250903,201500,2.11,2.1101,2.11,2.1101,400,0
TAIT.US,5,20250903,202000,2.11,2.11,2.11,2.11,100,0
TAIT.US,5,20250903,204000,2.115,2.12,2.115,2.12,5246,0
TAIT.US,5,20250903,210500,2.13,2.13,2.1279,2.13,6559,0
TAIT.US,5,20250903,211000,2.14,2.1408,2.14,2.1408,657,0
TAIT.US,5,20250903,211500,2.13,2.1301,2.13,2.1301,4000,0
TAIT.US,5,20250903,212500,2.1274,2.1274,2.1274,2.1274,300,0
TAIT.US,5,20250903,213500,2.1274,2.1274,2.1274,2.1274,100,0
TAIT.US,5,20250903,215000,2.12,2.12,2.11,2.1101,4231,0
TAIT.US,5,20250903,215500,2.11,2.1294,2.085,2.1,5976,0
TAIT.US,5,20250904,153000,2.146,2.146,2.146,2.146,274,0
TAIT.US,5,20250904,163500,2.1684,2.1684,2.1684,2.1684,500,0
TAIT.US,5,20250904,172500,2.1208,2.1208,2.1208,2.1208,556,0
TAIT.US,5,20250904,174500,2.145,2.145,2.11,2.11,5319,0
TAIT.US,5,20250904,175000,2.13,2.13,2.1002,2.12,3704,0
TAIT.US,5,20250904,201500,2.12,2.12,2.12,2.12,102,0
TAIT.US,5,20250904,203500,2.1299,2.1299,2.1299,2.1299,1000,0
TAIT.US,5,20250904,210500,2.12,2.12,2.12,2.12,100,0
TAIT.US,5,20250904,215000,2.1299,2.1299,2.115,2.115,5376,0
TAIT.US,5,20250904,215500,2.115,2.115,2.115,2.115,200,0
TAIT.US,5,20250905,153000,2.15,2.152,2.15,2.152,2294,0
TAIT.US,5,20250905,154500,2.15,2.1509,2.15,2.1509,536,0
TAIT.US,5,20250905,155000,2.15,2.15,2.1416,2.1416,425,0
TAIT.US,5,20250905,155500,2.125,2.125,2.125,2.125,100,0
TAIT.US,5,20250905,175000,2.14,2.14,2.13,2.13,5136,0
TAIT.US,5,20250905,180500,2.14,2.14,2.14,2.14,100,0
TAIT.US,5,20250905,182000,2.15,2.15,2.15,2.15,400,0
TAIT.US,5,20250905,185000,2.1408,2.1408,2.1408,2.1408,100,0
TAIT.US,5,20250905,200000,2.1221,2.1221,2.1221,2.1221,100,0
TAIT.US,5,20250905,204000,2.14,2.14,2.14,2.14,200,0
TAIT.US,5,20250905,215000,2.14,2.14,2.14,2.14,121,0
TAIT.US,5,20250905,215500,2.14,2.14,2.135,2.135,1100,0
TAIT.US,5,20250908,153000,2.13,2.13,2.13,2.13,633,0
TAIT.US,5,20250908,155500,2.1429,2.1485,2.14,2.14,7342,0
TAIT.US,5,20250908,160000,2.1497,2.1499,2.1497,2.1499,1558,0
TAIT.US,5,20250908,160500,2.145,2.1499,2.145,2.145,3500,0
TAIT.US,5,20250908,161000,2.1492,2.1492,2.1492,2.1492,100,0
TAIT.US,5,20250908,162000,2.15,2.15,2.15,2.15,490,0
TAIT.US,5,20250908,163000,2.2,2.2,2.18,2.18,700,0
TAIT.US,5,20250908,163500,2.1918,2.1918,2.1918,2.1918,500,0
TAIT.US,5,20250908,164000,2.19,2.19,2.19,2.19,492,0
TAIT.US,5,20250908,165000,2.1942,2.1942,2.1942,2.1942,735,0
TAIT.US,5,20250908,165500,2.2,2.215,2.2,2.214,459,0
TAIT.US,5,20250908,170000,2.2099,2.3,2.2098,2.22,12006,0
TAIT.US,5,20250908,170500,2.2138,2.2138,2.2138,2.2138,500,0
TAIT.US,5,20250908,171500,2.21,2.21,2.21,2.21,155,0
TAIT.US,5,20250908,175000,2.2147,2.2147,2.2147,2.2147,1000,0
TAIT.US,5,20250908,180500,2.2244,2.2244,2.2244,2.2244,400,0
TAIT.US,5,20250908,182500,2.23,2.23,2.23,2.23,2200,0
TAIT.US,5,20250908,191500,2.23,2.23,2.23,2.23,1000,0
TAIT.US,5,20250908,200500,2.21,2.21,2.21,2.21,1096,0
TAIT.US,5,20250908,201500,2.21,2.2165,2.14,2.1464,7892,0
TAIT.US,5,20250908,203000,2.1794,2.1794,2.1794,2.1794,300,0
TAIT.US,5,20250908,204500,2.173,2.173,2.173,2.173,100,0
TAIT.US,5,20250908,205000,2.2,2.2,2.2,2.2,100,0
TAIT.US,5,20250908,211000,2.2,2.2151,2.2,2.2151,600,0
TAIT.US,5,20250908,211500,2.22,2.85,2.21,2.75,531082,0
TAIT.US,5,20250908,212000,2.75,2.7599,2.61,2.7127,202668,0
TAIT.US,5,20250908,212500,2.7583,2.98,2.65,2.96,349664,0
TAIT.US,5,20250908,213000,2.94,4.12,2.92,3.82,2082558,0
TAIT.US,5,20250908,213500,3.81,4.85,3.81,4.3165,3266176,0
