<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBMC.US,5,20250829,162000,11.63,11.63,11.63,11.63,100,0
TBMC.US,5,20250902,153000,11.56,11.62,11.56,11.62,1100,0
TBMC.US,5,20250902,155000,11.62,11.62,11.62,11.62,2600,0
TBMC.US,5,20250902,160500,11.668,11.668,11.668,11.668,100,0
TBMC.US,5,20250902,165500,11.6,11.6,11.6,11.6,100,0
TBMC.US,5,20250902,170000,11.6,11.6,11.6,11.6,7300,0
TBMC.US,5,20250902,172500,11.67,11.67,11.67,11.67,100,0
TBMC.US,5,20250902,173500,11.57,11.57,11.57,11.57,100,0
TBMC.US,5,20250902,183000,11.57,11.57,11.56,11.56,800,0
TBMC.US,5,20250902,183500,11.668,11.668,11.668,11.668,100,0
TBMC.US,5,20250904,153500,11.63,11.63,11.63,11.63,2250,0
TBMC.US,5,20250904,155000,11.62,11.65,11.6,11.65,2100,0
TBMC.US,5,20250904,161000,11.6,11.6,11.6,11.6,921,0
TBMC.US,5,20250904,161500,11.63,11.63,11.63,11.63,100,0
TBMC.US,5,20250904,173000,11.621,11.621,11.621,11.621,400,0
TBMC.US,5,20250904,185000,11.62,11.62,11.62,11.62,125,0
TBMC.US,5,20250904,195000,11.61,11.61,11.61,11.61,100,0
TBMC.US,5,20250905,181500,11.65,11.65,11.6,11.65,300,0
TBMC.US,5,20250908,154000,11.56,11.57,11.56,11.56,3419,0
TBMC.US,5,20250908,161000,11.6338,11.6338,11.6338,11.6338,100,0
TBMC.US,5,20250908,210500,11.65,11.65,11.65,11.65,100,0
TBMC.US,5,20250909,154500,11.65,11.65,11.65,11.65,170,0
TBMC.US,5,20250909,155000,11.56,11.64,11.56,11.64,270,0
TBMC.US,5,20250909,180000,11.64,11.65,11.64,11.65,10932,0
TBMC.US,5,20250909,182500,11.6463,11.65,11.645,11.65,1930,0
TBMC.US,5,20250909,183000,11.66,11.66,11.645,11.65,415,0
TBMC.US,5,20250909,183500,11.6401,11.6401,11.6401,11.6401,411,0
TBMC.US,5,20250909,190000,11.62,11.62,11.62,11.62,200,0
