<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGTX.US,5,20250829,153000,29.02,29.052,28.95,29.05,21447,0
TGTX.US,5,20250829,153500,28.9664,29.05,28.89,28.89,39639,0
TGTX.US,5,20250829,154000,28.885,29,28.81,28.9615,8891,0
TGTX.US,5,20250829,154500,29,29,28.8512,28.905,29541,0
TGTX.US,5,20250829,155000,28.92,29.1,28.92,29.03,34650,0
TGTX.US,5,20250829,155500,29.01,29.025,28.91,29.0047,14465,0
TGTX.US,5,20250829,160000,29.02,29.11,28.97,28.995,14869,0
TGTX.US,5,20250829,160500,28.975,28.975,28.91,28.94,9367,0
TGTX.US,5,20250829,161000,28.93,28.94,28.8801,28.94,5164,0
TGTX.US,5,20250829,161500,28.93,29.015,28.905,28.98,9150,0
TGTX.US,5,20250829,162000,28.975,29.09,28.975,29.03,4901,0
TGTX.US,5,20250829,162500,29.02,29.17,29,29.15,11777,0
TGTX.US,5,20250829,163000,29.14,29.2,29.1,29.16,21149,0
TGTX.US,5,20250829,163500,29.17,29.19,29.07,29.07,4317,0
TGTX.US,5,20250829,164000,29.035,29.035,28.99,29.015,4528,0
TGTX.US,5,20250829,164500,29.005,29.02,28.99,29.02,2700,0
TGTX.US,5,20250829,165000,29.03,29.05,29.0153,29.05,3015,0
TGTX.US,5,20250829,165500,29.04,29.07,29.02,29.04,4659,0
TGTX.US,5,20250829,170000,29.04,29.15,29.02,29.07,7134,0
TGTX.US,5,20250829,170500,29.065,29.16,29.02,29.02,16562,0
TGTX.US,5,20250829,171000,29.02,29.025,28.92,28.92,17935,0
TGTX.US,5,20250829,171500,28.915,28.915,28.78,28.8012,17529,0
TGTX.US,5,20250829,172000,28.815,28.89,28.73,28.75,21875,0
TGTX.US,5,20250829,172500,28.77,28.835,28.7628,28.83,3652,0
TGTX.US,5,20250829,173000,28.84,28.885,28.81,28.82,19584,0
TGTX.US,5,20250829,173500,28.82,28.83,28.74,28.74,3296,0
TGTX.US,5,20250829,174000,28.73,28.771,28.72,28.76,14400,0
TGTX.US,5,20250829,174500,28.755,28.79,28.747,28.75,7636,0
TGTX.US,5,20250829,175000,28.75,28.78,28.74,28.78,4456,0
TGTX.US,5,20250829,175500,28.78,28.785,28.67,28.67,9499,0
TGTX.US,5,20250829,180000,28.66,28.66,28.605,28.62,8314,0
TGTX.US,5,20250829,180500,28.625,28.71,28.625,28.7,15488,0
TGTX.US,5,20250829,181000,28.7,28.78,28.7,28.78,4060,0
TGTX.US,5,20250829,181500,28.765,28.8893,28.75,28.8893,21638,0
TGTX.US,5,20250829,182000,28.88,28.9,28.84,28.9,9275,0
TGTX.US,5,20250829,182500,28.8965,28.91,28.87,28.875,4242,0
TGTX.US,5,20250829,183000,28.87,28.88,28.86,28.88,6685,0
TGTX.US,5,20250829,183500,28.885,28.93,28.88,28.915,17669,0
TGTX.US,5,20250829,184000,28.91,28.92,28.86,28.86,8252,0
TGTX.US,5,20250829,184500,28.85,28.89,28.84,28.84,6132,0
TGTX.US,5,20250829,185000,28.83,28.91,28.83,28.9,10393,0
TGTX.US,5,20250829,185500,28.88,28.88,28.83,28.83,1815,0
TGTX.US,5,20250829,190000,28.83,28.83,28.79,28.82,3720,0
TGTX.US,5,20250829,190500,28.82,28.86,28.82,28.855,2574,0
TGTX.US,5,20250829,191000,28.85,28.8543,28.84,28.8543,3145,0
TGTX.US,5,20250829,191500,28.85,28.85,28.795,28.81,5283,0
TGTX.US,5,20250829,192000,28.83,28.87,28.8284,28.84,2290,0
TGTX.US,5,20250829,192500,28.85,28.85,28.84,28.85,1782,0
TGTX.US,5,20250829,193000,28.845,28.95,28.84,28.95,3294,0
TGTX.US,5,20250829,193500,28.94,29.01,28.9,29.01,15283,0
TGTX.US,5,20250829,194000,29.005,29.04,29.005,29.0201,2693,0
TGTX.US,5,20250829,194500,29.03,29.07,29,29.02,23021,0
TGTX.US,5,20250829,195000,29.01,29.03,29,29,2070,0
TGTX.US,5,20250829,195500,29.005,29.03,28.99,29.025,3892,0
TGTX.US,5,20250829,200000,29.02,29.02,28.97,28.97,4812,0
TGTX.US,5,20250829,200500,28.96,28.98,28.95,28.975,2300,0
TGTX.US,5,20250829,201000,28.97,29,28.96,28.96,5581,0
TGTX.US,5,20250829,201500,28.96,28.96,28.91,28.92,3203,0
TGTX.US,5,20250829,202000,28.91,28.9902,28.91,28.99,18933,0
TGTX.US,5,20250829,202500,28.98,28.985,28.965,28.965,2956,0
TGTX.US,5,20250829,203000,28.97,29.01,28.96,29.01,4586,0
