<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRBF.US,5,20251008,202500,50.15,50.15,50.15,50.15,208011,0
TRBF.US,5,20251008,203000,50.15,50.15,50.13,50.13,53596,0
TRBF.US,5,20251008,203500,50.12,50.12,50.12,50.12,16538,0
TRBF.US,5,20251008,211000,50.17,50.17,50.1695,50.1695,1400,0
TRBF.US,5,20251008,211500,50.14,50.14,50.07,50.07,7000,0
TRBF.US,5,20251009,200500,50.02,50.02,50.02,50.02,1000,0
TRBF.US,5,20251013,212000,50.121,50.1264,50.121,50.1264,979,0
TRBF.US,5,20251013,212500,50.13,50.13,50.13,50.13,122,0
TRBF.US,5,20251014,160500,50.2199,50.2199,50.2199,50.2199,717,0
TRBF.US,5,20251014,174000,50.19,50.19,50.19,50.19,2584,0
TRBF.US,5,20251014,175000,50.1882,50.1882,50.1882,50.1882,1704,0
TRBF.US,5,20251014,183500,50.25,50.25,50.24,50.24,9174,0
TRBF.US,5,20251015,181500,50.35,50.35,50.35,50.35,100,0
TRBF.US,5,20251015,192000,50.3475,50.3475,50.3475,50.3475,623,0
TRBF.US,5,20251015,201500,50.308,50.308,50.308,50.308,739,0
TRBF.US,5,20251016,212500,50.435,50.435,50.435,50.435,192,0
TRBF.US,5,20251017,210500,50.41,50.42,50.39,50.42,1289,0
TRBF.US,5,20251017,211500,50.46,50.46,50.39,50.39,2314,0
TRBF.US,5,20251022,214500,50.6,51.13,50.58,51.13,4912,0
TRBF.US,5,20251023,204500,50.465,50.465,50.465,50.465,111,0
TRBF.US,5,20251023,215500,50.59,50.59,50.59,50.59,100,0
TRBF.US,5,20251024,205000,50.6,50.6,50.6,50.6,2417,0
TRBF.US,5,20251024,210000,50.56,50.56,50.533,50.533,943,0
TRBF.US,5,20251027,164500,50.54,50.54,50.54,50.54,200,0
TRBF.US,5,20251027,183500,50.62,50.63,50.565,50.63,1254,0
TRBF.US,5,20251027,184000,50.5536,50.5536,50.5536,50.5536,716,0
TRBF.US,5,20251027,201500,50.585,50.585,50.5748,50.5748,347,0
TRBF.US,5,20251027,202000,50.6156,50.6156,50.6156,50.6156,1561,0
TRBF.US,5,20251027,205500,50.84,51.14,50.67,51.14,14161,0
TRBF.US,5,20251028,163500,50.608,50.61,50.608,50.61,1009,0
TRBF.US,5,20251028,165000,50.63,50.63,50.63,50.63,300,0
TRBF.US,5,20251028,204500,50.6364,50.6364,50.6364,50.6364,688,0
TRBF.US,5,20251028,205500,50.625,50.625,50.625,50.625,200,0
TRBF.US,5,20251029,162500,50.63,50.63,50.63,50.63,500,0
TRBF.US,5,20251029,185500,50.6735,50.6735,50.6735,50.6735,684,0
TRBF.US,5,20251029,193500,50.6,50.6,50.6,50.6,520,0
TRBF.US,5,20251030,162000,50.37,50.37,50.37,50.37,500,0
TRBF.US,5,20251030,175500,50.28,50.28,50.28,50.28,100,0
TRBF.US,5,20251030,191500,50.222,50.222,50.222,50.222,313,0
TRBF.US,5,20251031,160500,50.46,50.46,50.42,50.42,500,0
TRBF.US,5,20251031,163000,50.26,50.26,50.26,50.26,200,0
TRBF.US,5,20251031,195500,50.275,50.275,50.22,50.22,1931,0
TRBF.US,5,20251103,153000,49.67,49.67,49.67,49.67,817,0
TRBF.US,5,20251103,184500,50.22,50.22,50.22,50.22,500,0
TRBF.US,5,20251103,212000,50.31,50.31,50.31,50.31,649,0
TRBF.US,5,20251103,213500,50.2267,50.2267,50.2267,50.2267,1990,0
TRBF.US,5,20251104,171000,50.24,50.24,50.24,50.24,1000,0
TRBF.US,5,20251104,210500,50.215,50.23,50.215,50.23,550,0
TRBF.US,5,20251105,183500,50.1,50.1,50.1,50.1,1000,0
TRBF.US,5,20251105,194500,50.1,50.11,50.1,50.11,300,0
TRBF.US,5,20251105,212500,50.076,50.076,50.076,50.076,297,0
TRBF.US,5,20251106,165000,50.27,50.27,50.27,50.27,1000,0
TRBF.US,5,20251106,211500,50.24,50.24,50.24,50.24,100,0
TRBF.US,5,20251107,171500,50.29,50.29,50.29,50.29,1000,0
TRBF.US,5,20251107,185000,50.29,50.29,50.29,50.29,100,0
TRBF.US,5,20251110,172000,50.45,50.45,50.45,50.45,1000,0
TRBF.US,5,20251110,202500,50.31,50.33,50.28,50.28,3300,0
TRBF.US,5,20251112,160000,50.37,50.46,50.37,50.46,300,0
TRBF.US,5,20251112,162000,50.48,50.48,50.33,50.33,2254,0
TRBF.US,5,20251112,204500,50.425,50.425,50.425,50.425,100,0
TRBF.US,5,20251113,173000,50.43,50.43,50.32,50.32,1100,0
TRBF.US,5,20251113,203500,50.22,50.22,50.22,50.22,201,0
TRBF.US,5,20251114,171500,50.3,50.3,50.3,50.3,1000,0
TRBF.US,5,20251114,194000,50.12,50.1899,50.1001,50.1001,300,0
TRBF.US,5,20251117,170000,50.21,50.21,50.21,50.21,1000,0
TRBF.US,5,20251118,172500,50.25,50.27,50.25,50.27,1100,0
TRBF.US,5,20251118,195500,50.161,50.161,50.161,50.161,127,0
TRBF.US,5,20251119,162500,50.15,50.15,50.15,50.15,495,0
TRBF.US,5,20251119,171000,50.26,50.26,50.26,50.26,1000,0
TRBF.US,5,20251119,174500,50.3055,50.3055,50.3055,50.3055,196,0
TRBF.US,5,20251119,175000,50.36,50.36,50.36,50.36,100,0
TRBF.US,5,20251119,205500,50.3012,50.3012,50.3012,50.3012,354,0
TRBF.US,5,20251120,172500,50.36,50.36,50.36,50.36,1000,0
TRBF.US,5,20251120,185500,50.28,50.28,50.28,50.28,100,0
TRBF.US,5,20251120,200000,50.28,50.28,50.28,50.28,200,0
TRBF.US,5,20251121,170000,50.56,50.56,50.56,50.56,1000,0
TRBF.US,5,20251121,213000,50.53,50.53,50.53,50.53,100,0
TRBF.US,5,20251124,170000,50.45,50.51,50.45,50.51,200,0
TRBF.US,5,20251124,174000,50.54,50.54,50.54,50.54,300,0
TRBF.US,5,20251124,174500,50.46,50.53,50.46,50.53,1000,0
TRBF.US,5,20251124,192000,50.49,50.49,50.49,50.49,100,0
TRBF.US,5,20251124,192500,50.525,50.525,50.525,50.525,100,0
TRBF.US,5,20251124,193500,50.5085,50.5085,50.48,50.48,1326,0
TRBF.US,5,20251124,215500,50.76,50.87,50.48,50.87,2303,0
TRBF.US,5,20251125,163000,50.57,50.57,50.57,50.57,500,0
TRBF.US,5,20251125,205500,50.63,50.63,50.63,50.63,100,0
TRBF.US,5,20251126,165500,50.64,50.64,50.64,50.64,500,0
TRBF.US,5,20251126,172000,50.5101,50.5101,50.5101,50.5101,107,0
TRBF.US,5,20251126,202000,50.68,50.68,50.68,50.68,100,0
TRBF.US,5,20251128,174500,50.29,50.349,50.29,50.349,1234,0
TRBF.US,5,20251201,164000,50.17,50.17,50.17,50.17,100,0
TRBF.US,5,20251201,174000,50.2,50.2,50.2,50.2,500,0
TRBF.US,5,20251202,162500,50.19,50.19,50.13,50.13,1200,0
TRBF.US,5,20251203,161500,50.3,50.3,50.3,50.3,500,0
TRBF.US,5,20251204,171500,50.24,50.24,50.24,50.24,800,0
TRBF.US,5,20251205,174500,50.15,50.15,50.15,50.15,1000,0
TRBF.US,5,20251205,204500,50.1205,50.1205,50.1205,50.1205,3348,0
TRBF.US,5,20251208,173000,50.1,50.1,50.1,50.1,1000,0
TRBF.US,5,20251209,160000,50.08,50.08,50.08,50.08,700,0
TRBF.US,5,20251209,174000,50.04,50.04,50.04,50.04,500,0
TRBF.US,5,20251210,191500,50.13,50.13,50.13,50.13,700,0
TRBF.US,5,20251210,192500,50.07,50.07,50.07,50.07,700,0
TRBF.US,5,20251210,205500,50.0515,50.0515,50.0515,50.0515,152,0
TRBF.US,5,20251211,153000,50.54,50.54,50.54,50.54,144,0
TRBF.US,5,20251211,160000,50.22,50.22,50.22,50.22,100,0
TRBF.US,5,20251211,175000,50.35,50.35,50.35,50.35,500,0
TRBF.US,5,20251211,192000,50.27,50.35,50.2232,50.2232,3468,0
TRBF.US,5,20251212,190000,50.1,50.1,50,50,2114,0
TRBF.US,5,20251215,155000,50.13,50.13,50.13,50.13,700,0
TRBF.US,5,20251215,172000,50.14,50.14,50.14,50.14,500,0
TRBF.US,5,20251215,191500,50.09,50.09,50.045,50.045,1486,0
TRBF.US,5,20251215,192000,50.0504,50.0504,50.0504,50.0504,102,0
TRBF.US,5,20251215,193000,50.034,50.034,50.034,50.034,1175,0
TRBF.US,5,20251215,210500,50.0201,50.0201,50,50,500,0
TRBF.US,5,20251216,163500,50.09,50.09,50.09,50.09,700,0
TRBF.US,5,20251216,173500,50.22,50.22,50.22,50.22,500,0
TRBF.US,5,20251216,203000,50.1544,50.1544,50.1544,50.1544,231,0
