<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TVGN.US,5,20250829,153000,0.9047,0.93,0.9026,0.93,11733,0
TVGN.US,5,20250829,153500,0.9175,0.9175,0.9162,0.9162,500,0
TVGN.US,5,20250829,154500,0.9057,0.9243,0.9026,0.9163,8084,0
TVGN.US,5,20250829,155000,0.9081,0.9081,0.9026,0.9026,3333,0
TVGN.US,5,20250829,155500,0.9025,0.9043,0.8952,0.8952,8799,0
TVGN.US,5,20250829,160000,0.9,0.9012,0.9,0.9012,1100,0
TVGN.US,5,20250829,160500,0.8999,0.8999,0.8956,0.8956,200,0
TVGN.US,5,20250829,161000,0.9,0.912326,0.8956,0.900101,1436,0
TVGN.US,5,20250829,161500,0.9,0.9,0.9,0.9,200,0
TVGN.US,5,20250829,162000,0.9,0.9002,0.9,0.9,1200,0
TVGN.US,5,20250829,162500,0.9,0.9,0.8995,0.8995,1544,0
TVGN.US,5,20250829,163000,0.90545,0.90675,0.901,0.901,500,0
TVGN.US,5,20250829,163500,0.90685,0.90685,0.8956,0.8956,1743,0
TVGN.US,5,20250829,164000,0.8956,0.897,0.8944,0.8944,4620,0
TVGN.US,5,20250829,164500,0.8957,0.8958,0.893,0.893,3990,0
TVGN.US,5,20250829,165000,0.893,0.8952,0.892797,0.892797,2381,0
TVGN.US,5,20250829,165500,0.893,0.8957,0.893,0.8932,406,0
TVGN.US,5,20250829,170000,0.8931,0.894,0.8923,0.893,2822,0
TVGN.US,5,20250829,170500,0.893,0.894,0.893,0.894,1200,0
TVGN.US,5,20250829,171000,0.895399,0.8955,0.8933,0.8955,1737,0
TVGN.US,5,20250829,171500,0.893,0.8954,0.893,0.8943,5528,0
TVGN.US,5,20250829,172000,0.895,0.8951,0.895,0.895,2200,0
TVGN.US,5,20250829,172500,0.895,0.8952,0.895,0.895191,2042,0
TVGN.US,5,20250829,173000,0.895,0.8951,0.895,0.8951,8679,0
TVGN.US,5,20250829,173500,0.8951,0.9048,0.8951,0.9037,2230,0
TVGN.US,5,20250829,174500,0.8962,0.8962,0.8959,0.8959,200,0
TVGN.US,5,20250829,175000,0.8962,0.9,0.8953,0.8953,19081,0
TVGN.US,5,20250829,180000,0.8994,0.903,0.8975,0.9029,8800,0
TVGN.US,5,20250829,180500,0.9027,0.914975,0.9,0.9015,19660,0
TVGN.US,5,20250829,181000,0.9015,0.9099,0.9015,0.9036,3439,0
TVGN.US,5,20250829,181500,0.9036,0.9036,0.9036,0.9036,300,0
TVGN.US,5,20250829,182000,0.9036,0.9096,0.9036,0.9036,400,0
TVGN.US,5,20250829,182500,0.9036,0.9176,0.9036,0.9036,926,0
TVGN.US,5,20250829,183000,0.9036,0.9106,0.9036,0.9036,3150,0
TVGN.US,5,20250829,183500,0.905379,0.9176,0.9036,0.9038,3400,0
TVGN.US,5,20250829,184000,0.9041,0.9041,0.902,0.902,7929,0
TVGN.US,5,20250829,184500,0.9,0.9036,0.9,0.9036,400,0
TVGN.US,5,20250829,185000,0.9,0.9001,0.8999,0.8999,400,0
TVGN.US,5,20250829,185500,0.9,0.9,0.8999,0.8999,200,0
TVGN.US,5,20250829,190000,0.9001,0.9001,0.8999,0.8999,200,0
TVGN.US,5,20250829,190500,0.8999,0.8999,0.8998,0.8998,1588,0
TVGN.US,5,20250829,191000,0.8998,0.8999,0.8998,0.8999,200,0
TVGN.US,5,20250829,191500,0.8999,0.8999,0.8999,0.8999,200,0
TVGN.US,5,20250829,192000,0.9013,0.9013,0.8998,0.9013,741,0
TVGN.US,5,20250829,192500,0.9,0.9,0.8998,0.8999,1600,0
TVGN.US,5,20250829,193000,0.8979,0.8979,0.8964,0.8964,1400,0
TVGN.US,5,20250829,193500,0.8963,0.8965,0.8963,0.8963,300,0
TVGN.US,5,20250829,194000,0.8972,0.8981,0.8951,0.896,1000,0
TVGN.US,5,20250829,194500,0.8979,0.8979,0.8961,0.89655,600,0
TVGN.US,5,20250829,195000,0.8978,0.8978,0.8978,0.8978,100,0
TVGN.US,5,20250829,195500,0.8976,0.8977,0.8963,0.8963,400,0
TVGN.US,5,20250829,200000,0.8963,0.8963,0.895,0.895,2000,0
TVGN.US,5,20250829,200500,0.895,0.895,0.895,0.895,500,0
TVGN.US,5,20250829,201000,0.895,0.8968,0.895,0.8963,2039,0
TVGN.US,5,20250829,201500,0.8956,0.8958,0.8956,0.8958,949,0
TVGN.US,5,20250829,202000,0.8952,0.8952,0.895,0.895,400,0
TVGN.US,5,20250829,202500,0.8958,0.8958,0.8954,0.8954,1020,0
TVGN.US,5,20250829,203000,0.89579,0.89579,0.895,0.8951,8854,0
TVGN.US,5,20250829,203500,0.895686,0.8958,0.895,0.8958,983,0
TVGN.US,5,20250829,204000,0.8957,0.8957,0.8957,0.8957,565,0
TVGN.US,5,20250829,204500,0.8957,0.8957,0.89545,0.89545,3400,0
TVGN.US,5,20250829,205000,0.8957,0.8966,0.8954,0.8959,900,0
TVGN.US,5,20250829,205500,0.8959,0.9008,0.8959,0.8963,697,0
TVGN.US,5,20250829,210500,0.89835,0.89835,0.89835,0.89835,295,0
TVGN.US,5,20250829,211000,0.896,0.8968,0.896,0.8962,2800,0
TVGN.US,5,20250829,211500,0.896,0.8961,0.896,0.8961,1600,0
TVGN.US,5,20250829,212000,0.8962,0.8966,0.8962,0.8966,200,0
TVGN.US,5,20250829,213000,0.8969,0.8994,0.896,0.8986,10400,0
TVGN.US,5,20250829,213500,0.8977,0.8999,0.8961,0.8988,1938,0
TVGN.US,5,20250829,214000,0.8974,0.8988,0.8974,0.8986,1700,0
TVGN.US,5,20250829,214500,0.8986,0.9107,0.8986,0.91,65196,0
TVGN.US,5,20250829,215000,0.91,0.91,0.91,0.91,10814,0
TVGN.US,5,20250829,215500,0.91,0.9126,0.91,0.91,68934,0
TVGN.US,5,20250902,153000,0.91,0.9179,0.9066,0.9179,23564,0
TVGN.US,5,20250902,153500,0.90792,0.9199,0.90792,0.9199,11009,0
TVGN.US,5,20250902,154000,0.92,0.92915,0.9175,0.92915,29904,0
TVGN.US,5,20250902,154500,0.9192,0.9261,0.9173,0.9228,13850,0
TVGN.US,5,20250902,155000,0.93,0.95,0.9155,0.9231,69758,0
TVGN.US,5,20250902,155500,0.9155,0.9273,0.9125,0.9155,12008,0
TVGN.US,5,20250902,160000,0.9155,0.92,0.9155,0.92,6300,0
TVGN.US,5,20250902,160500,0.9233,0.9233,0.916101,0.916101,770,0
TVGN.US,5,20250902,161500,0.9161,0.9203,0.9161,0.9177,8401,0
TVGN.US,5,20250902,162000,0.9153,0.9153,0.9153,0.9153,100,0
TVGN.US,5,20250902,162500,0.92,0.92,0.92,0.92,200,0
TVGN.US,5,20250902,163000,0.9154,0.9201,0.91,0.9154,1800,0
TVGN.US,5,20250902,163500,0.9154,0.92075,0.9154,0.92075,4200,0
TVGN.US,5,20250902,164000,0.911,0.9112,0.911,0.9112,1752,0
TVGN.US,5,20250902,164500,0.911,0.911,0.905,0.9091,9493,0
TVGN.US,5,20250902,165000,0.9081,0.9081,0.9081,0.9081,277,0
TVGN.US,5,20250902,165500,0.9094,0.9199,0.9092,0.9199,26897,0
TVGN.US,5,20250902,170000,0.9152,0.9152,0.9152,0.9152,200,0
TVGN.US,5,20250902,170500,0.9151,0.9151,0.9151,0.9151,3200,0
TVGN.US,5,20250902,172000,0.9149,0.9149,0.9149,0.9149,500,0
