<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UHG.US,5,20250829,153000,4.23,4.23,4.23,4.23,1639,0
UHG.US,5,20250829,153500,4.37,4.38,4.34,4.38,419,0
UHG.US,5,20250829,160000,4.335,4.335,4.23,4.23,4300,0
UHG.US,5,20250829,160500,4.18,4.1809,4.155,4.16,880,0
UHG.US,5,20250829,161500,4.2,4.2,4.2,4.2,300,0
UHG.US,5,20250829,162500,4.26,4.26,4.26,4.26,100,0
UHG.US,5,20250829,165000,4.255,4.3,4.255,4.3,500,0
UHG.US,5,20250829,171500,4.245,4.245,4.245,4.245,100,0
UHG.US,5,20250829,172000,4.245,4.245,4.245,4.245,100,0
UHG.US,5,20250829,173500,4.22,4.22,4.22,4.22,100,0
UHG.US,5,20250829,174500,4.2205,4.24,4.2205,4.23,5360,0
UHG.US,5,20250829,175000,4.2144,4.2144,4.2,4.2,1363,0
UHG.US,5,20250829,180000,4.2,4.2003,4.17,4.17,1788,0
UHG.US,5,20250829,184000,4.155,4.16,4.155,4.16,400,0
UHG.US,5,20250829,191500,4.175,4.175,4.175,4.175,100,0
UHG.US,5,20250829,192500,4.16,4.16,4.16,4.16,389,0
UHG.US,5,20250829,194000,4.14,4.14,4.13,4.13,937,0
UHG.US,5,20250829,194500,4.13,4.13,4.08,4.1,5784,0
UHG.US,5,20250829,195500,4.12,4.12,4.11,4.11,207,0
UHG.US,5,20250829,200500,4.13,4.13,4.13,4.13,500,0
UHG.US,5,20250829,201000,4.13,4.13,4.13,4.13,100,0
UHG.US,5,20250829,201500,4.13,4.14,4.13,4.14,200,0
UHG.US,5,20250829,202500,4.125,4.125,4.125,4.125,100,0
UHG.US,5,20250829,203000,4.125,4.125,4.125,4.125,100,0
UHG.US,5,20250829,205500,4.1,4.1,4.1,4.1,5000,0
UHG.US,5,20250829,210000,4.12,4.175,4.11,4.175,16013,0
UHG.US,5,20250829,213000,4.18,4.22,4.17,4.22,4801,0
UHG.US,5,20250829,214000,4.19,4.19,4.18,4.18,618,0
UHG.US,5,20250829,214500,4.19,4.21,4.19,4.21,2611,0
UHG.US,5,20250829,215000,4.2,4.2,4.2,4.2,700,0
UHG.US,5,20250829,215500,4.17,4.21,4.17,4.17,2347,0
UHG.US,5,20250902,153000,4.16,4.27,4.12,4.13,1972,0
UHG.US,5,20250902,155000,4.18,4.18,4.18,4.18,100,0
UHG.US,5,20250902,172000,4.2257,4.26,4.2257,4.26,254,0
UHG.US,5,20250902,172500,4.175,4.175,4.175,4.175,100,0
UHG.US,5,20250902,183500,4.2,4.22,4.2,4.22,200,0
UHG.US,5,20250902,185500,4.21,4.21,4.205,4.205,200,0
UHG.US,5,20250902,191000,4.22,4.22,4.22,4.22,150,0
UHG.US,5,20250902,193000,4.21,4.22,4.21,4.22,660,0
UHG.US,5,20250902,194000,4.2,4.2,4.2,4.2,100,0
UHG.US,5,20250902,200000,4.22,4.22,4.22,4.22,1000,0
UHG.US,5,20250902,201500,4.2,4.2,4.2,4.2,778,0
UHG.US,5,20250902,202000,4.18,4.19,4.18,4.19,200,0
UHG.US,5,20250902,202500,4.18,4.18,4.18,4.18,200,0
UHG.US,5,20250902,203000,4.2,4.21,4.2,4.2,500,0
UHG.US,5,20250902,210000,4.2,4.2,4.19,4.19,664,0
UHG.US,5,20250902,211500,4.1927,4.1927,4.19,4.19,1200,0
UHG.US,5,20250902,212000,4.19,4.19,4.18,4.18,1956,0
UHG.US,5,20250902,212500,4.18,4.18,4.18,4.18,100,0
UHG.US,5,20250902,214500,4.18,4.195,4.18,4.18,900,0
UHG.US,5,20250902,215000,4.2,4.2,4.18,4.2,650,0
UHG.US,5,20250902,215500,4.2,4.2,4.18,4.18,2060,0
UHG.US,5,20250903,153000,4.17,4.18,4.17,4.18,326,0
UHG.US,5,20250903,153500,4.2,4.2,4.2,4.2,100,0
UHG.US,5,20250903,154500,4.21,4.21,4.18,4.18,800,0
UHG.US,5,20250903,155000,4.18,4.18,4.17,4.18,3382,0
UHG.US,5,20250903,160000,4.16,4.16,4.16,4.16,100,0
UHG.US,5,20250903,161000,4.17,4.17,4.17,4.17,1000,0
UHG.US,5,20250903,162000,4.13,4.13,4.13,4.13,200,0
UHG.US,5,20250903,162500,4.13,4.13,4.13,4.13,100,0
UHG.US,5,20250903,165000,4.14,4.14,4.14,4.14,100,0
UHG.US,5,20250903,171500,4.12,4.12,4.12,4.12,400,0
UHG.US,5,20250903,172000,4.12,4.12,4.1,4.1,1641,0
UHG.US,5,20250903,172500,4.1,4.1,4.1,4.1,551,0
UHG.US,5,20250903,173000,4.1,4.1,4.1,4.1,2894,0
UHG.US,5,20250903,173500,4.09,4.09,4.09,4.09,100,0
UHG.US,5,20250903,175500,4.07,4.07,4.07,4.07,100,0
UHG.US,5,20250903,180000,4.0703,4.0778,4.07,4.07,300,0
UHG.US,5,20250903,180500,4.06,4.08,4.06,4.08,705,0
UHG.US,5,20250903,185500,4.09,4.09,4.09,4.09,300,0
UHG.US,5,20250903,191000,4.1,4.11,4.1,4.1,518,0
UHG.US,5,20250903,193500,4.0915,4.0915,4.0915,4.0915,300,0
UHG.US,5,20250903,194500,4.08,4.08,4.08,4.08,1455,0
UHG.US,5,20250903,195000,4.08,4.08,4.07,4.07,1130,0
UHG.US,5,20250903,195500,4.06,4.06,4.06,4.06,100,0
UHG.US,5,20250903,200000,4.07,4.07,4.06,4.07,484,0
UHG.US,5,20250903,201000,4.0753,4.0753,4.075,4.075,1011,0
UHG.US,5,20250903,201500,4.09,4.09,4.09,4.09,200,0
UHG.US,5,20250903,203000,4.1044,4.1044,4.1044,4.1044,121,0
UHG.US,5,20250903,210000,4.08,4.08,4.06,4.0614,1409,0
UHG.US,5,20250903,211000,4.07,4.07,4.07,4.07,100,0
UHG.US,5,20250903,212000,4.06,4.06,4.06,4.06,200,0
UHG.US,5,20250903,215000,4.09,4.1,4.09,4.095,2909,0
UHG.US,5,20250903,215500,4.075,4.08,4.05,4.06,500,0
UHG.US,5,20250904,153000,4.12,4.12,4.12,4.12,3901,0
UHG.US,5,20250904,153500,4.12,4.12,4.12,4.12,100,0
UHG.US,5,20250904,161000,4.1686,4.1686,4.1686,4.1686,948,0
UHG.US,5,20250904,172000,4.1,4.1,4.07,4.07,256,0
UHG.US,5,20250904,181000,4.1,4.11,4.1,4.11,800,0
UHG.US,5,20250904,181500,4.0801,4.0834,4.0801,4.0834,1125,0
UHG.US,5,20250904,182000,4.1,4.1,4.1,4.1,200,0
UHG.US,5,20250904,182500,4.08,4.08,4.08,4.08,2000,0
UHG.US,5,20250904,183500,4.07,4.07,4.07,4.07,100,0
UHG.US,5,20250904,184500,4.06,4.06,4.06,4.06,1000,0
UHG.US,5,20250904,185000,4.055,4.055,4.055,4.055,100,0
UHG.US,5,20250904,185500,4.08,4.08,4.08,4.08,300,0
UHG.US,5,20250904,190000,4.075,4.075,4.075,4.075,100,0
UHG.US,5,20250904,192000,4.1,4.1,4.1,4.1,1465,0
UHG.US,5,20250904,193000,4.08,4.1,4.08,4.1,500,0
UHG.US,5,20250904,201500,4.14,4.14,4.14,4.14,100,0
UHG.US,5,20250904,202000,4.1048,4.1048,4.1,4.1,251,0
UHG.US,5,20250904,204000,4.12,4.149,4.12,4.149,1795,0
UHG.US,5,20250904,204500,4.135,4.135,4.135,4.135,100,0
UHG.US,5,20250904,210500,4.15,4.15,4.15,4.15,200,0
UHG.US,5,20250904,212500,4.15,4.15,4.15,4.15,1100,0
UHG.US,5,20250904,213000,4.15,4.15,4.15,4.15,100,0
UHG.US,5,20250904,214000,4.15,4.15,4.14,4.14,1565,0
UHG.US,5,20250904,214500,4.149,4.1699,4.149,4.1699,1625,0
UHG.US,5,20250904,215000,4.14,4.15,4.11,4.13,500,0
UHG.US,5,20250904,215500,4.13,4.15,4.1,4.15,7067,0
UHG.US,5,20250905,153000,4.16,4.16,4.16,4.16,911,0
UHG.US,5,20250905,153500,4.16,4.17,4.16,4.17,1113,0
UHG.US,5,20250905,161000,4.2147,4.2147,4.2147,4.2147,1000,0
UHG.US,5,20250905,163500,4.21,4.21,4.21,4.21,1257,0
UHG.US,5,20250905,164000,4.15,4.16,4.15,4.16,200,0
UHG.US,5,20250905,165000,4.15,4.15,4.15,4.15,200,0
UHG.US,5,20250905,171000,4.165,4.18,4.165,4.18,736,0
UHG.US,5,20250905,172500,4.1701,4.1701,4.1701,4.1701,300,0
UHG.US,5,20250905,180000,4.22,4.22,4.22,4.22,200,0
UHG.US,5,20250905,181000,4.21,4.21,4.21,4.21,100,0
UHG.US,5,20250905,183000,4.21,4.21,4.21,4.21,100,0
UHG.US,5,20250905,183500,4.225,4.225,4.17,4.17,3842,0
UHG.US,5,20250905,184500,4.27,4.27,4.19,4.19,300,0
UHG.US,5,20250905,185000,4.22,4.22,4.22,4.22,200,0
UHG.US,5,20250905,185500,4.22,4.22,4.22,4.22,100,0
UHG.US,5,20250905,190000,4.22,4.2304,4.22,4.2304,730,0
UHG.US,5,20250905,190500,4.22,4.22,4.2,4.2,2030,0
UHG.US,5,20250905,192000,4.215,4.22,4.215,4.22,200,0
UHG.US,5,20250905,193500,4.23,4.23,4.23,4.23,100,0
UHG.US,5,20250905,194000,4.21,4.21,4.21,4.21,800,0
UHG.US,5,20250905,202000,4.21,4.21,4.205,4.205,400,0
UHG.US,5,20250905,205500,4.205,4.205,4.205,4.205,1000,0
UHG.US,5,20250905,210500,4.195,4.195,4.195,4.195,100,0
UHG.US,5,20250905,211500,4.23,4.23,4.23,4.23,100,0
UHG.US,5,20250905,213000,4.23,4.23,4.23,4.23,200,0
UHG.US,5,20250905,214500,4.24,4.2492,4.23,4.2492,1500,0
UHG.US,5,20250905,215000,4.24,4.27,4.22,4.24,2276,0
UHG.US,5,20250905,215500,4.235,4.26,4.23,4.23,6023,0
UHG.US,5,20250908,153000,4.24,4.33,4.24,4.28,510,0
UHG.US,5,20250908,154500,4.28,4.28,4.28,4.28,256,0
UHG.US,5,20250908,162000,4.22,4.28,4.22,4.28,938,0
UHG.US,5,20250908,163500,4.28,4.28,4.28,4.28,250,0
UHG.US,5,20250908,164500,4.24,4.24,4.24,4.24,100,0
UHG.US,5,20250908,165500,4.28,4.3,4.28,4.28,300,0
UHG.US,5,20250908,170000,4.27,4.27,4.27,4.27,100,0
UHG.US,5,20250908,171500,4.24,4.24,4.24,4.24,100,0
UHG.US,5,20250908,175500,4.185,4.185,4.05,4.13,4716,0
UHG.US,5,20250908,180000,4.14,4.14,4.14,4.14,100,0
UHG.US,5,20250908,180500,4.16,4.16,4.16,4.16,100,0
UHG.US,5,20250908,181000,4.16,4.16,4.16,4.16,200,0
UHG.US,5,20250908,182500,4.14,4.14,4.14,4.14,100,0
UHG.US,5,20250908,183000,4.09,4.09,4.09,4.09,100,0
UHG.US,5,20250908,185000,4.11,4.14,4.1,4.1,1100,0
UHG.US,5,20250908,185500,4.14,4.22,4.14,4.175,1200,0
UHG.US,5,20250908,191000,4.2193,4.2193,4.2193,4.2193,100,0
UHG.US,5,20250908,192500,4.1748,4.1748,4.1748,4.1748,115,0
UHG.US,5,20250908,194000,4.16,4.16,4.16,4.16,100,0
UHG.US,5,20250908,200000,4.15,4.15,4.15,4.15,100,0
UHG.US,5,20250908,201000,4.2,4.2,4.2,4.2,100,0
UHG.US,5,20250908,204500,4.16,4.16,4.16,4.16,100,0
UHG.US,5,20250908,210000,4.16,4.16,4.16,4.16,100,0
UHG.US,5,20250908,210500,4.18,4.18,4.18,4.18,100,0
UHG.US,5,20250908,211500,4.15,4.18,4.15,4.18,350,0
UHG.US,5,20250908,213000,4.175,4.19,4.175,4.19,200,0
UHG.US,5,20250908,213500,4.19,4.2,4.19,4.19,500,0
UHG.US,5,20250908,214000,4.21,4.21,4.19,4.2,600,0
UHG.US,5,20250908,215000,4.22,4.22,4.22,4.22,100,0
UHG.US,5,20250908,215500,4.174,4.205,4.174,4.18,1000,0
UHG.US,5,20250909,153000,4.18,4.2367,4.18,4.2367,1042,0
UHG.US,5,20250909,154000,4.4,4.4,4.4,4.4,2000,0
UHG.US,5,20250909,155500,4.25,4.25,4.25,4.25,1000,0
UHG.US,5,20250909,162500,4.18,4.18,4.18,4.18,265,0
UHG.US,5,20250909,164500,4.1301,4.1301,4.1301,4.1301,500,0
UHG.US,5,20250909,165000,4.1744,4.1744,4.16,4.16,245,0
UHG.US,5,20250909,170500,4.1792,4.18,4.1792,4.18,800,0
UHG.US,5,20250909,171000,4.2356,4.2356,4.2356,4.2356,380,0
UHG.US,5,20250909,171500,4.1989,4.1989,4.1989,4.1989,1250,0
UHG.US,5,20250909,172000,4.2111,4.2111,4.19,4.19,1100,0
UHG.US,5,20250909,174500,4.18,4.18,4.175,4.175,200,0
UHG.US,5,20250909,175500,4.175,4.175,4.175,4.175,100,0
UHG.US,5,20250909,181500,4.175,4.175,4.175,4.175,100,0
UHG.US,5,20250909,183500,4.18,4.195,4.18,4.195,200,0
UHG.US,5,20250909,185000,4.18,4.18,4.18,4.18,592,0
UHG.US,5,20250909,191000,4.18,4.18,4.18,4.18,1280,0
UHG.US,5,20250909,191500,4.15,4.17,4.15,4.17,760,0
UHG.US,5,20250909,194500,4.18,4.1865,4.18,4.1865,312,0
UHG.US,5,20250909,195500,4.16,4.16,4.16,4.16,100,0
UHG.US,5,20250909,204000,4.19,4.2,4.18,4.18,400,0
UHG.US,5,20250909,213500,4.17,4.17,4.17,4.17,100,0
UHG.US,5,20250909,214500,4.16,4.19,4.16,4.19,300,0
UHG.US,5,20250909,215000,4.21,4.21,4.21,4.21,200,0
UHG.US,5,20250909,215500,4.21,4.21,4.18,4.184,1380,0
UHG.US,5,20250910,153000,4.2,4.2,4.18,4.18,1901,0
UHG.US,5,20250910,153500,4.16,4.16,4.16,4.16,100,0
UHG.US,5,20250910,160500,4.16,4.16,4.16,4.16,150,0
UHG.US,5,20250910,161500,4.16,4.16,4.16,4.16,458,0
UHG.US,5,20250910,162500,4.16,4.16,4.16,4.16,100,0
UHG.US,5,20250910,163500,4.175,4.175,4.175,4.175,200,0
UHG.US,5,20250910,170500,4.16,4.16,4.16,4.16,1903,0
UHG.US,5,20250910,174000,4.145,4.145,4.145,4.145,100,0
