<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULCC.US,5,20250829,153000,4.71,4.71,4.63,4.7016,68364,0
ULCC.US,5,20250829,153500,4.7011,4.7011,4.6658,4.67,16298,0
ULCC.US,5,20250829,154000,4.67,4.7088,4.67,4.7,19843,0
ULCC.US,5,20250829,154500,4.7,4.73,4.695,4.72,15759,0
ULCC.US,5,20250829,155000,4.72,4.72,4.695,4.71,15565,0
ULCC.US,5,20250829,155500,4.705,4.705,4.675,4.7,15929,0
ULCC.US,5,20250829,160000,4.7,4.72,4.685,4.685,54500,0
ULCC.US,5,20250829,160500,4.685,4.7175,4.665,4.705,120368,0
ULCC.US,5,20250829,161000,4.71,4.74,4.71,4.73,32827,0
ULCC.US,5,20250829,161500,4.735,4.745,4.71,4.72,85039,0
ULCC.US,5,20250829,162000,4.72,4.73,4.72,4.725,8128,0
ULCC.US,5,20250829,162500,4.72,4.725,4.7,4.72,21090,0
ULCC.US,5,20250829,163000,4.7209,4.73,4.705,4.73,17202,0
ULCC.US,5,20250829,163500,4.725,4.735,4.72,4.735,16946,0
ULCC.US,5,20250829,164000,4.735,4.74,4.715,4.715,14759,0
ULCC.US,5,20250829,164500,4.715,4.715,4.66,4.665,23839,0
ULCC.US,5,20250829,165000,4.67,4.68,4.66,4.6658,19798,0
ULCC.US,5,20250829,165500,4.665,4.675,4.66,4.665,27322,0
ULCC.US,5,20250829,170000,4.66,4.68,4.65,4.66,41538,0
ULCC.US,5,20250829,170500,4.655,4.655,4.63,4.64,15154,0
ULCC.US,5,20250829,171000,4.635,4.65,4.62,4.62,26940,0
ULCC.US,5,20250829,171500,4.615,4.62,4.61,4.61,4846,0
ULCC.US,5,20250829,172000,4.615,4.66,4.615,4.66,44794,0
ULCC.US,5,20250829,172500,4.655,4.66,4.6512,4.655,4903,0
ULCC.US,5,20250829,173000,4.65,4.6751,4.65,4.6665,23303,0
ULCC.US,5,20250829,173500,4.67,4.69,4.67,4.675,27417,0
ULCC.US,5,20250829,174000,4.675,4.6772,4.675,4.675,7772,0
ULCC.US,5,20250829,174500,4.68,4.69,4.675,4.685,22874,0
ULCC.US,5,20250829,175000,4.685,4.685,4.675,4.675,1526,0
ULCC.US,5,20250829,175500,4.68,4.695,4.68,4.695,9394,0
ULCC.US,5,20250829,180000,4.695,4.7,4.68,4.69,8914,0
