<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPLD.US,5,20250829,153000,2.8,2.82,2.8,2.82,21667,0
UPLD.US,5,20250829,154000,2.847,2.847,2.8026,2.81,3100,0
UPLD.US,5,20250829,154500,2.81,2.85,2.805,2.85,3312,0
UPLD.US,5,20250829,155000,2.85,2.85,2.85,2.85,1020,0
UPLD.US,5,20250829,155500,2.83,2.8434,2.81,2.84,4897,0
UPLD.US,5,20250829,160000,2.8354,2.8354,2.81,2.81,1640,0
UPLD.US,5,20250829,160500,2.81,2.8198,2.8,2.8,3199,0
UPLD.US,5,20250829,161000,2.8,2.805,2.766,2.775,51880,0
UPLD.US,5,20250829,161500,2.775,2.775,2.775,2.775,100,0
UPLD.US,5,20250829,162000,2.77,2.77,2.77,2.77,140,0
UPLD.US,5,20250829,162500,2.77,2.78,2.77,2.78,1189,0
UPLD.US,5,20250829,163500,2.7675,2.82,2.7675,2.82,380,0
UPLD.US,5,20250829,164000,2.79,2.79,2.79,2.79,100,0
UPLD.US,5,20250829,165500,2.77,2.77,2.76,2.76,30000,0
UPLD.US,5,20250829,170000,2.78,2.7801,2.76,2.76,4682,0
UPLD.US,5,20250829,170500,2.78,2.79,2.78,2.79,200,0
UPLD.US,5,20250829,172000,2.7548,2.78,2.745,2.745,300,0
UPLD.US,5,20250829,172500,2.76,2.76,2.7487,2.7487,600,0
UPLD.US,5,20250829,173000,2.75,2.76,2.75,2.75,1000,0
UPLD.US,5,20250829,174000,2.75,2.75,2.7395,2.7395,1526,0
UPLD.US,5,20250829,174500,2.75,2.75,2.73,2.73,500,0
UPLD.US,5,20250829,175000,2.75,2.75,2.73,2.73,1540,0
UPLD.US,5,20250829,180000,2.74,2.74,2.74,2.74,207,0
UPLD.US,5,20250829,181000,2.74,2.74,2.74,2.74,151,0
UPLD.US,5,20250829,181500,2.75,2.76,2.73,2.73,1255,0
UPLD.US,5,20250829,183000,2.72,2.72,2.72,2.72,400,0
UPLD.US,5,20250829,184500,2.7104,2.7104,2.71,2.71,400,0
UPLD.US,5,20250829,185000,2.725,2.725,2.6924,2.6924,950,0
UPLD.US,5,20250829,190000,2.7,2.7,2.7,2.7,3752,0
UPLD.US,5,20250829,190500,2.69,2.7,2.69,2.6984,1460,0
UPLD.US,5,20250829,191000,2.7,2.7,2.7,2.7,100,0
UPLD.US,5,20250829,191500,2.72,2.72,2.7129,2.7129,672,0
UPLD.US,5,20250829,192000,2.72,2.76,2.72,2.76,800,0
UPLD.US,5,20250829,193500,2.75,2.75,2.75,2.75,200,0
UPLD.US,5,20250829,194000,2.75,2.75,2.75,2.75,200,0
UPLD.US,5,20250829,195000,2.7258,2.7258,2.7258,2.7258,158,0
UPLD.US,5,20250829,201000,2.73,2.73,2.73,2.73,100,0
UPLD.US,5,20250829,204000,2.74,2.75,2.7284,2.7284,3200,0
UPLD.US,5,20250829,204500,2.73,2.74,2.73,2.73,500,0
