<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USARW.US,5,20250829,153000,5.6,5.7395,5.6,5.7395,1215,0
USARW.US,5,20250829,153500,5.6,5.6001,5.6,5.6001,350,0
USARW.US,5,20250829,154000,5.79,5.83,5.6996,5.6996,1800,0
USARW.US,5,20250829,154500,5.6,5.61,5.6,5.6,1709,0
USARW.US,5,20250829,155000,5.635,5.635,5.635,5.635,2300,0
USARW.US,5,20250829,155500,5.57,5.601,5.52,5.601,460,0
USARW.US,5,20250829,160500,5.67,5.67,5.66,5.66,400,0
USARW.US,5,20250829,161000,5.65,5.65,5.57,5.61,4400,0
USARW.US,5,20250829,161500,5.57,5.57,5.45,5.53,6948,0
USARW.US,5,20250829,162000,5.45,5.53,5.45,5.52,6318,0
USARW.US,5,20250829,162500,5.52,5.57,5.51,5.57,9499,0
USARW.US,5,20250829,163000,5.57,5.64,5.57,5.64,2502,0
USARW.US,5,20250829,163500,5.576,5.65,5.576,5.65,2200,0
USARW.US,5,20250829,164000,5.63,5.63,5.615,5.615,742,0
USARW.US,5,20250829,164500,5.59,5.59,5.55,5.56,1000,0
USARW.US,5,20250829,165000,5.6095,5.6095,5.6095,5.6095,100,0
USARW.US,5,20250829,170500,5.61,5.6594,5.61,5.6594,975,0
USARW.US,5,20250829,171000,5.65,5.66,5.65,5.66,983,0
USARW.US,5,20250829,171500,5.69,5.7,5.68,5.68,5618,0
USARW.US,5,20250829,172000,5.7,5.7,5.69,5.69,3800,0
USARW.US,5,20250829,172500,5.72,5.73,5.72,5.72,300,0
USARW.US,5,20250829,173000,5.7,5.7,5.7,5.7,200,0
USARW.US,5,20250829,173500,5.745,5.745,5.69,5.69,485,0
USARW.US,5,20250829,175000,5.6515,5.7,5.6515,5.7,3100,0
USARW.US,5,20250829,175500,5.7,5.7,5.7,5.7,383,0
USARW.US,5,20250829,180000,5.68,5.69,5.68,5.69,917,0
USARW.US,5,20250829,181500,5.69,5.69,5.6273,5.6273,1100,0
USARW.US,5,20250829,182000,5.68,5.69,5.68,5.69,400,0
USARW.US,5,20250829,182500,5.6009,5.6009,5.6009,5.6009,467,0
USARW.US,5,20250829,183000,5.66,5.6794,5.65,5.65,2070,0
USARW.US,5,20250829,183500,5.67,5.68,5.67,5.68,700,0
USARW.US,5,20250829,184000,5.685,5.685,5.67,5.67,400,0
USARW.US,5,20250829,184500,5.65,5.65,5.65,5.65,200,0
USARW.US,5,20250829,185000,5.67,5.7,5.67,5.7,3183,0
USARW.US,5,20250829,185500,5.7935,5.7935,5.72,5.7201,708,0
USARW.US,5,20250829,190000,5.74,5.74,5.74,5.74,925,0
USARW.US,5,20250829,192500,5.591,5.591,5.591,5.591,500,0
USARW.US,5,20250829,193500,5.5,5.51,5.5,5.51,671,0
USARW.US,5,20250829,194000,5.4,5.4,5.32,5.3201,4818,0
USARW.US,5,20250829,194500,5.32,5.32,5.16,5.1601,16193,0
USARW.US,5,20250829,195000,5.255,5.3,5.235,5.3,1300,0
USARW.US,5,20250829,195500,5.5499,5.5499,5.5499,5.5499,100,0
USARW.US,5,20250829,201500,5.47,5.5,5.26,5.48,3500,0
USARW.US,5,20250829,204000,5.44,5.45,5.44,5.445,600,0
USARW.US,5,20250829,204500,5.32,5.33,5.23,5.23,700,0
USARW.US,5,20250829,205000,5.2854,5.2854,5.27,5.28,1400,0
USARW.US,5,20250829,210000,5.27,5.31,5.27,5.31,9813,0
USARW.US,5,20250829,210500,5.39,5.39,5.26,5.26,1300,0
USARW.US,5,20250829,211000,5.2624,5.272,5.25,5.25,2795,0
USARW.US,5,20250829,211500,5.26,5.26,5.26,5.26,1000,0
USARW.US,5,20250829,212000,5.26,5.33,5.235,5.28,20192,0
USARW.US,5,20250829,212500,5.28,5.33,5.27,5.33,1823,0
USARW.US,5,20250829,213000,5.28,5.28,5.28,5.28,208,0
USARW.US,5,20250829,214000,5.33,5.33,5.27,5.33,4549,0
USARW.US,5,20250829,214500,5.38,5.38,5.34,5.34,831,0
USARW.US,5,20250829,215000,5.28,5.28,5.27,5.27,1545,0
USARW.US,5,20250829,215500,5.3716,5.3716,5.26,5.26,1417,0
USARW.US,5,20250902,153000,5.1,5.1,4.64,4.66,14819,0
USARW.US,5,20250902,153500,4.85,4.891,4.85,4.891,2100,0
USARW.US,5,20250902,154000,4.84,4.8999,4.84,4.8999,4118,0
USARW.US,5,20250902,155000,4.825,4.825,4.825,4.825,100,0
USARW.US,5,20250902,155500,4.8285,4.8515,4.8185,4.8185,3506,0
USARW.US,5,20250902,160000,4.8999,4.9,4.853,4.9,8678,0
USARW.US,5,20250902,160500,4.9,4.9,4.85,4.85,1749,0
USARW.US,5,20250902,161000,4.84,4.86,4.83,4.86,10700,0
USARW.US,5,20250902,163500,4.9,4.9,4.88,4.88,317,0
USARW.US,5,20250902,164000,4.91,4.91,4.785,4.785,17777,0
USARW.US,5,20250902,164500,4.75,4.8,4.75,4.8,2400,0
USARW.US,5,20250902,165000,4.77,4.77,4.73,4.7684,700,0
USARW.US,5,20250902,165500,4.78,4.805,4.78,4.805,3483,0
USARW.US,5,20250902,170000,4.84,4.84,4.8,4.8,704,0
USARW.US,5,20250902,170500,4.79,4.79,4.77,4.79,2214,0
USARW.US,5,20250902,171000,4.77,4.77,4.7549,4.7615,4895,0
USARW.US,5,20250902,171500,4.7662,4.8,4.725,4.725,12650,0
USARW.US,5,20250902,172000,4.7,4.7,4.68,4.7,23739,0
USARW.US,5,20250902,172500,4.78,4.78,4.71,4.7378,700,0
USARW.US,5,20250902,173000,4.79,4.79,4.79,4.79,100,0
USARW.US,5,20250902,173500,4.7364,4.7364,4.72,4.72,200,0
USARW.US,5,20250902,174000,4.71,4.71,4.7,4.7,4642,0
USARW.US,5,20250902,174500,4.7,4.7,4.7,4.7,1600,0
USARW.US,5,20250902,175000,4.7,4.7,4.65,4.65,2381,0
USARW.US,5,20250902,175500,4.61,4.65,4.61,4.64,6430,0
USARW.US,5,20250902,180000,4.65,4.65,4.64,4.6499,3600,0
USARW.US,5,20250902,180500,4.65,4.65,4.6101,4.6101,989,0
USARW.US,5,20250902,181500,4.64,4.64,4.64,4.64,100,0
USARW.US,5,20250902,182000,4.65,4.65,4.63,4.63,1081,0
USARW.US,5,20250902,182500,4.65,4.65,4.6499,4.6499,380,0
USARW.US,5,20250902,183000,4.65,4.79,4.65,4.79,20815,0
USARW.US,5,20250902,183500,4.78,4.78,4.68,4.68,8408,0
USARW.US,5,20250902,184000,4.6701,4.68,4.65,4.68,3236,0
USARW.US,5,20250902,184500,4.69,4.69,4.67,4.69,1200,0
USARW.US,5,20250902,185000,4.69,4.69,4.68,4.69,300,0
USARW.US,5,20250902,185500,4.69,4.7,4.66,4.66,5332,0
USARW.US,5,20250902,190000,4.7,4.7,4.6801,4.7,6500,0
USARW.US,5,20250902,190500,4.68,4.7,4.68,4.7,1200,0
USARW.US,5,20250902,191000,4.66,4.66,4.64,4.64,998,0
USARW.US,5,20250902,192000,4.66,4.66,4.66,4.66,1000,0
USARW.US,5,20250902,192500,4.66,4.66,4.66,4.66,5111,0
USARW.US,5,20250902,193000,4.66,4.66,4.655,4.66,6235,0
USARW.US,5,20250902,193500,4.66,4.66,4.65,4.65,6100,0
USARW.US,5,20250902,194000,4.66,4.66,4.66,4.66,568,0
USARW.US,5,20250902,194500,4.655,4.6576,4.64,4.65,1900,0
USARW.US,5,20250902,195000,4.6558,4.6558,4.645,4.645,500,0
USARW.US,5,20250902,200000,4.62,4.62,4.62,4.62,300,0
USARW.US,5,20250902,200500,4.61,4.61,4.56,4.5765,9395,0
USARW.US,5,20250902,201000,4.58,4.58,4.58,4.58,100,0
USARW.US,5,20250902,201500,4.5826,4.5826,4.53,4.57,8089,0
USARW.US,5,20250902,202000,4.58,4.5856,4.5501,4.585,4300,0
USARW.US,5,20250902,202500,4.59,4.6,4.5809,4.59,725,0
USARW.US,5,20250902,203000,4.6168,4.6168,4.6168,4.6168,500,0
USARW.US,5,20250902,203500,4.62,4.64,4.62,4.62,2917,0
USARW.US,5,20250902,204500,4.6399,4.6399,4.6399,4.6399,100,0
USARW.US,5,20250902,205000,4.64,4.66,4.63,4.63,3400,0
USARW.US,5,20250902,205500,4.65,4.65,4.64,4.64,218,0
USARW.US,5,20250902,210000,4.66,4.66,4.66,4.66,1413,0
USARW.US,5,20250902,210500,4.66,4.66,4.66,4.66,100,0
USARW.US,5,20250902,211000,4.655,4.66,4.655,4.66,1790,0
USARW.US,5,20250902,211500,4.66,4.66,4.65,4.65,1400,0
USARW.US,5,20250902,212000,4.66,4.735,4.66,4.735,2592,0
USARW.US,5,20250902,213500,4.725,4.725,4.725,4.725,200,0
USARW.US,5,20250902,214000,4.73,4.75,4.73,4.75,1340,0
USARW.US,5,20250902,215000,4.7312,4.7312,4.73,4.73,2219,0
USARW.US,5,20250902,215500,4.75,4.75,4.73,4.75,7600,0
USARW.US,5,20250903,153000,5,5.064,4.93,5.064,1519,0
USARW.US,5,20250903,153500,4.99,4.99,4.9286,4.99,1300,0
USARW.US,5,20250903,154000,4.95,5,4.95,4.9989,4448,0
USARW.US,5,20250903,154500,4.935,4.97,4.9,4.9499,10731,0
USARW.US,5,20250903,155000,4.95,4.95,4.95,4.95,105,0
USARW.US,5,20250903,155500,4.9324,4.96,4.93,4.93,3680,0
USARW.US,5,20250903,160000,4.98,4.98,4.95,4.95,663,0
USARW.US,5,20250903,160500,4.9781,4.9781,4.92,4.92,2482,0
USARW.US,5,20250903,161000,4.93,4.93,4.83,4.8302,2822,0
USARW.US,5,20250903,161500,4.893,4.92,4.893,4.92,1250,0
USARW.US,5,20250903,162000,4.91,4.93,4.88,4.9299,800,0
USARW.US,5,20250903,162500,4.92,4.94,4.9,4.94,6786,0
USARW.US,5,20250903,163000,4.95,4.95,4.94,4.94,300,0
USARW.US,5,20250903,165500,4.92,4.92,4.92,4.92,300,0
USARW.US,5,20250903,170000,4.9499,4.9499,4.9315,4.9315,300,0
USARW.US,5,20250903,170500,4.9374,4.95,4.9374,4.95,310,0
USARW.US,5,20250903,171000,4.935,4.95,4.935,4.95,1780,0
USARW.US,5,20250903,172000,4.92,4.92,4.92,4.92,300,0
USARW.US,5,20250903,172500,4.91,4.91,4.9,4.9,750,0
USARW.US,5,20250903,173000,4.86,4.86,4.86,4.86,100,0
USARW.US,5,20250903,174500,4.9164,4.95,4.9164,4.95,2733,0
USARW.US,5,20250903,175000,4.95,4.95,4.95,4.95,200,0
USARW.US,5,20250903,182500,4.9,4.9,4.76,4.88,14270,0
USARW.US,5,20250903,183000,4.88,4.88,4.86,4.86,400,0
USARW.US,5,20250903,184000,4.84,4.85,4.84,4.8499,700,0
USARW.US,5,20250903,184500,4.84,4.84,4.74,4.7401,14010,0
USARW.US,5,20250903,185000,4.74,4.74,4.7,4.7,2400,0
USARW.US,5,20250903,190000,4.725,4.75,4.725,4.75,696,0
USARW.US,5,20250903,190500,4.72,4.72,4.72,4.72,100,0
USARW.US,5,20250903,193000,4.7,4.71,4.67,4.685,5750,0
USARW.US,5,20250903,193500,4.7,4.7,4.66,4.66,3200,0
USARW.US,5,20250903,194000,4.67,4.69,4.65,4.65,1300,0
USARW.US,5,20250903,194500,4.66,4.66,4.65,4.65,1250,0
USARW.US,5,20250903,195000,4.65,4.67,4.6484,4.65,1500,0
USARW.US,5,20250903,195500,4.67,4.67,4.67,4.67,1400,0
USARW.US,5,20250903,200000,4.655,4.68,4.6543,4.68,2039,0
USARW.US,5,20250903,200500,4.72,4.72,4.72,4.72,100,0
USARW.US,5,20250903,201000,4.69,4.69,4.69,4.69,100,0
USARW.US,5,20250903,201500,4.7199,4.72,4.6601,4.72,4835,0
USARW.US,5,20250903,202000,4.71,4.71,4.71,4.71,100,0
USARW.US,5,20250903,202500,4.72,4.75,4.71,4.75,8500,0
USARW.US,5,20250903,203000,4.71,4.74,4.71,4.74,400,0
