<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UTMD.US,5,20250829,155500,61.825,61.825,61.825,61.825,100,0
UTMD.US,5,20250829,164500,62.28,62.28,62.28,62.28,100,0
UTMD.US,5,20250829,174000,62.22,62.22,62.22,62.22,100,0
UTMD.US,5,20250829,174500,62.85,62.85,62.85,62.85,771,0
UTMD.US,5,20250829,181000,62.515,62.515,62.515,62.515,100,0
UTMD.US,5,20250829,181500,62.515,62.6,62.51,62.51,577,0
UTMD.US,5,20250829,185000,62.575,62.575,62.575,62.575,100,0
UTMD.US,5,20250829,185500,62.327,62.575,62.327,62.575,419,0
UTMD.US,5,20250829,190000,62.575,62.575,62.575,62.575,100,0
UTMD.US,5,20250829,191000,62.575,62.575,62.575,62.575,200,0
UTMD.US,5,20250829,192500,62.575,62.575,62.575,62.575,266,0
UTMD.US,5,20250829,194500,62.6804,62.7,62.6804,62.7,228,0
UTMD.US,5,20250829,200500,62.7,63.1,62.7,63.1,328,0
UTMD.US,5,20250829,201000,62.8,62.8,62.54,62.54,200,0
UTMD.US,5,20250829,203500,62.23,62.23,62.23,62.23,100,0
UTMD.US,5,20250829,210000,62.09,62.09,61.765,61.765,365,0
UTMD.US,5,20250829,210500,62.08,62.09,62.08,62.09,307,0
UTMD.US,5,20250829,213500,62.0575,62.0575,62.0575,62.0575,100,0
UTMD.US,5,20250829,215000,62.12,62.165,62.12,62.165,200,0
UTMD.US,5,20250829,215500,62.205,62.33,62.02,62.21,1981,0
UTMD.US,5,20250902,153000,61.47,61.47,61.47,61.47,176,0
UTMD.US,5,20250902,160500,60.49,60.49,60.49,60.49,105,0
UTMD.US,5,20250902,164000,61.99,61.99,61.99,61.99,165,0
UTMD.US,5,20250902,170000,61.775,61.775,61.775,61.775,123,0
UTMD.US,5,20250902,181500,61.7,61.7,61.7,61.7,100,0
UTMD.US,5,20250902,185500,61.9396,61.9396,61.9396,61.9396,346,0
UTMD.US,5,20250902,192000,61.07,61.07,61.07,61.07,479,0
UTMD.US,5,20250902,193000,61.87,61.87,61.87,61.87,100,0
UTMD.US,5,20250902,215500,61.48,61.48,61.48,61.48,1656,0
UTMD.US,5,20250903,174000,61.38,61.39,61.375,61.39,400,0
UTMD.US,5,20250903,175000,61.63,61.63,61.55,61.63,600,0
UTMD.US,5,20250903,180000,61.5066,61.5066,61.5066,61.5066,599,0
UTMD.US,5,20250903,192000,61.25,61.25,61.25,61.25,100,0
UTMD.US,5,20250903,210500,61.35,61.35,61.35,61.35,300,0
UTMD.US,5,20250903,213000,61.23,61.23,61.23,61.23,100,0
UTMD.US,5,20250903,215000,61.47,61.47,61.45,61.45,630,0
UTMD.US,5,20250904,171000,61.7411,61.7411,61.7411,61.7411,112,0
UTMD.US,5,20250904,173500,61.8099,61.81,61.8099,61.81,261,0
UTMD.US,5,20250904,174500,62.09,62.38,62.09,62.38,555,0
UTMD.US,5,20250904,184000,61.6801,61.6801,61.68,61.68,423,0
UTMD.US,5,20250904,184500,61.67,61.67,61.67,61.67,100,0
UTMD.US,5,20250904,185500,61.154,61.154,61.154,61.154,104,0
UTMD.US,5,20250904,201500,61.92,62.4537,61.92,62.13,452,0
UTMD.US,5,20250904,202500,62.13,62.5,62.13,62.5,200,0
UTMD.US,5,20250904,204500,62.12,62.12,62.12,62.12,100,0
UTMD.US,5,20250904,205500,62.1,62.1,62.1,62.1,350,0
UTMD.US,5,20250904,212500,62.46,62.46,62.46,62.46,100,0
UTMD.US,5,20250904,215500,62.75,62.75,62.75,62.75,717,0
UTMD.US,5,20250905,153000,62.75,62.75,62.75,62.75,417,0
UTMD.US,5,20250905,153500,63.1,63.1,63.1,63.1,699,0
UTMD.US,5,20250905,164500,63.49,63.49,63.49,63.49,200,0
UTMD.US,5,20250905,171000,64.1547,64.1547,64.1547,64.1547,372,0
UTMD.US,5,20250905,174500,63.12,63.12,63.11,63.11,200,0
UTMD.US,5,20250905,194000,63.415,63.415,63.415,63.415,100,0
UTMD.US,5,20250905,195000,63.35,63.35,63.35,63.35,100,0
UTMD.US,5,20250905,212500,63.3,63.3,63.3,63.3,100,0
UTMD.US,5,20250905,215500,63.2,63.7,63.18,63.4,1570,0
UTMD.US,5,20250908,153000,63.76,63.76,63.76,63.76,142,0
UTMD.US,5,20250908,154000,61.8535,61.8535,61.8535,61.8535,181,0
UTMD.US,5,20250908,155000,63.275,63.275,63.275,63.275,100,0
UTMD.US,5,20250908,165500,63.68,63.68,63.68,63.68,100,0
UTMD.US,5,20250908,171000,63.18,63.18,63.1,63.1,200,0
UTMD.US,5,20250908,181000,63.1356,63.1356,63.1356,63.1356,109,0
