<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VNET.US,5,20250829,153000,8.9,9.14,8.58,8.72,1066862,0
VNET.US,5,20250829,153500,8.73,8.8,8.48,8.49,356539,0
VNET.US,5,20250829,154000,8.49,8.632,8.46,8.59,215731,0
VNET.US,5,20250829,154500,8.596,8.735,8.57,8.67,287590,0
VNET.US,5,20250829,155000,8.6654,8.74,8.62,8.6525,114986,0
VNET.US,5,20250829,155500,8.655,8.675,8.575,8.62,75581,0
VNET.US,5,20250829,160000,8.61,8.63,8.55,8.56,253031,0
VNET.US,5,20250829,160500,8.56,8.605,8.5436,8.55,268313,0
VNET.US,5,20250829,161000,8.545,8.575,8.51,8.56,157416,0
VNET.US,5,20250829,161500,8.565,8.59,8.52,8.575,76695,0
VNET.US,5,20250829,162000,8.575,8.645,8.5735,8.615,143213,0
VNET.US,5,20250829,162500,8.61,8.76,8.6,8.72,524327,0
VNET.US,5,20250829,163000,8.7203,8.845,8.72,8.84,291813,0
VNET.US,5,20250829,163500,8.835,8.92,8.825,8.835,390806,0
VNET.US,5,20250829,164000,8.84,8.915,8.795,8.88,223023,0
VNET.US,5,20250829,164500,8.88,8.95,8.865,8.89,118287,0
VNET.US,5,20250829,165000,8.89,9,8.89,8.9788,216058,0
VNET.US,5,20250829,165500,8.975,8.995,8.875,8.88,236913,0
VNET.US,5,20250829,170000,8.87,8.92,8.822,8.87,251568,0
VNET.US,5,20250829,170500,8.87,9.0182,8.85,9.01,231470,0
VNET.US,5,20250829,171000,9,9.05,8.915,8.93,231834,0
VNET.US,5,20250829,171500,8.925,8.99,8.92,8.99,66978,0
VNET.US,5,20250829,172000,8.9882,9.05,8.96,8.9799,132573,0
VNET.US,5,20250829,172500,8.975,8.99,8.825,8.83,341949,0
VNET.US,5,20250829,173000,8.84,8.86,8.78,8.855,202183,0
VNET.US,5,20250829,173500,8.85,8.89,8.81,8.825,108444,0
VNET.US,5,20250829,174000,8.825,8.835,8.73,8.745,119079,0
VNET.US,5,20250829,174500,8.7487,8.7499,8.68,8.71,106479,0
VNET.US,5,20250829,175000,8.71,8.73,8.675,8.68,90317,0
VNET.US,5,20250829,175500,8.685,8.72,8.65,8.68,143097,0
VNET.US,5,20250829,180000,8.675,8.68,8.62,8.6293,99142,0
VNET.US,5,20250829,180500,8.625,8.655,8.615,8.635,124012,0
VNET.US,5,20250829,181000,8.635,8.6398,8.575,8.5935,172892,0
VNET.US,5,20250829,181500,8.595,8.6099,8.56,8.567,164029,0
VNET.US,5,20250829,182000,8.56,8.62,8.55,8.605,186936,0
VNET.US,5,20250829,182500,8.6,8.62,8.585,8.59,230189,0
VNET.US,5,20250829,183000,8.595,8.615,8.59,8.61,59668,0
VNET.US,5,20250829,183500,8.615,8.7,8.6,8.695,68790,0
VNET.US,5,20250829,184000,8.695,8.73,8.68,8.705,69518,0
VNET.US,5,20250829,184500,8.705,8.76,8.695,8.755,63438,0
VNET.US,5,20250829,185000,8.7588,8.775,8.7402,8.775,46268,0
VNET.US,5,20250829,185500,8.775,8.8,8.765,8.79,26891,0
VNET.US,5,20250829,190000,8.79,8.79,8.71,8.715,109264,0
VNET.US,5,20250829,190500,8.715,8.745,8.715,8.745,51034,0
VNET.US,5,20250829,191000,8.74,8.745,8.695,8.71,130084,0
VNET.US,5,20250829,191500,8.7112,8.715,8.655,8.66,62781,0
VNET.US,5,20250829,192000,8.665,8.78,8.66,8.775,100599,0
VNET.US,5,20250829,192500,8.7746,8.8,8.71,8.715,109921,0
VNET.US,5,20250829,193000,8.715,8.75,8.6903,8.7001,25881,0
VNET.US,5,20250829,193500,8.705,8.715,8.66,8.705,100799,0
VNET.US,5,20250829,194000,8.708,8.71,8.68,8.705,58192,0
VNET.US,5,20250829,194500,8.705,8.705,8.685,8.695,12357,0
VNET.US,5,20250829,195000,8.695,8.73,8.69,8.7,32719,0
VNET.US,5,20250829,195500,8.7,8.71,8.65,8.685,23065,0
VNET.US,5,20250829,200000,8.685,8.695,8.66,8.685,22203,0
VNET.US,5,20250829,200500,8.685,8.7,8.65,8.655,36645,0
VNET.US,5,20250829,201000,8.655,8.68,8.65,8.655,29432,0
VNET.US,5,20250829,201500,8.655,8.675,8.64,8.655,49768,0
VNET.US,5,20250829,202000,8.655,8.68,8.64,8.68,49894,0
VNET.US,5,20250829,202500,8.675,8.695,8.665,8.695,34119,0
VNET.US,5,20250829,203000,8.7,8.73,8.6946,8.715,18047,0
VNET.US,5,20250829,203500,8.715,8.715,8.665,8.685,27845,0
VNET.US,5,20250829,204000,8.68,8.695,8.665,8.665,19741,0
VNET.US,5,20250829,204500,8.665,8.685,8.66,8.675,18831,0
VNET.US,5,20250829,205000,8.6793,8.695,8.665,8.695,16022,0
VNET.US,5,20250829,205500,8.695,8.74,8.695,8.74,22797,0
VNET.US,5,20250829,210000,8.735,8.765,8.715,8.74,28107,0
VNET.US,5,20250829,210500,8.745,8.75,8.73,8.735,14115,0
VNET.US,5,20250829,211000,8.735,8.745,8.73,8.73,17919,0
VNET.US,5,20250829,211500,8.74,8.745,8.72,8.72,36297,0
VNET.US,5,20250829,212000,8.725,8.74,8.695,8.695,36351,0
VNET.US,5,20250829,212500,8.69,8.705,8.68,8.685,52877,0
VNET.US,5,20250829,213000,8.68,8.695,8.665,8.685,40024,0
VNET.US,5,20250829,213500,8.685,8.705,8.67,8.695,49866,0
VNET.US,5,20250829,214000,8.695,8.7,8.675,8.685,38730,0
VNET.US,5,20250829,214500,8.685,8.7175,8.65,8.665,87530,0
VNET.US,5,20250829,215000,8.67,8.685,8.62,8.63,145440,0
VNET.US,5,20250829,215500,8.63,8.68,8.62,8.66,1444458,0
VNET.US,5,20250902,153000,8.35,8.48,8.15,8.17,483723,0
VNET.US,5,20250902,153500,8.17,8.23,8.15,8.1898,152985,0
VNET.US,5,20250902,154000,8.19,8.19,8.13,8.15,210106,0
VNET.US,5,20250902,154500,8.15,8.22,8.14,8.1999,124479,0
VNET.US,5,20250902,155000,8.2,8.205,8.1548,8.175,56506,0
VNET.US,5,20250902,155500,8.178,8.18,8.13,8.16,106355,0
VNET.US,5,20250902,160000,8.155,8.185,8.145,8.155,368206,0
VNET.US,5,20250902,160500,8.155,8.165,8.14,8.1515,100215,0
VNET.US,5,20250902,161000,8.155,8.16,8.04,8.04,186318,0
VNET.US,5,20250902,161500,8.035,8.15,8.035,8.14,197369,0
VNET.US,5,20250902,162000,8.14,8.1487,8.105,8.115,47368,0
VNET.US,5,20250902,162500,8.11,8.15,8.085,8.15,52781,0
VNET.US,5,20250902,163000,8.145,8.24,8.145,8.235,51926,0
VNET.US,5,20250902,163500,8.235,8.25,8.205,8.21,32871,0
VNET.US,5,20250902,164000,8.21,8.215,8.145,8.175,52000,0
VNET.US,5,20250902,164500,8.16,8.17,8.11,8.11,10446,0
VNET.US,5,20250902,165000,8.1,8.115,8.075,8.085,67151,0
VNET.US,5,20250902,165500,8.08,8.085,8.0615,8.07,37168,0
VNET.US,5,20250902,170000,8.07,8.125,8.06,8.06,92160,0
VNET.US,5,20250902,170500,8.065,8.07,8.05,8.0512,50211,0
VNET.US,5,20250902,171000,8.055,8.06,8.025,8.0317,86499,0
VNET.US,5,20250902,171500,8.04,8.06,8.03,8.0352,63328,0
