<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WRD.US,5,20250829,153000,9.55,9.6,9.54,9.5913,43356,0
WRD.US,5,20250829,153500,9.59,9.595,9.5502,9.57,31449,0
WRD.US,5,20250829,154000,9.57,9.62,9.5401,9.6026,38870,0
WRD.US,5,20250829,154500,9.61,9.7,9.58,9.64,158696,0
WRD.US,5,20250829,155000,9.64,9.65,9.575,9.575,30300,0
WRD.US,5,20250829,155500,9.58,9.58,9.52,9.5402,57483,0
WRD.US,5,20250829,160000,9.545,9.565,9.46,9.46,43984,0
WRD.US,5,20250829,160500,9.46,9.465,9.415,9.435,62722,0
WRD.US,5,20250829,161000,9.44,9.46,9.385,9.44,98574,0
WRD.US,5,20250829,161500,9.425,9.45,9.385,9.395,86596,0
WRD.US,5,20250829,162000,9.395,9.42,9.39,9.4035,36666,0
WRD.US,5,20250829,162500,9.405,9.44,9.38,9.44,33864,0
WRD.US,5,20250829,163000,9.425,9.465,9.4237,9.465,11438,0
WRD.US,5,20250829,163500,9.465,9.47,9.435,9.465,11678,0
WRD.US,5,20250829,164000,9.465,9.47,9.425,9.425,31773,0
WRD.US,5,20250829,164500,9.4298,9.44,9.42,9.425,23944,0
WRD.US,5,20250829,165000,9.425,9.43,9.4012,9.4113,26350,0
WRD.US,5,20250829,165500,9.415,9.42,9.4,9.4017,28004,0
WRD.US,5,20250829,170000,9.4012,9.43,9.4001,9.425,20632,0
WRD.US,5,20250829,170500,9.425,9.43,9.41,9.425,11971,0
WRD.US,5,20250829,171000,9.43,9.475,9.43,9.465,23968,0
WRD.US,5,20250829,171500,9.465,9.495,9.465,9.475,18145,0
WRD.US,5,20250829,172000,9.47,9.5,9.46,9.495,19022,0
WRD.US,5,20250829,172500,9.5,9.505,9.4801,9.4801,21722,0
WRD.US,5,20250829,173000,9.485,9.49,9.46,9.485,15901,0
WRD.US,5,20250829,173500,9.485,9.485,9.455,9.46,9240,0
WRD.US,5,20250829,174000,9.46,9.46,9.42,9.42,7507,0
WRD.US,5,20250829,174500,9.415,9.425,9.4114,9.425,11252,0
WRD.US,5,20250829,175000,9.425,9.425,9.41,9.42,6192,0
WRD.US,5,20250829,175500,9.42,9.425,9.395,9.395,27295,0
WRD.US,5,20250829,180000,9.395,9.395,9.37,9.3822,32276,0
WRD.US,5,20250829,180500,9.385,9.3884,9.3601,9.3699,23466,0
WRD.US,5,20250829,181000,9.365,9.405,9.365,9.405,25119,0
WRD.US,5,20250829,181500,9.4001,9.42,9.4001,9.41,19175,0
WRD.US,5,20250829,182000,9.4101,9.4165,9.405,9.41,3194,0
WRD.US,5,20250829,182500,9.405,9.41,9.32,9.325,79240,0
WRD.US,5,20250829,183000,9.33,9.37,9.32,9.365,15119,0
WRD.US,5,20250829,183500,9.3699,9.4,9.34,9.395,45896,0
WRD.US,5,20250829,184000,9.395,9.4,9.39,9.4,7341,0
WRD.US,5,20250829,184500,9.39,9.4,9.365,9.365,5809,0
WRD.US,5,20250829,185000,9.355,9.375,9.355,9.37,8729,0
WRD.US,5,20250829,185500,9.38,9.39,9.365,9.37,6007,0
WRD.US,5,20250829,190000,9.37,9.375,9.35,9.35,5339,0
WRD.US,5,20250829,190500,9.3442,9.37,9.34,9.3676,13641,0
WRD.US,5,20250829,191000,9.36,9.36,9.3337,9.35,11871,0
WRD.US,5,20250829,191500,9.345,9.365,9.34,9.365,28257,0
WRD.US,5,20250829,192000,9.36,9.38,9.36,9.37,18022,0
WRD.US,5,20250829,192500,9.365,9.3736,9.3502,9.3502,25773,0
WRD.US,5,20250829,193000,9.36,9.3772,9.355,9.365,8178,0
WRD.US,5,20250829,193500,9.3699,9.375,9.355,9.375,38713,0
WRD.US,5,20250829,194000,9.38,9.39,9.375,9.39,16877,0
WRD.US,5,20250829,194500,9.385,9.385,9.36,9.375,9131,0
WRD.US,5,20250829,195000,9.37,9.375,9.365,9.365,3993,0
WRD.US,5,20250829,195500,9.37,9.37,9.36,9.365,2648,0
WRD.US,5,20250829,200000,9.3601,9.365,9.35,9.355,16642,0
WRD.US,5,20250829,200500,9.355,9.36,9.355,9.355,2106,0
WRD.US,5,20250829,201000,9.355,9.3577,9.34,9.345,38864,0
WRD.US,5,20250829,201500,9.345,9.345,9.31,9.335,34396,0
WRD.US,5,20250829,202000,9.335,9.34,9.31,9.32,12303,0
WRD.US,5,20250829,202500,9.3187,9.3187,9.31,9.31,10116,0
WRD.US,5,20250829,203000,9.3185,9.3399,9.3185,9.335,6835,0
WRD.US,5,20250829,203500,9.33,9.33,9.315,9.32,8774,0
WRD.US,5,20250829,204000,9.3271,9.3271,9.32,9.325,1795,0
WRD.US,5,20250829,204500,9.32,9.325,9.315,9.315,5764,0
WRD.US,5,20250829,205000,9.31,9.32,9.31,9.32,4175,0
WRD.US,5,20250829,205500,9.315,9.33,9.31,9.3201,4631,0
WRD.US,5,20250829,210000,9.33,9.33,9.32,9.325,3013,0
WRD.US,5,20250829,210500,9.3218,9.33,9.32,9.325,32742,0
WRD.US,5,20250829,211000,9.325,9.325,9.295,9.305,68570,0
WRD.US,5,20250829,211500,9.308,9.31,9.3001,9.31,7327,0
WRD.US,5,20250829,212000,9.32,9.335,9.315,9.335,6496,0
WRD.US,5,20250829,212500,9.335,9.3399,9.32,9.325,31602,0
WRD.US,5,20250829,213000,9.3246,9.33,9.32,9.32,6007,0
WRD.US,5,20250829,213500,9.325,9.3266,9.315,9.315,5889,0
WRD.US,5,20250829,214000,9.315,9.3357,9.31,9.3357,17422,0
WRD.US,5,20250829,214500,9.335,9.355,9.335,9.355,15636,0
WRD.US,5,20250829,215000,9.36,9.369,9.35,9.35,24727,0
WRD.US,5,20250829,215500,9.355,9.37,9.35,9.36,125364,0
WRD.US,5,20250902,153000,9.1,9.101,9.01,9.09,124484,0
WRD.US,5,20250902,153500,9.085,9.1616,9.08,9.115,81931,0
WRD.US,5,20250902,154000,9.13,9.15,9.1001,9.1102,76048,0
WRD.US,5,20250902,154500,9.12,9.15,9.08,9.12,70753,0
WRD.US,5,20250902,155000,9.1233,9.17,9.12,9.15,169819,0
WRD.US,5,20250902,155500,9.15,9.15,9.1,9.1233,35085,0
WRD.US,5,20250902,160000,9.15,9.173,9.14,9.145,60179,0
WRD.US,5,20250902,160500,9.1454,9.15,9.12,9.1498,24910,0
WRD.US,5,20250902,161000,9.145,9.16,9.125,9.125,45266,0
WRD.US,5,20250902,161500,9.1299,9.135,9.09,9.0901,36971,0
WRD.US,5,20250902,162000,9.0981,9.12,9.0713,9.0713,28916,0
WRD.US,5,20250902,162500,9.08,9.11,9.06,9.105,23403,0
WRD.US,5,20250902,163000,9.1082,9.11,9.09,9.0949,9567,0
WRD.US,5,20250902,163500,9.0949,9.1,9.05,9.06,25012,0
WRD.US,5,20250902,164000,9.065,9.07,9.03,9.065,65735,0
WRD.US,5,20250902,164500,9.065,9.068,9.03,9.03,19468,0
WRD.US,5,20250902,165000,9.025,9.06,9,9.06,87016,0
WRD.US,5,20250902,165500,9.055,9.06,9,9.005,92068,0
WRD.US,5,20250902,170000,9.005,9.0299,8.985,8.985,86957,0
WRD.US,5,20250902,170500,8.99,9,8.982,8.99,42772,0
WRD.US,5,20250902,171000,9,9,8.99,8.99798,30037,0
WRD.US,5,20250902,171500,8.995,9,8.99,8.995,18142,0
WRD.US,5,20250902,172000,8.995,9.005,8.97,8.98,131756,0
WRD.US,5,20250902,172500,8.98,8.99,8.97,8.98,54135,0
WRD.US,5,20250902,173000,8.98,8.995,8.975,8.9882,71469,0
WRD.US,5,20250902,173500,8.9849,8.9897,8.96,8.97,52244,0
WRD.US,5,20250902,174000,8.9716,8.98,8.95,8.9579,100322,0
WRD.US,5,20250902,174500,8.955,8.9981,8.95,8.96,139596,0
WRD.US,5,20250902,175000,8.965,8.965,8.92,8.925,158045,0
WRD.US,5,20250902,175500,8.9278,8.95,8.92,8.945,41063,0
