<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSBF.US,5,20250829,153000,14.6,14.83,14.6,14.83,1627,0
WSBF.US,5,20250829,153500,14.79,14.8,14.71,14.72,1201,0
WSBF.US,5,20250829,154000,14.715,14.75,14.7,14.71,949,0
WSBF.US,5,20250829,154500,14.71,14.73,14.64,14.73,2270,0
WSBF.US,5,20250829,155000,14.77,14.836,14.77,14.79,1100,0
WSBF.US,5,20250829,155500,14.81,14.98,14.81,14.98,4902,0
WSBF.US,5,20250829,160000,14.98,15.0139,14.9706,14.9706,1248,0
WSBF.US,5,20250829,160500,14.985,15,14.98,14.9993,1899,0
WSBF.US,5,20250829,161000,14.9568,15,14.9568,15,1294,0
WSBF.US,5,20250829,161500,15.0258,15.03,14.98,14.99,3112,0
WSBF.US,5,20250829,162000,15.02,15.04,15,15.04,908,0
WSBF.US,5,20250829,162500,15.015,15.03,14.99,15,890,0
WSBF.US,5,20250829,163000,14.99,15.03,14.99,15,300,0
WSBF.US,5,20250829,163500,15.0299,15.0299,14.98,14.98,700,0
WSBF.US,5,20250829,164000,15.0258,15.185,15.015,15.07,7420,0
WSBF.US,5,20250829,164500,15.055,15.12,15.055,15.09,796,0
WSBF.US,5,20250829,165000,15.101,15.104,15.101,15.104,550,0
WSBF.US,5,20250829,170000,15.11,15.11,15.09,15.09,500,0
WSBF.US,5,20250829,170500,15.095,15.095,15.04,15.04,1118,0
WSBF.US,5,20250829,171500,15.03,15.055,15.02,15.05,500,0
WSBF.US,5,20250829,172000,15.06,15.08,15.05,15.08,1800,0
WSBF.US,5,20250829,172500,15.115,15.115,15.03,15.03,1000,0
WSBF.US,5,20250829,173000,15.03,15.07,15.02,15.07,1315,0
WSBF.US,5,20250829,173500,15.07,15.085,15.07,15.085,400,0
WSBF.US,5,20250829,174500,15.12,15.15,15.0935,15.15,1361,0
WSBF.US,5,20250829,175000,15.1215,15.24,15.1215,15.194,2305,0
WSBF.US,5,20250829,175500,15.239,15.29,15.239,15.29,2224,0
WSBF.US,5,20250829,180000,15.25,15.25,15.25,15.25,100,0
WSBF.US,5,20250829,181000,15.233,15.29,15.225,15.225,1200,0
WSBF.US,5,20250829,181500,15.2309,15.2309,15.2309,15.2309,100,0
WSBF.US,5,20250829,183500,15.255,15.255,15.18,15.18,2586,0
WSBF.US,5,20250829,185000,15.2,15.21,15.2,15.21,300,0
WSBF.US,5,20250829,185500,15.22,15.22,15.22,15.22,100,0
WSBF.US,5,20250829,190000,15.2,15.2,15.16,15.17,700,0
WSBF.US,5,20250829,190500,15.1827,15.1827,15.13,15.13,1100,0
WSBF.US,5,20250829,191000,15.115,15.135,15.115,15.13,400,0
WSBF.US,5,20250829,191500,15.12,15.12,15.12,15.12,300,0
WSBF.US,5,20250829,192000,15.12,15.13,15.08,15.08,777,0
WSBF.US,5,20250829,193000,15.06,15.06,15.06,15.06,900,0
WSBF.US,5,20250829,193500,15.06,15.06,15.06,15.06,100,0
WSBF.US,5,20250829,201000,15.02,15.03,15.02,15.03,200,0
WSBF.US,5,20250829,202000,15.02,15.02,15.02,15.02,757,0
WSBF.US,5,20250829,202500,15.05,15.055,15.05,15.055,400,0
WSBF.US,5,20250829,203000,15.05,15.05,15.05,15.05,100,0
WSBF.US,5,20250829,203500,15.04,15.045,15.04,15.045,200,0
WSBF.US,5,20250829,204000,15.04,15.04,15.04,15.04,100,0
WSBF.US,5,20250829,205000,15.03,15.03,15.03,15.03,100,0
WSBF.US,5,20250829,210000,15.049,15.049,15.045,15.045,750,0
WSBF.US,5,20250829,210500,15.07,15.07,15.05,15.05,700,0
WSBF.US,5,20250829,211000,15.065,15.07,15.055,15.07,906,0
WSBF.US,5,20250829,211500,15.08,15.08,15.07,15.07,300,0
WSBF.US,5,20250829,212000,15.08,15.085,15.05,15.05,2744,0
WSBF.US,5,20250829,212500,15.05,15.05,15.025,15.025,500,0
WSBF.US,5,20250829,213000,15.05,15.0701,15.05,15.0701,1730,0
WSBF.US,5,20250829,213500,15.1,15.1,15.07,15.07,400,0
WSBF.US,5,20250829,214500,15.065,15.075,15.0601,15.075,1337,0
