<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFMC.US,5,20250829,153000,33.718,33.7199,33.718,33.7199,571,0
AFMC.US,5,20250829,160000,33.7099,33.7099,33.7099,33.7099,100,0
AFMC.US,5,20250829,161000,33.52,33.52,33.52,33.52,500,0
AFMC.US,5,20250829,164500,33.4965,33.4965,33.49,33.49,218,0
AFMC.US,5,20250829,165000,33.43,33.43,33.43,33.43,100,0
AFMC.US,5,20250829,170500,33.47,33.47,33.47,33.47,100,0
AFMC.US,5,20250829,173500,33.44053,33.44053,33.44053,33.44053,180,0
AFMC.US,5,20250829,175500,33.46,33.46,33.46,33.46,100,0
AFMC.US,5,20250829,182000,33.485,33.485,33.485,33.485,288,0
AFMC.US,5,20250829,184500,33.5,33.5,33.5,33.5,144,0
AFMC.US,5,20250829,191000,33.48,33.48,33.475,33.475,231,0
AFMC.US,5,20250829,194000,33.483,33.483,33.483,33.483,746,0
AFMC.US,5,20250829,195000,33.49,33.49,33.48,33.48,268,0
AFMC.US,5,20250829,200000,33.47,33.47,33.47,33.47,100,0
AFMC.US,5,20250829,202000,33.41,33.41,33.41,33.41,100,0
AFMC.US,5,20250829,203000,33.44,33.44,33.44,33.44,100,0
AFMC.US,5,20250829,203500,33.45,33.45,33.45,33.45,100,0
AFMC.US,5,20250829,204000,33.45,33.45,33.45,33.45,100,0
AFMC.US,5,20250829,204500,33.44,33.44,33.44,33.44,200,0
AFMC.US,5,20250829,205000,33.44,33.44,33.43,33.43,300,0
AFMC.US,5,20250829,205500,33.43,33.43,33.42,33.42,200,0
AFMC.US,5,20250829,211500,33.43,33.43,33.43,33.43,100,0
AFMC.US,5,20250829,212500,33.41,33.41,33.41,33.41,100,0
AFMC.US,5,20250829,214500,33.43,33.43,33.43,33.43,269,0
AFMC.US,5,20250829,215000,33.45,33.45,33.45,33.45,100,0
AFMC.US,5,20250829,215500,33.5,33.5,33.495,33.495,320,0
AFMC.US,5,20250902,155000,33.36,33.36,33.36,33.36,100,0
AFMC.US,5,20250902,162500,33.43,33.43,33.43,33.43,100,0
AFMC.US,5,20250902,182500,33.285,33.285,33.285,33.285,560,0
AFMC.US,5,20250902,184500,33.29,33.29,33.29,33.29,100,0
AFMC.US,5,20250902,193000,33.41,33.41,33.4099,33.4099,1200,0
AFMC.US,5,20250902,193500,33.41,33.41,33.41,33.41,6008,0
AFMC.US,5,20250902,195000,33.45,33.45,33.45,33.45,100,0
AFMC.US,5,20250902,200500,33.41,33.41,33.41,33.41,100,0
AFMC.US,5,20250902,204500,33.35,33.35,33.35,33.35,3061,0
AFMC.US,5,20250902,211000,33.44,33.44,33.4399,33.44,1090,0
AFMC.US,5,20250902,212500,33.433,33.433,33.433,33.433,191,0
AFMC.US,5,20250902,214500,33.47,33.47,33.47,33.47,432,0
AFMC.US,5,20250902,215000,33.51,33.51,33.51,33.51,300,0
AFMC.US,5,20250902,215500,33.53,33.54,33.53,33.53,1574,0
AFMC.US,5,20250903,155000,33.6005,33.6005,33.6005,33.6005,129,0
AFMC.US,5,20250903,160000,33.5201,33.5201,33.5201,33.5201,107,0
AFMC.US,5,20250903,161000,33.51,33.51,33.51,33.51,100,0
AFMC.US,5,20250903,163500,33.51,33.525,33.51,33.525,300,0
AFMC.US,5,20250903,190000,33.4425,33.46,33.4425,33.4425,1667,0
AFMC.US,5,20250903,190500,33.42,33.4327,33.4,33.415,7802,0
AFMC.US,5,20250903,191000,33.43,33.43,33.42,33.42,57334,0
AFMC.US,5,20250903,192500,33.4673,33.4673,33.4673,33.4673,1650,0
AFMC.US,5,20250903,193000,33.46,33.46,33.46,33.46,151,0
AFMC.US,5,20250903,210500,33.42,33.42,33.42,33.42,100,0
AFMC.US,5,20250903,212000,33.3936,33.3936,33.3936,33.3936,425,0
AFMC.US,5,20250903,213000,33.42,33.42,33.42,33.42,100,0
AFMC.US,5,20250904,161000,33.65,33.65,33.65,33.65,100,0
AFMC.US,5,20250904,173000,33.7655,33.7655,33.7655,33.7655,149,0
AFMC.US,5,20250904,175000,33.7977,33.7977,33.7977,33.7977,243,0
AFMC.US,5,20250904,184500,33.78,33.78,33.78,33.78,100,0
AFMC.US,5,20250904,190500,33.7787,33.7787,33.7787,33.7787,861,0
AFMC.US,5,20250904,191000,33.7899,33.7899,33.7899,33.7899,1480,0
AFMC.US,5,20250904,195000,33.8496,33.8496,33.8496,33.8496,320,0
AFMC.US,5,20250904,203500,33.845,33.845,33.845,33.845,136,0
AFMC.US,5,20250904,205500,33.8369,33.8369,33.8299,33.8299,563,0
AFMC.US,5,20250904,210000,33.8297,33.83,33.8297,33.83,638,0
AFMC.US,5,20250904,212000,33.84,33.8401,33.84,33.8401,827,0
AFMC.US,5,20250904,215000,33.94,33.94,33.94,33.94,100,0
AFMC.US,5,20250905,154000,34.2889,34.3399,34.2889,34.3399,403,0
AFMC.US,5,20250905,155000,34.146,34.146,34.146,34.146,155,0
AFMC.US,5,20250905,162000,34.05,34.05,34.05,34.05,100,0
AFMC.US,5,20250905,163000,33.97,33.97,33.97,33.97,100,0
AFMC.US,5,20250905,165000,33.805,33.805,33.805,33.805,209,0
