<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGQ.US,5,20250829,153000,54.64,54.87,54.62,54.84,18821,0
AGQ.US,5,20250829,153500,54.82,54.84,54.71,54.76,20234,0
AGQ.US,5,20250829,154000,54.85,54.93,54.85,54.89,12880,0
AGQ.US,5,20250829,154500,54.9,55,54.82,55,33853,0
AGQ.US,5,20250829,155000,54.99,55.04,54.95,54.95,54434,0
AGQ.US,5,20250829,155500,54.95,55.059,54.9,55.05,23958,0
AGQ.US,5,20250829,160000,55.06,55.58,55.06,55.48,76152,0
AGQ.US,5,20250829,160500,55.5,55.5476,55.12,55.36,78465,0
AGQ.US,5,20250829,161000,55.39,55.41,55.14,55.35,20440,0
AGQ.US,5,20250829,161500,55.28,55.4,55.19,55.2,22945,0
AGQ.US,5,20250829,162000,55.26,55.45,55.26,55.38,16538,0
AGQ.US,5,20250829,162500,55.3846,55.4381,55.28,55.36,12862,0
AGQ.US,5,20250829,163000,55.47,55.87,55.47,55.71,71622,0
AGQ.US,5,20250829,163500,55.69,55.93,55.6446,55.81,43807,0
AGQ.US,5,20250829,164000,55.79,55.92,55.74,55.75,28603,0
AGQ.US,5,20250829,164500,55.73,55.73,55.52,55.665,33615,0
AGQ.US,5,20250829,165000,55.68,55.78,55.625,55.78,8557,0
AGQ.US,5,20250829,165500,55.7807,55.89,55.77,55.89,31988,0
AGQ.US,5,20250829,170000,55.925,55.93,55.86,55.89,32778,0
AGQ.US,5,20250829,170500,55.88,56,55.8799,56,21927,0
AGQ.US,5,20250829,171000,56.01,56.03,55.94,56.0193,8374,0
AGQ.US,5,20250829,171500,55.9991,56.1565,55.9991,56.1565,9326,0
AGQ.US,5,20250829,172000,56.1499,56.27,56.14,56.26,25850,0
AGQ.US,5,20250829,172500,56.28,56.3,56.14,56.16,23165,0
AGQ.US,5,20250829,173000,56.18,56.21,56.1238,56.17,13285,0
