<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AOD.US,5,20250829,153000,9.11,9.14,9.11,9.13,21516,0
AOD.US,5,20250829,153500,9.13,9.13,9.11,9.115,5924,0
AOD.US,5,20250829,154000,9.1199,9.1199,9.115,9.1193,8155,0
AOD.US,5,20250829,154500,9.115,9.12,9.105,9.105,14970,0
AOD.US,5,20250829,155000,9.1,9.1081,9.1,9.105,5199,0
AOD.US,5,20250829,155500,9.1,9.105,9.09,9.095,12889,0
AOD.US,5,20250829,160000,9.095,9.1,9.095,9.095,2719,0
AOD.US,5,20250829,160500,9.09,9.095,9.09,9.09,5383,0
AOD.US,5,20250829,161000,9.095,9.095,9.09,9.095,8560,0
AOD.US,5,20250829,161500,9.095,9.1,9.0901,9.095,1212,0
AOD.US,5,20250829,162000,9.095,9.1,9.0912,9.095,3060,0
AOD.US,5,20250829,162500,9.095,9.0999,9.0946,9.095,2440,0
AOD.US,5,20250829,163000,9.1,9.105,9.095,9.105,2844,0
AOD.US,5,20250829,163500,9.105,9.11,9.1,9.105,20035,0
AOD.US,5,20250829,164000,9.105,9.11,9.105,9.1065,1826,0
AOD.US,5,20250829,164500,9.1,9.109,9.085,9.085,9008,0
AOD.US,5,20250829,165000,9.085,9.095,9.085,9.095,12393,0
AOD.US,5,20250829,165500,9.095,9.1,9.095,9.095,7400,0
AOD.US,5,20250829,170000,9.1,9.1,9.0946,9.095,1937,0
AOD.US,5,20250829,170500,9.0942,9.1,9.0942,9.095,5312,0
AOD.US,5,20250829,171000,9.095,9.105,9.095,9.1028,9125,0
AOD.US,5,20250829,171500,9.11,9.11,9.09,9.09,7124,0
AOD.US,5,20250829,172000,9.0919,9.0962,9.09,9.095,11353,0
AOD.US,5,20250829,172500,9.09,9.095,9.09,9.09,1530,0
AOD.US,5,20250829,173000,9.09,9.095,9.09,9.09,662,0
AOD.US,5,20250829,173500,9.095,9.095,9.09,9.095,2708,0
AOD.US,5,20250829,174000,9.09,9.095,9.09,9.09,1100,0
AOD.US,5,20250829,174500,9.09,9.09,9.09,9.09,700,0
AOD.US,5,20250829,175000,9.09,9.1,9.09,9.095,5235,0
AOD.US,5,20250829,175500,9.095,9.0999,9.095,9.0999,3393,0
AOD.US,5,20250829,180000,9.095,9.095,9.095,9.095,1575,0
AOD.US,5,20250829,180500,9.095,9.1,9.095,9.095,5335,0
AOD.US,5,20250829,181000,9.091,9.1,9.091,9.1,2511,0
AOD.US,5,20250829,181500,9.095,9.1,9.095,9.0958,1200,0
AOD.US,5,20250829,182000,9.095,9.14,9.0938,9.11,50558,0
AOD.US,5,20250829,182500,9.1099,9.115,9.1046,9.11,7783,0
AOD.US,5,20250829,183000,9.1101,9.115,9.1101,9.115,3750,0
AOD.US,5,20250829,183500,9.12,9.12,9.115,9.115,2900,0
AOD.US,5,20250829,184000,9.115,9.115,9.11,9.115,4359,0
AOD.US,5,20250829,184500,9.115,9.115,9.115,9.115,1034,0
AOD.US,5,20250829,185000,9.115,9.1189,9.1135,9.1151,1976,0
AOD.US,5,20250829,185500,9.115,9.115,9.11,9.11,12881,0
AOD.US,5,20250829,190000,9.11,9.115,9.11,9.11,2800,0
AOD.US,5,20250829,190500,9.105,9.105,9.1,9.1,2267,0
AOD.US,5,20250829,191000,9.1,9.1,9.09,9.09,2080,0
AOD.US,5,20250829,191500,9.095,9.0999,9.085,9.085,7294,0
AOD.US,5,20250829,192000,9.085,9.085,9.085,9.085,800,0
AOD.US,5,20250829,192500,9.085,9.095,9.085,9.0902,5626,0
AOD.US,5,20250829,193000,9.09,9.095,9.09,9.095,350,0
AOD.US,5,20250829,193500,9.0999,9.0999,9.09,9.09,750,0
AOD.US,5,20250829,194000,9.09,9.09,9.09,9.09,800,0
AOD.US,5,20250829,194500,9.09,9.095,9.09,9.095,2400,0
AOD.US,5,20250829,195000,9.095,9.1,9.095,9.095,1860,0
AOD.US,5,20250829,195500,9.095,9.0991,9.095,9.095,3100,0
AOD.US,5,20250829,200000,9.0952,9.0952,9.095,9.095,961,0
AOD.US,5,20250829,200500,9.095,9.095,9.091,9.095,1928,0
AOD.US,5,20250829,201000,9.095,9.095,9.0901,9.0901,1025,0
AOD.US,5,20250829,201500,9.095,9.095,9.09,9.09,620,0
AOD.US,5,20250829,202000,9.095,9.095,9.09,9.09,1531,0
AOD.US,5,20250829,202500,9.09,9.095,9.09,9.09,500,0
AOD.US,5,20250829,203000,9.09,9.095,9.09,9.095,1100,0
AOD.US,5,20250829,203500,9.095,9.095,9.09,9.095,700,0
AOD.US,5,20250829,204000,9.09,9.11,9.09,9.095,16594,0
AOD.US,5,20250829,204500,9.095,9.095,9.09,9.095,1660,0
AOD.US,5,20250829,205000,9.09,9.1,9.09,9.1,900,0
AOD.US,5,20250829,205500,9.09,9.095,9.09,9.095,1649,0
AOD.US,5,20250829,210000,9.09,9.095,9.09,9.095,1300,0
AOD.US,5,20250829,210500,9.095,9.1,9.09,9.1,3930,0
