<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAMA.US,5,20250829,172000,32.62,32.62,32.61,32.61,200,0
BAMA.US,5,20250829,180000,32.61,32.61,32.6,32.6,300,0
BAMA.US,5,20250829,180500,32.61,32.61,32.61,32.61,100,0
BAMA.US,5,20250829,193000,32.62,32.62,32.62,32.62,120,0
BAMA.US,5,20250829,195500,32.63,32.63,32.63,32.63,100,0
BAMA.US,5,20250829,200500,32.62,32.62,32.62,32.62,100,0
BAMA.US,5,20250829,202500,32.61,32.61,32.61,32.61,186,0
BAMA.US,5,20250829,211500,32.63,32.63,32.6297,32.6297,4172,0
BAMA.US,5,20250829,212500,32.62,32.62,32.62,32.62,100,0
BAMA.US,5,20250902,154500,32.3802,32.3802,32.3802,32.3802,100,0
BAMA.US,5,20250902,160000,32.44,32.44,32.44,32.44,100,0
BAMA.US,5,20250902,164500,32.38,32.38,32.38,32.38,100,0
BAMA.US,5,20250902,210000,32.4,32.4,32.4,32.4,1286,0
BAMA.US,5,20250902,212500,32.44,32.44,32.44,32.44,568,0
BAMA.US,5,20250902,213500,32.43,32.43,32.43,32.43,978,0
BAMA.US,5,20250903,173000,32.57,32.57,32.57,32.57,100,0
BAMA.US,5,20250903,185500,32.57,32.57,32.56,32.56,7233,0
BAMA.US,5,20250903,192500,32.58,32.58,32.58,32.58,100,0
BAMA.US,5,20250903,200500,32.53,32.53,32.53,32.53,100,0
BAMA.US,5,20250903,203500,32.52,32.54,32.52,32.54,550,0
BAMA.US,5,20250903,204000,32.5302,32.5302,32.5302,32.5302,748,0
BAMA.US,5,20250903,205500,32.53,32.53,32.53,32.53,144,0
BAMA.US,5,20250903,210500,32.53,32.53,32.53,32.53,225,0
BAMA.US,5,20250903,212500,32.55,32.56,32.54,32.54,1961,0
BAMA.US,5,20250903,213000,32.54,32.54,32.54,32.54,7095,0
BAMA.US,5,20250904,162000,32.61,32.61,32.61,32.61,5552,0
BAMA.US,5,20250904,184500,32.67,32.67,32.66,32.66,800,0
BAMA.US,5,20250904,195000,32.695,32.7,32.695,32.7,1700,0
BAMA.US,5,20250904,195500,32.7,32.7,32.7,32.7,100,0
BAMA.US,5,20250904,202000,32.7208,32.7208,32.7208,32.7208,653,0
BAMA.US,5,20250904,205500,32.711,32.711,32.711,32.711,179,0
BAMA.US,5,20250904,211500,32.75,32.75,32.73,32.73,1322,0
BAMA.US,5,20250904,212000,32.73,32.73,32.73,32.73,100,0
BAMA.US,5,20250904,213000,32.7362,32.7362,32.72,32.72,911,0
BAMA.US,5,20250904,214500,32.73,32.73,32.73,32.73,100,0
BAMA.US,5,20250904,215500,32.76,32.76,32.76,32.76,100,0
BAMA.US,5,20250905,163000,32.79,32.79,32.79,32.79,100,0
BAMA.US,5,20250905,170000,32.73,32.73,32.73,32.73,100,0
BAMA.US,5,20250905,170500,32.74,32.74,32.74,32.74,300,0
BAMA.US,5,20250905,173000,32.79,32.79,32.79,32.79,100,0
BAMA.US,5,20250905,174000,32.82,32.82,32.82,32.82,100,0
BAMA.US,5,20250905,174500,32.82,32.82,32.82,32.82,100,0
BAMA.US,5,20250905,175000,32.803,32.803,32.803,32.803,265,0
BAMA.US,5,20250905,180500,32.79,32.79,32.79,32.79,100,0
BAMA.US,5,20250905,181500,32.81,32.81,32.81,32.81,100,0
BAMA.US,5,20250905,184500,32.8,32.8,32.8,32.8,100,0
BAMA.US,5,20250905,193500,32.79,32.79,32.79,32.79,200,0
BAMA.US,5,20250905,195000,32.77,32.77,32.77,32.77,100,0
BAMA.US,5,20250905,201500,32.78,32.78,32.78,32.78,3521,0
BAMA.US,5,20250905,203000,32.79,32.79,32.79,32.79,700,0
BAMA.US,5,20250905,203500,32.79,32.79,32.78,32.78,1419,0
BAMA.US,5,20250905,205500,32.78,32.78,32.78,32.78,117,0
BAMA.US,5,20250905,210500,32.79,32.79,32.79,32.79,100,0
BAMA.US,5,20250905,211500,32.81,32.81,32.81,32.81,236,0
BAMA.US,5,20250905,212000,32.81,32.81,32.81,32.81,571,0
BAMA.US,5,20250905,212500,32.83,32.83,32.82,32.8299,1688,0
BAMA.US,5,20250905,215000,32.8,32.8,32.8,32.8,236,0
BAMA.US,5,20250905,215500,32.81,32.81,32.81,32.81,1400,0
BAMA.US,5,20250908,153500,32.94,32.94,32.94,32.94,100,0
BAMA.US,5,20250908,154000,32.94,32.94,32.94,32.94,100,0
BAMA.US,5,20250908,155000,32.95,32.95,32.95,32.95,200,0
BAMA.US,5,20250908,160000,32.94,32.94,32.94,32.94,183,0
BAMA.US,5,20250908,162500,32.93,32.93,32.93,32.93,200,0
BAMA.US,5,20250908,172500,32.97,32.97,32.97,32.97,100,0
BAMA.US,5,20250908,174000,32.97,32.97,32.97,32.97,200,0
BAMA.US,5,20250908,180000,32.97,32.97,32.97,32.97,100,0
BAMA.US,5,20250908,201500,32.93,32.93,32.93,32.93,100,0
BAMA.US,5,20250908,202500,32.95,32.95,32.95,32.95,200,0
BAMA.US,5,20250908,204000,32.95,32.95,32.95,32.95,200,0
BAMA.US,5,20250908,211000,32.95,32.95,32.95,32.95,100,0
BAMA.US,5,20250908,211500,32.9408,32.9408,32.9408,32.9408,419,0
BAMA.US,5,20250908,213000,32.94,32.94,32.93,32.93,1542,0
BAMA.US,5,20250908,213500,32.94,32.94,32.94,32.94,200,0
BAMA.US,5,20250908,214500,32.95,32.95,32.95,32.95,100,0
BAMA.US,5,20250908,215500,32.95,32.95,32.95,32.95,100,0
BAMA.US,5,20250909,154000,32.97,32.97,32.97,32.97,100,0
BAMA.US,5,20250909,164000,32.9,32.9,32.9,32.9,300,0
BAMA.US,5,20250909,165000,32.91,32.91,32.91,32.91,100,0
BAMA.US,5,20250909,173000,32.9354,32.9354,32.9354,32.9354,100,0
BAMA.US,5,20250909,175000,32.92,32.93,32.92,32.93,200,0
BAMA.US,5,20250909,181000,32.945,32.945,32.945,32.945,100,0
BAMA.US,5,20250909,191000,32.96,32.96,32.96,32.96,100,0
BAMA.US,5,20250909,212500,32.985,32.985,32.985,32.985,264,0
BAMA.US,5,20250909,213000,32.98,32.99,32.98,32.99,2836,0
BAMA.US,5,20250909,215000,32.98,32.98,32.98,32.98,200,0
BAMA.US,5,20250909,215500,32.99,32.99,32.99,32.99,814,0
BAMA.US,5,20250910,161500,33.16,33.16,33.16,33.16,100,0
BAMA.US,5,20250910,163000,33.16,33.16,33.16,33.16,100,0
BAMA.US,5,20250910,164000,33.16,33.16,33.16,33.16,400,0
BAMA.US,5,20250910,174000,33.1501,33.1501,33.1501,33.1501,195,0
BAMA.US,5,20250910,192000,33.13,33.14,33.13,33.14,295,0
BAMA.US,5,20250910,212500,33.07,33.07,33.07,33.07,905,0
BAMA.US,5,20250910,213000,33.06,33.07,33.06,33.07,841,0
BAMA.US,5,20250910,214000,33.07,33.07,33.07,33.07,100,0
BAMA.US,5,20250910,215500,33.09,33.09,33.09,33.09,360,0
BAMA.US,5,20250911,161000,33.235,33.235,33.235,33.235,100,0
BAMA.US,5,20250911,161500,33.23,33.23,33.23,33.23,100,0
BAMA.US,5,20250911,180000,33.28,33.28,33.28,33.28,100,0
BAMA.US,5,20250911,194500,33.27,33.27,33.27,33.27,100,0
BAMA.US,5,20250911,195000,33.26,33.27,33.26,33.27,600,0
BAMA.US,5,20250911,195500,33.27,33.27,33.27,33.27,100,0
BAMA.US,5,20250911,205000,33.27,33.28,33.27,33.28,300,0
BAMA.US,5,20250911,205500,33.28,33.29,33.28,33.29,400,0
BAMA.US,5,20250911,212500,33.285,33.285,33.285,33.285,103,0
BAMA.US,5,20250911,213000,33.28,33.29,33.28,33.29,1769,0
BAMA.US,5,20250911,215500,33.29,33.29,33.29,33.29,100,0
BAMA.US,5,20250912,174000,33.24,33.24,33.24,33.24,100,0
BAMA.US,5,20250912,211500,33.2955,33.3,33.2935,33.3,796,0
BAMA.US,5,20250912,213500,33.27,33.275,33.27,33.27,9765,0
BAMA.US,5,20250912,214000,33.26,33.265,33.26,33.265,900,0
BAMA.US,5,20250912,214500,33.27,33.27,33.27,33.27,200,0
BAMA.US,5,20250912,215500,33.28,33.28,33.28,33.28,570,0
BAMA.US,5,20250915,162500,33.39,33.39,33.39,33.39,100,0
BAMA.US,5,20250915,174000,33.4,33.4,33.4,33.4,100,0
BAMA.US,5,20250915,193000,33.399,33.399,33.399,33.399,100,0
BAMA.US,5,20250915,213000,33.38,33.4,33.38,33.4,3726,0
BAMA.US,5,20250915,213500,33.395,33.4,33.39,33.4,1131,0
BAMA.US,5,20250915,214000,33.409,33.41,33.4,33.4,400,0
BAMA.US,5,20250915,215000,33.4,33.4,33.4,33.4,600,0
BAMA.US,5,20250915,215500,33.43,33.43,33.43,33.43,438,0
BAMA.US,5,20250916,153000,33.431,33.431,33.431,33.431,107,0
BAMA.US,5,20250916,153500,33.425,33.425,33.425,33.425,113,0
BAMA.US,5,20250916,164000,33.4,33.4,33.4,33.4,100,0
BAMA.US,5,20250916,165500,33.4,33.4,33.4,33.4,100,0
BAMA.US,5,20250916,204000,33.41,33.42,33.41,33.42,1200,0
BAMA.US,5,20250916,204500,33.42,33.42,33.42,33.42,200,0
BAMA.US,5,20250916,212000,33.42,33.425,33.42,33.425,350,0
BAMA.US,5,20250916,213000,33.4,33.4,33.4,33.4,1761,0
BAMA.US,5,20250916,215500,33.39,33.39,33.39,33.39,184,0
BAMA.US,5,20250917,162000,33.375,33.375,33.375,33.375,110,0
BAMA.US,5,20250917,171500,33.37,33.37,33.37,33.37,100,0
BAMA.US,5,20250917,185000,33.35,33.35,33.33,33.33,800,0
BAMA.US,5,20250917,190500,33.33,33.35,33.33,33.35,531,0
BAMA.US,5,20250917,213000,33.35,33.3501,33.35,33.3501,276,0
BAMA.US,5,20250917,213500,33.38,33.38,33.3701,33.3701,1225,0
BAMA.US,5,20250917,214000,33.36,33.36,33.36,33.36,227,0
BAMA.US,5,20250917,215000,33.35,33.35,33.35,33.35,200,0
BAMA.US,5,20250918,154000,33.36,33.36,33.36,33.36,102,0
BAMA.US,5,20250918,174000,33.45,33.45,33.45,33.45,100,0
BAMA.US,5,20250918,213000,33.443,33.443,33.4276,33.4276,6849,0
BAMA.US,5,20250918,214000,33.43,33.43,33.43,33.43,100,0
BAMA.US,5,20250918,215000,33.44,33.44,33.44,33.44,3700,0
BAMA.US,5,20250918,215500,33.44,33.44,33.44,33.44,218,0
BAMA.US,5,20250919,154000,33.45,33.45,33.44,33.44,1400,0
BAMA.US,5,20250919,160500,33.47,33.47,33.47,33.47,100,0
BAMA.US,5,20250919,161000,33.46,33.46,33.46,33.46,100,0
BAMA.US,5,20250919,161500,33.46,33.46,33.45,33.45,500,0
BAMA.US,5,20250919,162000,33.46,33.46,33.46,33.46,100,0
BAMA.US,5,20250919,162500,33.45,33.45,33.45,33.45,100,0
BAMA.US,5,20250919,163500,33.46,33.46,33.45,33.45,500,0
BAMA.US,5,20250919,164000,33.44,33.44,33.44,33.44,100,0
BAMA.US,5,20250919,164500,33.43,33.43,33.43,33.43,400,0
BAMA.US,5,20250919,165500,33.44,33.44,33.44,33.44,200,0
BAMA.US,5,20250919,170000,33.43,33.43,33.43,33.43,100,0
BAMA.US,5,20250919,170500,33.42,33.42,33.42,33.42,500,0
BAMA.US,5,20250919,171500,33.42,33.42,33.41,33.41,400,0
BAMA.US,5,20250919,172000,33.415,33.415,33.415,33.415,100,0
BAMA.US,5,20250919,172500,33.415,33.415,33.415,33.415,200,0
BAMA.US,5,20250919,173000,33.41,33.41,33.4,33.4,300,0
BAMA.US,5,20250919,173500,33.41,33.41,33.41,33.41,100,0
BAMA.US,5,20250919,174000,33.42,33.42,33.42,33.42,100,0
BAMA.US,5,20250919,174500,33.415,33.415,33.415,33.415,100,0
BAMA.US,5,20250919,175000,33.43,33.43,33.43,33.43,100,0
BAMA.US,5,20250919,180000,33.44,33.44,33.44,33.44,100,0
BAMA.US,5,20250919,180500,33.45,33.45,33.45,33.45,100,0
BAMA.US,5,20250919,181000,33.45,33.45,33.45,33.45,100,0
BAMA.US,5,20250919,181500,33.45,33.45,33.44,33.45,300,0
BAMA.US,5,20250919,182500,33.445,33.445,33.445,33.445,100,0
BAMA.US,5,20250919,183000,33.46,33.46,33.44,33.44,300,0
