<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIV.US,5,20250829,153000,77.79,77.79,77.765,77.775,28938,0
BIV.US,5,20250829,153500,77.775,77.775,77.7499,77.765,52676,0
BIV.US,5,20250829,154000,77.77,77.775,77.7642,77.7695,21950,0
BIV.US,5,20250829,154500,77.7601,77.78,77.7601,77.765,18634,0
BIV.US,5,20250829,155000,77.7498,77.7564,77.745,77.755,20391,0
BIV.US,5,20250829,155500,77.7555,77.76,77.75,77.755,15054,0
BIV.US,5,20250829,160000,77.76,77.79,77.76,77.77,22291,0
BIV.US,5,20250829,160500,77.78,77.81,77.78,77.8097,13436,0
BIV.US,5,20250829,161000,77.8,77.805,77.7927,77.8,12725,0
BIV.US,5,20250829,161500,77.7997,77.815,77.7903,77.805,34897,0
BIV.US,5,20250829,162000,77.805,77.805,77.7846,77.7872,13364,0
BIV.US,5,20250829,162500,77.78,77.78,77.77,77.775,42261,0
BIV.US,5,20250829,163000,77.77,77.8074,77.77,77.795,18258,0
BIV.US,5,20250829,163500,77.795,77.815,77.7901,77.815,26010,0
BIV.US,5,20250829,164000,77.81,77.8199,77.80239,77.8099,13155,0
BIV.US,5,20250829,164500,77.805,77.81,77.78,77.78,14329,0
BIV.US,5,20250829,165000,77.785,77.79,77.7701,77.775,17085,0
BIV.US,5,20250829,165500,77.775,77.795,77.775,77.785,14986,0
BIV.US,5,20250829,170000,77.78,77.785,77.77,77.77,15352,0
BIV.US,5,20250829,170500,77.77,77.77,77.7546,77.77,16936,0
BIV.US,5,20250829,171000,77.77,77.7793,77.76,77.76,8520,0
BIV.US,5,20250829,171500,77.7501,77.7555,77.7301,77.745,18346,0
BIV.US,5,20250829,172000,77.7499,77.7551,77.7435,77.755,15540,0
BIV.US,5,20250829,172500,77.75,77.75,77.735,77.74,2990,0
BIV.US,5,20250829,173000,77.74,77.75,77.74,77.745,7441,0
BIV.US,5,20250829,173500,77.7435,77.76,77.7435,77.75,34794,0
BIV.US,5,20250829,174000,77.75,77.7599,77.745,77.755,32923,0
BIV.US,5,20250829,174500,77.755,77.7899,77.755,77.7899,11549,0
BIV.US,5,20250829,175000,77.785,77.8,77.7835,77.8,14192,0
BIV.US,5,20250829,175500,77.795,77.795,77.775,77.775,5755,0
BIV.US,5,20250829,180000,77.775,77.785,77.7735,77.785,16171,0
BIV.US,5,20250829,180500,77.7818,77.79,77.7818,77.785,9078,0
BIV.US,5,20250829,181000,77.785,77.79,77.7801,77.7865,8433,0
BIV.US,5,20250829,181500,77.79,77.79,77.785,77.785,9487,0
BIV.US,5,20250829,182000,77.7901,77.805,77.7901,77.805,20857,0
BIV.US,5,20250829,182500,77.815,77.8157,77.8023,77.8101,16019,0
BIV.US,5,20250829,183000,77.8185,77.8185,77.81,77.815,8829,0
BIV.US,5,20250829,183500,77.815,77.825,77.815,77.815,6296,0
BIV.US,5,20250829,184000,77.81,77.81,77.805,77.81,5692,0
BIV.US,5,20250829,184500,77.81,77.815,77.795,77.795,27850,0
BIV.US,5,20250829,185000,77.8,77.81,77.795,77.805,18931,0
BIV.US,5,20250829,185500,77.805,77.8099,77.805,77.8099,12240,0
BIV.US,5,20250829,190000,77.8,77.8,77.785,77.785,15704,0
BIV.US,5,20250829,190500,77.79,77.7983,77.79,77.7983,22815,0
BIV.US,5,20250829,191000,77.795,77.81,77.7901,77.8062,16732,0
BIV.US,5,20250829,191500,77.81,77.8157,77.8022,77.805,16053,0
BIV.US,5,20250829,192000,77.805,77.81,77.8014,77.805,5572,0
BIV.US,5,20250829,192500,77.81,77.81,77.8023,77.8023,6904,0
BIV.US,5,20250829,193000,77.8097,77.8158,77.8097,77.8158,3850,0
BIV.US,5,20250829,193500,77.8195,77.8195,77.8128,77.815,4508,0
BIV.US,5,20250829,194000,77.8197,77.8197,77.8046,77.805,20844,0
BIV.US,5,20250829,194500,77.805,77.806,77.8,77.805,3623,0
BIV.US,5,20250829,195000,77.8057,77.815,77.805,77.8101,4245,0
BIV.US,5,20250829,195500,77.815,77.8187,77.805,77.805,11136,0
BIV.US,5,20250829,200000,77.8058,77.81,77.805,77.805,5018,0
BIV.US,5,20250829,200500,77.805,77.82,77.8028,77.81,10306,0
BIV.US,5,20250829,201000,77.805,77.8091,77.8001,77.805,18093,0
BIV.US,5,20250829,201500,77.805,77.8099,77.8,77.805,18866,0
BIV.US,5,20250829,202000,77.8058,77.8084,77.8001,77.8046,3584,0
BIV.US,5,20250829,202500,77.805,77.81,77.8006,77.8085,5648,0
BIV.US,5,20250829,203000,77.8006,77.8079,77.8005,77.8028,2785,0
BIV.US,5,20250829,203500,77.805,77.8099,77.805,77.805,14012,0
BIV.US,5,20250829,204000,77.815,77.8199,77.8101,77.815,3099,0
BIV.US,5,20250829,204500,77.8172,77.8183,77.8146,77.815,2802,0
BIV.US,5,20250829,205000,77.8128,77.8198,77.8002,77.8083,5161,0
BIV.US,5,20250829,205500,77.805,77.8084,77.79,77.79,4530,0
BIV.US,5,20250829,210000,77.785,77.7887,77.78,77.785,13216,0
BIV.US,5,20250829,210500,77.7854,77.786,77.775,77.7789,3574,0
BIV.US,5,20250829,211000,77.779,77.79,77.7713,77.79,9821,0
BIV.US,5,20250829,211500,77.7846,77.79,77.7801,77.7845,7009,0
BIV.US,5,20250829,212000,77.7846,77.7899,77.78,77.7816,5542,0
BIV.US,5,20250829,212500,77.785,77.7986,77.785,77.7928,6271,0
BIV.US,5,20250829,213000,77.795,77.82,77.795,77.8197,14044,0
BIV.US,5,20250829,213500,77.8165,77.8199,77.8101,77.8191,9350,0
BIV.US,5,20250829,214000,77.825,77.8354,77.8228,77.83,5066,0
BIV.US,5,20250829,214500,77.8399,77.8483,77.83,77.845,16155,0
BIV.US,5,20250829,215000,77.845,77.8571,77.8435,77.85,12953,0
BIV.US,5,20250829,215500,77.84,77.84,77.785,77.8,58932,0
BIV.US,5,20250902,153000,77.25,77.27,77.245,77.25,21806,0
BIV.US,5,20250902,153500,77.25,77.29,77.25,77.285,11413,0
BIV.US,5,20250902,154000,77.285,77.305,77.285,77.305,11763,0
BIV.US,5,20250902,154500,77.307,77.315,77.295,77.2999,7486,0
BIV.US,5,20250902,155000,77.29,77.29,77.265,77.27,7343,0
BIV.US,5,20250902,155500,77.275,77.28,77.2646,77.27,29600,0
BIV.US,5,20250902,160000,77.27,77.339,77.26,77.339,18225,0
BIV.US,5,20250902,160500,77.33,77.345,77.3208,77.3395,7560,0
BIV.US,5,20250902,161000,77.3397,77.34,77.325,77.34,10695,0
BIV.US,5,20250902,161500,77.345,77.36,77.345,77.35,24380,0
BIV.US,5,20250902,162000,77.345,77.355,77.3399,77.3546,19566,0
BIV.US,5,20250902,162500,77.355,77.355,77.3319,77.335,33064,0
BIV.US,5,20250902,163000,77.34,77.3486,77.312,77.345,28256,0
BIV.US,5,20250902,163500,77.35,77.3599,77.3459,77.355,4938,0
BIV.US,5,20250902,164000,77.355,77.3699,77.35,77.355,5486,0
BIV.US,5,20250902,164500,77.3596,77.3596,77.33,77.33,30072,0
BIV.US,5,20250902,165000,77.32,77.345,77.3135,77.345,133969,0
BIV.US,5,20250902,165500,77.3481,77.35,77.33,77.335,14300,0
BIV.US,5,20250902,170000,77.3381,77.3381,77.305,77.3156,21818,0
BIV.US,5,20250902,170500,77.3135,77.3185,77.305,77.305,18508,0
BIV.US,5,20250902,171000,77.3,77.309,77.285,77.295,11796,0
BIV.US,5,20250902,171500,77.295,77.3184,77.295,77.3184,3455,0
BIV.US,5,20250902,172000,77.325,77.325,77.305,77.305,9581,0
BIV.US,5,20250902,172500,77.305,77.3078,77.2935,77.295,29992,0
BIV.US,5,20250902,173000,77.295,77.299,77.282,77.282,65899,0
BIV.US,5,20250902,173500,77.2846,77.28592,77.28,77.28592,3190,0
BIV.US,5,20250902,174000,77.28,77.2899,77.28,77.285,8670,0
BIV.US,5,20250902,174500,77.285,77.2897,77.2812,77.285,5964,0
BIV.US,5,20250902,175000,77.285,77.2887,77.2819,77.285,3278,0
BIV.US,5,20250902,175500,77.285,77.2891,77.28,77.2857,9993,0
BIV.US,5,20250902,180000,77.2843,77.29,77.28,77.29,18676,0
BIV.US,5,20250902,180500,77.2816,77.2957,77.28,77.29,53360,0
BIV.US,5,20250902,181000,77.29,77.29,77.28,77.28,5596,0
BIV.US,5,20250902,181500,77.2883,77.29,77.28,77.2899,23729,0
BIV.US,5,20250902,182000,77.2855,77.29,77.284,77.2853,13767,0
BIV.US,5,20250902,182500,77.285,77.2894,77.2728,77.275,17600,0
BIV.US,5,20250902,183000,77.275,77.285,77.27,77.2795,28667,0
BIV.US,5,20250902,183500,77.2774,77.28,77.2717,77.2717,5717,0
BIV.US,5,20250902,184000,77.275,77.275,77.26,77.26,11456,0
BIV.US,5,20250902,184500,77.2693,77.27,77.2635,77.2699,8445,0
BIV.US,5,20250902,185000,77.27,77.2872,77.27,77.285,9490,0
BIV.US,5,20250902,185500,77.285,77.29,77.28,77.285,6258,0
BIV.US,5,20250902,190000,77.285,77.29,77.2801,77.285,3307,0
BIV.US,5,20250902,190500,77.2897,77.29,77.2818,77.2842,5881,0
BIV.US,5,20250902,191000,77.29,77.3,77.29,77.2934,16970,0
BIV.US,5,20250902,191500,77.295,77.315,77.2922,77.315,9914,0
BIV.US,5,20250902,192000,77.315,77.32594,77.315,77.32,1969,0
BIV.US,5,20250902,192500,77.3235,77.3285,77.315,77.315,12286,0
BIV.US,5,20250902,193000,77.315,77.3274,77.3145,77.32,7561,0
BIV.US,5,20250902,193500,77.315,77.3199,77.3116,77.3172,9814,0
BIV.US,5,20250902,194000,77.3135,77.315,77.3,77.3004,18453,0
