<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKGI.US,5,20250829,153000,38.3348,38.3348,38.3348,38.3348,100,0
BKGI.US,5,20250829,154000,38.34,38.34,38.34,38.34,234,0
BKGI.US,5,20250829,154500,38.36,38.36,38.36,38.36,458,0
BKGI.US,5,20250829,155000,38.3172,38.3172,38.3172,38.3172,100,0
BKGI.US,5,20250829,155500,38.3799,38.3799,38.3799,38.3799,1303,0
BKGI.US,5,20250829,160000,38.3005,38.3005,38.3005,38.3005,192,0
BKGI.US,5,20250829,161500,38.34,38.3546,38.29,38.33,6300,0
BKGI.US,5,20250829,162000,38.32,38.34,38.32,38.34,405,0
BKGI.US,5,20250829,163000,38.3783,38.3783,38.3783,38.3783,300,0
BKGI.US,5,20250829,164500,38.34,38.34,38.34,38.34,100,0
BKGI.US,5,20250829,165500,38.34,38.34,38.34,38.34,162,0
BKGI.US,5,20250829,172000,38.39,38.395,38.39,38.395,200,0
BKGI.US,5,20250829,173000,38.35,38.35,38.35,38.35,100,0
BKGI.US,5,20250829,175500,38.34,38.34,38.34,38.34,200,0
BKGI.US,5,20250829,181500,38.3688,38.3688,38.3688,38.3688,100,0
BKGI.US,5,20250829,191000,38.395,38.395,38.395,38.395,251,0
BKGI.US,5,20250829,193000,38.4299,38.4299,38.4299,38.4299,255,0
BKGI.US,5,20250829,202000,38.37,38.37,38.37,38.37,200,0
BKGI.US,5,20250829,203000,38.355,38.3552,38.355,38.3552,502,0
BKGI.US,5,20250829,205000,38.4,38.4,38.39,38.39,200,0
BKGI.US,5,20250829,205500,38.38,38.38,38.38,38.38,545,0
BKGI.US,5,20250829,210500,38.3626,38.3626,38.3626,38.3626,122,0
BKGI.US,5,20250829,211500,38.375,38.375,38.375,38.375,312,0
BKGI.US,5,20250829,212500,38.3775,38.3775,38.3775,38.3775,122,0
BKGI.US,5,20250829,213000,38.3612,38.3612,38.3612,38.3612,156,0
BKGI.US,5,20250829,214000,38.4,38.4,38.39,38.39,600,0
BKGI.US,5,20250829,214500,38.3881,38.3881,38.3881,38.3881,105,0
BKGI.US,5,20250829,215000,38.37,38.37,38.37,38.37,150,0
BKGI.US,5,20250829,215500,38.41,38.41,38.34,38.34,5170,0
BKGI.US,5,20250902,153000,37.5001,37.79,37.5001,37.79,270,0
BKGI.US,5,20250902,154000,37.67,37.67,37.67,37.67,200,0
BKGI.US,5,20250902,160000,37.707,37.82,37.707,37.82,619,0
BKGI.US,5,20250902,160500,37.8401,37.8401,37.8401,37.8401,5500,0
BKGI.US,5,20250902,161500,37.87,37.87,37.87,37.87,100,0
BKGI.US,5,20250902,162000,37.82,37.82,37.82,37.82,172,0
BKGI.US,5,20250902,163000,37.8793,37.8793,37.8793,37.8793,180,0
BKGI.US,5,20250902,165000,37.86,37.86,37.86,37.86,100,0
BKGI.US,5,20250902,171500,37.8411,37.8411,37.8411,37.8411,299,0
BKGI.US,5,20250902,185000,37.7,37.7,37.7,37.7,117,0
BKGI.US,5,20250902,185500,37.7,37.7,37.7,37.7,100,0
BKGI.US,5,20250902,190500,37.6796,37.6796,37.6796,37.6796,103,0
BKGI.US,5,20250902,192000,37.715,37.715,37.715,37.715,728,0
BKGI.US,5,20250902,194500,37.77,37.77,37.77,37.77,235,0
BKGI.US,5,20250902,200000,37.74,37.74,37.74,37.74,1323,0
BKGI.US,5,20250902,202500,37.7194,37.7194,37.7194,37.7194,317,0
BKGI.US,5,20250902,203000,37.7288,37.7288,37.7021,37.7021,2005,0
BKGI.US,5,20250902,203500,37.67,37.6794,37.67,37.6794,439,0
BKGI.US,5,20250902,204500,37.68,37.68,37.68,37.68,100,0
BKGI.US,5,20250902,205000,37.7,37.7,37.7,37.7,100,0
BKGI.US,5,20250902,211000,37.71,37.7324,37.71,37.7324,2089,0
BKGI.US,5,20250902,212000,37.715,37.715,37.715,37.715,103,0
BKGI.US,5,20250902,214500,37.7252,37.7252,37.7252,37.7252,117,0
BKGI.US,5,20250902,215500,37.75,37.75,37.75,37.75,132,0
BKGI.US,5,20250903,153000,37.742,37.742,37.742,37.742,675,0
BKGI.US,5,20250903,153500,37.68,37.705,37.68,37.705,769,0
BKGI.US,5,20250903,154500,37.65,37.65,37.65,37.65,100,0
BKGI.US,5,20250903,155000,37.69,37.69,37.65,37.69,1400,0
BKGI.US,5,20250903,160500,37.73,37.73,37.7,37.7,391,0
BKGI.US,5,20250903,161000,37.7883,37.7883,37.7883,37.7883,265,0
BKGI.US,5,20250903,161500,37.7655,37.7655,37.7655,37.7655,402,0
BKGI.US,5,20250903,162000,37.76,37.76,37.76,37.76,100,0
BKGI.US,5,20250903,162500,37.7795,37.7795,37.7795,37.7795,650,0
BKGI.US,5,20250903,165500,37.7998,37.7998,37.7998,37.7998,225,0
BKGI.US,5,20250903,170000,37.8292,37.8292,37.8292,37.8292,200,0
BKGI.US,5,20250903,171500,37.794,37.794,37.794,37.794,159,0
BKGI.US,5,20250903,173500,37.8421,37.8421,37.8421,37.8421,254,0
BKGI.US,5,20250903,175500,37.78,37.78,37.78,37.78,725,0
BKGI.US,5,20250903,180500,37.82226,37.84,37.7931,37.84,1405,0
BKGI.US,5,20250903,181500,37.83,37.83,37.81,37.83,500,0
BKGI.US,5,20250903,182000,37.81,37.81,37.81,37.81,100,0
BKGI.US,5,20250903,182500,37.8,37.8,37.8,37.8,499,0
BKGI.US,5,20250903,185000,37.75,37.75,37.75,37.75,2540,0
BKGI.US,5,20250903,190000,37.755,37.755,37.755,37.755,510,0
BKGI.US,5,20250903,191000,37.75,37.769,37.75,37.75,3625,0
BKGI.US,5,20250903,191500,37.7691,37.7691,37.7691,37.7691,1000,0
BKGI.US,5,20250903,192000,37.755,37.755,37.755,37.755,1323,0
BKGI.US,5,20250903,193000,37.779,37.779,37.779,37.779,1250,0
BKGI.US,5,20250903,194000,37.7415,37.7415,37.7415,37.7415,305,0
BKGI.US,5,20250903,195500,37.71,37.71,37.71,37.71,100,0
BKGI.US,5,20250903,201500,37.74,37.74,37.74,37.74,100,0
BKGI.US,5,20250903,202000,37.75,37.75,37.75,37.75,100,0
BKGI.US,5,20250903,203000,37.71,37.71,37.71,37.71,200,0
BKGI.US,5,20250903,203500,37.701,37.701,37.701,37.701,100,0
BKGI.US,5,20250903,204000,37.71,37.71,37.71,37.71,100,0
BKGI.US,5,20250903,204500,37.701,37.701,37.701,37.701,100,0
BKGI.US,5,20250903,205000,37.711,37.711,37.711,37.711,100,0
BKGI.US,5,20250903,211000,37.65,37.65,37.65,37.65,100,0
BKGI.US,5,20250903,211500,37.68,37.68,37.641,37.641,672,0
BKGI.US,5,20250903,212000,37.687502,37.687502,37.651,37.651,620,0
BKGI.US,5,20250903,212500,37.6636,37.6862,37.651,37.6862,761,0
BKGI.US,5,20250903,213000,37.68,37.68,37.68,37.68,100,0
BKGI.US,5,20250903,213500,37.67,37.73,37.67,37.705166,3260,0
BKGI.US,5,20250903,214000,37.661,37.661,37.661,37.661,200,0
BKGI.US,5,20250903,214500,37.71,37.73,37.66,37.7,3126,0
BKGI.US,5,20250903,215000,37.7338,37.7418,37.7338,37.7418,2303,0
BKGI.US,5,20250903,215500,37.769,37.77,37.69,37.69,1783,0
BKGI.US,5,20250904,153000,38.05,38.12,38.05,38.12,1683,0
BKGI.US,5,20250904,153500,38.07,38.13,38.07,38.13,700,0
BKGI.US,5,20250904,154000,38.156,38.21,38.156,38.21,1412,0
BKGI.US,5,20250904,154500,38.2446,38.2446,38.165,38.165,3332,0
BKGI.US,5,20250904,155000,38.13,38.13,38.13,38.13,400,0
BKGI.US,5,20250904,160000,38.13,38.13,38.07,38.07,892,0
BKGI.US,5,20250904,160500,38.04,38.04,38.005,38.04,800,0
BKGI.US,5,20250904,161500,37.9844,37.9844,37.9844,37.9844,500,0
BKGI.US,5,20250904,163000,37.9469,37.9469,37.9469,37.9469,262,0
BKGI.US,5,20250904,163500,37.95,37.95,37.95,37.95,100,0
BKGI.US,5,20250904,164000,37.9981,37.9981,37.9981,37.9981,800,0
BKGI.US,5,20250904,165000,37.99,37.99,37.9301,37.9301,913,0
BKGI.US,5,20250904,165500,37.9294,37.9294,37.9294,37.9294,386,0
BKGI.US,5,20250904,170000,37.93,37.93,37.9276,37.9276,1472,0
BKGI.US,5,20250904,170500,37.9175,37.93,37.9175,37.92,948,0
BKGI.US,5,20250904,171000,37.905,37.905,37.905,37.905,458,0
BKGI.US,5,20250904,171500,37.93,37.93,37.93,37.93,110,0
BKGI.US,5,20250904,172000,37.94,37.959,37.91,37.91,2752,0
BKGI.US,5,20250904,173500,37.9,37.92,37.8919,37.8919,794,0
BKGI.US,5,20250904,174000,37.895,37.895,37.89,37.89,300,0
BKGI.US,5,20250904,174500,37.9021,37.9021,37.8809,37.8809,863,0
BKGI.US,5,20250904,183500,37.88,37.88,37.88,37.88,163,0
BKGI.US,5,20250904,185000,37.865,37.865,37.865,37.865,185,0
BKGI.US,5,20250904,185500,37.86,37.8897,37.86,37.8897,1000,0
BKGI.US,5,20250904,190000,37.9,37.9,37.9,37.9,1409,0
BKGI.US,5,20250904,190500,37.8508,37.8508,37.8508,37.8508,2900,0
BKGI.US,5,20250904,194000,37.91,37.9398,37.91,37.9398,475,0
BKGI.US,5,20250904,195000,37.8966,37.8973,37.8966,37.8973,765,0
BKGI.US,5,20250904,200000,37.919,37.919,37.8899,37.894175,977,0
BKGI.US,5,20250904,200500,37.8886,37.92,37.8886,37.92,9566,0
