<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTR.US,5,20250903,153000,24.69,24.705,24.62,24.705,1112,0
BTR.US,5,20250905,172500,24.78,24.78,24.78,24.78,148,0
BTR.US,5,20250912,182000,25.13,25.13,25.13,25.13,280,0
BTR.US,5,20250912,210000,25.1203,25.1203,25.1203,25.1203,998,0
BTR.US,5,20250916,214500,25.09,25.0902,25.09,25.0902,2198,0
BTR.US,5,20250923,195000,25.255,25.26,25.255,25.26,268,0
BTR.US,5,20250924,163000,25.31,25.31,25.31,25.31,100,0
BTR.US,5,20250926,205500,25.29,25.29,25.29,25.29,100,0
BTR.US,5,20251015,203000,25.34,25.34,25.34,25.34,342,0
BTR.US,5,20251017,172000,25.11,25.11,25.11,25.11,100,0
BTR.US,5,20251020,162500,25.3676,25.3676,25.3676,25.3676,176,0
BTR.US,5,20251021,162500,25.39,25.39,25.39,25.39,300,0
BTR.US,5,20251021,165000,25.45,25.45,25.45,25.45,944,0
BTR.US,5,20251024,172000,25.7094,25.7094,25.7094,25.7094,782,0
BTR.US,5,20251024,205000,25.66,25.67,25.66,25.67,458,0
BTR.US,5,20251028,170500,25.6322,25.6322,25.6322,25.6322,160,0
BTR.US,5,20251029,172000,25.63,25.63,25.54,25.5401,800,0
BTR.US,5,20251029,195000,25.46,25.46,25.46,25.46,100,0
BTR.US,5,20251103,161500,25.18,25.18,25.18,25.18,1460,0
BTR.US,5,20251103,173000,25.2011,25.2011,25.2011,25.2011,100,0
BTR.US,5,20251103,190000,25.28,25.28,25.28,25.28,100,0
BTR.US,5,20251104,190000,25.1,25.1,25.1,25.1,100,0
BTR.US,5,20251104,200000,25.09,25.09,25.09,25.09,63435,0
BTR.US,5,20251105,184500,25.31,25.31,25.31,25.31,100,0
BTR.US,5,20251105,195000,25.25,25.25,25.25,25.25,209134,0
BTR.US,5,20251110,204500,25.43,25.43,25.43,25.43,100,0
BTR.US,5,20251114,181500,25.2891,25.2891,25.2891,25.2891,668,0
BTR.US,5,20251119,182500,24.84,24.84,24.84,24.84,285,0
BTR.US,5,20251119,203500,24.7305,24.7305,24.7305,24.7305,633,0
BTR.US,5,20251125,204000,25.35,25.35,25.35,25.35,100,0
BTR.US,5,20251125,205500,25.38,25.38,25.38,25.38,100,0
BTR.US,5,20251201,160500,25.67,25.67,25.67,25.67,100,0
BTR.US,5,20251201,215500,25.58,25.59,25.58,25.59,275,0
BTR.US,5,20251215,161000,25.695,25.695,25.695,25.695,120,0
BTR.US,5,20251222,190000,25.79,25.79,25.79,25.79,596,0
BTR.US,5,20251222,193500,25.79,25.79,25.79,25.79,212,0
BTR.US,5,20251224,163500,25.83,25.83,25.82,25.82,233,0
BTR.US,5,20251231,162500,25.46,25.46,25.46,25.46,100,0
BTR.US,5,20251231,164000,25.45,25.45,25.45,25.45,100,0
BTR.US,5,20251231,165000,25.44,25.44,25.44,25.44,100,0
BTR.US,5,20251231,170500,25.43,25.43,25.43,25.43,100,0
BTR.US,5,20251231,171500,25.43,25.43,25.43,25.43,100,0
BTR.US,5,20251231,173000,25.43,25.43,25.43,25.43,100,0
BTR.US,5,20251231,175500,25.44,25.44,25.44,25.44,100,0
BTR.US,5,20251231,183000,25.44,25.44,25.44,25.44,100,0
BTR.US,5,20251231,184500,25.44,25.44,25.44,25.44,100,0
BTR.US,5,20251231,194500,25.46,25.46,25.46,25.46,100,0
BTR.US,5,20251231,200000,25.47,25.47,25.47,25.47,100,0
BTR.US,5,20251231,201500,25.47,25.47,25.47,25.47,100,0
BTR.US,5,20251231,202500,25.45,25.45,25.45,25.45,100,0
BTR.US,5,20251231,203000,25.43,25.43,25.43,25.43,100,0
BTR.US,5,20251231,210500,25.3201,25.3201,25.3201,25.3201,231,0
BTR.US,5,20260102,205500,25.4915,25.4915,25.4915,25.4915,1482,0
BTR.US,5,20260105,194000,25.6501,25.6501,25.6501,25.6501,158,0
BTR.US,5,20260112,211000,26,26,26,26,124,0
BTR.US,5,20260115,203000,26.22,26.22,26.22,26.22,1355,0
BTR.US,5,20260116,204500,26.18,26.18,26.18,26.18,1779,0
BTR.US,5,20260120,191500,25.91,25.91,25.91,25.91,1238,0
BTR.US,5,20260121,213000,26.09,26.09,26.09,26.09,1333,0
BTR.US,5,20260122,215500,26.2,26.2,26.2,26.2,100,0
BTR.US,5,20260123,205000,26.15,26.15,26.15,26.15,311,0
BTR.US,5,20260123,215500,26.17,26.17,26.17,26.17,100,0
