<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUFF.US,5,20250829,153500,48.26,48.26,48.26,48.26,100,0
BUFF.US,5,20250829,155000,48.24,48.24,48.24,48.24,100,0
BUFF.US,5,20250829,155500,48.17,48.216581,48.17,48.216581,1227,0
BUFF.US,5,20250829,160500,48.17,48.17,48.15,48.15,878,0
BUFF.US,5,20250829,161000,48.14,48.1657,48.0901,48.0901,1504,0
BUFF.US,5,20250829,161500,48.17,48.17,48.17,48.17,100,0
BUFF.US,5,20250829,162000,48.0901,48.0901,48.0901,48.0901,290,0
BUFF.US,5,20250829,163000,48.1836,48.1836,48.1836,48.1836,397,0
BUFF.US,5,20250829,163500,48.16,48.2,48.1101,48.2,1175,0
BUFF.US,5,20250829,165000,48.1793,48.1793,48.1793,48.1793,785,0
BUFF.US,5,20250829,165500,48.09,48.17,48.09,48.09,697,0
BUFF.US,5,20250829,170000,48.09,48.09,48.09,48.09,149,0
BUFF.US,5,20250829,170500,48.17,48.17,48.17,48.17,200,0
BUFF.US,5,20250829,171500,48.19,48.19,48.135,48.135,225,0
BUFF.US,5,20250829,172000,48.1999,48.1999,48.18,48.1997,919,0
BUFF.US,5,20250829,172500,48.18,48.2,48.15,48.15,8596,0
BUFF.US,5,20250829,173000,48.1634,48.1634,48.1634,48.1634,375,0
BUFF.US,5,20250829,173500,48.1554,48.1554,48.1554,48.1554,300,0
BUFF.US,5,20250829,180500,48.145,48.145,48.145,48.145,146,0
BUFF.US,5,20250829,182000,48.1463,48.19,48.1167,48.19,644,0
BUFF.US,5,20250829,182500,48.17,48.17,48.17,48.17,439,0
BUFF.US,5,20250829,183500,48.22,48.22,48.22,48.22,100,0
BUFF.US,5,20250829,190000,48.1785,48.21,48.1785,48.21,252,0
BUFF.US,5,20250829,190500,48.1301,48.183736,48.1301,48.175,439,0
BUFF.US,5,20250829,191000,48.2,48.2,48.2,48.2,200,0
BUFF.US,5,20250829,191500,48.2,48.2,48.2,48.2,492,0
BUFF.US,5,20250829,192000,48.2,48.2,48.13,48.13,224,0
BUFF.US,5,20250829,192500,48.1796,48.2,48.1796,48.2,300,0
BUFF.US,5,20250829,193000,48.1489,48.1489,48.1489,48.1489,338,0
BUFF.US,5,20250829,193500,48.175,48.175,48.175,48.175,250,0
BUFF.US,5,20250829,195000,48.2,48.2,48.2,48.2,100,0
BUFF.US,5,20250829,201000,48.175,48.2,48.175,48.2,1136,0
BUFF.US,5,20250829,201500,48.1524,48.205,48.1524,48.205,1249,0
BUFF.US,5,20250829,202500,48.18,48.21,48.18,48.21,1586,0
BUFF.US,5,20250829,203500,48.1918,48.1918,48.1733,48.1733,751,0
BUFF.US,5,20250829,204500,48.1561,48.1561,48.1561,48.1561,368,0
BUFF.US,5,20250829,205000,48.19,48.19,48.19,48.19,500,0
BUFF.US,5,20250829,205500,48.185,48.185,48.185,48.185,100,0
BUFF.US,5,20250829,210000,48.1886,48.1886,48.1886,48.1886,400,0
BUFF.US,5,20250829,210500,48.1738,48.205,48.1738,48.1885,1057,0
BUFF.US,5,20250829,211000,48.1815,48.205,48.1815,48.19,5878,0
BUFF.US,5,20250829,211500,48.19,48.19,48.1644,48.1644,1038,0
BUFF.US,5,20250829,212500,48.19,48.19,48.19,48.19,300,0
BUFF.US,5,20250829,213000,48.1745,48.1745,48.1745,48.1745,420,0
BUFF.US,5,20250829,213500,48.19,48.2165,48.19,48.2,1359,0
BUFF.US,5,20250829,214500,48.19,48.19,48.19,48.19,281,0
BUFF.US,5,20250829,215000,48.22,48.22,48.19,48.195,874,0
BUFF.US,5,20250829,215500,48.195,48.195,48.15,48.15,2097,0
BUFF.US,5,20250902,153500,47.919,47.9589,47.919,47.9589,3327,0
