<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYLD.US,5,20250829,153500,22.73,22.78,22.73,22.78,300,0
BYLD.US,5,20250829,160500,22.7314,22.7314,22.7314,22.7314,786,0
BYLD.US,5,20250829,161500,22.725,22.725,22.725,22.725,175,0
BYLD.US,5,20250829,163000,22.725,22.725,22.725,22.725,100,0
BYLD.US,5,20250829,164000,22.74,22.74,22.74,22.74,100,0
BYLD.US,5,20250829,164500,22.74,22.74,22.74,22.74,100,0
BYLD.US,5,20250829,165000,22.71,22.71,22.71,22.71,1000,0
BYLD.US,5,20250829,172000,22.73,22.73,22.73,22.73,100,0
BYLD.US,5,20250829,174000,22.73,22.73,22.73,22.73,100,0
BYLD.US,5,20250829,181000,22.7325,22.7325,22.7325,22.7325,260,0
BYLD.US,5,20250829,190000,22.735,22.74,22.735,22.74,1523,0
BYLD.US,5,20250829,193000,22.73,22.73,22.73,22.73,1000,0
BYLD.US,5,20250829,195500,22.73,22.73,22.73,22.73,624,0
BYLD.US,5,20250829,200000,22.73,22.73,22.73,22.73,211,0
BYLD.US,5,20250829,202000,22.73,22.73,22.73,22.73,100,0
BYLD.US,5,20250829,202500,22.73,22.73,22.73,22.73,221,0
BYLD.US,5,20250829,203000,22.7352,22.7352,22.7352,22.7352,506,0
BYLD.US,5,20250829,205000,22.728061,22.728061,22.728061,22.728061,102,0
BYLD.US,5,20250829,211500,22.7399,22.7399,22.725,22.725,1226,0
BYLD.US,5,20250829,214000,22.725,22.725,22.71,22.71,220,0
BYLD.US,5,20250829,215000,22.74,22.74,22.74,22.74,489,0
BYLD.US,5,20250829,215500,22.715,22.715,22.71,22.71,2748,0
BYLD.US,5,20250902,154500,22.65,22.65,22.65,22.65,516,0
BYLD.US,5,20250902,171500,22.6507,22.6507,22.6507,22.6507,8800,0
BYLD.US,5,20250902,180000,22.6499,22.6499,22.64,22.64,472,0
BYLD.US,5,20250902,181000,22.64,22.64,22.64,22.64,1324,0
BYLD.US,5,20250902,181500,22.65,22.65,22.65,22.65,100,0
BYLD.US,5,20250902,185000,22.6499,22.6499,22.6499,22.6499,106,0
BYLD.US,5,20250902,191500,22.65,22.65,22.65,22.65,5786,0
BYLD.US,5,20250902,200000,22.6614,22.6614,22.6614,22.6614,519,0
BYLD.US,5,20250902,200500,22.65,22.65,22.65,22.65,100,0
BYLD.US,5,20250902,201500,22.64,22.64,22.64,22.64,445,0
BYLD.US,5,20250902,202000,22.6497,22.6497,22.6497,22.6497,210,0
BYLD.US,5,20250902,203000,22.6497,22.66,22.6497,22.66,1183,0
BYLD.US,5,20250902,204000,22.65,22.65,22.65,22.65,300,0
BYLD.US,5,20250902,205000,22.64,22.65,22.64,22.65,420,0
BYLD.US,5,20250902,211000,22.66,22.66,22.66,22.66,383,0
BYLD.US,5,20250902,212000,22.67,22.67,22.67,22.67,537,0
BYLD.US,5,20250902,212500,22.6699,22.6699,22.6592,22.6592,1138,0
BYLD.US,5,20250902,215000,22.6537,22.6537,22.6537,22.6537,193,0
BYLD.US,5,20250902,215500,22.64,22.64,22.64,22.64,1676,0
BYLD.US,5,20250903,153500,22.6,22.62,22.585,22.62,300,0
BYLD.US,5,20250903,155000,22.595,22.595,22.595,22.595,275,0
BYLD.US,5,20250903,160000,22.59,22.59,22.59,22.59,100,0
BYLD.US,5,20250903,161000,22.6399,22.6399,22.6399,22.6399,358,0
BYLD.US,5,20250903,162000,22.64,22.6493,22.64,22.648,600,0
