<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFUV.US,5,20250829,153000,44.4,44.47,44.4,44.46,2390,0
DFUV.US,5,20250829,153500,44.48,44.48,44.48,44.48,1190,0
DFUV.US,5,20250829,154000,44.52,44.565,44.52,44.565,500,0
DFUV.US,5,20250829,155000,44.53,44.53,44.51,44.52,430,0
DFUV.US,5,20250829,155500,44.53,44.53,44.5,44.5,938,0
DFUV.US,5,20250829,160000,44.52,44.52,44.48,44.48,300,0
DFUV.US,5,20250829,160500,44.4101,44.4101,44.3835,44.3835,1679,0
DFUV.US,5,20250829,161000,44.37,44.38,44.37,44.38,2013,0
DFUV.US,5,20250829,161500,44.37,44.37,44.35,44.35,400,0
DFUV.US,5,20250829,162000,44.3412,44.371,44.3412,44.371,937,0
DFUV.US,5,20250829,162500,44.35,44.3513,44.33,44.35,5128,0
DFUV.US,5,20250829,163000,44.35,44.3803,44.35,44.3803,1043,0
DFUV.US,5,20250829,163500,44.3766,44.3766,44.36,44.37,813,0
DFUV.US,5,20250829,164000,44.39,44.39,44.34,44.34,2513,0
DFUV.US,5,20250829,164500,44.34,44.34,44.295,44.295,813,0
DFUV.US,5,20250829,165000,44.3,44.3,44.28,44.3,828,0
DFUV.US,5,20250829,165500,44.31,44.33,44.31,44.33,600,0
DFUV.US,5,20250829,170000,44.35,44.35,44.35,44.35,200,0
DFUV.US,5,20250829,170500,44.39,44.39,44.38,44.38,300,0
DFUV.US,5,20250829,171000,44.38,44.38,44.38,44.38,100,0
DFUV.US,5,20250829,171500,44.3681,44.3681,44.3545,44.36,1302,0
DFUV.US,5,20250829,172000,44.35,44.35,44.33,44.33,860,0
DFUV.US,5,20250829,172500,44.36,44.36,44.34,44.35,500,0
DFUV.US,5,20250829,173000,44.35,44.3616,44.345,44.345,2510,0
DFUV.US,5,20250829,173500,44.36,44.39,44.36,44.39,1222,0
DFUV.US,5,20250829,174000,44.38,44.39,44.38,44.39,1458,0
DFUV.US,5,20250829,174500,44.3944,44.405,44.39,44.39,35878,0
DFUV.US,5,20250829,175000,44.3701,44.39,44.36,44.39,10131,0
DFUV.US,5,20250829,175500,44.39,44.4052,44.39,44.4052,312,0
DFUV.US,5,20250829,180000,44.41,44.42,44.4,44.42,2380,0
DFUV.US,5,20250829,180500,44.435,44.435,44.43,44.43,254,0
DFUV.US,5,20250829,181000,44.43,44.43,44.42,44.4251,2760,0
DFUV.US,5,20250829,181500,44.43,44.43,44.41,44.41,800,0
DFUV.US,5,20250829,182000,44.4183,44.43,44.4183,44.43,1368,0
DFUV.US,5,20250829,182500,44.405,44.405,44.4,44.4,485,0
DFUV.US,5,20250829,183000,44.4065,44.43,44.4065,44.43,1490,0
DFUV.US,5,20250829,183500,44.44,44.4472,44.43,44.44,11113,0
DFUV.US,5,20250829,184000,44.43,44.43,44.42,44.42,1000,0
DFUV.US,5,20250829,184500,44.43,44.43,44.41,44.41,3200,0
DFUV.US,5,20250829,185000,44.41,44.42,44.41,44.42,409,0
