<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DJAN.US,5,20250829,160000,41.44,41.45,41.432,41.432,8615,0
DJAN.US,5,20250829,163500,41.425,41.425,41.425,41.425,589,0
DJAN.US,5,20250829,164000,41.421,41.421,41.421,41.421,435,0
DJAN.US,5,20250829,165500,41.429,41.429,41.429,41.429,506,0
DJAN.US,5,20250829,181500,41.4225,41.4225,41.4225,41.4225,139,0
DJAN.US,5,20250829,195000,41.43,41.43,41.43,41.43,100,0
DJAN.US,5,20250829,201000,41.43,41.43,41.43,41.43,1691,0
DJAN.US,5,20250829,202000,41.45,41.45,41.45,41.45,248,0
DJAN.US,5,20250829,202500,41.4499,41.4499,41.4499,41.4499,152,0
DJAN.US,5,20250829,211500,41.3907,41.3907,41.3907,41.3907,670,0
DJAN.US,5,20250829,214000,41.41,41.46,41.41,41.4101,1600,0
DJAN.US,5,20250829,214500,41.3901,41.3901,41.3901,41.3901,492,0
DJAN.US,5,20250902,154500,41.19,41.19,41.19,41.19,100,0
DJAN.US,5,20250902,172000,41.1591,41.1591,41.1591,41.1591,100,0
DJAN.US,5,20250902,173500,41.16,41.16,41.16,41.16,100,0
DJAN.US,5,20250902,174000,41.1224,41.1224,41.1224,41.1224,774,0
DJAN.US,5,20250902,175500,41.1,41.1,41.1,41.1,139,0
DJAN.US,5,20250902,181000,41.14,41.14,41.14,41.14,100,0
DJAN.US,5,20250902,182000,41.0901,41.1151,41.0901,41.0901,5521,0
DJAN.US,5,20250902,184000,41.13,41.13,41.13,41.13,1314,0
DJAN.US,5,20250902,185500,41.16,41.16,41.16,41.16,100,0
DJAN.US,5,20250902,192500,41.2006,41.2006,41.2006,41.2006,121,0
DJAN.US,5,20250902,193000,41.24,41.24,41.24,41.24,100,0
DJAN.US,5,20250902,201500,41.1801,41.1801,41.1801,41.1801,387,0
DJAN.US,5,20250902,204500,41.19,41.19,41.19,41.19,251,0
DJAN.US,5,20250902,211500,41.22,41.2201,41.22,41.2201,1400,0
DJAN.US,5,20250902,212500,41.2275,41.2275,41.2275,41.2275,400,0
DJAN.US,5,20250903,161500,41.36,41.36,41.36,41.36,200,0
DJAN.US,5,20250903,162500,41.389,41.389,41.389,41.389,2136,0
DJAN.US,5,20250903,164000,41.4366,41.4366,41.4366,41.4366,251,0
DJAN.US,5,20250903,164500,41.4025,41.42,41.4025,41.42,388,0
DJAN.US,5,20250903,173500,41.38,41.38,41.38,41.38,200,0
DJAN.US,5,20250903,180500,41.37,41.37,41.37,41.37,300,0
DJAN.US,5,20250903,185500,41.3647,41.3647,41.3647,41.3647,113,0
DJAN.US,5,20250903,194000,41.34,41.34,41.34,41.34,200,0
DJAN.US,5,20250903,200000,41.3499,41.3499,41.3499,41.3499,102,0
DJAN.US,5,20250903,203000,41.3391,41.3391,41.3391,41.3391,360,0
DJAN.US,5,20250903,204500,41.2901,41.33,41.2901,41.31,7286,0
DJAN.US,5,20250903,205000,41.31,41.3499,41.31,41.3499,394,0
DJAN.US,5,20250903,212000,41.2801,41.2801,41.2801,41.2801,116,0
