<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOG.US,5,20250829,153000,24.875,24.875,24.855,24.87,43218,0
DOG.US,5,20250829,153500,24.87,24.88,24.87,24.88,9295,0
DOG.US,5,20250829,154000,24.87,24.87,24.84,24.84,8542,0
DOG.US,5,20250829,154500,24.8399,24.87,24.8363,24.8699,8911,0
DOG.US,5,20250829,155000,24.8701,24.9,24.8701,24.8901,26921,0
DOG.US,5,20250829,155500,24.89,24.9099,24.89,24.9018,11931,0
DOG.US,5,20250829,160000,24.8887,24.9388,24.8887,24.935,8915,0
DOG.US,5,20250829,160500,24.9399,24.9685,24.935,24.9603,33574,0
DOG.US,5,20250829,161000,24.9499,24.9599,24.94,24.94,13281,0
DOG.US,5,20250829,161500,24.945,24.965,24.9415,24.951,9418,0
DOG.US,5,20250829,162000,24.94,24.9551,24.925,24.95,27074,0
DOG.US,5,20250829,162500,24.9499,24.9599,24.9403,24.9403,27873,0
DOG.US,5,20250829,163000,24.9399,24.945,24.92,24.92,37898,0
DOG.US,5,20250829,163500,24.92,24.925,24.9,24.9,15975,0
DOG.US,5,20250829,164000,24.9,24.93,24.8997,24.93,14273,0
DOG.US,5,20250829,164500,24.9288,24.96,24.925,24.9513,42510,0
DOG.US,5,20250829,165000,24.95,24.9769,24.9497,24.97,27921,0
DOG.US,5,20250829,165500,24.9499,24.9599,24.94,24.94,14051,0
DOG.US,5,20250829,170000,24.94,24.9482,24.925,24.935,13891,0
DOG.US,5,20250829,170500,24.9374,24.9374,24.9182,24.92,17008,0
DOG.US,5,20250829,171000,24.91,24.9269,24.9097,24.9225,10454,0
DOG.US,5,20250829,171500,24.9181,24.9299,24.915,24.9201,11950,0
DOG.US,5,20250829,172000,24.9281,24.9381,24.9245,24.9332,44175,0
DOG.US,5,20250829,172500,24.9301,24.9366,24.925,24.9328,15795,0
DOG.US,5,20250829,173000,24.94,24.9466,24.935,24.9426,4376,0
DOG.US,5,20250829,173500,24.93,24.93,24.92,24.92,900,0
DOG.US,5,20250829,174000,24.93,24.932,24.925,24.9301,4750,0
DOG.US,5,20250829,174500,24.935,24.9429,24.9297,24.9427,14458,0
DOG.US,5,20250829,175000,24.9499,24.9563,24.9401,24.9499,4957,0
DOG.US,5,20250829,175500,24.9429,24.9468,24.935,24.945,16859,0
DOG.US,5,20250829,180000,24.94,24.94,24.9201,24.9201,6155,0
DOG.US,5,20250829,180500,24.9198,24.925,24.9103,24.9103,11785,0
DOG.US,5,20250829,181000,24.9097,24.9101,24.9097,24.9101,1200,0
DOG.US,5,20250829,181500,24.9101,24.925,24.9097,24.925,17699,0
DOG.US,5,20250829,182000,24.918,24.92,24.91,24.91,2941,0
DOG.US,5,20250829,182500,24.92,24.9231,24.915,24.9201,2498,0
DOG.US,5,20250829,183000,24.92,24.92,24.9072,24.9072,4800,0
DOG.US,5,20250829,183500,24.9,24.905,24.895,24.905,10191,0
DOG.US,5,20250829,184000,24.8996,24.908,24.8996,24.9,5258,0
DOG.US,5,20250829,184500,24.8997,24.905,24.8997,24.905,10801,0
