<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUBS.US,5,20250829,155000,35.43,35.43,35.43,35.43,100,0
DUBS.US,5,20250829,155500,35.42,35.42,35.42,35.42,100,0
DUBS.US,5,20250829,164500,35.31,35.31,35.31,35.31,100,0
DUBS.US,5,20250829,165000,35.2624,35.2624,35.2624,35.2624,126,0
DUBS.US,5,20250829,181000,35.31,35.31,35.31,35.31,340,0
DUBS.US,5,20250829,183000,35.32,35.32,35.32,35.32,100,0
DUBS.US,5,20250829,184500,35.36,35.36,35.35,35.35,400,0
DUBS.US,5,20250829,190000,35.3,35.3,35.3,35.3,100,0
DUBS.US,5,20250829,191000,35.3,35.3,35.28,35.28,2329,0
DUBS.US,5,20250829,191500,35.27,35.27,35.27,35.27,1146,0
DUBS.US,5,20250829,193000,35.28,35.29,35.28,35.29,740,0
DUBS.US,5,20250829,202500,35.32,35.32,35.32,35.32,100,0
DUBS.US,5,20250829,210500,35.33,35.33,35.33,35.33,265,0
DUBS.US,5,20250829,211500,35.34,35.34,35.34,35.34,200,0
DUBS.US,5,20250829,213500,35.32,35.32,35.32,35.32,100,0
DUBS.US,5,20250829,215000,35.32,35.32,35.32,35.32,1535,0
DUBS.US,5,20250829,215500,35.32,35.33,35.32,35.32,300,0
DUBS.US,5,20250902,163500,34.997,34.997,34.997,34.997,130,0
DUBS.US,5,20250902,171500,34.91,34.9153,34.91,34.9153,200,0
DUBS.US,5,20250902,172000,34.856,34.856,34.856,34.856,991,0
DUBS.US,5,20250902,173000,34.8554,34.8554,34.8554,34.8554,156,0
DUBS.US,5,20250902,173500,34.84,34.84,34.84,34.84,300,0
DUBS.US,5,20250902,174000,34.83,34.83,34.81,34.81,300,0
DUBS.US,5,20250902,175500,34.7625,34.7625,34.7625,34.7625,151,0
DUBS.US,5,20250902,184500,34.81,34.81,34.81,34.81,200,0
DUBS.US,5,20250902,193000,34.9068,34.9068,34.9068,34.9068,681,0
DUBS.US,5,20250902,194500,35,35,35,35,200,0
DUBS.US,5,20250902,200000,34.95,34.95,34.95,34.95,100,0
DUBS.US,5,20250902,204000,34.89,34.89,34.89,34.89,114,0
DUBS.US,5,20250902,205500,35.0084,35.0084,34.95,34.95,450,0
DUBS.US,5,20250902,210000,34.97,34.97,34.97,34.97,278,0
DUBS.US,5,20250902,210500,35.01,35.01,35.01,35.01,1629,0
DUBS.US,5,20250902,211000,34.96,34.96,34.96,34.96,3032,0
DUBS.US,5,20250902,213000,35.01,35.05,34.97,34.97,1155,0
DUBS.US,5,20250902,215000,35.07,35.07,35.07,35.07,1773,0
DUBS.US,5,20250903,161000,35.21,35.21,35.21,35.21,200,0
DUBS.US,5,20250903,161500,35.2136,35.22,35.16,35.2199,2526,0
DUBS.US,5,20250903,174000,35.2799,35.2799,35.2799,35.2799,103,0
DUBS.US,5,20250903,184000,35.23,35.23,35.23,35.23,200,0
DUBS.US,5,20250903,191000,35.26,35.26,35.26,35.26,203,0
DUBS.US,5,20250903,192500,35.2287,35.2287,35.2287,35.2287,170,0
DUBS.US,5,20250903,200500,35.2,35.2,35.1999,35.1999,932,0
DUBS.US,5,20250903,203500,35.18,35.18,35.1799,35.1799,400,0
DUBS.US,5,20250903,205000,35.15,35.15,35.15,35.15,616,0
DUBS.US,5,20250903,211000,35.13,35.13,35.11,35.11,2576,0
DUBS.US,5,20250903,211500,35.111,35.18,35.11,35.18,1829,0
DUBS.US,5,20250903,213000,35.15,35.185,35.15,35.185,1609,0
DUBS.US,5,20250903,213500,35.21,35.21,35.21,35.21,2060,0
DUBS.US,5,20250904,155500,35.391275,35.391275,35.3815,35.3815,1689,0
DUBS.US,5,20250904,161000,35.358,35.358,35.358,35.358,466,0
DUBS.US,5,20250904,161500,35.34,35.34,35.34,35.34,100,0
DUBS.US,5,20250904,163000,35.3771,35.3771,35.3761,35.3761,393,0
DUBS.US,5,20250904,170000,35.453,35.453,35.453,35.453,169,0
DUBS.US,5,20250904,174000,35.4568,35.4568,35.453,35.453,2164,0
DUBS.US,5,20250904,181000,35.4473,35.4473,35.4473,35.4473,1153,0
DUBS.US,5,20250904,194500,35.51,35.51,35.51,35.51,1903,0
DUBS.US,5,20250904,203000,35.5443,35.5443,35.5443,35.5443,252,0
DUBS.US,5,20250904,203500,35.5,35.5,35.5,35.5,326,0
DUBS.US,5,20250904,204000,35.5188,35.5188,35.5188,35.5188,216,0
DUBS.US,5,20250904,210000,35.535,35.535,35.535,35.535,167,0
DUBS.US,5,20250904,211000,35.56,35.5693,35.56,35.5693,399,0
DUBS.US,5,20250904,212000,35.5445,35.5445,35.5445,35.5445,462,0
DUBS.US,5,20250904,212500,35.5516,35.59,35.5516,35.59,582,0
DUBS.US,5,20250904,213000,35.56,35.59,35.56,35.59,1872,0
DUBS.US,5,20250904,214000,35.56,35.56,35.56,35.56,2857,0
