<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EALT.US,5,20250829,161000,33.7215,33.77,33.7215,33.77,380,0
EALT.US,5,20250829,172000,33.7445,33.7445,33.7445,33.7445,450,0
EALT.US,5,20250829,175500,33.7727,33.7727,33.7727,33.7727,152,0
EALT.US,5,20250829,190000,33.766,33.766,33.766,33.766,159,0
EALT.US,5,20250829,191500,33.73,33.73,33.73,33.73,750,0
EALT.US,5,20250829,192500,33.7326,33.745,33.7326,33.745,1125,0
EALT.US,5,20250829,193000,33.75,33.75,33.75,33.75,200,0
EALT.US,5,20250829,200000,33.743,33.743,33.73,33.73,2599,0
EALT.US,5,20250829,202000,33.76,33.76,33.76,33.76,200,0
EALT.US,5,20250829,202500,33.76,33.76,33.76,33.76,342,0
EALT.US,5,20250829,203000,33.76,33.76,33.76,33.76,283,0
EALT.US,5,20250829,204000,33.78,33.78,33.76,33.76,200,0
EALT.US,5,20250829,205000,33.76,33.76,33.76,33.76,100,0
EALT.US,5,20250829,205500,33.77,33.77,33.77,33.77,100,0
EALT.US,5,20250829,211500,33.73,33.7898,33.73,33.7898,1232,0
EALT.US,5,20250829,212000,33.7701,33.7701,33.7576,33.7576,1190,0
EALT.US,5,20250829,213000,33.74,33.74,33.73,33.73,46408,0
EALT.US,5,20250829,213500,33.76,33.76,33.76,33.76,200,0
EALT.US,5,20250829,214000,33.7722,33.79,33.7722,33.79,232,0
EALT.US,5,20250829,215000,33.76,33.76,33.71,33.735,7712,0
EALT.US,5,20250829,215500,33.72,33.745,33.7,33.73,40202,0
EALT.US,5,20250902,153500,33.44,33.48,33.44,33.48,596,0
EALT.US,5,20250902,155000,33.515,33.515,33.5099,33.5099,1050,0
EALT.US,5,20250902,160000,33.54,33.54,33.5301,33.5301,900,0
EALT.US,5,20250902,162500,33.56,33.56,33.56,33.56,2763,0
EALT.US,5,20250902,163000,33.551,33.551,33.551,33.551,321,0
EALT.US,5,20250902,165000,33.5044,33.5044,33.5044,33.5044,920,0
EALT.US,5,20250902,171500,33.5099,33.5099,33.5099,33.5099,618,0
EALT.US,5,20250902,175000,33.44,33.44,33.44,33.44,100,0
EALT.US,5,20250902,181500,33.42,33.42,33.42,33.42,250,0
EALT.US,5,20250902,183500,33.411,33.411,33.411,33.411,568,0
EALT.US,5,20250902,191500,33.4855,33.4855,33.4855,33.4855,522,0
EALT.US,5,20250902,192500,33.4744,33.485,33.4744,33.485,336,0
EALT.US,5,20250902,193500,33.51,33.51,33.51,33.51,100,0
EALT.US,5,20250902,203000,33.49,33.49,33.49,33.49,227,0
EALT.US,5,20250902,204500,33.52,33.52,33.52,33.52,100,0
EALT.US,5,20250902,211000,33.54,33.54,33.5399,33.5399,528,0
EALT.US,5,20250902,212000,33.579,33.59,33.579,33.59,1249,0
EALT.US,5,20250902,213500,33.6,33.6,33.6,33.6,100,0
EALT.US,5,20250902,215500,33.63,33.64,33.63,33.64,273,0
EALT.US,5,20250903,155000,33.72,33.72,33.72,33.72,384,0
EALT.US,5,20250903,163500,33.71,33.71,33.71,33.71,160,0
EALT.US,5,20250903,170000,33.7509,33.7509,33.7509,33.7509,300,0
EALT.US,5,20250903,170500,33.78,33.78,33.78,33.78,100,0
EALT.US,5,20250903,181500,33.74,33.74,33.74,33.74,665,0
EALT.US,5,20250903,185000,33.7,33.7,33.7,33.7,100,0
EALT.US,5,20250903,185500,33.7193,33.7193,33.685,33.685,819,0
EALT.US,5,20250903,190000,33.7,33.7,33.68,33.68,2636,0
EALT.US,5,20250903,191000,33.6606,33.6606,33.6606,33.6606,1194,0
EALT.US,5,20250903,195500,33.6306,33.6306,33.6306,33.6306,161,0
EALT.US,5,20250903,201500,33.67,33.67,33.67,33.67,100,0
EALT.US,5,20250903,204000,33.61,33.66,33.61,33.66,3451,0
EALT.US,5,20250903,205000,33.645,33.645,33.645,33.645,300,0
EALT.US,5,20250903,205500,33.62,33.62,33.62,33.62,833,0
EALT.US,5,20250903,210500,33.67,33.67,33.608,33.608,851,0
EALT.US,5,20250903,211500,33.66,33.6684,33.6368,33.6684,707,0
EALT.US,5,20250903,212500,33.67,33.67,33.6345,33.6345,824,0
EALT.US,5,20250903,213000,33.62,33.68,33.62,33.67,2304,0
EALT.US,5,20250903,214000,33.69,33.69,33.69,33.69,100,0
EALT.US,5,20250903,215500,33.717,33.77,33.717,33.77,418,0
EALT.US,5,20250904,154500,33.78,33.78,33.77,33.78,1600,0
EALT.US,5,20250904,161000,33.8008,33.8008,33.8008,33.8008,162,0
EALT.US,5,20250904,161500,33.79,33.79,33.79,33.79,100,0
EALT.US,5,20250904,163500,33.8382,33.8382,33.8382,33.8382,218,0
EALT.US,5,20250904,170000,33.78,33.784,33.78,33.78,3178,0
EALT.US,5,20250904,170500,33.8369,33.8369,33.8,33.8,200,0
EALT.US,5,20250904,172000,33.8278,33.8278,33.8278,33.8278,295,0
EALT.US,5,20250904,172500,33.83,33.86,33.83,33.86,6515,0
EALT.US,5,20250904,174000,33.845,33.845,33.845,33.845,109,0
EALT.US,5,20250904,174500,33.826,33.826,33.826,33.826,328,0
EALT.US,5,20250904,181500,33.88,33.88,33.88,33.88,100,0
EALT.US,5,20250904,190000,33.87,33.87,33.87,33.87,100,0
EALT.US,5,20250904,191500,33.8666,33.8666,33.8666,33.8666,1180,0
EALT.US,5,20250904,193000,33.88,33.88,33.8284,33.8284,304,0
EALT.US,5,20250904,194500,33.88,33.8897,33.88,33.8897,2213,0
EALT.US,5,20250904,195000,33.89,33.89,33.89,33.89,100,0
EALT.US,5,20250904,200000,33.89,33.89,33.89,33.89,100,0
EALT.US,5,20250904,210500,33.8601,33.8601,33.8601,33.8601,115,0
EALT.US,5,20250904,211000,33.89,33.89,33.89,33.89,700,0
EALT.US,5,20250904,211500,33.8963,33.8963,33.8963,33.8963,627,0
EALT.US,5,20250904,212000,33.895,33.9195,33.8601,33.9195,1423,0
EALT.US,5,20250904,213500,33.895,33.895,33.895,33.895,200,0
EALT.US,5,20250904,215000,33.92,33.92,33.87,33.8716,19455,0
EALT.US,5,20250904,215500,33.94,33.94,33.94,33.94,100,0
EALT.US,5,20250905,154000,34.04,34.04,34.04,34.04,300,0
EALT.US,5,20250905,155000,34.06,34.06,34.06,34.06,100,0
EALT.US,5,20250905,160500,33.9508,33.9508,33.9508,33.9508,214,0
EALT.US,5,20250905,163000,33.838,33.838,33.838,33.838,300,0
EALT.US,5,20250905,164000,33.78,33.78,33.7705,33.7705,992,0
EALT.US,5,20250905,173500,33.87,33.87,33.87,33.87,100,0
EALT.US,5,20250905,174000,33.8488,33.8488,33.8488,33.8488,153,0
EALT.US,5,20250905,174500,33.86,33.86,33.86,33.86,1969,0
EALT.US,5,20250905,182000,33.86,33.8694,33.85,33.8694,1476,0
EALT.US,5,20250905,184000,33.8699,33.8699,33.8699,33.8699,131,0
EALT.US,5,20250905,185500,33.87,33.87,33.87,33.87,100,0
EALT.US,5,20250905,191500,33.88,33.88,33.845,33.845,2952,0
EALT.US,5,20250905,193000,33.87,33.87,33.87,33.87,866,0
EALT.US,5,20250905,194000,33.82,33.82,33.82,33.82,187,0
EALT.US,5,20250905,202000,33.835,33.835,33.835,33.835,308,0
EALT.US,5,20250905,204000,33.84,33.84,33.84,33.84,1130,0
EALT.US,5,20250905,210500,33.88,33.88,33.8405,33.8405,280,0
EALT.US,5,20250905,211500,33.88,33.88,33.88,33.88,2312,0
EALT.US,5,20250905,212000,33.857,33.885,33.857,33.885,496,0
EALT.US,5,20250905,212500,33.8501,33.8501,33.8501,33.8501,314,0
EALT.US,5,20250905,213500,33.9292,33.9292,33.9292,33.9292,421,0
EALT.US,5,20250905,214500,33.85,33.85,33.85,33.85,225,0
EALT.US,5,20250905,215000,33.85,33.85,33.85,33.85,269,0
EALT.US,5,20250905,215500,33.885,33.92,33.885,33.92,574,0
EALT.US,5,20250908,155500,33.9655,33.9655,33.9655,33.9655,150,0
EALT.US,5,20250908,160500,33.9567,33.9567,33.9567,33.9567,864,0
EALT.US,5,20250908,161000,33.93,33.93,33.93,33.93,200,0
EALT.US,5,20250908,162000,33.96,33.96,33.96,33.96,100,0
EALT.US,5,20250908,163000,33.964,33.964,33.964,33.964,871,0
EALT.US,5,20250908,164000,33.9855,33.9855,33.9855,33.9855,166,0
EALT.US,5,20250908,164500,33.94,33.94,33.94,33.94,583,0
EALT.US,5,20250908,165500,34,34,33.9501,33.9501,457,0
EALT.US,5,20250908,170500,34.0199,34.0199,34.0199,34.0199,116,0
EALT.US,5,20250908,171000,33.9976,33.9976,33.9976,33.9976,764,0
EALT.US,5,20250908,174500,33.97,33.99,33.97,33.99,2590,0
EALT.US,5,20250908,191000,33.91,33.91,33.91,33.91,180,0
EALT.US,5,20250908,192000,33.98,33.98,33.95,33.95,320,0
EALT.US,5,20250908,202000,33.93,33.945,33.93,33.945,4407,0
EALT.US,5,20250908,204000,33.9441,33.9441,33.9441,33.9441,1020,0
EALT.US,5,20250908,213500,33.9459,33.95,33.9459,33.95,307,0
EALT.US,5,20250909,155500,33.9301,33.9301,33.9301,33.9301,180,0
EALT.US,5,20250909,182500,33.98,33.98,33.9799,33.9799,1254,0
EALT.US,5,20250909,190500,33.98,33.98,33.98,33.98,127,0
EALT.US,5,20250909,195000,34.0194,34.0194,34.0194,34.0194,317,0
EALT.US,5,20250909,195500,33.9601,33.9601,33.9601,33.9601,451,0
EALT.US,5,20250909,200000,33.9601,33.9661,33.9601,33.9661,2872,0
EALT.US,5,20250909,211500,34.0199,34.0199,33.993,33.993,669,0
EALT.US,5,20250909,212500,33.9725,33.9725,33.9725,33.9725,104,0
EALT.US,5,20250909,213000,34.0056,34.0056,33.97,34.004,615,0
EALT.US,5,20250909,213500,33.993,33.993,33.993,33.993,120,0
EALT.US,5,20250909,214500,33.97,33.995,33.97,33.995,2576,0
EALT.US,5,20250909,215500,34.02,34.02,34.02,34.02,200,0
EALT.US,5,20250910,153000,34.19,34.21,34.06,34.0985,2485,0
