<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBND.US,5,20250829,153500,21.295,21.3,21.295,21.3,300,0
EBND.US,5,20250829,154000,21.3,21.32,21.2905,21.3,9429,0
EBND.US,5,20250829,154500,21.3,21.3,21.2908,21.2908,19513,0
EBND.US,5,20250829,155500,21.3,21.305,21.3,21.305,851,0
EBND.US,5,20250829,160000,21.31,21.31,21.3,21.3,487,0
EBND.US,5,20250829,161000,21.31,21.31,21.31,21.31,554,0
EBND.US,5,20250829,161500,21.315,21.317,21.315,21.315,700,0
EBND.US,5,20250829,162500,21.32,21.32,21.32,21.32,2300,0
EBND.US,5,20250829,163000,21.33,21.3354,21.3297,21.33,2302,0
EBND.US,5,20250829,163500,21.33,21.34,21.33,21.34,3557,0
EBND.US,5,20250829,164000,21.335,21.335,21.335,21.335,128,0
EBND.US,5,20250829,164500,21.335,21.335,21.32,21.32,2164,0
EBND.US,5,20250829,165000,21.325,21.325,21.315,21.32,8589,0
EBND.US,5,20250829,165500,21.325,21.34,21.325,21.335,45027,0
EBND.US,5,20250829,170000,21.34,21.34,21.335,21.335,45595,0
EBND.US,5,20250829,170500,21.335,21.335,21.33,21.33,480,0
EBND.US,5,20250829,171000,21.325,21.325,21.3203,21.3203,2425,0
EBND.US,5,20250829,171500,21.33,21.33,21.315,21.325,1689,0
EBND.US,5,20250829,173000,21.325,21.325,21.3229,21.3229,1022,0
EBND.US,5,20250829,173500,21.3299,21.3299,21.3299,21.3299,141,0
EBND.US,5,20250829,174500,21.325,21.325,21.3211,21.3211,680,0
EBND.US,5,20250829,175000,21.325,21.325,21.325,21.325,423,0
EBND.US,5,20250829,175500,21.325,21.325,21.325,21.325,500,0
EBND.US,5,20250829,180000,21.325,21.325,21.32,21.32,313,0
EBND.US,5,20250829,180500,21.325,21.325,21.325,21.325,199,0
EBND.US,5,20250829,181000,21.325,21.3299,21.325,21.3299,796,0
EBND.US,5,20250829,181500,21.33,21.335,21.325,21.325,13748,0
EBND.US,5,20250829,182000,21.325,21.335,21.325,21.335,6629,0
EBND.US,5,20250829,182500,21.3311,21.335,21.33,21.33,3810,0
EBND.US,5,20250829,183000,21.33,21.3354,21.325,21.3346,3424,0
EBND.US,5,20250829,183500,21.335,21.3399,21.335,21.3399,469,0
EBND.US,5,20250829,184500,21.33,21.33,21.33,21.33,300,0
EBND.US,5,20250829,185000,21.33,21.33,21.33,21.33,1700,0
EBND.US,5,20250829,190000,21.331,21.331,21.33,21.33,1036,0
EBND.US,5,20250829,190500,21.3298,21.33,21.323895,21.323895,1010,0
EBND.US,5,20250829,191000,21.3201,21.3201,21.3201,21.3201,102,0
EBND.US,5,20250829,191500,21.326105,21.3262,21.3239,21.3239,4207,0
EBND.US,5,20250829,193000,21.3228,21.3299,21.3228,21.325,1270,0
EBND.US,5,20250829,193500,21.335,21.335,21.335,21.335,689,0
EBND.US,5,20250829,194500,21.3328,21.335,21.3328,21.333705,1720,0
EBND.US,5,20250829,195000,21.335,21.335,21.3311,21.335,5708,0
EBND.US,5,20250829,195500,21.335,21.335,21.335,21.335,200,0
EBND.US,5,20250829,200000,21.335,21.335,21.3345,21.335,1327,0
EBND.US,5,20250829,200500,21.335,21.335,21.3301,21.3301,1620,0
EBND.US,5,20250829,201000,21.335,21.335,21.335,21.335,600,0
EBND.US,5,20250829,201500,21.335,21.335,21.3302,21.335,1041,0
EBND.US,5,20250829,202000,21.3301,21.335,21.3301,21.335,800,0
EBND.US,5,20250829,202500,21.335,21.3365,21.335,21.335,2993,0
EBND.US,5,20250829,203000,21.335,21.335,21.3301,21.335,1358,0
EBND.US,5,20250829,203500,21.335,21.335,21.335,21.335,4035,0
EBND.US,5,20250829,204000,21.335,21.335,21.3301,21.335,1200,0
EBND.US,5,20250829,204500,21.3372,21.3372,21.335,21.335,4109,0
EBND.US,5,20250829,205000,21.335,21.335,21.335,21.335,920,0
EBND.US,5,20250829,205500,21.335,21.34,21.335,21.335,2300,0
EBND.US,5,20250829,210000,21.335,21.335,21.335,21.335,930,0
EBND.US,5,20250829,210500,21.335,21.34,21.335,21.335,5287,0
EBND.US,5,20250829,211000,21.335,21.34,21.335,21.34,3708,0
EBND.US,5,20250829,211500,21.335,21.34,21.335,21.335,3679,0
EBND.US,5,20250829,212000,21.335,21.34,21.335,21.335,2900,0
EBND.US,5,20250829,212500,21.335,21.34,21.3312,21.34,3407,0
EBND.US,5,20250829,213000,21.34,21.34,21.3393,21.34,4499,0
EBND.US,5,20250829,213500,21.339,21.34,21.3318,21.34,5530,0
EBND.US,5,20250829,214000,21.34,21.35,21.3328,21.345,5914,0
EBND.US,5,20250829,214500,21.345,21.36,21.345,21.355,11808,0
EBND.US,5,20250829,215000,21.36,21.36,21.345,21.3472,22460,0
EBND.US,5,20250829,215500,21.345,21.35,21.34,21.34,25170,0
EBND.US,5,20250902,153000,21.07,21.08,21.07,21.08,600,0
EBND.US,5,20250902,153500,21.09,21.1,21.09,21.1,2686,0
EBND.US,5,20250902,154000,21.1042,21.108,21.1042,21.105,2816,0
EBND.US,5,20250902,154500,21.105,21.11,21.105,21.105,2699,0
EBND.US,5,20250902,155000,21.105,21.11,21.105,21.11,732,0
EBND.US,5,20250902,155500,21.115,21.115,21.111,21.115,1672,0
EBND.US,5,20250902,160000,21.12,21.135,21.12,21.135,2429,0
EBND.US,5,20250902,160500,21.135,21.145,21.135,21.14,4819,0
EBND.US,5,20250902,161000,21.14,21.15,21.135,21.14,3397,0
EBND.US,5,20250902,161500,21.145,21.145,21.145,21.145,1374,0
EBND.US,5,20250902,162000,21.145,21.145,21.145,21.145,2032,0
EBND.US,5,20250902,162500,21.1462,21.1462,21.145,21.145,774,0
EBND.US,5,20250902,163000,21.145,21.155,21.145,21.145,83266,0
EBND.US,5,20250902,163500,21.15,21.155,21.15,21.155,1761,0
EBND.US,5,20250902,164000,21.155,21.155,21.155,21.155,300,0
EBND.US,5,20250902,164500,21.155,21.155,21.1435,21.145,9446,0
EBND.US,5,20250902,165000,21.145,21.145,21.145,21.145,8942,0
EBND.US,5,20250902,165500,21.145,21.145,21.145,21.145,2300,0
EBND.US,5,20250902,170000,21.145,21.145,21.135,21.135,5919,0
EBND.US,5,20250902,170500,21.135,21.135,21.135,21.135,200,0
EBND.US,5,20250902,171000,21.135,21.135,21.125,21.125,4213,0
EBND.US,5,20250902,171500,21.125,21.14,21.125,21.135,416778,0
EBND.US,5,20250902,172000,21.1309,21.135,21.125,21.125,11108,0
EBND.US,5,20250902,172500,21.13,21.135,21.125,21.1303,3478,0
EBND.US,5,20250902,173000,21.135,21.135,21.13,21.13,1631,0
EBND.US,5,20250902,173500,21.12,21.12,21.11,21.115,6416,0
EBND.US,5,20250902,174000,21.115,21.115,21.115,21.115,6737,0
EBND.US,5,20250902,174500,21.115,21.1246,21.115,21.1246,1484,0
EBND.US,5,20250902,175000,21.125,21.125,21.1101,21.115,1609,0
EBND.US,5,20250902,175500,21.115,21.115,21.115,21.115,1646,0
EBND.US,5,20250902,180000,21.115,21.115,21.115,21.115,1411,0
EBND.US,5,20250902,180500,21.115,21.1159,21.1122,21.1122,3017,0
EBND.US,5,20250902,181000,21.115,21.12,21.115,21.115,5237,0
EBND.US,5,20250902,181500,21.125,21.125,21.125,21.125,1552,0
EBND.US,5,20250902,182000,21.125,21.125,21.1211,21.125,1721,0
EBND.US,5,20250902,182500,21.125,21.125,21.1121,21.115,2236,0
EBND.US,5,20250902,183000,21.115,21.1265,21.115,21.12,2861,0
EBND.US,5,20250902,183500,21.125,21.125,21.125,21.125,200,0
EBND.US,5,20250902,184000,21.125,21.125,21.125,21.125,300,0
EBND.US,5,20250902,184500,21.1299,21.1299,21.125,21.125,1014,0
EBND.US,5,20250902,185000,21.125,21.125,21.125,21.125,13263,0
EBND.US,5,20250902,185500,21.125,21.125,21.125,21.125,500,0
EBND.US,5,20250902,190000,21.125,21.125,21.12,21.125,2732,0
EBND.US,5,20250902,190500,21.125,21.125,21.125,21.125,500,0
EBND.US,5,20250902,191000,21.13,21.13,21.125,21.125,900,0
EBND.US,5,20250902,191500,21.125,21.13,21.1235,21.13,1247,0
EBND.US,5,20250902,192000,21.125,21.13,21.125,21.13,4331,0
EBND.US,5,20250902,192500,21.135,21.135,21.131,21.135,854,0
EBND.US,5,20250902,193000,21.135,21.135,21.13,21.135,890,0
EBND.US,5,20250902,193500,21.1301,21.1365,21.1301,21.135,1115,0
EBND.US,5,20250902,194000,21.1301,21.135,21.13,21.13,4207,0
EBND.US,5,20250902,194500,21.135,21.135,21.13,21.13,985,0
EBND.US,5,20250902,195000,21.13,21.13,21.13,21.13,300,0
EBND.US,5,20250902,195500,21.135,21.135,21.13,21.1301,961,0
EBND.US,5,20250902,200000,21.13,21.13,21.13,21.13,2398,0
EBND.US,5,20250902,200500,21.13,21.13,21.1128,21.1128,2810,0
EBND.US,5,20250902,201000,21.115,21.115,21.115,21.115,604,0
EBND.US,5,20250902,201500,21.115,21.1172,21.11,21.115,1523,0
EBND.US,5,20250902,202000,21.11,21.11,21.1001,21.1001,2351,0
EBND.US,5,20250902,202500,21.105,21.105,21.105,21.105,400,0
EBND.US,5,20250902,203000,21.105,21.105,21.105,21.105,1387,0
EBND.US,5,20250902,203500,21.105,21.11,21.105,21.105,1207,0
EBND.US,5,20250902,204000,21.105,21.105,21.1,21.105,3300,0
EBND.US,5,20250902,204500,21.105,21.11,21.1,21.105,5930,0
EBND.US,5,20250902,205000,21.105,21.11,21.1,21.105,3061,0
EBND.US,5,20250902,205500,21.105,21.12,21.105,21.12,23169,0
EBND.US,5,20250902,210000,21.115,21.12,21.115,21.115,22733,0
EBND.US,5,20250902,210500,21.115,21.12,21.11,21.115,8883,0
EBND.US,5,20250902,211000,21.115,21.12,21.115,21.115,6277,0
EBND.US,5,20250902,211500,21.115,21.12,21.11,21.115,2082,0
EBND.US,5,20250902,212000,21.115,21.12,21.11,21.12,1631,0
EBND.US,5,20250902,212500,21.117,21.12,21.115,21.115,1826,0
EBND.US,5,20250902,213000,21.115,21.125,21.115,21.125,5756,0
EBND.US,5,20250902,213500,21.125,21.125,21.12,21.125,2256,0
EBND.US,5,20250902,214000,21.125,21.125,21.1201,21.125,9613,0
EBND.US,5,20250902,214500,21.125,21.125,21.12,21.12,4677,0
EBND.US,5,20250902,215000,21.125,21.13,21.12,21.125,5687,0
EBND.US,5,20250902,215500,21.125,21.13,21.12,21.13,14111,0
EBND.US,5,20250903,153000,21.1554,21.1554,21.1554,21.1554,100,0
EBND.US,5,20250903,153500,21.155,21.155,21.155,21.155,200,0
EBND.US,5,20250903,154000,21.1599,21.16,21.155,21.1599,1100,0
EBND.US,5,20250903,154500,21.155,21.155,21.152,21.155,4298,0
EBND.US,5,20250903,155000,21.16,21.16,21.15,21.16,69700,0
EBND.US,5,20250903,155500,21.16,21.17,21.16,21.16,500,0
EBND.US,5,20250903,160000,21.16,21.195,21.16,21.195,4429,0
EBND.US,5,20250903,160500,21.19,21.195,21.19,21.195,2052,0
EBND.US,5,20250903,161000,21.195,21.2,21.19,21.19,1379,0
EBND.US,5,20250903,161500,21.19,21.205,21.19,21.2,2149,0
EBND.US,5,20250903,162000,21.1999,21.2,21.195,21.195,1573,0
EBND.US,5,20250903,162500,21.2,21.205,21.2,21.205,500,0
EBND.US,5,20250903,163000,21.205,21.205,21.2,21.2,2023,0
EBND.US,5,20250903,163500,21.195,21.195,21.195,21.195,4000,0
EBND.US,5,20250903,164000,21.195,21.2,21.195,21.2,2866,0
EBND.US,5,20250903,164500,21.2,21.2065,21.1901,21.205,9805,0
EBND.US,5,20250903,165000,21.2,21.2,21.19,21.195,4879,0
EBND.US,5,20250903,165500,21.195,21.1959,21.18,21.19,1976,0
EBND.US,5,20250903,170000,21.19,21.195,21.19,21.195,3642,0
EBND.US,5,20250903,170500,21.195,21.2,21.195,21.2,700,0
EBND.US,5,20250903,171000,21.2,21.2,21.2,21.2,400,0
EBND.US,5,20250903,171500,21.2,21.2,21.19,21.2,2379,0
EBND.US,5,20250903,172000,21.195,21.195,21.195,21.195,600,0
EBND.US,5,20250903,172500,21.195,21.195,21.195,21.195,500,0
EBND.US,5,20250903,173000,21.2,21.2,21.1909,21.195,695,0
EBND.US,5,20250903,173500,21.195,21.2,21.19,21.195,1400,0
EBND.US,5,20250903,174000,21.2,21.2,21.19,21.19,1156,0
EBND.US,5,20250903,174500,21.195,21.195,21.195,21.195,500,0
EBND.US,5,20250903,175000,21.195,21.2,21.19,21.195,1024,0
EBND.US,5,20250903,175500,21.195,21.195,21.195,21.195,782,0
EBND.US,5,20250903,180000,21.195,21.195,21.19,21.19,2300,0
EBND.US,5,20250903,180500,21.1837,21.1837,21.1837,21.1837,133,0
EBND.US,5,20250903,181000,21.1809,21.185,21.1809,21.185,941,0
EBND.US,5,20250903,181500,21.185,21.185,21.185,21.185,3300,0
EBND.US,5,20250903,182000,21.19,21.19,21.183444,21.19,512,0
EBND.US,5,20250903,182500,21.185,21.19,21.1828,21.1828,1384,0
EBND.US,5,20250903,183000,21.19,21.19,21.19,21.19,300,0
EBND.US,5,20250903,183500,21.19,21.19,21.1801,21.1801,1959,0
