<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPV.US,5,20250829,153500,25.63,25.63,25.63,25.63,100,0
EPV.US,5,20250829,154000,25.6512,25.6512,25.6512,25.6512,170,0
EPV.US,5,20250829,155000,25.5482,25.5482,25.5482,25.5482,500,0
EPV.US,5,20250829,160000,25.56,25.6099,25.56,25.6099,325,0
EPV.US,5,20250829,164500,25.56,25.56,25.56,25.56,340,0
EPV.US,5,20250829,170000,25.55,25.55,25.55,25.55,142,0
EPV.US,5,20250829,172500,25.6,25.6,25.6,25.6,1000,0
EPV.US,5,20250829,173000,25.6,25.6,25.6,25.6,300,0
EPV.US,5,20250829,181500,25.62,25.62,25.62,25.62,200,0
EPV.US,5,20250829,184000,25.57,25.57,25.57,25.57,100,0
EPV.US,5,20250829,190000,25.6,25.6,25.6,25.6,410,0
EPV.US,5,20250829,192000,25.6169,25.6169,25.6169,25.6169,300,0
EPV.US,5,20250829,195000,25.56,25.56,25.56,25.56,100,0
EPV.US,5,20250829,211500,25.5798,25.6,25.5798,25.6,686,0
EPV.US,5,20250902,153000,26.5,26.5,26.5,26.5,1925,0
EPV.US,5,20250902,153500,26.465,26.518,26.465,26.518,1100,0
EPV.US,5,20250902,154000,26.4,26.45,26.4,26.45,220,0
EPV.US,5,20250902,154500,26.34,26.39,26.3201,26.3301,1700,0
EPV.US,5,20250902,155000,26.2916,26.35,26.28,26.2814,3250,0
EPV.US,5,20250902,155500,26.34,26.34,26.34,26.34,124,0
EPV.US,5,20250902,160000,26.29,26.29,26.235,26.235,400,0
EPV.US,5,20250902,160500,26.23,26.23,26.23,26.23,100,0
EPV.US,5,20250902,163000,26.21,26.21,26.21,26.21,500,0
EPV.US,5,20250902,163500,26.3,26.3,26.3,26.3,100,0
EPV.US,5,20250902,165500,26.37,26.37,26.37,26.37,100,0
EPV.US,5,20250902,170500,26.43,26.43,26.42,26.42,346,0
EPV.US,5,20250902,171000,26.3903,26.5,26.3903,26.5,200,0
EPV.US,5,20250902,171500,26.4415,26.4999,26.4415,26.4999,500,0
EPV.US,5,20250902,172000,26.5,26.5,26.46,26.46,5300,0
EPV.US,5,20250902,173500,26.5,26.52,26.5,26.52,62582,0
EPV.US,5,20250902,180000,26.5506,26.5506,26.5165,26.5165,1152,0
EPV.US,5,20250902,183000,26.515,26.515,26.515,26.515,100,0
EPV.US,5,20250902,184000,26.56,26.5687,26.56,26.5687,200,0
EPV.US,5,20250902,184500,26.51,26.51,26.51,26.51,125,0
EPV.US,5,20250902,185000,26.4889,26.4889,26.4889,26.4889,200,0
EPV.US,5,20250902,185500,26.45,26.45,26.4322,26.4322,586,0
EPV.US,5,20250902,191000,26.52,26.52,26.49,26.49,200,0
EPV.US,5,20250902,191500,26.4749,26.4749,26.4749,26.4749,100,0
EPV.US,5,20250902,193500,26.47,26.47,26.47,26.47,100,0
EPV.US,5,20250902,195500,26.35,26.36,26.35,26.351,1100,0
EPV.US,5,20250902,202500,26.51,26.51,26.51,26.51,100,0
EPV.US,5,20250902,203500,26.455,26.455,26.455,26.455,300,0
EPV.US,5,20250902,205000,26.438,26.438,26.438,26.438,500,0
EPV.US,5,20250902,211000,26.49,26.49,26.49,26.49,100,0
EPV.US,5,20250902,213000,26.4,26.4,26.4,26.4,1000,0
EPV.US,5,20250902,213500,26.35,26.35,26.35,26.35,100,0
EPV.US,5,20250902,214500,26.42,26.42,26.42,26.42,223,0
EPV.US,5,20250902,215000,26.42,26.42,26.35,26.4,395,0
EPV.US,5,20250902,215500,26.4,26.4,26.32,26.38,719,0
EPV.US,5,20250903,153500,26.3,26.3,26.3,26.3,200,0
EPV.US,5,20250903,154000,26.3,26.3,26.3,26.3,760,0
EPV.US,5,20250903,160000,26.2,26.2,26.2,26.2,1100,0
EPV.US,5,20250903,160500,26.18,26.1801,26.18,26.1801,1400,0
EPV.US,5,20250903,161000,26.18,26.22,26.18,26.22,940,0
EPV.US,5,20250903,162000,26.1782,26.1782,26.1782,26.1782,150,0
EPV.US,5,20250903,163500,26.145,26.145,26.145,26.145,100,0
EPV.US,5,20250903,165500,26.25,26.2596,26.24,26.24,885,0
EPV.US,5,20250903,181000,26.1124,26.1124,26.1124,26.1124,121,0
EPV.US,5,20250903,182000,26.18,26.18,26.18,26.18,200,0
EPV.US,5,20250903,185000,26.155,26.19,26.155,26.19,400,0
EPV.US,5,20250903,192500,26.1553,26.1553,26.1553,26.1553,100,0
EPV.US,5,20250903,193000,26.0862,26.0862,26.0862,26.0862,400,0
EPV.US,5,20250903,204500,26.2124,26.2124,26.2124,26.2124,100,0
EPV.US,5,20250903,210500,26.21,26.21,26.21,26.21,1111,0
EPV.US,5,20250903,212000,26.235,26.235,26.235,26.235,1901,0
EPV.US,5,20250903,213000,26.28,26.2889,26.22,26.22,600,0
EPV.US,5,20250903,215500,26.15,26.15,26.15,26.15,100,0
EPV.US,5,20250904,153000,25.98,25.98,25.98,25.98,400,0
EPV.US,5,20250904,153500,25.9545,25.9545,25.9545,25.9545,1000,0
EPV.US,5,20250904,154500,25.92,25.967,25.92,25.967,490,0
EPV.US,5,20250904,155000,25.95,25.95,25.89,25.8956,686,0
EPV.US,5,20250904,155500,25.91,25.91,25.9,25.9,326,0
EPV.US,5,20250904,160000,25.8741,25.8741,25.8741,25.8741,100,0
EPV.US,5,20250904,160500,26,26,26,26,915,0
EPV.US,5,20250904,161500,26.02932,26.02932,26.02932,26.02932,490,0
EPV.US,5,20250904,162500,26.02,26.037,26.02,26.037,200,0
EPV.US,5,20250904,163500,25.9273,25.9273,25.9273,25.9273,200,0
EPV.US,5,20250904,173500,25.99,25.99,25.99,25.99,260,0
EPV.US,5,20250904,174000,25.92,25.92,25.92,25.92,125,0
EPV.US,5,20250904,174500,25.9001,25.9001,25.9001,25.9001,1000,0
EPV.US,5,20250904,181500,25.9231,25.9231,25.9231,25.9231,965,0
EPV.US,5,20250904,183500,25.97,25.97,25.97,25.97,936,0
EPV.US,5,20250904,191000,25.9649,25.9649,25.9649,25.9649,1000,0
EPV.US,5,20250904,191500,25.9649,25.9649,25.9649,25.9649,500,0
EPV.US,5,20250904,195000,25.9,25.9,25.9,25.9,100,0
EPV.US,5,20250904,202500,25.8235,25.8235,25.8235,25.8235,121,0
EPV.US,5,20250904,211000,25.82,25.82,25.82,25.82,500,0
EPV.US,5,20250904,212500,25.805,25.805,25.805,25.805,414,0
EPV.US,5,20250904,215500,25.86,25.8689,25.8251,25.8251,3992,0
EPV.US,5,20250905,153000,25.37,25.38,25.345,25.345,400,0
EPV.US,5,20250905,153500,25.35,25.35,25.34,25.34,450,0
EPV.US,5,20250905,154500,25.31,25.37,25.31,25.32,7379,0
EPV.US,5,20250905,155000,25.29,25.2901,25.26,25.26,534,0
EPV.US,5,20250905,162500,25.6251,25.6251,25.6251,25.6251,400,0
EPV.US,5,20250905,164000,25.6401,25.6401,25.6401,25.6401,100,0
EPV.US,5,20250905,165000,25.6977,25.6977,25.64,25.64,350,0
EPV.US,5,20250905,170000,25.67,25.67,25.67,25.67,400,0
EPV.US,5,20250905,170500,25.71,25.71,25.675,25.675,1072,0
EPV.US,5,20250905,172000,25.6479,25.6479,25.6479,25.6479,100,0
EPV.US,5,20250905,172500,25.64,25.64,25.64,25.64,150,0
EPV.US,5,20250905,173000,25.57,25.57,25.5642,25.5642,1000,0
EPV.US,5,20250905,173500,25.555,25.555,25.5,25.5,1104,0
EPV.US,5,20250905,174000,25.51,25.51,25.51,25.51,500,0
EPV.US,5,20250905,174500,25.505,25.505,25.505,25.505,112,0
EPV.US,5,20250905,180000,25.58,25.58,25.58,25.58,100,0
EPV.US,5,20250905,181000,25.5,25.5,25.5,25.5,500,0
EPV.US,5,20250905,183500,25.63,25.63,25.63,25.63,250,0
EPV.US,5,20250905,192000,25.6006,25.6006,25.6006,25.6006,400,0
EPV.US,5,20250905,203000,25.6338,25.6338,25.6338,25.6338,100,0
EPV.US,5,20250905,211500,25.55,25.55,25.55,25.55,200,0
EPV.US,5,20250908,153000,25.5,25.5,25.41,25.41,830,0
EPV.US,5,20250908,153500,25.3999,25.3999,25.379,25.379,200,0
EPV.US,5,20250908,154000,25.39,25.39,25.341,25.341,4423,0
EPV.US,5,20250908,154500,25.37,25.39,25.37,25.39,1050,0
EPV.US,5,20250908,155000,25.37,25.4,25.37,25.4,280,0
EPV.US,5,20250908,155500,25.419,25.4299,25.419,25.4299,1500,0
EPV.US,5,20250908,160000,25.46,25.46,25.46,25.46,500,0
EPV.US,5,20250908,160500,25.45,25.45,25.45,25.45,152,0
EPV.US,5,20250908,161500,25.482,25.4899,25.45,25.4899,1000,0
EPV.US,5,20250908,162000,25.483,25.483,25.4471,25.4471,2000,0
EPV.US,5,20250908,165000,25.416,25.416,25.416,25.416,100,0
EPV.US,5,20250908,170500,25.34,25.34,25.34,25.34,300,0
EPV.US,5,20250908,172000,25.2777,25.2777,25.2777,25.2777,100,0
EPV.US,5,20250908,172500,25.29,25.29,25.27,25.27,496,0
EPV.US,5,20250908,173500,25.29,25.29,25.29,25.29,194,0
EPV.US,5,20250908,184000,25.3667,25.3667,25.3667,25.3667,100,0
EPV.US,5,20250908,192000,25.36,25.36,25.36,25.36,914,0
EPV.US,5,20250908,204500,25.285,25.285,25.2201,25.2201,400,0
EPV.US,5,20250908,205500,25.2208,25.2682,25.2208,25.231,1000,0
EPV.US,5,20250909,153000,25.3581,25.3581,25.3581,25.3581,100,0
EPV.US,5,20250909,154000,25.33,25.33,25.2972,25.2972,500,0
EPV.US,5,20250909,155000,25.3,25.3,25.3,25.3,200,0
EPV.US,5,20250909,155500,25.325,25.325,25.325,25.325,200,0
EPV.US,5,20250909,160000,25.37,25.37,25.37,25.37,700,0
EPV.US,5,20250909,162500,25.2907,25.2907,25.2907,25.2907,100,0
EPV.US,5,20250909,163500,25.405,25.405,25.405,25.405,108,0
EPV.US,5,20250909,164500,25.37,25.39,25.37,25.39,200,0
EPV.US,5,20250909,165000,25.4315,25.4315,25.4,25.4,390,0
EPV.US,5,20250909,172000,25.4,25.4,25.4,25.4,165,0
EPV.US,5,20250909,174000,25.3799,25.3799,25.32,25.32,372,0
EPV.US,5,20250909,181000,25.3399,25.3399,25.3399,25.3399,100,0
EPV.US,5,20250909,182000,25.34,25.36,25.34,25.36,300,0
EPV.US,5,20250909,184500,25.3107,25.3107,25.3107,25.3107,200,0
EPV.US,5,20250909,200000,25.33,25.33,25.33,25.33,100,0
EPV.US,5,20250909,210500,25.33,25.33,25.33,25.33,100,0
EPV.US,5,20250909,212500,25.3525,25.3525,25.3525,25.3525,170,0
EPV.US,5,20250909,215000,25.29,25.29,25.29,25.29,102,0
EPV.US,5,20250909,215500,25.28,25.28,25.28,25.28,100,0
EPV.US,5,20250910,153000,25.42,25.42,25.3222,25.3222,400,0
EPV.US,5,20250910,153500,25.29,25.29,25.29,25.29,100,0
EPV.US,5,20250910,154500,25.397,25.397,25.397,25.397,100,0
EPV.US,5,20250910,160500,25.3059,25.3059,25.295,25.295,700,0
EPV.US,5,20250910,161500,25.36,25.36,25.36,25.36,300,0
EPV.US,5,20250910,163500,25.3401,25.3401,25.3401,25.3401,120,0
EPV.US,5,20250910,164500,25.34,25.34,25.34,25.34,140,0
EPV.US,5,20250910,175000,25.3401,25.3401,25.3401,25.3401,2000,0
EPV.US,5,20250910,184000,25.435,25.46,25.41,25.435,2046,0
EPV.US,5,20250910,192500,25.4445,25.5,25.4445,25.4666,2048,0
EPV.US,5,20250910,194000,25.46,25.46,25.46,25.46,7508,0
EPV.US,5,20250910,194500,25.5094,25.5094,25.5094,25.5094,100,0
EPV.US,5,20250910,195000,25.4503,25.4503,25.4503,25.4503,150,0
EPV.US,5,20250910,201000,25.49,25.49,25.49,25.49,100,0
EPV.US,5,20250910,203500,25.47,25.47,25.47,25.47,100,0
EPV.US,5,20250910,205500,25.49,25.49,25.49,25.49,100,0
EPV.US,5,20250910,210500,25.5,25.5,25.5,25.5,100,0
EPV.US,5,20250910,212000,25.5172,25.5599,25.5172,25.5599,1948,0
EPV.US,5,20250910,212500,25.5499,25.5499,25.5045,25.5045,1948,0
EPV.US,5,20250910,213500,25.55,25.55,25.55,25.55,100,0
EPV.US,5,20250911,153000,25.285,25.285,25.285,25.285,200,0
EPV.US,5,20250911,153500,25.2464,25.2464,25.2464,25.2464,300,0
EPV.US,5,20250911,154500,25.17,25.17,25.1536,25.1536,250,0
EPV.US,5,20250911,155500,25.12,25.12,25.12,25.12,100,0
EPV.US,5,20250911,160000,25.01,25.05,25.01,25.0105,500,0
EPV.US,5,20250911,160500,25.035,25.06,25.035,25.06,1700,0
EPV.US,5,20250911,162000,25.079,25.079,25.079,25.079,200,0
EPV.US,5,20250911,162500,25.1,25.1,25.1,25.1,100,0
EPV.US,5,20250911,164000,25.15,25.15,25.15,25.15,200,0
EPV.US,5,20250911,164500,25.1122,25.15,25.1071,25.15,1101,0
EPV.US,5,20250911,170000,25.1819,25.19,25.1624,25.1624,550,0
EPV.US,5,20250911,170500,25.18,25.18,25.18,25.18,116,0
EPV.US,5,20250911,172500,25.12,25.13,25.12,25.13,342,0
EPV.US,5,20250911,173500,25.09,25.09,25.09,25.09,155,0
EPV.US,5,20250911,175500,25.12,25.12,25.12,25.12,100,0
EPV.US,5,20250911,180000,25.05,25.05,25.05,25.05,400,0
EPV.US,5,20250911,180500,25.04,25.04,25.04,25.04,300,0
EPV.US,5,20250911,182500,25.04,25.04,25.04,25.04,200,0
EPV.US,5,20250911,183500,25,25,25,25,600,0
EPV.US,5,20250911,190000,25.04,25.04,25.04,25.04,100,0
EPV.US,5,20250911,191000,25.03,25.03,24.995,24.995,400,0
EPV.US,5,20250911,192000,25.03,25.03,25.03,25.03,100,0
EPV.US,5,20250911,192500,25.0002,25.0002,24.9674,24.9674,400,0
EPV.US,5,20250911,194000,25.03,25.03,24.9877,24.9877,200,0
EPV.US,5,20250911,195500,25.0399,25.04,25.0399,25.04,200,0
EPV.US,5,20250911,201500,25.02,25.02,25.01,25.01,200,0
EPV.US,5,20250911,202000,25.0123,25.0123,25.0123,25.0123,100,0
EPV.US,5,20250911,203000,25.02,25.02,25.02,25.02,100,0
EPV.US,5,20250911,204500,25.02,25.02,25.02,25.02,100,0
EPV.US,5,20250911,205000,24.97,24.97,24.951,24.9652,300,0
EPV.US,5,20250911,210000,24.95,24.95,24.95,24.95,7144,0
EPV.US,5,20250911,212000,24.98,24.98,24.98,24.98,100,0
EPV.US,5,20250911,213000,24.94,24.96,24.91,24.96,17426,0
EPV.US,5,20250911,214000,24.92,24.92,24.92,24.92,200,0
EPV.US,5,20250911,214500,24.97,24.97,24.95,24.95,300,0
EPV.US,5,20250911,215000,24.95,24.95,24.93,24.93,200,0
EPV.US,5,20250911,215500,24.96,24.96,24.9,24.9,2003,0
EPV.US,5,20250912,153000,25.125,25.125,25.06,25.06,9268,0
EPV.US,5,20250912,154500,25.135,25.135,25.1236,25.1236,626,0
EPV.US,5,20250912,160000,25.12,25.12,25.12,25.12,100,0
EPV.US,5,20250912,160500,25.09,25.09,25.09,25.09,100,0
EPV.US,5,20250912,161000,25.071,25.11,25.071,25.11,735,0
EPV.US,5,20250912,162000,25.09,25.09,25.085,25.085,274,0
EPV.US,5,20250912,162500,25.11,25.11,25.11,25.11,500,0
EPV.US,5,20250912,163500,25.139,25.139,25.139,25.139,100,0
EPV.US,5,20250912,164500,25.2,25.2,25.176,25.176,200,0
EPV.US,5,20250912,165000,25.14,25.162,25.14,25.162,200,0
EPV.US,5,20250912,165500,25.13,25.13,25.13,25.13,162,0
EPV.US,5,20250912,170000,25.14,25.14,25.14,25.14,200,0
EPV.US,5,20250912,171500,25.1799,25.1799,25.1799,25.1799,100,0
EPV.US,5,20250912,175000,25.1801,25.1801,25.1801,25.1801,173,0
EPV.US,5,20250912,181000,25.229,25.229,25.229,25.229,200,0
EPV.US,5,20250912,183000,25.18,25.18,25.18,25.18,100,0
EPV.US,5,20250912,184500,25.15,25.15,25.15,25.15,200,0
EPV.US,5,20250912,194000,25.095,25.095,25.095,25.095,350,0
EPV.US,5,20250912,200000,25.0601,25.0601,25.0601,25.0601,353,0
EPV.US,5,20250912,202500,25.09,25.09,25.09,25.09,300,0
EPV.US,5,20250912,203000,25.08,25.08,25.08,25.08,100,0
EPV.US,5,20250912,204000,25.07,25.07,25.07,25.07,500,0
EPV.US,5,20250912,205000,25.07,25.07,25.07,25.07,100,0
EPV.US,5,20250912,212000,25.09,25.09,25.09,25.09,200,0
EPV.US,5,20250912,213000,25.09,25.09,25.08,25.09,1590,0
EPV.US,5,20250912,213500,25.11,25.11,25.11,25.11,100,0
EPV.US,5,20250912,214000,25.13,25.13,25.11,25.1299,800,0
EPV.US,5,20250912,215000,25.0725,25.0725,25.0725,25.0725,232,0
EPV.US,5,20250915,153000,24.821,24.8835,24.7941,24.7941,1200,0
EPV.US,5,20250915,153500,24.83,24.83,24.8,24.8,593,0
EPV.US,5,20250915,155500,24.8569,24.8569,24.8569,24.8569,100,0
EPV.US,5,20250915,160500,24.91,24.91,24.91,24.91,200,0
EPV.US,5,20250915,163000,24.79,24.79,24.75,24.75,200,0
EPV.US,5,20250915,164500,24.74,24.74,24.74,24.74,300,0
EPV.US,5,20250915,170000,24.76,24.76,24.76,24.76,380,0
EPV.US,5,20250915,172000,24.8,24.8,24.8,24.8,500,0
EPV.US,5,20250915,175000,24.7939,24.7939,24.778,24.778,350,0
EPV.US,5,20250915,184500,24.8,24.8,24.8,24.8,116,0
EPV.US,5,20250915,193000,24.815,24.815,24.815,24.815,300,0
EPV.US,5,20250915,202000,24.74,24.74,24.74,24.74,160,0
EPV.US,5,20250915,202500,24.7699,24.7699,24.7699,24.7699,100,0
EPV.US,5,20250915,210000,24.78,24.78,24.78,24.78,100,0
EPV.US,5,20250915,211000,24.775,24.775,24.775,24.775,100,0
EPV.US,5,20250915,213000,24.78,24.78,24.78,24.78,500,0
EPV.US,5,20250915,214500,24.7474,24.7474,24.7474,24.7474,151,0
EPV.US,5,20250915,215500,24.72,24.75,24.72,24.75,600,0
EPV.US,5,20250916,153000,24.85,24.85,24.85,24.85,313,0
EPV.US,5,20250916,154000,24.8912,24.8912,24.8912,24.8912,300,0
EPV.US,5,20250916,160500,24.9,24.9,24.9,24.9,100,0
EPV.US,5,20250916,161500,24.86,24.91,24.86,24.91,563,0
EPV.US,5,20250916,162500,24.9281,24.9281,24.9281,24.9281,150,0
EPV.US,5,20250916,163500,24.9092,24.9092,24.9092,24.9092,100,0
EPV.US,5,20250916,183000,24.97,24.97,24.97,24.97,200,0
EPV.US,5,20250916,190000,24.913,24.913,24.913,24.913,400,0
EPV.US,5,20250916,191000,24.9,24.929,24.9,24.929,2200,0
EPV.US,5,20250916,192000,24.86,24.86,24.85,24.85,798,0
EPV.US,5,20250916,192500,24.7813,24.7813,24.7813,24.7813,300,0
EPV.US,5,20250916,202000,24.85,24.85,24.85,24.85,100,0
EPV.US,5,20250916,203000,24.8185,24.8185,24.8185,24.8185,450,0
EPV.US,5,20250916,213000,24.86,24.8601,24.86,24.8601,200,0
EPV.US,5,20250916,215000,24.8901,24.9223,24.8901,24.9223,455,0
EPV.US,5,20250916,215500,24.86,24.9484,24.86,24.88,651,0
EPV.US,5,20250917,153500,24.955,24.955,24.88,24.88,460,0
EPV.US,5,20250917,154000,24.8662,24.8662,24.8662,24.8662,300,0
EPV.US,5,20250917,155000,24.875,24.875,24.875,24.875,100,0
EPV.US,5,20250917,155500,24.87,24.87,24.87,24.87,133,0
EPV.US,5,20250917,161500,24.909,24.909,24.909,24.909,700,0
EPV.US,5,20250917,162500,24.92,24.92,24.92,24.92,1934,0
EPV.US,5,20250917,163500,24.979,24.979,24.979,24.979,300,0
EPV.US,5,20250917,164000,25.01,25.01,25.01,25.01,260,0
EPV.US,5,20250917,165500,25.0096,25.0096,25.0075,25.0075,500,0
EPV.US,5,20250917,170500,25.06,25.06,25.06,25.06,200,0
EPV.US,5,20250917,171500,25.0143,25.0143,25.0143,25.0143,140,0
EPV.US,5,20250917,200000,24.7516,24.76,24.7516,24.76,400,0
EPV.US,5,20250917,201000,24.67,24.88,24.67,24.88,1131,0
EPV.US,5,20250917,202500,24.83,24.83,24.83,24.83,1003,0
EPV.US,5,20250917,203500,25.099,25.099,25.099,25.099,200,0
EPV.US,5,20250917,214000,25.051,25.053,25.051,25.053,200,0
EPV.US,5,20250917,214500,25.05,25.05,25.05,25.05,100,0
EPV.US,5,20250917,215000,25.13,25.13,25.1294,25.1294,237,0
EPV.US,5,20250918,154000,25.125,25.125,25.125,25.125,100,0
EPV.US,5,20250918,154500,25.14,25.14,25.14,25.14,167,0
EPV.US,5,20250918,155000,25.18,25.18,25.18,25.18,123,0
EPV.US,5,20250918,160000,24.95,24.95,24.95,24.95,199,0
EPV.US,5,20250918,161500,24.88,24.88,24.88,24.88,205,0
EPV.US,5,20250918,162500,24.8888,24.8888,24.8888,24.8888,400,0
EPV.US,5,20250918,163000,24.8516,24.8516,24.8516,24.8516,150,0
EPV.US,5,20250918,165000,24.9833,24.9833,24.9833,24.9833,150,0
EPV.US,5,20250918,170500,24.97,24.97,24.97,24.97,700,0
EPV.US,5,20250918,171500,24.9515,24.9642,24.9515,24.9642,1782,0
EPV.US,5,20250918,173500,24.85,24.85,24.85,24.85,200,0
EPV.US,5,20250918,175500,25.0628,25.0628,25.0628,25.0628,100,0
EPV.US,5,20250918,182500,24.91,24.91,24.91,24.91,300,0
EPV.US,5,20250918,205000,24.91,24.91,24.91,24.91,157,0
EPV.US,5,20250918,214500,24.95,24.95,24.95,24.95,100,0
EPV.US,5,20250918,215500,24.87,24.87,24.87,24.87,150,0
EPV.US,5,20250919,153000,25.045,25.045,25.045,25.045,150,0
EPV.US,5,20250919,154000,25.045,25.1099,25.045,25.1099,500,0
EPV.US,5,20250919,154500,25.1091,25.1091,25.09,25.09,552,0
EPV.US,5,20250919,160500,25.03,25.03,25.03,25.03,100,0
EPV.US,5,20250919,161500,25.03,25.03,25.03,25.03,100,0
EPV.US,5,20250919,163000,25.045,25.045,25.045,25.045,190,0
EPV.US,5,20250919,165500,25.06,25.06,25.06,25.06,100,0
EPV.US,5,20250919,170000,25.075,25.075,25.075,25.075,100,0
EPV.US,5,20250919,170500,25.1,25.1267,25.1,25.1267,450,0
EPV.US,5,20250919,171500,25.0811,25.0811,25.0811,25.0811,100,0
EPV.US,5,20250919,172000,25.14,25.14,25.14,25.14,200,0
EPV.US,5,20250919,181000,25.1573,25.1573,25.1573,25.1573,201,0
EPV.US,5,20250919,191000,25.19,25.19,25.18,25.18,200,0
EPV.US,5,20250919,211000,25.136,25.136,25.136,25.136,400,0
EPV.US,5,20250919,212500,25.1489,25.1489,25.1489,25.1489,400,0
EPV.US,5,20250919,215500,25.13,25.13,25.13,25.13,630,0
EPV.US,5,20250922,153000,25.13,25.13,25.13,25.13,146,0
EPV.US,5,20250922,154000,25.2,25.2,25.2,25.2,900,0
EPV.US,5,20250922,161000,25.2,25.2201,25.2,25.2201,1148,0
EPV.US,5,20250922,165500,25.1301,25.1301,25.1301,25.1301,400,0
EPV.US,5,20250922,170000,25.14,25.14,25.14,25.14,100,0
EPV.US,5,20250922,183500,25.0698,25.0698,25.0698,25.0698,1104,0
EPV.US,5,20250922,185500,25.0341,25.0341,25.0341,25.0341,1950,0
EPV.US,5,20250922,192000,25.0001,25.025,25.0001,25.025,255,0
EPV.US,5,20250922,193500,24.97,24.97,24.97,24.97,108,0
EPV.US,5,20250922,195500,24.965,24.965,24.965,24.965,200,0
EPV.US,5,20250922,200000,25,25,25,25,300,0
EPV.US,5,20250922,201000,24.96,24.96,24.96,24.96,200,0
EPV.US,5,20250922,202000,24.93,24.93,24.93,24.93,800,0
EPV.US,5,20250922,204000,24.95,24.95,24.95,24.95,100,0
EPV.US,5,20250922,210500,24.9216,24.9216,24.9216,24.9216,200,0
EPV.US,5,20250922,211000,24.911,24.9325,24.911,24.9325,350,0
EPV.US,5,20250922,213000,24.925,24.925,24.925,24.925,155,0
EPV.US,5,20250922,214000,24.9,24.9,24.9,24.9,200,0
EPV.US,5,20250923,153500,24.81,24.81,24.81,24.81,400,0
EPV.US,5,20250923,154000,24.75,24.75,24.75,24.75,100,0
EPV.US,5,20250923,154500,24.74,24.74,24.7382,24.7382,1069,0
EPV.US,5,20250923,155000,24.73,24.74,24.73,24.74,217,0
EPV.US,5,20250923,155500,24.7,24.7,24.68,24.68,700,0
EPV.US,5,20250923,162500,24.73,24.73,24.73,24.73,200,0
EPV.US,5,20250923,171000,24.85,24.85,24.85,24.85,250,0
EPV.US,5,20250923,174500,24.8872,24.8872,24.8872,24.8872,200,0
EPV.US,5,20250923,175500,24.939,24.9493,24.939,24.9493,1000,0
EPV.US,5,20250923,181000,24.8907,24.901,24.8907,24.901,1000,0
EPV.US,5,20250923,190500,24.9183,24.9183,24.9183,24.9183,299,0
EPV.US,5,20250923,192000,24.89,24.89,24.89,24.89,100,0
EPV.US,5,20250923,193000,24.92,24.92,24.92,24.92,100,0
EPV.US,5,20250923,194000,24.95,24.95,24.95,24.95,200,0
EPV.US,5,20250923,195000,24.94,24.94,24.931,24.931,262,0
EPV.US,5,20250923,202000,25,25,25,25,111,0
EPV.US,5,20250923,204500,25.01,25.01,25.01,25.01,100,0
EPV.US,5,20250923,212000,25.09,25.09,25.09,25.09,400,0
EPV.US,5,20250923,214500,25.0296,25.0296,25.0296,25.0296,100,0
EPV.US,5,20250923,215000,24.971,25.005,24.971,25.005,200,0
EPV.US,5,20250923,215500,25.0321,25.0321,24.97,25.019,2744,0
EPV.US,5,20250924,153000,25.02,25.02,25.01,25.01,595,0
EPV.US,5,20250924,153500,25.0116,25.0116,25.0116,25.0116,800,0
EPV.US,5,20250924,154000,24.995,24.995,24.995,24.995,100,0
EPV.US,5,20250924,154500,25,25,25,25,178,0
EPV.US,5,20250924,155500,25.019,25.029,25.019,25.029,799,0
EPV.US,5,20250924,161000,24.99,24.99,24.99,24.99,100,0
EPV.US,5,20250924,161500,24.9745,24.9745,24.9745,24.9745,200,0
