<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCFY.US,5,20250829,170500,26.59,26.59,26.59,26.59,100,0
FCFY.US,5,20250829,194500,26.63,26.67,26.6299,26.67,550,0
FCFY.US,5,20250919,195000,27.2775,27.3,27.2775,27.3,608,0
FCFY.US,5,20251001,192500,26.79,26.79,26.79,26.79,100,0
FCFY.US,5,20251006,192500,27.02,27.02,27.02,27.02,100,0
FCFY.US,5,20251008,171000,26.82,26.82,26.82,26.82,100,0
FCFY.US,5,20251009,214500,26.55,26.55,26.55,26.55,100,0
FCFY.US,5,20251014,161500,26.18,26.18,26.18,26.18,100,0
FCFY.US,5,20251014,175000,26.23,26.23,26.23,26.23,100,0
FCFY.US,5,20251014,192000,26.53,26.53,26.53,26.53,100,0
FCFY.US,5,20251015,175000,26.58,26.58,26.58,26.58,100,0
FCFY.US,5,20251016,185000,26.2,26.2,26.2,26.2,100,0
FCFY.US,5,20251020,162500,26.65,26.65,26.65,26.65,200,0
FCFY.US,5,20251021,163000,26.94,26.94,26.94,26.94,100,0
FCFY.US,5,20251021,164500,27.01,27.01,27.01,27.01,100,0
FCFY.US,5,20251022,164000,27.08,27.08,27.08,27.08,200,0
FCFY.US,5,20251023,163500,26.88,26.88,26.88,26.88,200,0
FCFY.US,5,20251024,171500,27.07,27.07,27.07,27.07,200,0
FCFY.US,5,20251027,152000,27.26,27.26,27.26,27.26,200,0
FCFY.US,5,20251028,152000,27.1,27.1,27.1,27.1,100,0
FCFY.US,5,20251028,175500,27.18,27.18,27.18,27.18,176,0
FCFY.US,5,20251029,164500,26.96,26.96,26.96,26.96,100,0
FCFY.US,5,20251104,194000,26.2803,26.2803,26.2803,26.2803,400,0
FCFY.US,5,20251110,205000,26.558,26.558,26.558,26.558,597,0
FCFY.US,5,20251113,161500,26.96,26.96,26.96,26.96,100,0
FCFY.US,5,20251113,215500,26.59,26.59,26.5899,26.5899,340,0
FCFY.US,5,20251201,183000,26.99,27.03,26.99,27.03,5410,0
FCFY.US,5,20251201,191000,27.02,27.02,27.02,27.02,500,0
FCFY.US,5,20251202,184000,26.95,26.95,26.95,26.95,107,0
FCFY.US,5,20251211,212000,28.2,28.2,28.2,28.2,581,0
FCFY.US,5,20251211,214500,28.2,28.2,28.2,28.2,2800,0
FCFY.US,5,20251215,215000,28.0177,28.0177,28.0177,28.0177,895,0
FCFY.US,5,20251218,170500,28.03,28.03,28.03,28.03,500,0
FCFY.US,5,20251218,175500,27.92,27.92,27.92,27.92,126,0
FCFY.US,5,20251222,183500,28.08,28.08,28.08,28.08,900,0
FCFY.US,5,20251223,175500,27.88,27.88,27.86,27.86,200,0
FCFY.US,5,20251224,184000,28.05,28.05,28.05,28.05,100,0
FCFY.US,5,20260102,204500,27.76,27.76,27.76,27.76,100,0
FCFY.US,5,20260102,210500,27.8,27.8,27.8,27.8,243,0
FCFY.US,5,20260107,190500,28.03,28.03,28.0299,28.0299,400,0
FCFY.US,5,20260115,192000,27.99,28.0025,27.99,28.0025,636,0
FCFY.US,5,20260115,213500,27.99,27.99,27.99,27.99,895,0
