<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEBP.US,5,20250902,162500,30.17,30.17,30.17,30.17,442,0
FEBP.US,5,20250902,163000,30.17,30.17,30.17,30.17,9061,0
FEBP.US,5,20250904,193500,30.39,30.39,30.39,30.39,600,0
FEBP.US,5,20250904,195000,30.41,30.41,30.41,30.41,1000,0
FEBP.US,5,20250908,181500,30.46,30.46,30.46,30.46,1000,0
FEBP.US,5,20250908,183000,30.46,30.46,30.46,30.46,500,0
FEBP.US,5,20250908,184500,30.44,30.44,30.44,30.44,607,0
FEBP.US,5,20250918,205500,30.8,30.8001,30.8,30.8001,582,0
FEBP.US,5,20250925,193000,30.76,30.76,30.76,30.76,2000,0
FEBP.US,5,20250925,214500,30.72,30.72,30.72,30.72,2000,0
FEBP.US,5,20250926,163500,30.76,30.76,30.76,30.76,500,0
FEBP.US,5,20250926,165000,30.75,30.75,30.75,30.75,500,0
FEBP.US,5,20250926,170500,30.77,30.77,30.77,30.77,100,0
FEBP.US,5,20250926,172000,30.77,30.77,30.77,30.77,1619,0
FEBP.US,5,20250926,173500,30.79,30.79,30.79,30.79,500,0
FEBP.US,5,20250930,205000,30.9001,30.92,30.9,30.9146,1400,0
FEBP.US,5,20251003,194500,31.04,31.04,31.04,31.04,100,0
FEBP.US,5,20251007,203000,30.96,30.96,30.96,30.96,2608,0
FEBP.US,5,20251008,161500,31.03,31.03,31.03,31.03,100,0
FEBP.US,5,20251009,185500,31.03,31.03,31.03,31.03,100,0
FEBP.US,5,20251013,153500,30.75,30.75,30.75,30.75,500,0
FEBP.US,5,20251013,195500,30.9,30.9,30.9,30.9,2500,0
FEBP.US,5,20251013,200000,30.9,30.91,30.9,30.91,14617,0
FEBP.US,5,20251014,153000,31.46,31.46,31.33,31.33,1600,0
FEBP.US,5,20251014,155500,30.7,30.7,30.7,30.7,100,0
FEBP.US,5,20251014,213500,30.91,30.91,30.91,30.91,100,0
FEBP.US,5,20251015,154000,30.95,30.95,30.95,30.95,100,0
FEBP.US,5,20251016,153500,30.934,30.934,30.934,30.934,454,0
FEBP.US,5,20251016,182500,30.87,30.87,30.85,30.85,200,0
FEBP.US,5,20251016,190500,30.79,30.83,30.79,30.83,590,0
FEBP.US,5,20251016,195000,30.84,30.84,30.82,30.82,200,0
FEBP.US,5,20251016,212000,30.74,30.74,30.74,30.74,3577,0
FEBP.US,5,20251017,170500,30.78,30.78,30.78,30.78,1892,0
FEBP.US,5,20251017,172500,30.74,30.74,30.74,30.74,500,0
FEBP.US,5,20251017,180500,30.82,30.82,30.82,30.82,100,0
FEBP.US,5,20251020,173500,31.06,31.06,31.06,31.06,500,0
FEBP.US,5,20251020,175000,31.06,31.06,31.06,31.06,2121,0
FEBP.US,5,20251020,180500,31.05,31.05,31.05,31.05,500,0
FEBP.US,5,20251020,182000,31.05,31.05,31.05,31.05,100,0
FEBP.US,5,20251020,210500,31.08,31.08,31.08,31.08,183,0
FEBP.US,5,20251020,212000,31.11,31.11,31.11,31.11,2707,0
FEBP.US,5,20251021,211500,31.14,31.14,31.14,31.14,1546,0
FEBP.US,5,20251023,213500,31.15,31.15,31.15,31.15,1500,0
FEBP.US,5,20251027,202000,31.35,31.35,31.35,31.35,671,0
FEBP.US,5,20251028,191000,31.354,31.354,31.354,31.354,135,0
FEBP.US,5,20251028,201500,31.38,31.38,31.38,31.38,1514,0
FEBP.US,5,20251029,205500,31.35,31.35,31.35,31.35,135,0
FEBP.US,5,20251031,201500,31.29,31.29,31.29,31.29,2386,0
FEBP.US,5,20251103,212500,31.31,31.31,31.31,31.31,3969,0
FEBP.US,5,20251104,213000,31.2,31.2,31.2,31.2,7793,0
FEBP.US,5,20251105,212000,31.275,31.275,31.275,31.275,1623,0
FEBP.US,5,20251106,212500,31.16,31.16,31.16,31.16,2327,0
FEBP.US,5,20251107,173000,30.9,30.9,30.9,30.9,900,0
FEBP.US,5,20251110,212500,31.33,31.33,31.33,31.33,856,0
FEBP.US,5,20251111,173000,31.32,31.32,31.32,31.32,500,0
FEBP.US,5,20251111,174500,31.33,31.33,31.33,31.33,356,0
FEBP.US,5,20251111,212000,31.37,31.37,31.37,31.37,729,0
FEBP.US,5,20251112,165500,31.31,31.31,31.31,31.31,374,0
FEBP.US,5,20251112,182500,31.32,31.32,31.32,31.32,374,0
FEBP.US,5,20251112,195500,31.34,31.34,31.34,31.34,371,0
FEBP.US,5,20251112,205000,31.33,31.33,31.33,31.33,376,0
FEBP.US,5,20251112,210500,31.32,31.32,31.32,31.32,376,0
FEBP.US,5,20251112,211500,31.35,31.35,31.35,31.35,199,0
FEBP.US,5,20251113,164000,31.27,31.27,31.27,31.27,729,0
FEBP.US,5,20251113,194500,31.16,31.16,31.16,31.16,2000,0
FEBP.US,5,20251114,213500,31.165,31.165,31.165,31.165,785,0
FEBP.US,5,20251117,173000,31.12,31.12,31.12,31.12,600,0
FEBP.US,5,20251117,175000,31.15,31.15,31.15,31.15,200,0
FEBP.US,5,20251117,180500,31.16,31.16,31.15,31.15,200,0
FEBP.US,5,20251117,182000,31.14,31.14,31.14,31.14,200,0
FEBP.US,5,20251117,183500,31.15,31.15,31.15,31.15,200,0
FEBP.US,5,20251117,185000,31.1,31.1,31.1,31.1,200,0
FEBP.US,5,20251118,211000,30.95,30.95,30.95,30.95,100,0
FEBP.US,5,20251119,155000,30.95,30.95,30.95,30.95,200,0
FEBP.US,5,20251119,205500,30.92,30.92,30.92,30.92,100,0
FEBP.US,5,20251119,214000,30.97,30.97,30.97,30.97,892,0
FEBP.US,5,20251120,182000,30.79,30.79,30.79,30.79,100,0
FEBP.US,5,20251120,184000,30.8,30.8,30.8,30.8,100,0
FEBP.US,5,20251120,184500,30.77,30.77,30.77,30.77,100,0
FEBP.US,5,20251120,190000,30.82,30.82,30.82,30.82,100,0
FEBP.US,5,20251120,200500,30.71,30.71,30.71,30.71,237,0
FEBP.US,5,20251120,212000,30.84,30.84,30.84,30.84,100,0
FEBP.US,5,20251120,212500,30.8,30.81,30.8,30.81,200,0
FEBP.US,5,20251120,213500,30.78,30.78,30.77,30.77,200,0
FEBP.US,5,20251120,214000,30.76,30.76,30.73,30.73,200,0
FEBP.US,5,20251120,214500,30.72,30.72,30.72,30.72,100,0
FEBP.US,5,20251120,215000,30.73,30.73,30.73,30.73,200,0
FEBP.US,5,20251120,215500,30.73,30.73,30.71,30.71,400,0
FEBP.US,5,20251121,163000,30.68,30.68,30.68,30.68,500,0
FEBP.US,5,20251125,205500,31.3,31.3,31.3,31.3,100,0
FEBP.US,5,20251126,212000,31.45,31.45,31.45,31.45,769,0
FEBP.US,5,20251201,214000,31.47,31.47,31.47,31.47,879,0
FEBP.US,5,20251203,213500,31.5511,31.5511,31.5511,31.5511,171,0
FEBP.US,5,20251204,193000,31.59,31.6,31.57,31.57,428,0
FEBP.US,5,20251205,165000,31.65,31.65,31.65,31.65,591,0
FEBP.US,5,20251205,165500,31.64,31.64,31.64,31.64,591,0
FEBP.US,5,20251205,180500,31.63,31.63,31.63,31.63,100,0
FEBP.US,5,20251205,181500,31.62,31.62,31.62,31.62,200,0
FEBP.US,5,20251205,182000,31.63,31.63,31.63,31.63,100,0
FEBP.US,5,20251205,182500,31.63,31.63,31.62,31.62,249,0
FEBP.US,5,20251205,213000,31.63,31.63,31.63,31.63,589,0
FEBP.US,5,20251208,155500,31.63,31.63,31.63,31.63,456,0
FEBP.US,5,20251208,184500,31.59,31.59,31.59,31.59,596,0
FEBP.US,5,20251208,193000,31.59,31.59,31.59,31.59,100,0
FEBP.US,5,20251208,193500,31.59,31.59,31.59,31.59,200,0
FEBP.US,5,20251209,182000,31.62,31.62,31.62,31.62,355,0
FEBP.US,5,20251210,200000,31.64,31.64,31.64,31.64,100,0
FEBP.US,5,20251210,212000,31.7,31.7,31.7,31.7,862,0
FEBP.US,5,20251211,212500,31.75,31.75,31.75,31.75,600,0
FEBP.US,5,20251212,172500,31.6,31.6,31.6,31.6,950,0
FEBP.US,5,20251212,213000,31.62,31.62,31.62,31.62,676,0
FEBP.US,5,20251218,162000,31.53,31.53,31.53,31.53,143,0
FEBP.US,5,20251218,192500,31.6,31.6,31.6,31.6,156,0
FEBP.US,5,20251218,194000,31.6235,31.63,31.615,31.615,1043,0
