<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLHY.US,5,20250829,153000,24.44,24.44,24.4363,24.4363,420,0
FLHY.US,5,20250829,154500,24.43,24.4364,24.43,24.4364,994,0
FLHY.US,5,20250829,155500,24.4215,24.4215,24.4215,24.4215,451,0
FLHY.US,5,20250829,160500,24.4191,24.4191,24.4191,24.4191,500,0
FLHY.US,5,20250829,161000,24.4111,24.43,24.4111,24.4157,344,0
FLHY.US,5,20250829,161500,24.42,24.42,24.42,24.42,100,0
FLHY.US,5,20250829,162000,24.4246,24.4246,24.4246,24.4246,988,0
FLHY.US,5,20250829,162500,24.42,24.4272,24.42,24.4272,1733,0
FLHY.US,5,20250829,163000,24.425,24.43,24.425,24.43,732,0
FLHY.US,5,20250829,163500,24.43,24.4395,24.43,24.4395,953,0
FLHY.US,5,20250829,164000,24.445,24.445,24.44,24.44,410,0
FLHY.US,5,20250829,170000,24.4364,24.44,24.4364,24.4399,1400,0
FLHY.US,5,20250829,171000,24.4372,24.44,24.4372,24.44,396,0
FLHY.US,5,20250829,172000,24.4365,24.44,24.4365,24.44,393,0
FLHY.US,5,20250829,172500,24.4405,24.445,24.4405,24.445,339,0
FLHY.US,5,20250829,173000,24.445,24.445,24.445,24.445,164,0
FLHY.US,5,20250829,174000,24.45,24.45,24.445,24.445,358,0
FLHY.US,5,20250829,174500,24.445,24.45,24.445,24.4451,1900,0
FLHY.US,5,20250829,175000,24.445,24.445,24.445,24.445,1658,0
FLHY.US,5,20250829,175500,24.4499,24.4499,24.4499,24.4499,100,0
FLHY.US,5,20250829,180500,24.449,24.449,24.449,24.449,200,0
FLHY.US,5,20250829,181000,24.45,24.45,24.45,24.45,100,0
FLHY.US,5,20250829,182000,24.45,24.455,24.4499,24.455,1796,0
FLHY.US,5,20250829,182500,24.455,24.455,24.455,24.455,160,0
FLHY.US,5,20250829,183000,24.451,24.455,24.45,24.455,2540,0
FLHY.US,5,20250829,183500,24.45,24.45,24.445,24.445,2396,0
FLHY.US,5,20250829,184000,24.445,24.445,24.445,24.445,145,0
FLHY.US,5,20250829,184500,24.445,24.445,24.44,24.44,3758,0
FLHY.US,5,20250829,185000,24.449,24.449,24.44,24.4406,1521,0
FLHY.US,5,20250829,190000,24.44,24.44,24.44,24.44,700,0
FLHY.US,5,20250829,191500,24.4301,24.44,24.4301,24.435,1087,0
FLHY.US,5,20250829,192000,24.4369,24.4369,24.435,24.435,1800,0
FLHY.US,5,20250829,192500,24.4461,24.4461,24.4461,24.4461,327,0
FLHY.US,5,20250829,193000,24.4401,24.4401,24.4401,24.4401,167,0
FLHY.US,5,20250829,193500,24.45,24.45,24.445,24.445,1869,0
FLHY.US,5,20250829,194000,24.45,24.45,24.45,24.45,386,0
FLHY.US,5,20250829,195000,24.4491,24.4491,24.4491,24.4491,100,0
FLHY.US,5,20250829,195500,24.45,24.45,24.4475,24.4475,200,0
FLHY.US,5,20250829,200500,24.445,24.45,24.44,24.445,2830,0
FLHY.US,5,20250829,202000,24.441,24.441,24.441,24.441,242,0
FLHY.US,5,20250829,202500,24.45,24.45,24.44,24.44,787,0
FLHY.US,5,20250829,203000,24.435,24.435,24.43,24.43,200,0
FLHY.US,5,20250829,203500,24.43,24.44,24.43,24.44,313,0
FLHY.US,5,20250829,204000,24.435,24.44,24.435,24.435,1799,0
FLHY.US,5,20250829,204500,24.44,24.44,24.44,24.44,100,0
FLHY.US,5,20250829,205000,24.435,24.435,24.4346,24.4346,406,0
FLHY.US,5,20250829,205500,24.435,24.435,24.43,24.43,400,0
FLHY.US,5,20250829,210500,24.44,24.44,24.435,24.435,300,0
FLHY.US,5,20250829,212000,24.44,24.44,24.43,24.43,1121,0
FLHY.US,5,20250829,212500,24.435,24.436,24.435,24.435,842,0
FLHY.US,5,20250829,213000,24.44,24.44,24.43,24.44,25899,0
FLHY.US,5,20250829,214000,24.435,24.435,24.415,24.415,9600,0
FLHY.US,5,20250829,214500,24.41,24.42,24.41,24.41,11451,0
FLHY.US,5,20250829,215000,24.415,24.415,24.4,24.405,12200,0
FLHY.US,5,20250829,215500,24.405,24.41,24.395,24.4,28347,0
FLHY.US,5,20250902,153000,24.2201,24.2201,24.2146,24.2146,481,0
FLHY.US,5,20250902,153500,24.2205,24.2205,24.2205,24.2205,302,0
FLHY.US,5,20250902,154500,24.22,24.22,24.22,24.22,662,0
FLHY.US,5,20250902,155000,24.2295,24.2295,24.2295,24.2295,206,0
