<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTHF.US,5,20250918,165500,29.42,29.42,29.42,29.42,4500,0
FTHF.US,5,20250929,211500,29.47,29.47,29.47,29.47,100,0
FTHF.US,5,20250929,212000,29.47,29.47,29.47,29.47,100,0
FTHF.US,5,20250929,213000,29.46,29.46,29.46,29.46,100,0
FTHF.US,5,20251001,213000,29.9,29.91,29.9,29.91,1000,0
FTHF.US,5,20251001,213500,29.93,29.93,29.93,29.93,100,0
FTHF.US,5,20251002,205500,29.98,29.98,29.98,29.98,100,0
FTHF.US,5,20251006,205500,30.29,30.29,30.29,30.29,100,0
FTHF.US,5,20251009,195500,30.18,30.18,30.18,30.18,100,0
FTHF.US,5,20251014,204500,30.2,30.2,30.2,30.2,100,0
FTHF.US,5,20251017,162000,30.92,31.06,30.92,31.06,1600,0
FTHF.US,5,20251020,163000,31.31,31.3538,31.31,31.3101,1201,0
FTHF.US,5,20251020,213000,31.27,31.27,31.15,31.15,535,0
FTHF.US,5,20251021,213500,30.78,30.78,30.77,30.77,300,0
FTHF.US,5,20251023,182500,31.11,31.12,31.11,31.12,200,0
FTHF.US,5,20251027,180500,31.45,31.45,31.45,31.45,268,0
FTHF.US,5,20251027,184500,31.39,31.39,31.39,31.39,100,0
FTHF.US,5,20251028,190500,31.74,31.74,31.74,31.74,300,0
FTHF.US,5,20251029,183000,31.99,31.99,31.9899,31.9899,800,0
FTHF.US,5,20251029,201000,31.84,31.98,31.84,31.97,843,0
FTHF.US,5,20251029,204500,31.76,31.82,31.76,31.82,942,0
FTHF.US,5,20251030,200000,31.5868,31.5868,31.5868,31.5868,125,0
FTHF.US,5,20251030,205500,31.55,31.55,31.55,31.55,2135,0
FTHF.US,5,20251103,204500,32.13,32.13,32.13,32.13,100,0
FTHF.US,5,20251103,215500,32.03,32.03,32.03,32.03,200,0
