<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GCOR.US,5,20250829,160000,41.41,41.41,41.3806,41.3806,792,0
GCOR.US,5,20250829,161000,41.4344,41.4344,41.4344,41.4344,1916,0
GCOR.US,5,20250829,161500,41.43,41.43,41.43,41.43,100,0
GCOR.US,5,20250829,162000,41.42,41.42,41.42,41.42,100,0
GCOR.US,5,20250829,163500,41.42,41.42,41.42,41.42,100,0
GCOR.US,5,20250829,164500,41.4075,41.432,41.4075,41.432,1062,0
GCOR.US,5,20250829,165500,41.4173,41.4188,41.4173,41.4188,2175,0
GCOR.US,5,20250829,170000,41.42,41.42,41.42,41.42,100,0
GCOR.US,5,20250829,170500,41.41,41.41,41.41,41.41,100,0
GCOR.US,5,20250829,173500,41.3915,41.3915,41.3851,41.3851,244,0
GCOR.US,5,20250829,174500,41.3986,41.3986,41.3986,41.3986,199,0
GCOR.US,5,20250829,175500,41.4009,41.4009,41.4001,41.4001,682,0
GCOR.US,5,20250829,181000,41.4018,41.4018,41.4018,41.4018,160,0
GCOR.US,5,20250829,182000,41.4108,41.4563,41.4108,41.4563,1923,0
GCOR.US,5,20250829,182500,41.435,41.435,41.435,41.435,204,0
GCOR.US,5,20250829,190500,41.4433,41.4433,41.4201,41.4201,786,0
GCOR.US,5,20250829,191000,41.435,41.435,41.435,41.435,1324,0
GCOR.US,5,20250829,191500,41.4433,41.4433,41.4354,41.4354,422,0
GCOR.US,5,20250829,202000,41.4471,41.4471,41.4471,41.4471,461,0
GCOR.US,5,20250829,202500,41.45,41.45,41.435,41.45,1521,0
GCOR.US,5,20250829,203500,41.4455,41.4455,41.4455,41.4455,563,0
GCOR.US,5,20250829,205500,41.427,41.43,41.427,41.43,1005,0
GCOR.US,5,20250829,210000,41.4215,41.43,41.4215,41.43,1043,0
GCOR.US,5,20250829,213500,41.41803,41.43,41.41803,41.43,515,0
GCOR.US,5,20250829,214000,41.42,41.4376,41.42,41.4376,1668,0
GCOR.US,5,20250829,214500,41.4305,41.4305,41.4305,41.4305,241,0
GCOR.US,5,20250829,215500,41.435,41.435,41.42,41.42,2139,0
GCOR.US,5,20250902,155500,41.18,41.18,41.18,41.18,100,0
GCOR.US,5,20250902,160000,41.1704,41.19,41.1704,41.19,324,0
GCOR.US,5,20250902,160500,41.17,41.17,41.17,41.17,3022,0
GCOR.US,5,20250902,161000,41.1704,41.1704,41.1704,41.1704,154,0
GCOR.US,5,20250902,162000,41.21,41.21,41.21,41.21,100,0
GCOR.US,5,20250902,162500,41.1903,41.2082,41.1903,41.2073,1331,0
GCOR.US,5,20250902,163000,41.2,41.2,41.2,41.2,100,0
GCOR.US,5,20250902,163500,41.205,41.205,41.205,41.205,241,0
GCOR.US,5,20250902,164000,41.2296,41.2296,41.2296,41.2296,6240,0
GCOR.US,5,20250902,164500,41.21,41.21,41.1984,41.1984,209,0
GCOR.US,5,20250902,165000,41.1938,41.1938,41.18,41.18,1311,0
GCOR.US,5,20250902,165500,41.22,41.22,41.2,41.204607,769,0
GCOR.US,5,20250902,170000,41.1801,41.1802,41.1801,41.1802,371,0
GCOR.US,5,20250902,170500,41.19,41.19,41.19,41.19,239,0
GCOR.US,5,20250902,171000,41.18,41.18,41.1795,41.1795,465,0
GCOR.US,5,20250902,171500,41.18,41.1895,41.1603,41.1895,629,0
GCOR.US,5,20250902,172500,41.175,41.175,41.175,41.175,305,0
GCOR.US,5,20250902,173000,41.175,41.175,41.175,41.175,176,0
GCOR.US,5,20250902,173500,41.18,41.18,41.18,41.18,100,0
GCOR.US,5,20250902,175000,41.1626,41.19,41.16,41.16,407,0
GCOR.US,5,20250902,180000,41.19,41.19,41.19,41.19,100,0
GCOR.US,5,20250902,180500,41.18,41.1843,41.18,41.18,2741,0
GCOR.US,5,20250902,181000,41.18,41.18,41.18,41.18,4676,0
GCOR.US,5,20250902,181500,41.1702,41.1702,41.1702,41.1702,151,0
GCOR.US,5,20250902,183000,41.18,41.1808,41.1702,41.1702,1253,0
GCOR.US,5,20250902,183500,41.175,41.175,41.175,41.175,100,0
GCOR.US,5,20250902,184000,41.175,41.175,41.175,41.175,146,0
GCOR.US,5,20250902,184500,41.175,41.175,41.175,41.175,100,0
GCOR.US,5,20250902,185500,41.18,41.18,41.18,41.18,100,0
GCOR.US,5,20250902,190000,41.1777,41.1777,41.1777,41.1777,1433,0
GCOR.US,5,20250902,190500,41.18,41.18,41.18,41.18,435,0
GCOR.US,5,20250902,191000,41.19,41.19,41.1792,41.1792,1990,0
GCOR.US,5,20250902,192500,41.2087,41.2087,41.2087,41.2087,1376,0
GCOR.US,5,20250902,193000,41.19,41.2,41.19,41.2,1408,0
GCOR.US,5,20250902,193500,41.185,41.1997,41.185,41.1997,2556,0
GCOR.US,5,20250902,194000,41.1704,41.1704,41.1704,41.1704,105,0
GCOR.US,5,20250902,194500,41.19,41.19,41.19,41.19,100,0
GCOR.US,5,20250902,200000,41.18,41.18,41.18,41.18,215,0
GCOR.US,5,20250902,201000,41.18,41.18,41.18,41.18,100,0
GCOR.US,5,20250902,203000,41.18,41.18,41.18,41.18,681,0
GCOR.US,5,20250902,204000,41.185,41.185,41.185,41.185,658,0
GCOR.US,5,20250902,204500,41.19,41.19,41.19,41.19,300,0
GCOR.US,5,20250902,211000,41.1895,41.1895,41.1895,41.1895,267,0
GCOR.US,5,20250902,213000,41.1899,41.1899,41.1899,41.1899,1876,0
GCOR.US,5,20250902,213500,41.19,41.2,41.19,41.1946,1212,0
GCOR.US,5,20250902,214000,41.195,41.195,41.19,41.19,1953,0
GCOR.US,5,20250902,214500,41.195,41.195,41.195,41.195,206,0
GCOR.US,5,20250902,215000,41.2099,41.2099,41.1992,41.2,1135,0
GCOR.US,5,20250902,215500,41.21,41.21,41.21,41.21,100,0
GCOR.US,5,20250903,154500,41.22,41.22,41.22,41.22,692,0
GCOR.US,5,20250903,155000,41.25,41.25,41.25,41.25,341,0
GCOR.US,5,20250903,161000,41.33,41.3392,41.33,41.3392,1405,0
GCOR.US,5,20250903,161500,41.3396,41.3396,41.3238,41.3238,1430,0
GCOR.US,5,20250903,162000,41.314,41.314,41.314,41.314,233,0
GCOR.US,5,20250903,162500,41.32,41.3369,41.32,41.3369,4054,0
GCOR.US,5,20250903,163500,41.32,41.32,41.32,41.32,8018,0
GCOR.US,5,20250903,164000,41.33,41.33,41.33,41.33,6985,0
GCOR.US,5,20250903,164500,41.33,41.33,41.33,41.33,100,0
GCOR.US,5,20250903,165500,41.32,41.32,41.32,41.32,6767,0
GCOR.US,5,20250903,170000,41.305,41.305,41.305,41.305,100,0
GCOR.US,5,20250903,170500,41.31,41.3271,41.31,41.3271,1642,0
GCOR.US,5,20250903,171000,41.315,41.315,41.315,41.315,504,0
GCOR.US,5,20250903,171500,41.32,41.32,41.32,41.32,400,0
GCOR.US,5,20250903,173500,41.35,41.35,41.3455,41.3455,292,0
GCOR.US,5,20250903,174500,41.335,41.335,41.3235,41.3235,493,0
GCOR.US,5,20250903,175500,41.35,41.35,41.35,41.35,100,0
GCOR.US,5,20250903,182000,41.3324,41.3324,41.3324,41.3324,310,0
GCOR.US,5,20250903,184000,41.345,41.3582,41.345,41.3582,478,0
GCOR.US,5,20250903,184500,41.36,41.36,41.36,41.36,200,0
GCOR.US,5,20250903,185000,41.355,41.3641,41.3433,41.3641,650,0
GCOR.US,5,20250903,190000,41.37,41.37,41.3649,41.3649,257,0
GCOR.US,5,20250903,190500,41.365,41.365,41.365,41.365,223,0
GCOR.US,5,20250903,191000,41.37,41.37,41.37,41.37,221,0
GCOR.US,5,20250903,191500,41.37,41.37,41.3618,41.37,1383,0
GCOR.US,5,20250903,192500,41.378,41.378,41.37,41.37,2036,0
GCOR.US,5,20250903,193000,41.3692,41.3692,41.3692,41.3692,609,0
GCOR.US,5,20250903,193500,41.3602,41.3602,41.3602,41.3602,185,0
GCOR.US,5,20250903,194000,41.365,41.365,41.365,41.365,100,0
GCOR.US,5,20250903,195000,41.36,41.36,41.36,41.36,200,0
GCOR.US,5,20250903,195500,41.36,41.36,41.36,41.36,100,0
GCOR.US,5,20250903,200500,41.355,41.355,41.355,41.355,100,0
GCOR.US,5,20250903,201000,41.355,41.36,41.355,41.36,298,0
GCOR.US,5,20250903,201500,41.36,41.36,41.36,41.36,100,0
GCOR.US,5,20250903,203500,41.3681,41.3681,41.3681,41.3681,315,0
GCOR.US,5,20250903,210000,41.355,41.355,41.35,41.35,500,0
GCOR.US,5,20250903,210500,41.3187,41.35,41.3187,41.35,4534,0
GCOR.US,5,20250903,211000,41.3488,41.3488,41.3488,41.3488,207,0
GCOR.US,5,20250903,211500,41.33,41.343,41.33,41.343,879,0
GCOR.US,5,20250903,212000,41.3391,41.3391,41.3391,41.3391,411,0
GCOR.US,5,20250903,214000,41.345,41.345,41.3388,41.3388,697,0
GCOR.US,5,20250903,214500,41.35,41.35,41.3378,41.34,2149,0
GCOR.US,5,20250903,215000,41.3488,41.3488,41.34,41.3403,1096,0
GCOR.US,5,20250903,215500,41.35,41.35,41.35,41.35,100,0
GCOR.US,5,20250904,155000,41.44,41.44,41.44,41.44,100,0
GCOR.US,5,20250904,161000,41.4286,41.4286,41.426,41.426,988,0
GCOR.US,5,20250904,161500,41.43,41.44,41.4041,41.4041,6428,0
GCOR.US,5,20250904,162500,41.41,41.41,41.41,41.41,100,0
GCOR.US,5,20250904,163000,41.42,41.42,41.4095,41.4095,571,0
GCOR.US,5,20250904,163500,41.4192,41.4192,41.4192,41.4192,190,0
GCOR.US,5,20250904,164500,41.4,41.4,41.4,41.4,100,0
GCOR.US,5,20250904,165500,41.39,41.39,41.39,41.39,100,0
GCOR.US,5,20250904,170000,41.4,41.4,41.4,41.4,100,0
GCOR.US,5,20250904,171000,41.3999,41.3999,41.3999,41.3999,2389,0
GCOR.US,5,20250904,171500,41.41,41.41,41.41,41.41,100,0
