<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHYG.US,5,20250829,155500,46.39,46.39,46.39,46.39,310,0
GHYG.US,5,20250829,160000,46.39,46.42,46.39,46.42,530,0
GHYG.US,5,20250829,162500,46.4087,46.4087,46.4087,46.4087,194,0
GHYG.US,5,20250829,163000,46.41,46.41,46.395,46.395,263,0
GHYG.US,5,20250829,172500,46.44,46.44,46.44,46.44,100,0
GHYG.US,5,20250829,182000,46.46,46.46,46.46,46.46,100,0
GHYG.US,5,20250829,184500,46.4508,46.4508,46.4508,46.4508,100,0
GHYG.US,5,20250829,192000,46.44,46.44,46.44,46.44,100,0
GHYG.US,5,20250829,205500,46.44,46.44,46.44,46.44,100,0
GHYG.US,5,20250829,214500,46.4184,46.4184,46.4184,46.4184,434,0
GHYG.US,5,20250902,155000,45.9741,45.9741,45.9741,45.9741,686,0
GHYG.US,5,20250902,160500,46.04,46.0494,46.025,46.025,574,0
GHYG.US,5,20250902,161500,46.04,46.07,46.04,46.07,700,0
GHYG.US,5,20250902,162000,46.06,46.08,46.06,46.08,1017,0
GHYG.US,5,20250902,162500,46.06,46.06,46.06,46.06,144,0
GHYG.US,5,20250902,164500,46.065,46.065,46.065,46.065,100,0
GHYG.US,5,20250902,170000,46.07,46.07,46.06,46.06,1083,0
GHYG.US,5,20250902,173500,46.015,46.015,46.015,46.015,476,0
GHYG.US,5,20250902,174000,46.03,46.03,46.03,46.03,100,0
GHYG.US,5,20250902,174500,46.0225,46.0225,46.0225,46.0225,286,0
GHYG.US,5,20250902,185000,46.05,46.05,46.05,46.05,100,0
GHYG.US,5,20250902,193000,46.04,46.04,46.04,46.04,100,0
GHYG.US,5,20250902,194500,46.04,46.04,46.04,46.04,26872,0
GHYG.US,5,20250902,201500,46.04,46.04,46.04,46.04,100,0
GHYG.US,5,20250902,202000,46.0219,46.0219,46.0219,46.0219,1346,0
GHYG.US,5,20250902,204500,46.02,46.02,46.0185,46.0185,638,0
GHYG.US,5,20250902,205000,46.01,46.0497,45.9968,46.0497,1621,0
GHYG.US,5,20250902,210000,46.005,46.008,45.97,46.0036,10438,0
GHYG.US,5,20250902,210500,45.97,45.97,45.97,45.97,1473,0
GHYG.US,5,20250902,211000,46.02,46.02,46.02,46.02,7690,0
GHYG.US,5,20250902,211500,45.9701,45.98,45.9701,45.98,700,0
