<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIGB.US,5,20250829,153500,46.16,46.16,46.16,46.16,100,0
GIGB.US,5,20250829,154500,46.15,46.15,46.15,46.15,100,0
GIGB.US,5,20250829,160000,46.16,46.16,46.1501,46.16,3740,0
GIGB.US,5,20250829,160500,46.16,46.16,46.16,46.16,148,0
GIGB.US,5,20250829,161000,46.1599,46.1599,46.1599,46.1599,393,0
GIGB.US,5,20250829,162500,46.14,46.14,46.14,46.14,100,0
GIGB.US,5,20250829,163000,46.15,46.15,46.15,46.15,250,0
GIGB.US,5,20250829,164500,46.1346,46.1346,46.1346,46.1346,183,0
GIGB.US,5,20250829,165500,46.137,46.137,46.137,46.137,508,0
GIGB.US,5,20250829,171500,46.11,46.11,46.11,46.11,1700,0
GIGB.US,5,20250829,173500,46.11,46.11,46.11,46.11,121,0
GIGB.US,5,20250829,174500,46.12,46.12,46.12,46.12,150,0
GIGB.US,5,20250829,175000,46.1272,46.1292,46.1272,46.1292,311,0
GIGB.US,5,20250829,182000,46.1354,46.1354,46.1354,46.1354,518,0
GIGB.US,5,20250829,182500,46.1319,46.14,46.1319,46.14,391,0
GIGB.US,5,20250829,184500,46.15,46.15,46.15,46.15,100,0
GIGB.US,5,20250829,190500,46.1468,46.1468,46.143,46.143,427,0
GIGB.US,5,20250829,191000,46.15,46.15,46.1302,46.15,3175,0
GIGB.US,5,20250829,192500,46.15,46.1507,46.15,46.1507,4663,0
GIGB.US,5,20250829,193000,46.15,46.1501,46.15,46.1501,4492,0
GIGB.US,5,20250829,193500,46.1502,46.16,46.1502,46.1585,5917,0
GIGB.US,5,20250829,194000,46.15,46.15,46.15,46.15,415,0
GIGB.US,5,20250829,194500,46.14,46.14,46.14,46.14,100,0
GIGB.US,5,20250829,200500,46.14,46.14,46.14,46.14,900,0
GIGB.US,5,20250829,203000,46.1398,46.1398,46.1398,46.1398,201,0
GIGB.US,5,20250829,205000,46.14,46.14,46.1394,46.1394,310,0
GIGB.US,5,20250829,205500,46.1214,46.14,46.1214,46.14,577,0
GIGB.US,5,20250829,210000,46.1301,46.135,46.1301,46.135,426,0
GIGB.US,5,20250829,210500,46.1115,46.1115,46.1115,46.1115,260,0
GIGB.US,5,20250829,211500,46.14,46.14,46.14,46.14,2250,0
GIGB.US,5,20250829,212000,46.1288,46.1288,46.1204,46.1204,2424,0
GIGB.US,5,20250829,213000,46.13,46.1372,46.13,46.1372,2132,0
GIGB.US,5,20250829,213500,46.1306,46.1306,46.1306,46.1306,109,0
GIGB.US,5,20250829,214000,46.1306,46.14,46.13,46.14,718,0
GIGB.US,5,20250829,214500,46.15,46.15,46.15,46.15,100,0
GIGB.US,5,20250829,215500,46.12,46.13,46.12,46.13,300,0
