<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMOM.US,5,20250829,174500,30.87,30.87,30.87,30.87,300,0
GMOM.US,5,20250829,215500,30.85,30.85,30.85,30.85,300,0
GMOM.US,5,20250902,163500,30.82,30.82,30.82,30.82,100,0
GMOM.US,5,20250902,171000,30.7507,30.7507,30.75,30.75,544,0
GMOM.US,5,20250902,171500,30.765,30.765,30.765,30.765,156,0
GMOM.US,5,20250902,172500,30.6801,30.6801,30.6801,30.6801,224,0
GMOM.US,5,20250902,183500,30.75,30.75,30.7499,30.7499,2794,0
GMOM.US,5,20250902,193500,30.75,30.81,30.75,30.75,814,0
GMOM.US,5,20250902,201000,30.81,30.81,30.81,30.81,100,0
GMOM.US,5,20250902,215000,30.78,30.78,30.78,30.78,200,0
GMOM.US,5,20250903,160000,30.956,30.956,30.956,30.956,604,0
GMOM.US,5,20250903,175000,30.945,30.945,30.945,30.945,721,0
GMOM.US,5,20250903,190500,30.9,30.9,30.9,30.9,281,0
GMOM.US,5,20250903,200000,30.94,30.94,30.94,30.94,300,0
GMOM.US,5,20250903,200500,30.93,30.93,30.93,30.93,500,0
GMOM.US,5,20250903,215000,30.91,30.91,30.91,30.91,100,0
GMOM.US,5,20250904,163000,30.92,30.92,30.92,30.92,100,0
GMOM.US,5,20250904,175500,30.8701,30.8701,30.8701,30.8701,788,0
GMOM.US,5,20250904,212000,30.89,30.97,30.89,30.9299,1396,0
GMOM.US,5,20250905,154500,31.3001,31.3001,31.3001,31.3001,179,0
GMOM.US,5,20250905,162500,31.13,31.13,31.13,31.13,188,0
GMOM.US,5,20250905,165000,31.08,31.08,31.0606,31.0606,3651,0
GMOM.US,5,20250905,172000,31.09,31.09,31.09,31.09,100,0
GMOM.US,5,20250905,194000,31.15,31.15,31.15,31.15,300,0
GMOM.US,5,20250905,194500,31.14,31.14,31.14,31.14,600,0
GMOM.US,5,20250905,205000,31.17,31.17,31.17,31.17,300,0
GMOM.US,5,20250905,212000,31.18,31.18,31.18,31.18,233,0
GMOM.US,5,20250908,155500,31.34,31.3401,31.34,31.3401,358,0
GMOM.US,5,20250908,161000,31.31,31.31,31.31,31.31,400,0
GMOM.US,5,20250908,161500,31.27,31.27,31.27,31.27,100,0
GMOM.US,5,20250908,162000,31.28,31.28,31.28,31.28,100,0
GMOM.US,5,20250908,163500,31.35,31.35,31.35,31.35,321,0
GMOM.US,5,20250908,170500,31.41,31.42,31.41,31.42,495,0
GMOM.US,5,20250908,172500,31.38,31.38,31.38,31.38,494,0
GMOM.US,5,20250908,173500,31.34,31.34,31.34,31.34,100,0
GMOM.US,5,20250908,175000,31.3999,31.3999,31.3999,31.3999,474,0
GMOM.US,5,20250908,185500,31.345,31.345,31.31,31.31,997,0
GMOM.US,5,20250908,202000,31.36,31.37,31.36,31.37,396,0
GMOM.US,5,20250908,204000,31.38,31.38,31.38,31.38,1384,0
GMOM.US,5,20250909,172000,31.335,31.335,31.335,31.335,100,0
GMOM.US,5,20250909,194500,31.35,31.35,31.35,31.35,700,0
GMOM.US,5,20250909,214500,31.34,31.34,31.34,31.34,1389,0
GMOM.US,5,20250909,215000,31.2907,31.2907,31.2907,31.2907,1273,0
GMOM.US,5,20250910,160500,31.58,31.58,31.58,31.58,100,0
GMOM.US,5,20250910,161000,31.6,31.6,31.6,31.6,100,0
GMOM.US,5,20250910,161500,31.59,31.59,31.59,31.59,300,0
GMOM.US,5,20250910,162000,31.6,31.6,31.6,31.6,400,0
GMOM.US,5,20250910,163000,31.59,31.59,31.59,31.59,100,0
GMOM.US,5,20250910,175500,31.6299,31.6299,31.6299,31.6299,158,0
GMOM.US,5,20250910,182500,31.4609,31.54,31.4609,31.54,464,0
GMOM.US,5,20250910,185500,31.49,31.49,31.49,31.49,100,0
GMOM.US,5,20250910,190000,31.55,31.55,31.55,31.55,400,0
GMOM.US,5,20250910,191500,31.54,31.54,31.54,31.54,100,0
GMOM.US,5,20250910,193500,31.52,31.56,31.52,31.56,898,0
GMOM.US,5,20250910,213500,31.51,31.51,31.51,31.51,300,0
GMOM.US,5,20250911,155500,31.59,31.59,31.59,31.59,100,0
GMOM.US,5,20250911,170000,31.71,31.71,31.71,31.71,500,0
GMOM.US,5,20250911,174000,31.735,31.735,31.735,31.735,500,0
GMOM.US,5,20250911,175000,31.74,31.74,31.74,31.74,276,0
GMOM.US,5,20250911,195500,31.75,31.75,31.75,31.75,1547,0
GMOM.US,5,20250911,211500,31.73,31.755,31.73,31.755,600,0
GMOM.US,5,20250911,212000,31.755,31.755,31.755,31.755,648,0
GMOM.US,5,20250911,213500,31.7899,31.7899,31.7899,31.7899,500,0
GMOM.US,5,20250911,214500,31.78,31.78,31.7676,31.7676,508,0
GMOM.US,5,20250912,210500,31.82,31.82,31.82,31.82,141,0
