<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOOP.US,5,20250829,172000,30.855,30.855,30.855,30.855,100,0
GOOP.US,5,20250902,161000,30.52,30.52,30.52,30.52,200,0
GOOP.US,5,20250902,164000,30.52,30.52,30.52,30.52,500,0
GOOP.US,5,20250902,171000,30.3,30.3,30.3,30.3,100,0
GOOP.US,5,20250902,172000,30.18,30.18,30.18,30.18,330,0
GOOP.US,5,20250902,181500,30.31,30.31,30.31,30.31,100,0
GOOP.US,5,20250902,182500,30.35,30.35,30.35,30.35,100,0
GOOP.US,5,20250902,184500,30.4,30.4,30.4,30.4,100,0
GOOP.US,5,20250902,191500,30.3923,30.3923,30.3923,30.3923,100,0
GOOP.US,5,20250902,203000,30.67,30.67,30.6116,30.6116,362,0
GOOP.US,5,20250903,153000,32.24,32.245,32.24,32.245,1127,0
GOOP.US,5,20250903,153500,32.25,32.26,32.25,32.26,473,0
GOOP.US,5,20250903,160000,32.4845,32.4845,32.4845,32.4845,254,0
GOOP.US,5,20250903,161000,32.4,32.4,32.4,32.4,317,0
GOOP.US,5,20250903,164000,32.332,32.332,32.332,32.332,100,0
GOOP.US,5,20250903,170000,32.3473,32.365,32.3473,32.365,300,0
GOOP.US,5,20250903,170500,32.3994,32.3994,32.3649,32.3649,200,0
GOOP.US,5,20250903,171000,32.3601,32.3601,32.3601,32.3601,105,0
GOOP.US,5,20250903,193000,32.3948,32.3948,32.3948,32.3948,463,0
GOOP.US,5,20250903,200000,32.3999,32.3999,32.3999,32.3999,100,0
GOOP.US,5,20250903,204000,32.3863,32.3863,32.3863,32.3863,100,0
GOOP.US,5,20250903,210500,32.4301,32.4301,32.4301,32.4301,123,0
GOOP.US,5,20250903,211000,32.45,32.45,32.45,32.45,100,0
GOOP.US,5,20250903,212500,32.46,32.46,32.46,32.46,100,0
GOOP.US,5,20250903,214000,32.45,32.45,32.45,32.45,100,0
GOOP.US,5,20250904,153500,32.45,32.48,32.45,32.465454,1692,0
GOOP.US,5,20250904,171000,32.28,32.36,32.28,32.36,302,0
GOOP.US,5,20250904,171500,32.365,32.365,32.365,32.365,200,0
GOOP.US,5,20250904,184000,32.3,32.3,32.3,32.3,200,0
GOOP.US,5,20250904,185500,32.31,32.31,32.31,32.31,100,0
GOOP.US,5,20250904,205500,32.4,32.4,32.4,32.4,259,0
GOOP.US,5,20250904,212000,32.41,32.41,32.41,32.41,100,0
GOOP.US,5,20250904,215000,32.5,32.5,32.41,32.41,507,0
GOOP.US,5,20250905,153500,32.64,32.64,32.64,32.64,312,0
GOOP.US,5,20250905,161500,32.53,32.53,32.53,32.53,100,0
GOOP.US,5,20250905,163000,32.506,32.506,32.506,32.506,215,0
GOOP.US,5,20250905,163500,32.5298,32.5298,32.5298,32.5298,306,0
GOOP.US,5,20250905,172500,32.5818,32.5818,32.5641,32.5641,429,0
GOOP.US,5,20250905,183000,32.69,32.69,32.69,32.69,100,0
GOOP.US,5,20250905,184500,32.67,32.67,32.6102,32.6102,755,0
GOOP.US,5,20250905,190500,32.65,32.65,32.54,32.54,306,0
GOOP.US,5,20250905,191500,32.5906,32.5906,32.5906,32.5906,704,0
GOOP.US,5,20250905,193500,32.65,32.65,32.65,32.65,205,0
GOOP.US,5,20250905,204000,32.6,32.62,32.6,32.62,212,0
GOOP.US,5,20250908,153000,32.77,32.78,32.77,32.7799,898,0
GOOP.US,5,20250908,153500,32.725,32.725,32.725,32.725,441,0
GOOP.US,5,20250908,154000,32.72,32.84,32.72,32.84,741,0
GOOP.US,5,20250908,163500,32.7,32.7,32.7,32.7,100,0
GOOP.US,5,20250908,164500,32.7985,32.7985,32.7985,32.7985,442,0
GOOP.US,5,20250908,184500,32.65,32.65,32.65,32.65,271,0
GOOP.US,5,20250908,190000,32.65,32.65,32.65,32.65,427,0
GOOP.US,5,20250908,194500,32.63,32.63,32.6239,32.6239,500,0
GOOP.US,5,20250908,195500,32.53,32.53,32.53,32.53,100,0
GOOP.US,5,20250908,203500,32.62,32.62,32.62,32.62,245,0
GOOP.US,5,20250908,210500,32.64,32.64,32.64,32.64,100,0
GOOP.US,5,20250908,211000,32.6,32.6,32.6,32.6,100,0
GOOP.US,5,20250908,215000,32.64,32.64,32.64,32.64,100,0
GOOP.US,5,20250908,215500,32.58,32.58,32.58,32.58,500,0
GOOP.US,5,20250909,170000,32.87,32.87,32.87,32.87,153,0
GOOP.US,5,20250909,170500,32.7908,32.7908,32.7908,32.7908,102,0
GOOP.US,5,20250909,171000,32.795,32.795,32.795,32.795,100,0
GOOP.US,5,20250909,182500,32.85,32.85,32.85,32.85,120,0
GOOP.US,5,20250909,190000,32.93,32.93,32.93,32.93,339,0
